経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.57,-0.57,,,0.3093548,1.788602,1.53462,,,0.3077916,1.786232,1.534659,,38.400736294372,28.3350731342485,33.4050233763218
0.01, 0.26,0.26,,,0.3077281,1.785799,1.532921,,,0.3084475,1.786892,1.532904,,38.2463296271969,27.9815937790639,33.3405429772566
0.022, 0.8,0.8,,,0.3060009,1.784313,1.531816,,,0.308205,1.787669,1.53177,,38.0652169211102,27.7496081179073,33.2981070131242
0.033, 1.46,1.46,,,0.3042362,1.78224,1.530665,,,0.3082262,1.788323,1.530591,,37.9116401218961,27.497516087941,33.2623270681528
0.044, 2.08,2.08,,,0.3017115,1.780985,1.529077,,,0.3074012,1.789661,1.528978,,37.5970245420074,27.2439623975329,33.2563848037402
0.056, 2.74,2.74,,,0.2999161,1.778906,1.527804,,,0.3074192,1.790361,1.527695,,37.4310680252671,26.9594389227426,33.2260007080629
0.067, 3.2,3.2,,,0.2991845,1.777014,1.527227,,,0.3079228,1.79041,1.527124,,37.4189478549222,26.7528496117607,33.1165025334309
0.077, 3.67,3.67,,,0.2979485,1.775634,1.526052,,,0.3079431,1.791034,1.52596,,37.2702136596949,26.4768604581008,32.9820195275103
0.089, 3.84,3.84,,,0.2979926,1.774982,1.525431,,,0.3084134,1.791129,1.52533,,37.2472300737774,26.354337113084,32.836352087135
0.099, 3.83,3.83,,,0.2980548,1.775213,1.525121,,,0.3084046,1.791327,1.524971,,37.1998832037684,26.4216486254814,32.7112810816287
0.11, 3.84,3.84,,,0.2978829,1.775585,1.524514,,,0.3082373,1.791761,1.52433,,37.0964126709112,26.4173182856681,32.6254700023792
0.122, 3.67,3.67,,,0.2975427,1.776744,1.524543,,,0.3074141,1.792188,1.524337,,36.9948989871968,26.5298183283568,32.5867974723747
0.132, 3.62,3.62,,,0.2973959,1.777472,1.523849,,,0.3071391,1.792699,1.52365,,36.8723141704792,26.4294145503516,32.6137698886565
0.144, 3.54,3.54,,,0.2972544,1.778134,1.523575,,,0.3067865,1.793019,1.523392,,36.7955360161557,26.3670276042088,32.635742606605
0.154, 3.48,3.48,,,0.2965802,1.779311,1.522628,,,0.3059503,1.793945,1.522462,,36.5727147610629,26.2162580126654,32.6329900404461
0.166, 3.45,3.45,,,0.2965097,1.779929,1.521823,,,0.3058029,1.794439,1.521665,,36.4527698123861,26.0808853746302,32.6387308142837
0.177, 3.46,3.46,,,0.2958767,1.780536,1.521132,,,0.3052079,1.795103,1.520978,,36.2916627298216,25.9888861441648,32.6429552861678
0.187, 3.31,3.31,,,0.2958513,1.781756,1.520439,,,0.3047715,1.795681,1.520294,,36.1509437613623,25.895426960805,32.6435495126091
0.199, 3.1,3.1,,,0.2946155,1.784185,1.519132,,,0.3029828,1.797251,1.518997,,35.7666602538781,25.7685749835222,32.6357323613216
0.21, 2.75,2.75,,,0.2935019,1.787805,1.516889,,,0.3009206,1.799407,1.516757,,35.2323550605439,25.5689524652998,32.5968105294193
0.222, 2.46,2.46,,,0.2927555,1.790627,1.515198,,,0.29937,1.80101,1.515053,,34.8303881937907,25.4923296977755,32.501382544086
0.232, 2.06,2.06,,,0.2927615,1.793328,1.514161,,,0.2982875,1.802041,1.514016,,34.5699565030798,25.4856548955949,32.388148256082
0.244, 1.86,1.86,,,0.2911638,1.796235,1.511977,,,0.296148,1.804111,1.511837,,34.0415628383078,25.311322859618,32.3313859705642
0.254, 1.56,1.56,,,0.2889335,1.800207,1.509285,,,0.293103,1.806783,1.50917,,33.348421600245,25.0887526139702,32.3784698782974
0.266, 1.28,1.28,,,0.2865322,1.804326,1.505914,,,0.2899713,1.809735,1.505821,,32.5674338866166,24.8031738749825,32.4532809381948
0.277, 0.92,0.92,,,0.283455,1.809126,1.502553,,,0.2859187,1.812987,1.502489,,31.687575772409,24.6070586588013,32.5450206214789
0.288, 0.58,0.58,,,0.2798304,1.813981,1.498945,,,0.2813974,1.816429,1.498901,,30.7317181454216,24.4969013709328,32.6281167006089
0.299, 0.12,0.12,,,0.2758445,1.819894,1.494369,,,0.2761734,1.820407,1.494359,,29.591971340527,24.3814797149079,32.6530537205747
0.31, 0.23,-0.23,,,0.2716811,1.824823,1.490575,,,0.2710634,1.823857,1.490597,,28.5706002483912,24.3843569320157,32.5952942274658
0.322, 0.39,-0.39,,,0.2673382,1.82924,1.485296,,,0.2662967,1.827601,1.485336,,27.4210709053302,24.1405311382624,32.4334050882631
0.332, 0.56,-0.56,,,0.2620266,1.833959,1.479824,,,0.2605233,1.831572,1.479884,,26.1513387739583,23.9444927617072,32.2177384561269
0.343, 0.63,-0.63,,,0.2564615,1.838259,1.473552,,,0.2547885,1.835585,1.473622,,24.8060954883187,23.7058288832755,32.0453786372179
0.355, 0.85,-0.85,,,0.2502396,1.843237,1.467345,,,0.2480041,1.839641,1.467442,,23.3732038025939,23.6491741732341,31.8800402525804
0.367, 1.15,-1.15,,,0.2439534,1.848337,1.461315,,,0.2409317,1.843447,1.461455,,21.9481207304204,23.7352601675901,31.7344650197563
0.378, 1.47,-1.47,,,0.2368396,1.853629,1.454614,,,0.2329961,1.847383,1.454802,,20.3749267177641,23.9412040257134,31.625765977235
0.388, 1.77,-1.77,,,0.2290608,1.858823,1.447437,,,0.2244275,1.851258,1.447667,,18.7021878233668,24.2123864338786,31.5032699529741
0.399, 2,-2,,,0.2208658,1.863224,1.440884,,,0.2156568,1.854666,1.441147,,17.1005085075696,24.6170700082987,31.3492765122323
0.41, 2.21,-2.21,,,0.2129342,1.867389,1.433161,,,0.2072202,1.857925,1.433456,,15.4161668296426,24.934289597736,31.1438961446998
0.421, 2.4,-2.4,,,0.2050416,1.870964,1.426225,,,0.1988688,1.860658,1.426556,,13.8490303408378,25.3815559853515,30.9433447207762
0.432, 2.55,-2.55,,,0.1970218,1.87411,1.418764,,,0.1905419,1.863159,1.41913,,12.2411176238228,25.7757774178015,30.6420855754377
0.443, 2.64,-2.64,,,0.1888947,1.876736,1.411244,,,0.1822238,1.865338,1.411637,,10.6447163365598,26.2404676175049,30.3679559407276
0.455, 2.8,-2.8,,,0.1794657,1.879418,1.403631,,,0.1724598,1.867319,1.404058,,8.94946513928463,26.9612250171608,30.1048160800862
0.466, 3.05,-3.05,,,0.1703952,1.882225,1.395031,,,0.1628137,1.869005,1.395499,,7.19001016559793,27.702182700725,29.8666405601666
0.477, 3.21,-3.21,,,0.1607826,1.884208,1.386516,,,0.1528771,1.870273,1.386991,,5.49914565719509,28.5128971043414,29.5976711332308
0.488, 3.24,-3.24,,,0.1515775,1.885245,1.378104,,,0.1436585,1.871096,1.378569,,4.01239366249532,29.2334376454973,29.2639173638203
0.499, 3.44,-3.44,,,0.1427358,1.886617,1.369217,,,0.1344389,1.871548,1.369702,,2.83710789023431,29.9451706579635,28.8643957047218
0.51, 3.34,-3.34,,,0.1346488,1.886327,1.361698,,,0.1267205,1.871613,1.362191,,2.53867580280334,30.4110510180966,28.3479924367041
0.521, 3.26,-3.26,,,0.1269153,1.885828,1.353814,,,0.1193298,1.871407,1.354324,,3.04439686869986,30.8101936017066,27.7820463929203
0.532, 3.21,-3.21,,,0.1193658,1.885201,1.345287,,,0.1120364,1.870905,1.345817,,4.11075521399551,31.196806203633,27.1878831309131
0.543, 3.19,-3.19,,,0.1114825,1.884318,1.337467,,,0.1043526,1.870079,1.338028,,5.46902153558585,31.7332492461179,26.6503831166835
