経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.92,-0.92,,,0.0906706,1.766939,1.645842,,,0.08980535,1.762502,1.645053,,43.6680824130602,35.3887561429012,14.9485089128274
0.01, 0.52,-0.52,,,0.09114885,1.765517,1.644989,,,0.09066381,1.763014,1.644543,,43.5613128989257,35.1935664173268,14.9243283362912
0.022, 0.34,-0.34,,,0.09200323,1.765181,1.6443,,,0.09169088,1.763549,1.644009,,43.4493626864499,34.995788050129,14.835996917308
0.032, 0.48,0.48,,,0.0950505,1.762027,1.642863,,,0.09547929,1.764328,1.643274,,43.2861928868135,34.5702706917729,14.6463550127326
0.044, 0.7,0.7,,,0.09740505,1.760799,1.642853,,,0.09802148,1.764193,1.643454,,43.3145415861748,34.5020200283908,14.3997920207456
0.057, 0.84,0.84,,,0.0998444,1.759794,1.643121,,,0.1005685,1.763853,1.64383,,43.3858760798813,34.5360377846054,14.1870333415675
0.066, 1.13,1.13,,,0.1005611,1.758546,1.642682,,,0.1015384,1.764032,1.643637,,43.3484090782318,34.4766663668973,14.1624745433165
0.077, 1.04,1.04,,,0.09969149,1.759451,1.642255,,,0.1006022,1.764498,1.64314,,43.2505666210941,34.3948680236734,14.2938207849481
0.088, 1.18,1.18,,,0.09973608,1.759633,1.641202,,,0.1007787,1.765359,1.642213,,43.0693890282121,34.1694786175242,14.4047490303978
0.099, 1.93,1.93,,,0.1005998,1.758093,1.638277,,,0.1023248,1.767432,1.639953,,42.6307440466365,33.5630193078059,14.618708115289
0.11, 2.35,2.35,,,0.10087,1.757811,1.635946,,,0.1030021,1.769193,1.638006,,42.2551963508577,33.1376248928514,14.7724181031882
0.121, 2.39,2.39,,,0.1009947,1.758005,1.635482,,,0.1031776,1.769582,1.637572,,42.1719568377591,33.0886831737156,14.8061592367491
0.132, 2.44,2.44,,,0.1011003,1.757986,1.635206,,,0.1033258,1.769797,1.63733,,42.1256344960971,33.0761634373154,14.7721909994046
0.143, 2.45,2.45,,,0.1018169,1.757943,1.635168,,,0.10405,1.769814,1.637304,,42.1221886657567,33.0300869824567,14.7638974424357
0.156, 2.6,2.6,,,0.1021287,1.757813,1.634377,,,0.1044859,1.770396,1.636646,,41.9969571508094,32.8545818615225,14.750370253161
0.166, 3.07,3.07,,,0.1034764,1.756911,1.632359,,,0.1062331,1.771787,1.635048,,41.696896703637,32.4385755413209,14.6880977126835
0.177, 3.52,3.52,,,0.1060432,1.755805,1.630702,,,0.1091373,1.772842,1.63377,,41.4679760897851,32.070394204357,14.5220933846205
0.188, 3.82,3.82,,,0.1077823,1.755404,1.629176,,,0.1110843,1.773897,1.632489,,41.2380309475863,31.7714300025158,14.371957293105
0.199, 3.82,3.82,,,0.1081988,1.755862,1.628594,,,0.1114829,1.774387,1.631908,,41.1309711504201,31.6477523555614,14.3146929886972
0.21, 3.71,3.71,,,0.1077383,1.756633,1.628445,,,0.1109463,1.774614,1.631668,,41.0813600727643,31.6195914863971,14.371448444026
0.221, 3.57,3.57,,,0.107124,1.757471,1.628424,,,0.1102371,1.77476,1.631525,,41.0492479392751,31.6364757135555,14.4373170790014
0.232, 3.69,3.69,,,0.1065762,1.758897,1.625993,,,0.1098169,1.776766,1.629196,,40.6075054669971,31.2568469798612,14.482654165903
0.243, 3.66,3.66,,,0.1061686,1.761114,1.62359,,,0.1094248,1.778829,1.626761,,40.149104163797,30.8843831144068,14.5670104148998
0.254, 3.63,3.63,,,0.1058294,1.762488,1.622151,,,0.1090768,1.780069,1.625282,,39.8713272081716,30.7025020120598,14.5641997921346
0.266, 3.49,3.49,,,0.1061253,1.763648,1.621681,,,0.1092404,1.780575,1.624663,,39.7575533352382,30.6768478222512,14.4668610614341
0.277, 3.36,3.36,,,0.1068821,1.765889,1.619847,,,0.1098488,1.782192,1.622666,,39.3919640549921,30.4438803214287,14.2645090289406
0.288, 3.27,3.27,,,0.1069072,1.767515,1.618472,,,0.1097635,1.783388,1.621193,,39.1199381184878,30.2401596898184,14.1305596315341
0.299, 3.41,3.41,,,0.1068396,1.769107,1.615527,,,0.1097807,1.785638,1.618374,,38.6035485108481,29.6772496650362,14.0823854548849
