経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.07,-0.07,,,-0.1889434,1.798138,1.36206,,,-0.1889287,1.797828,1.36216,,45.8734855478893,32.9497161487296,17.8596532768401
0.011, 1.85,1.85,,,-0.1867919,1.791193,1.36627,,,-0.1872583,1.799995,1.363444,,45.8734855478893,32.7495335550109,17.778375735526
0.022, 3.83,3.83,,,-0.1845372,1.783269,1.369622,,,-0.1856104,1.801504,1.363854,,45.8734855478893,32.596055793537,17.5895227177777
0.033, 6.18,6.18,,,-0.1814983,1.774009,1.373433,,,-0.1834597,1.80347,1.364383,,45.8734855478893,32.4762747693957,17.2045544838483
0.044, 8.71,8.71,,,-0.1777792,1.764349,1.377671,,,-0.1808776,1.805972,1.365212,,45.8734855478893,32.3252763665216,16.8998956119451
0.055, 11.4,11.4,,,-0.1738013,1.754334,1.382582,,,-0.1783241,1.808854,1.366588,,45.8734855478893,32.1003923943569,16.715002396258
0.066, 14,14,,,-0.1699434,1.744593,1.387415,,,-0.1760493,1.811601,1.368058,,45.8734855478893,31.8572581572378,16.6131779389449
0.078, 16.53,16.53,,,-0.1660228,1.73581,1.393093,,,-0.1738959,1.814896,1.370397,,45.8734855478893,31.5318952749891,16.660330148568
0.088, 18.79,18.79,,,-0.1622082,1.727968,1.397972,,,-0.1717504,1.817812,1.372227,,45.8734855478893,31.2464719228007,16.7588675774344
0.1, 20.69,20.69,,,-0.1597613,1.720834,1.40207,,,-0.1707264,1.819731,1.373818,,45.8734855478893,31.0645942355482,16.8035797020444
0.111, 22,22,,,-0.158418,1.714867,1.403635,,,-0.1702774,1.820076,1.37384,,45.8734855478893,31.054772423795,16.7198450002447
0.122, 23.06,23.06,,,-0.1580271,1.709291,1.404435,,,-0.1705831,1.819704,1.373639,,45.8734855478893,31.1376704274446,16.5314837561031
0.133, 23.68,23.68,,,-0.1577166,1.705731,1.404145,,,-0.170531,1.819228,1.372937,,45.8734855478893,31.2916058115801,16.3232073884431
0.145, 24.12,24.12,,,-0.1576991,1.70296,1.403876,,,-0.170754,1.818642,1.372362,,45.8734855478893,31.370504739582,16.1985871754095
0.155, 24.4,24.4,,,-0.1578245,1.701118,1.40378,,,-0.1709934,1.818147,1.371926,,45.8734855478893,31.3918832310892,16.1804581463095
0.167, 24.65,24.65,,,-0.1575182,1.69999,1.404187,,,-0.1709196,1.81816,1.371871,,45.8734855478893,31.3144220578676,16.2608802064538
0.178, 24.59,24.59,,,-0.1577343,1.700331,1.404695,,,-0.1712283,1.818102,1.3721,,45.8734855478893,31.1640656927576,16.444316884341
0.189, 24.5,24.5,,,-0.157513,1.700659,1.40446,,,-0.1710369,1.817911,1.371649,,45.8734855478893,31.0387419702591,16.6087810047891
0.2, 24.29,24.29,,,-0.1579713,1.701397,1.404261,,,-0.1714253,1.817595,1.371606,,45.8734855478893,30.983755533876,16.6754982907452
0.211, 24.02,24.02,,,-0.1579508,1.70263,1.403695,,,-0.1712596,1.817564,1.371398,,45.8734855478893,30.9840560621911,16.674535234099
0.222, 23.74,23.74,,,-0.15865,1.703834,1.403607,,,-0.1717728,1.817428,1.371725,,45.8734855478893,31.0059604782498,16.652740101064
0.233, 23.55,23.55,,,-0.1588365,1.704472,1.402977,,,-0.171799,1.817137,1.371356,,45.8734855478893,31.0269018376623,16.6429900062952
0.244, 23.29,23.29,,,-0.1596005,1.705155,1.402484,,,-0.1723803,1.81657,1.371163,,45.8734855478893,31.0284147245214,16.6585782050946
0.256, 22.55,22.55,,,-0.1615677,1.707258,1.401002,,,-0.1737456,1.815106,1.370533,,45.8734855478893,31.0662676318483,16.6904888480089
0.266, 21.89,21.89,,,-0.1626457,1.710002,1.400347,,,-0.174351,1.814698,1.370581,,45.8734855478893,31.0632589336026,16.7552065961412
0.278, 21.55,21.55,,,-0.1634369,1.711474,1.400305,,,-0.1749103,1.814486,1.370852,,45.8734855478893,31.034845347446,16.8255268067842
0.289, 21.23,21.23,,,-0.1639719,1.712818,1.400056,,,-0.1752929,1.814278,1.370952,,45.8734855478893,30.9983277420647,16.8753718184126
0.3, 21.16,21.16,,,-0.1637187,1.713364,1.400012,,,-0.1750674,1.814495,1.371021,,45.8734855478893,30.9758598354152,16.878030469473
0.311, 21.11,21.11,,,-0.1633587,1.713933,1.40008,,,-0.1747732,1.814802,1.371146,,45.8734855478893,30.9288169088158,16.9050165461328
0.322, 20.8,20.8,,,-0.1637325,1.715153,1.399585,,,-0.1750412,1.814532,1.371045,,45.8734855478893,30.8909605863945,16.933650405884
0.333, 20.66,20.66,,,-0.1641303,1.715757,1.399673,,,-0.1754157,1.81445,1.371309,,45.8734855478893,30.8599378680476,16.9552338030606
0.345, 20.57,20.57,,,-0.1641046,1.716381,1.399721,,,-0.1753442,1.814626,1.371477,,45.8734855478893,30.8550098866986,16.9604332844216
0.356, 20.46,20.46,,,-0.1641732,1.716987,1.399677,,,-0.1753364,1.814716,1.371592,,45.8734855478893,30.865767434342,16.9520714255629
0.367, 20.09,20.09,,,-0.1649593,1.7182,1.398961,,,-0.1758806,1.814175,1.371398,,45.8734855478893,30.8905780958116,16.9343300096875
0.378, 19.89,19.89,,,-0.1657871,1.718821,1.398882,,,-0.1765472,1.81384,1.371608,,45.8734855478893,30.919240983866,16.9165578579617
0.389, 19.79,19.79,,,-0.1659351,1.718831,1.398224,,,-0.17661,1.813409,1.371083,,45.8734855478893,30.9380376639388,16.9054980744559
0.4, 19.68,19.68,,,-0.1660412,1.719431,1.398144,,,-0.1766302,1.81346,1.371174,,45.8734855478893,30.9534807212224,16.8937381965797
0.411, 19.51,19.51,,,-0.1668501,1.719451,1.397486,,,-0.1773015,1.812659,1.370753,,45.8734855478893,30.9754568542654,16.8836056112279
0.422, 19.3,19.3,,,-0.1671129,1.720073,1.396776,,,-0.1773936,1.812287,1.370338,,45.8734855478893,31.007258214156,16.8657105161005
0.434, 18.93,18.93,,,-0.1682109,1.720027,1.394581,,,-0.1781885,1.810508,1.368708,,45.8734855478893,31.082868406164,16.8062127398962
0.445, 18.6,18.6,,,-0.1694704,1.719939,1.3928,,,-0.1791362,1.808904,1.367468,,45.8734855478893,31.190491693921,16.7160935189475
0.456, 18.49,18.49,,,-0.1698734,1.719287,1.391265,,,-0.179393,1.807743,1.366142,,45.8734855478893,31.2573011874284,16.6612829599307
0.466, 18.25,18.25,,,-0.1707513,1.718625,1.389159,,,-0.18009,1.805964,1.364413,,45.8734855478893,31.3083636802424,16.6144312786228
0.478, 18.19,18.19,,,-0.170765,1.717901,1.387631,,,-0.1800722,1.804961,1.363029,,45.8734855478893,31.3309101340652,16.577819758143
0.489, 17.98,17.98,,,-0.1714264,1.716389,1.384387,,,-0.1806247,1.802494,1.360217,,45.8734855478893,31.3900493253481,16.4835887634284
0.5, 17.79,17.79,,,-0.1720319,1.714948,1.381359,,,-0.1811419,1.800157,1.35755,,45.8734855478893,31.4237528928696,16.4228786286802
0.512, 17.59,17.59,,,-0.1727035,1.713518,1.378323,,,-0.1817065,1.797786,1.354882,,45.8734855478893,31.4642422531427,16.3599128240213
0.523, 17.53,17.53,,,-0.1727701,1.712901,1.37705,,,-0.1817315,1.796894,1.35369,,45.8734855478893,31.4720594044303,16.3549165407825
0.534, 17.29,17.29,,,-0.173059,1.712302,1.374485,,,-0.1818419,1.79517,1.35145,,45.8734855478893,31.5081945192287,16.3334355964406
0.545, 16.97,16.97,,,-0.1740967,1.710963,1.370887,,,-0.1826324,1.792335,1.348375,,45.8734855478893,31.5954296928806,16.2483246115615
0.556, 16.9,16.9,,,-0.1742931,1.709602,1.368572,,,-0.1827564,1.790679,1.346242,,45.8734855478893,31.6549445445573,16.1777499763789
0.567, 16.45,16.45,,,-0.1745247,1.708128,1.362872,,,-0.182722,1.787065,1.341281,,45.8734855478893,31.7349397178904,16.0749488020418
0.578, 16.23,16.23,,,-0.1746988,1.707529,1.360367,,,-0.1827576,1.785407,1.339056,,45.8734855478893,31.7477599826058,16.0736920472695
0.589, 16.11,16.11,,,-0.1741704,1.707035,1.3582,,,-0.1821564,1.784326,1.336981,,45.8734855478893,31.7281778308003,16.1144802283105
0.6, 15.93,15.93,,,-0.1741521,1.706513,1.35601,,,-0.1820533,1.782931,1.334976,,45.8734855478893,31.7039750561498,16.1507997582113
0.612, 15.59,15.59,,,-0.1736492,1.705992,1.351924,,,-0.1813599,1.780746,1.331304,,45.8734855478893,31.6974112445401,16.1751767026807
0.623, 15.13,15.13,,,-0.1729777,1.704928,1.345947,,,-0.1803637,1.777507,1.325892,,45.8734855478893,31.7445224730293,16.1733615799593
0.633, 14.25,14.25,,,-0.173054,1.70455,1.337933,,,-0.1797875,1.772897,1.319031,,45.8734855478893,31.8821166300303,16.126053983537
0.645, 13.62,13.62,,,-0.1734585,1.703511,1.331412,,,-0.1796278,1.768871,1.313382,,45.8734855478893,32.0876336013424,16.0177459693347
0.656, 13.05,13.05,,,-0.1730025,1.702957,1.325286,,,-0.178702,1.765655,1.308073,,45.8734855478893,32.282212025003,15.8930250110137
0.667, 12.45,12.45,,,-0.1731498,1.701825,1.318626,,,-0.1783786,1.761639,1.302273,,45.8734855478893,32.4725898824411,15.7771201191185
