経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.51,-0.51,,,0.3908767,1.638476,1.280277,,,0.389576,1.636277,1.280186,,45.0005395849294,14.5387009891252,30.6821821998445
0.011, 0.3,0.3,,,0.391535,1.6323,1.281649,,,0.3922831,1.63357,1.281704,,45.0005395849294,14.6511344374713,30.5869283843302
0.022, 0.93,0.93,,,0.3918573,1.627617,1.282969,,,0.3942192,1.631634,1.28315,,45.0005395849294,14.7084755815052,30.5487032317039
0.033, 1.48,1.48,,,0.3919938,1.623735,1.2838,,,0.3957415,1.630112,1.284096,,45.0005395849294,14.731956063671,30.5405650615343
0.044, 2.03,2.03,,,0.3919445,1.620017,1.28466,,,0.3970895,1.628764,1.285076,,45.0005395849294,14.7201876480586,30.567585289139
0.055, 2.58,2.58,,,0.3909409,1.617234,1.285036,,,0.3975006,1.628353,1.285575,,45.0005395849294,14.6514861922038,30.6462315001486
0.066, 2.97,2.97,,,0.3903144,1.615214,1.284629,,,0.3978763,1.627977,1.285263,,45.0005395849294,14.5567685465244,30.7557023540246
0.077, 3.27,3.27,,,0.3890561,1.614429,1.284204,,,0.3974009,1.628453,1.284919,,45.0005395849294,14.4586153157881,30.8698553024465
0.088, 3.55,3.55,,,0.3880523,1.613459,1.283884,,,0.3971477,1.628706,1.284674,,45.0005395849294,14.4047626907757,30.9352885128743
0.1, 3.55,3.55,,,0.3876125,1.61393,1.283296,,,0.3966883,1.629165,1.284084,,45.0005395849294,14.4379881450687,30.9001403603835
0.11, 3.63,3.63,,,0.3874877,1.613516,1.28268,,,0.3967444,1.629109,1.283486,,45.0005395849294,14.5250628092795,30.8125534319992
0.121, 3.98,3.98,,,0.3875281,1.611069,1.283046,,,0.3976509,1.628203,1.283944,,45.0005395849294,14.648608975096,30.6974647476871
0.133, 4.5,4.5,,,0.387117,1.608009,1.282912,,,0.3984585,1.627395,1.283938,,45.0005395849294,14.8957525331463,30.4554882276001
0.143, 4.65,4.65,,,0.3874707,1.606615,1.282986,,,0.399147,1.626706,1.284045,,45.0005395849294,15.059607059228,30.2883876542057
0.155, 4.73,4.73,,,0.3873605,1.606224,1.283689,,,0.399195,1.626658,1.28476,,45.0005395849294,15.1423496760783,30.2020164994598
0.166, 4.71,4.71,,,0.387688,1.606005,1.28389,,,0.3994662,1.626387,1.284947,,45.0005395849294,15.191402385785,30.1454249686665
0.177, 4.6,4.6,,,0.3886178,1.605865,1.283952,,,0.4000574,1.625796,1.28498,,45.0005395849294,15.3559535911426,29.9769139612478
