経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.99,-0.99,,,0.4056849,1.790058,1.328168,,,0.4032924,1.785759,1.327605,,38.3420820465068,10.0903850291364,29.8149257843049
0.011, 1.03,-1.03,,,0.4043759,1.791381,1.327775,,,0.4018776,1.786891,1.327193,,38.0796798462752,9.86262554741119,29.7947050098298
0.022, 1.16,-1.16,,,0.4033204,1.793004,1.327754,,,0.4005074,1.787961,1.327103,,37.830285740956,9.57901731794416,29.8523244840646
0.033, 1.19,-1.19,,,0.4022408,1.794025,1.326976,,,0.399363,1.788881,1.32631,,37.6140692786068,9.38317872441667,29.9236316570152
0.044, 1.39,-1.39,,,0.4017653,1.795684,1.327006,,,0.3983741,1.789643,1.326225,,37.4348451197731,9.15233711991421,30.0058329813889
0.056, 1.44,-1.44,,,0.400895,1.796586,1.32815,,,0.3973828,1.790345,1.327351,,37.2703263578131,8.83997977125697,30.0455812661577
0.066, 1.61,-1.61,,,0.3996951,1.798488,1.329015,,,0.3957739,1.79152,1.328141,,36.9922078927387,8.47695095810476,30.0208662273337
0.078, 1.66,-1.66,,,0.3987401,1.799506,1.329393,,,0.394698,1.792307,1.328499,,36.8048558090188,8.30316704479352,29.957092752828
0.088, 1.62,-1.62,,,0.3972593,1.800389,1.329232,,,0.3933161,1.793341,1.328358,,36.5568926282909,8.17058283140931,29.8684710508132
0.1, 1.76,-1.76,,,0.3962702,1.801955,1.328727,,,0.3920143,1.794329,1.327774,,36.3180682404181,8.08519522387652,29.8176851806528
0.111, 1.81,-1.81,,,0.39449,1.803665,1.327391,,,0.3901002,1.795787,1.326394,,35.9622666209803,7.95973660514564,29.7998583874151
0.122, 1.9,-1.9,,,0.3926043,1.80553,1.327232,,,0.3880164,1.797294,1.326191,,35.5928592650944,7.67411603125039,29.7927447455925
0.133, 1.99,-1.99,,,0.3908958,1.80729,1.327627,,,0.3860879,1.798647,1.326547,,35.2590371937941,7.35348646996481,29.7447490076305
0.144, 2.08,-2.08,,,0.389412,1.808855,1.327509,,,0.3844075,1.799832,1.326397,,34.9637578789076,7.1359735523699,29.6564790603481
0.155, 1.97,-1.97,,,0.3879183,1.80924,1.327732,,,0.3831969,1.80066,1.326686,,34.7565231150671,7.06744028991876,29.4606268064427
0.166, 1.68,-1.68,,,0.3860736,1.808743,1.327536,,,0.3820881,1.801426,1.326646,,34.5634917292103,7.11532546419672,29.2214574940264
