経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.91,-0.91,,,-0.287904,1.543393,1.333644,,,-0.2849503,1.540001,1.333041,,45.0005634905908,8.59845489741625,41.6837212690946
0.01, 0.51,-0.51,,,-0.2869418,1.541598,1.333236,,,-0.2852722,1.539679,1.332887,,45.0005634905908,8.7482161823114,41.6842984200634
0.021, 0.02,-0.02,,,-0.2855588,1.539509,1.334244,,,-0.2855047,1.539446,1.334233,,45.0005634905908,8.75326625328845,41.6075919827242
0.032, 0.35,0.35,,,-0.2843398,1.538132,1.33591,,,-0.2854912,1.53946,1.336146,,45.0005634905908,8.65403470646694,41.5743767737147
0.044, 0.65,0.65,,,-0.2833358,1.537052,1.336147,,,-0.2854578,1.539493,1.33658,,45.0005634905908,8.60213210040833,41.625203625009
0.054, 1.6,1.6,,,-0.2792718,1.534472,1.336615,,,-0.2844987,1.540452,1.337681,,45.0005634905908,8.54922801789054,41.7808670469564
0.066, 2.32,2.32,,,-0.276161,1.532535,1.337707,,,-0.2837687,1.541182,1.33924,,45.0005634905908,8.41104134199553,41.9554500923783
0.077, 2.66,2.66,,,-0.2744195,1.531941,1.339854,,,-0.2831298,1.541821,1.341561,,45.0005634905908,8.2121453851259,41.9835699804087
0.088, 2.84,2.84,,,-0.2740875,1.530994,1.341992,,,-0.2833863,1.541565,1.343771,,45.0005634905908,8.07275403464955,41.8947911840474
0.099, 2.88,2.88,,,-0.2743021,1.53048,1.343667,,,-0.2837163,1.541235,1.34544,,45.0005634905908,8.02717447603913,41.7404562338566
0.11, 2.83,2.83,,,-0.274831,1.530286,1.343349,,,-0.2840757,1.540875,1.345105,,45.0005634905908,8.1035317199668,41.6722841176477
0.121, 2.51,2.51,,,-0.2759277,1.531468,1.342036,,,-0.2841016,1.540849,1.343628,,45.0005634905908,8.27986414754119,41.641555097427
0.132, 2.5,2.5,,,-0.2762369,1.531244,1.340711,,,-0.2843524,1.540599,1.342335,,45.0005634905908,8.49872389302558,41.5498393198042
0.143, 2.35,2.35,,,-0.2770803,1.53146,1.338378,,,-0.2846751,1.540276,1.339952,,45.0005634905908,8.79627168442705,41.3932606525335
0.155, 2.22,2.22,,,-0.2777676,1.531649,1.336775,,,-0.2849319,1.540019,1.338292,,45.0005634905908,9.00221810387124,41.2361628909003
0.165, 1.96,1.96,,,-0.2787493,1.532531,1.336195,,,-0.2850371,1.539914,1.337547,,45.0005634905908,9.15484892191159,41.115015828963
0.177, 2.02,2.02,,,-0.2778288,1.533032,1.336059,,,-0.2843043,1.540647,1.337463,,45.0005634905908,9.23056583562239,41.0834808464426
0.188, 2.14,2.14,,,-0.2768999,1.533099,1.336538,,,-0.2837772,1.541174,1.338021,,45.0005634905908,9.1776805361243,41.1180518479645
0.199, 2.25,2.25,,,-0.2753223,1.533922,1.337336,,,-0.2825643,1.542387,1.338855,,45.0005634905908,8.94463448812856,41.2097368897368
0.21, 2.5,2.5,,,-0.2730844,1.534424,1.338127,,,-0.281132,1.543819,1.339754,,45.0005634905908,8.69185602416976,41.2002600025272
0.221, 2.51,2.51,,,-0.2720652,1.535328,1.337971,,,-0.280158,1.544793,1.339554,,45.0005634905908,8.50394471872713,41.1103303193227
0.232, 2.52,2.52,,,-0.2711435,1.536176,1.335985,,,-0.2792493,1.545702,1.337574,,45.0005634905908,8.57452959919313,40.9772031059146
0.243, 2.19,2.19,,,-0.2714102,1.53826,1.332108,,,-0.2784085,1.546543,1.333536,,45.0005634905908,8.89986857578038,40.8234384765036
