経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.92,-0.92,,,0.09603165,1.79833,1.608049,,,0.09611513,1.793738,1.607906,,36.6931753890077,34.6432273553622,2.29328397478294
0.01, 0.94,0.94,,,0.09465443,1.791679,1.604063,,,0.09456053,1.796383,1.604246,,36.0504409456169,33.5685107797458,2.72016544994439
0.022, 2.77,2.77,,,0.09184677,1.786435,1.597951,,,0.09158774,1.800289,1.598632,,35.0823709407333,31.992379785828,3.24425460155523
0.033, 4.02,4.02,,,0.08925617,1.78295,1.593485,,,0.08895518,1.802999,1.594563,,34.396732665265,31.0364162909114,3.43632655930368
0.044, 4.02,4.02,,,0.08402158,1.783622,1.592166,,,0.08396977,1.803686,1.59323,,34.2207699216691,30.9323651919909,3.28991676276363
0.055, 5.33,5.33,,,0.08573476,1.778094,1.590364,,,0.08552691,1.804692,1.591837,,33.9621379857545,30.5202623247914,3.44929260586508
0.066, 5.86,5.86,,,0.08265752,1.775013,1.590616,,,0.08261198,1.80426,1.592267,,34.0731866132849,30.5962891583272,3.48250888209159
0.077, 6.26,6.26,,,0.08233683,1.772747,1.590887,,,0.08232756,1.804018,1.592606,,34.1353925594198,30.7490360895802,3.39724699272471
0.088, 6.5,6.5,,,0.08364564,1.771123,1.591637,,,0.0834884,1.803566,1.593372,,34.2515160173623,30.9290832861861,3.32242632787412
0.099, 7.58,7.58,,,0.08191805,1.767586,1.588361,,,0.08181622,1.805402,1.590482,,33.7781805059576,30.317084693205,3.46413247208445
0.11, 7.32,7.32,,,0.08339891,1.768648,1.588924,,,0.08322944,1.805179,1.590935,,33.8360902632241,30.4254114904269,3.41059104755747
0.122, 7.13,7.13,,,0.0835014,1.769292,1.589467,,,0.08333461,1.804883,1.59139,,33.9126600967838,30.5603999303321,3.35222772305405
0.132, 7.4,7.4,,,0.08110267,1.768994,1.587629,,,0.0812505,1.805946,1.589606,,33.6367102167105,30.3613818838344,3.31971474284908
0.144, 6.46,6.46,,,0.0795043,1.773719,1.587805,,,0.07990932,1.805989,1.589417,,33.625290140736,30.6107452533033,3.19169117471282
0.154, 6.33,6.33,,,0.07805961,1.775896,1.585267,,,0.07860307,1.807497,1.586973,,33.2306247460023,30.031009057969,3.48278998705679
0.166, 6.52,6.52,,,0.07728036,1.776125,1.583194,,,0.07795415,1.808674,1.585072,,32.9195472040052,29.5461441875661,3.74444492192525
0.178, 6.62,6.62,,,0.07756744,1.776649,1.581471,,,0.07828087,1.809677,1.583524,,32.652268248842,29.0336102216055,4.00286512198148
0.188, 7.06,7.06,,,0.08042686,1.774045,1.582213,,,0.08095043,1.80928,1.584415,,32.7587167440945,29.0471579014472,3.91971525511325
0.199, 6.01,6.01,,,0.07763468,1.778747,1.583206,,,0.07833774,1.80874,1.585009,,32.9020550900276,29.4138502572135,3.92550640159462
0.21, 6.13,6.13,,,0.07856123,1.779948,1.580376,,,0.07928681,1.810531,1.582269,,32.4234261821634,28.8318361938544,4.02710631644493
0.221, 6.62,6.62,,,0.08009468,1.776853,1.58146,,,0.08065885,1.809887,1.583428,,32.5964724350648,29.0695165250731,3.78765184363876
0.232, 6.6,6.6,,,0.08037496,1.778162,1.57961,,,0.08095575,1.811076,1.581559,,32.2767991002364,28.7742952667929,3.7762091426633
0.244, 7.08,7.08,,,0.08261888,1.777129,1.577393,,,0.08309508,1.812489,1.579462,,31.8931508003274,28.3889257592609,3.6799350676701
0.254, 7.17,7.17,,,0.08180082,1.777788,1.575489,,,0.08229645,1.813595,1.577582,,31.5899006549013,28.0966414822421,3.68185008190535
0.266, 7.21,7.21,,,0.08165005,1.778623,1.573823,,,0.08221407,1.814601,1.575908,,31.3117651143544,27.863112198376,3.67668773969694
0.277, 7.17,7.17,,,0.08058727,1.781978,1.568446,,,0.08122945,1.817742,1.570486,,30.4282186980977,27.059523389413,3.66110423665239
0.288, 7.62,7.62,,,0.07979181,1.783247,1.561874,,,0.08051897,1.82129,1.564154,,29.4011290302384,25.8910078285349,3.83808382463262
0.299, 7.63,7.63,,,0.07972448,1.785679,1.557309,,,0.08045062,1.823771,1.559606,,28.6629392807583,25.1369532576017,3.85798059201801
0.31, 7.64,7.64,,,0.08088056,1.788021,1.552954,,,0.08154769,1.826172,1.555191,,27.9317948712111,24.4815607664838,3.74188146662371
0.321, 7.5,7.5,,,0.08155978,1.791102,1.548546,,,0.08220521,1.828518,1.550691,,27.1993766314191,23.8197940015004,3.66687574634044
0.333, 7.19,7.19,,,0.0820127,1.795062,1.543873,,,0.08269958,1.830949,1.545855,,26.4208272952565,23.1786134261025,3.58244393837803
0.344, 6.94,6.94,,,0.08368218,1.79882,1.538873,,,0.08436171,1.833479,1.540748,,25.5867416924981,22.4040460901152,3.52886452092485
0.354, 6.69,6.69,,,0.08356181,1.802933,1.532853,,,0.08432908,1.836312,1.534601,,24.6213576594308,21.5754007328793,3.50380797265192
0.366, 6.54,6.54,,,0.0842534,1.806919,1.525533,,,0.08509795,1.839574,1.527244,,23.4633503442984,20.4486210417632,3.56963178451209
0.377, 6.52,6.52,,,0.0847555,1.810826,1.516288,,,0.08569346,1.843376,1.51808,,22.0402941307048,18.9194049084015,3.77880119938119
0.389, 6.76,6.76,,,0.08519743,1.813314,1.50659,,,0.08621764,1.84704,1.508567,,20.5794994154497,17.2929610349102,3.99787182695033
0.399, 6.84,6.84,,,0.08577958,1.816463,1.496525,,,0.08684847,1.850597,1.498573,,19.0583855937654,15.729079984928,4.09572068739022
0.41, 6.78,6.78,,,0.0868673,1.819755,1.487589,,,0.08797597,1.853565,1.489577,,17.6921172788982,14.4616376744117,4.07188759671832
0.422, 6.54,6.54,,,0.08804582,1.823687,1.478599,,,0.08915395,1.856341,1.480428,,16.3126086426935,13.2665151123623,3.96274373813966
0.433, 6.39,6.39,,,0.08954018,1.826986,1.469676,,,0.09064406,1.858871,1.471336,,14.9466015825548,12.1348731804661,3.78899568332056
0.444, 6.41,6.41,,,0.09078082,1.828973,1.461448,,,0.09188404,1.860985,1.462985,,13.7015631456663,11.1211066499858,3.58877808488331
0.455, 6.99,6.99,,,0.09427489,1.828393,1.451299,,,0.09527367,1.863311,1.452894,,12.1856180694926,9.59992794150626,3.30001775849135
0.467, 7.12,7.12,,,0.09513274,1.829809,1.441114,,,0.09617503,1.865343,1.442655,,10.6852031355121,8.26334277417232,3.20650051852518
0.477, 7.2,7.2,,,0.09510637,1.831307,1.429711,,,0.09620827,1.867281,1.431179,,9.02118639244217,6.83988272565521,3.12449406798087
0.488, 7.3,7.3,,,0.09533705,1.832575,1.416922,,,0.09646378,1.869038,1.41842,,7.17873266981842,5.12652000163925,3.14659613263316
0.499, 7.03,7.03,,,0.09342055,1.835178,1.404853,,,0.09469901,1.870302,1.40623,,5.4642177782989,4.1228856296239,3.25010295086931
0.511, 7.08,7.08,,,0.09365577,1.835938,1.391741,,,0.0949523,1.871274,1.393057,,3.59836767021116,3.11753154408944,3.17638130611427
0.522, 7.05,7.05,,,0.09376211,1.83655,1.379833,,,0.09502305,1.871776,1.38108,,1.95904654261526,2.88873088543155,3.06247659237318
0.533, 7,7,,,0.09301646,1.836956,1.368547,,,0.09432273,1.87191,1.369629,,0.910856926893072,3.56985099088967,2.94423919094135
0.544, 7.64,7.64,,,0.09549569,1.833512,1.354513,,,0.09660886,1.871673,1.355726,,1.92985837033968,4.51019277639213,2.65998913715361
0.555, 7.76,7.76,,,0.09483904,1.832344,1.343553,,,0.09590369,1.871102,1.344584,,3.50654495744223,5.67778626175789,2.3705854923371
0.566, 7.29,7.29,,,0.09246684,1.833728,1.332131,,,0.09361697,1.870142,1.332893,,5.21853075804852,7.14547904099593,2.31731108551055
0.577, 7.5,7.5,,,0.09514199,1.831137,1.318368,,,0.09603068,1.868632,1.319049,,7.14704400804596,8.64456464944624,1.87304379118746
0.588, 7.1,7.1,,,0.09401819,1.83178,1.309291,,,0.09489223,1.867276,1.309576,,8.52712296503057,9.46315084586199,1.57892368743689
0.6, 6.78,6.78,,,0.09364027,1.831706,1.299494,,,0.09450478,1.865591,1.299503,,9.98900794920161,10.4785950415105,1.48529887199429
0.61, 6.35,6.35,,,0.0926263,1.831658,1.288452,,,0.09351121,1.863394,1.288306,,11.6297610686058,11.8620404278886,1.59716178611719
0.622, 5.97,5.97,,,0.09159522,1.830739,1.276181,,,0.09249672,1.860599,1.276031,,13.438936402972,13.6591101060615,1.72963511565218
0.633, 5.37,5.37,,,0.09081548,1.829806,1.261158,,,0.09174462,1.856663,1.261138,,15.6468854907434,16.1337498989701,1.99223208299135
0.644, 4.8,4.8,,,0.09036154,1.827888,1.24536,,,0.09123582,1.85186,1.245486,,17.9910626977197,18.8055849316924,2.15993904910109
0.655, 5.13,5.13,,,0.09227759,1.820541,1.228962,,,0.09302282,1.846185,1.229279,,20.4306952107853,21.5345664480627,1.92009824373074
0.666, 5.43,5.43,,,0.09288704,1.813727,1.215466,,,0.09352174,1.840848,1.215834,,22.4972986602584,23.6180046058241,1.68829582373787
0.677, 6.03,6.03,,,0.09450231,1.807406,1.207927,,,0.09504338,1.837532,1.208084,,23.695768014908,24.2991503244909,1.16583620580725
