経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.76,-0.76,,,0.2247266,1.802119,1.315861,,,0.2244941,1.798333,1.31575,,45.0005634905908,41.5126660162809,4.00501705839698
0.011, 0.51,-0.51,,,0.2254711,1.800061,1.316452,,,0.2253186,1.797508,1.316376,,45.0005634905908,41.6089375299532,3.93029222963551
0.022, 0.3,-0.3,,,0.2270268,1.797389,1.316761,,,0.2269402,1.795887,1.316717,,45.0005634905908,41.729766988103,3.81197500036997
0.033, 0.42,-0.42,,,0.2290061,1.796039,1.317329,,,0.2288886,1.793938,1.31727,,45.0005634905908,41.8196386147011,3.70253274791025
0.045, 0.4,-0.4,,,0.2294766,1.795461,1.31667,,,0.2293639,1.793463,1.316613,,45.0005634905908,41.8000223119507,3.72294306012957
0.055, 0.47,-0.47,,,0.229865,1.79544,1.316144,,,0.2297317,1.793095,1.316075,,45.0005634905908,41.7746447447957,3.78247840237326
0.066, 0.31,-0.31,,,0.2309339,1.79352,1.315329,,,0.2308461,1.791981,1.315281,,45.0005634905908,41.7596490648902,3.85793021937429
0.077, 0.21,-0.21,,,0.2323005,1.791655,1.313663,,,0.2322384,1.790588,1.313627,,45.0005634905908,41.704027420932,3.9873755340354
0.088, 0.12,-0.12,,,0.2336135,1.789866,1.312349,,,0.2335768,1.78925,1.312327,,45.0005634905908,41.63728281422,4.09935306726712
0.099, 0.11,-0.11,,,0.2340886,1.789306,1.31241,,,0.2340567,1.78877,1.312392,,45.0005634905908,41.6178406812886,4.10984978706886
0.11, 0.14,-0.14,,,0.2348793,1.788703,1.312792,,,0.234837,1.78799,1.312768,,45.0005634905908,41.6391850218509,4.0617750750467
0.123, 0.18,-0.18,,,0.2363579,1.787429,1.312942,,,0.2363046,1.786522,1.31291,,45.0005634905908,41.6699584383001,4.02783543911854
0.133, 0.18,-0.18,,,0.2402495,1.783533,1.313034,,,0.2401979,1.782629,1.313003,,45.0005634905908,41.7755019335127,3.94402005571158
0.144, 0.37,-0.37,,,0.2459003,1.778867,1.313717,,,0.2458008,1.777026,1.313653,,45.0005634905908,41.9447335258688,3.82233725082617
