経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.72,-0.72,,,0.3877017,1.514153,1.015178,,,0.3870923,1.510625,1.015246,,44.8235181620417,37.6901849045993,9.83641213587978
0.011, 0.37,-0.37,,,0.3877652,1.511299,1.01397,,,0.387453,1.509486,1.013997,,44.8235181620417,37.9060154612711,9.79000612440278
0.023, 0.23,-0.23,,,0.3878778,1.510723,1.014365,,,0.3876838,1.509596,1.014383,,44.8235181620417,37.8718645163714,9.78233069953657
0.033, 0.32,-0.32,,,0.3878735,1.511566,1.014843,,,0.3876034,1.509999,1.014872,,44.8235181620417,37.7476097184482,9.8085867997491
0.043, 0.07,0.07,,,0.3873086,1.510377,1.015692,,,0.3873709,1.510738,1.015686,,44.8235181620417,37.7262073212796,9.81061109700804
0.055, 0.29,0.29,,,0.3872035,1.50918,1.01559,,,0.3874483,1.510597,1.015564,,44.8235181620417,37.7308723403529,9.82959304595693
0.066, 0.82,0.82,,,0.3865806,1.505918,1.014574,,,0.38728,1.509971,1.014509,,44.8235181620417,37.8480203266424,9.8130161773026
0.077, 1.43,1.43,,,0.386768,1.501525,1.013338,,,0.3879698,1.508597,1.013256,,44.8235181620417,38.1324874523737,9.65396242030023
0.088, 1.79,1.79,,,0.3874129,1.499185,1.013488,,,0.3888889,1.508037,1.013384,,44.8235181620417,38.2361833814672,9.4748381529803
0.1, 2,2,,,0.388471,1.498275,1.014828,,,0.3900875,1.508119,1.014698,,44.8235181620417,38.2559670238476,9.33725680258363
0.11, 2.18,2.18,,,0.3890197,1.497665,1.015945,,,0.3907709,1.508399,1.015777,,44.8235181620417,38.1851277188421,9.28704722961843
0.121, 2.01,2.01,,,0.3885212,1.498492,1.015357,,,0.3901555,1.508426,1.015201,,44.8235181620417,38.1356771506273,9.36248154426019
0.132, 1.97,1.97,,,0.3873569,1.499244,1.014912,,,0.3889682,1.508961,1.014769,,44.8235181620417,38.132866527862,9.43367260399816
0.144, 2.3,2.3,,,0.3859489,1.497486,1.013622,,,0.3878538,1.508844,1.013489,,44.8235181620417,38.205751474467,9.52992618842442
