経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.71,-0.71,,,0.4152969,1.614265,1.258527,,,0.4151269,1.610726,1.2583,,45.0005395849294,42.3810528280967,4.78679707394704
0.01, 0.86,-0.86,,,0.4160717,1.614243,1.260563,,,0.4158734,1.60998,1.260302,,45.0005395849294,42.4532035293863,4.59704161747982
0.022, 0.49,-0.49,,,0.4167338,1.611672,1.260956,,,0.4166234,1.60923,1.260808,,45.0005395849294,42.5282434006145,4.52294303167045
0.032, 0.18,-0.18,,,0.4164014,1.610385,1.261025,,,0.4163617,1.609492,1.260971,,45.0005395849294,42.5640438361529,4.49762437489541
0.044, 0.07,-0.07,,,0.4164208,1.609779,1.261097,,,0.4164061,1.609447,1.261077,,45.0005395849294,42.5690708552421,4.48283658886702
0.055, 0.13,0.13,,,0.4160361,1.609161,1.261484,,,0.4160637,1.60979,1.261522,,45.0005395849294,42.5961388941696,4.42146520644815
0.066, 0.23,0.23,,,0.4161043,1.608561,1.261694,,,0.4161541,1.609699,1.261761,,45.0005395849294,42.60366917752,4.39168515560878
0.077, 0.24,0.24,,,0.4160076,1.608589,1.261702,,,0.4160605,1.609793,1.261773,,45.0005395849294,42.589219912733,4.39943827387464
0.088, 0.38,0.38,,,0.4152962,1.6086,1.261579,,,0.415379,1.610474,1.26169,,45.0005395849294,42.5762084027262,4.42164236447482
0.099, 0.65,0.65,,,0.4150406,1.607415,1.261945,,,0.4151863,1.610667,1.262139,,45.0005395849294,42.543413250339,4.46874548211458
0.11, 0.81,0.81,,,0.4141572,1.60746,1.261724,,,0.4143414,1.611512,1.261968,,45.0005395849294,42.5084460978561,4.51370946994318
0.121, 0.84,0.84,,,0.4140199,1.607461,1.261456,,,0.414211,1.611642,1.26171,,45.0005395849294,42.4973811917086,4.54644101619552
0.133, 0.94,0.94,,,0.4135701,1.607385,1.260616,,,0.4137816,1.612072,1.260902,,45.0005395849294,42.532819627231,4.5433810915325
0.143, 0.98,0.98,,,0.4134924,1.607267,1.260828,,,0.4137054,1.612148,1.261122,,45.0005395849294,42.6130197062336,4.46545674612074
0.154, 0.64,0.64,,,0.4141609,1.608383,1.261391,,,0.4142946,1.611559,1.261578,,45.0005395849294,42.698356087349,4.3536567978025
0.166, 0.33,0.33,,,0.4145286,1.609611,1.262763,,,0.4145966,1.611257,1.262857,,45.0005395849294,42.7348702776358,4.24888255262376
0.178, 0.22,0.22,,,0.4137943,1.610927,1.263202,,,0.4138397,1.612014,1.263263,,45.0005395849294,42.7073514462356,4.21635420449358
0.188, 0.05,0.05,,,0.4133131,1.61227,1.263143,,,0.4133241,1.612529,1.263158,,45.0005395849294,42.6410200659569,4.25924138798547
0.199, 0.13,0.13,,,0.4115996,1.613588,1.262264,,,0.4116277,1.614226,1.2623,,45.0005395849294,42.5801118557282,4.31964885998454
0.21, 0.04,0.04,,,0.4094498,1.616175,1.26148,,,0.4094598,1.616394,1.261493,,45.0005395849294,42.4762349266267,4.45219038468763
0.221, 0.08,0.08,,,0.4061375,1.619302,1.259654,,,0.4061562,1.619697,1.259678,,45.0005395849294,42.4000441685554,4.60461971215307
0.232, 0.12,0.12,,,0.4040924,1.62112,1.258509,,,0.4041215,1.621732,1.258547,,45.0005395849294,42.3967759231285,4.64738736733781
0.243, 0.06,-0.06,,,0.4031939,1.622949,1.259153,,,0.403181,1.622672,1.259136,,45.0005395849294,42.4383171325045,4.54303616698901
0.254, 0.25,-0.25,,,0.4030059,1.624165,1.259976,,,0.4029482,1.622905,1.259903,,45.0005395849294,42.4825152853938,4.42660108167426
0.266, 0.46,-0.46,,,0.4003721,1.627865,1.26107,,,0.4002702,1.625583,1.260945,,45.0005395849294,42.5380549670842,4.25606748454385
0.277, 0.66,-0.66,,,0.3977986,1.631513,1.261897,,,0.397655,1.628199,1.261722,,45.0005395849294,42.6060938946079,4.10932557006465
0.289, 0.69,-0.69,,,0.3954733,1.63398,1.262297,,,0.3953252,1.630528,1.262118,,45.0005395849294,42.6262327068153,4.0424435057994
0.299, 0.7,-0.7,,,0.3924309,1.637051,1.262445,,,0.3922821,1.633571,1.262267,,45.0005395849294,42.6324311033146,4.01473556354182
0.311, 0.7,-0.7,,,0.3905765,1.638895,1.262491,,,0.390428,1.635425,1.262313,,45.0005395849294,42.631109461747,4.00760783445443
0.321, 0.66,-0.66,,,0.3885382,1.640743,1.262213,,,0.3883959,1.637457,1.262042,,45.0005395849294,42.6036418567641,4.05733715975698
0.332, 0.62,-0.62,,,0.384688,1.644383,1.261698,,,0.384554,1.641299,1.261536,,45.0005395849294,42.5984884791787,4.10298245893634
0.344, 0.51,-0.51,,,0.3780824,1.650449,1.26045,,,0.3779697,1.647884,1.260309,,45.0005395849294,42.577622251845,4.22146062452971
0.355, 0.39,-0.39,,,0.3724508,1.655434,1.25908,,,0.3723631,1.65349,1.258972,,45.0005395849294,42.515136267962,4.30838972033791
0.366, 0.34,-0.34,,,0.3677502,1.659871,1.258789,,,0.3676731,1.65818,1.258697,,45.0005395849294,42.4824811344489,4.25583739255259
0.377, 0.37,-0.37,,,0.362772,1.665012,1.259809,,,0.3626881,1.663165,1.259717,,45.0005395849294,42.4751420963899,4.04883314759014
0.388, 0.53,-0.53,,,0.3584237,1.670182,1.261023,,,0.3583044,1.667549,1.260905,,45.0005395849294,42.4678337941814,3.83011640918751
0.399, 0.6,-0.6,,,0.3537845,1.675216,1.262489,,,0.3536507,1.672203,1.262366,,45.0005395849294,42.5097540790458,3.62520220205293
0.41, 0.62,-0.62,,,0.3488955,1.680165,1.262914,,,0.34876,1.677093,1.262793,,45.0005395849294,42.5223182116744,3.55550716714497
0.422, 0.35,-0.35,,,0.3433133,1.684361,1.262243,,,0.3432367,1.682617,1.262172,,45.0005395849294,42.5354082688545,3.596843684295
0.433, 0,0,,,0.3373221,1.688512,1.261096,,,0.337323,1.68853,1.261097,,45.0005395849294,42.5011412107421,3.78635923037431
0.444, 0.44,0.44,,,0.3316197,1.69194,1.259065,,,0.3317175,1.694136,1.259171,,45.0005395849294,42.5229841550999,3.96239753293574
0.455, 0.66,0.66,,,0.3264503,1.695982,1.258075,,,0.3265914,1.699262,1.25824,,45.0005395849294,42.6156459138964,3.97695010433114
0.474, 0.71,0.71,,,0.3213587,1.700827,1.258611,,,0.3215049,1.704349,1.258781,,45.0005395849294,42.6944902003864,3.83701233873639
0.479, 0.54,0.54,,,0.3163328,1.706722,1.262285,,,0.316441,1.709412,1.26239,,45.0005395849294,42.7434660704671,3.38037706627446
0.488, 0.6,0.6,,,0.3109163,1.711845,1.264618,,,0.3110346,1.714819,1.264719,,45.0005395849294,42.7577411654351,3.17335980126427
0.499, 0.54,0.54,,,0.3054668,1.717597,1.266348,,,0.3055726,1.720281,1.266428,,45.0005395849294,42.7696939961501,2.97657458623284
0.511, 0.77,0.77,,,0.299825,1.722009,1.266963,,,0.2999772,1.725876,1.267069,,45.0005395849294,42.7699603735203,2.89597259329754
0.522, 0.9,0.9,,,0.2943656,1.7268,1.266445,,,0.2945396,1.731314,1.26657,,45.0005395849294,42.8163373566941,2.8746013588661
0.532, 1.12,1.12,,,0.2891272,1.730946,1.26671,,,0.2893354,1.736518,1.266866,,45.0005395849294,42.8839357370286,2.8298538026508
0.544, 1.34,1.34,,,0.2837706,1.735142,1.267075,,,0.2840172,1.741836,1.267264,,45.0005395849294,42.9149003987692,2.82140208411833
0.555, 1.39,1.39,,,0.2786083,1.740043,1.267306,,,0.2788667,1.746987,1.267507,,45.0005395849294,42.8945566808924,2.8569781906374
0.566, 1.65,1.65,,,0.272985,1.744314,1.267673,,,0.2732912,1.752562,1.267912,,45.0005395849294,42.8999559452811,2.85526488042047
0.578, 1.8,1.8,,,0.2672221,1.749318,1.26796,,,0.2675565,1.758297,1.268207,,45.0005395849294,42.8903117184414,2.80574814474992
0.589, 1.98,1.98,,,0.2619033,1.753693,1.268922,,,0.2622624,1.763591,1.269163,,45.0005395849294,42.9404077395148,2.64981450345095
0.6, 1.97,1.97,,,0.2575953,1.758063,1.271135,,,0.2579353,1.767918,1.271331,,45.0005395849294,43.036211385242,2.41467799074054
0.611, 1.81,1.81,,,0.2534195,1.763103,1.273883,,,0.2537151,1.772138,1.274014,,45.0005395849294,43.1322848234339,2.16292725677982
0.622, 1.85,1.85,,,0.2487698,1.767545,1.275868,,,0.249066,1.776787,1.275969,,45.0005395849294,43.1679554853817,2.03355429943321
0.633, 1.78,1.78,,,0.2441306,1.772553,1.276614,,,0.2444213,1.781432,1.276705,,45.0005395849294,43.1280705968333,2.05347497248003
0.644, 2.11,2.11,,,0.2386825,1.776258,1.276556,,,0.2390396,1.786814,1.276677,,45.0005395849294,43.0667662356438,2.13917975691357
0.655, 2.36,2.36,,,0.2339427,1.779734,1.275282,,,0.2343477,1.791506,1.275464,,45.0005395849294,43.0365426494075,2.27348347037349
0.666, 2.53,2.53,,,0.2290086,1.783794,1.274512,,,0.2294382,1.796415,1.274742,,45.0005395849294,43.0608410467037,2.3395862527648
0.678, 2.75,2.75,,,0.2243692,1.787294,1.275149,,,0.2248236,1.80103,1.275414,,45.0005395849294,43.1164012189611,2.3275083442142
0.689, 2.48,2.48,,,0.2206571,1.79239,1.276373,,,0.2210659,1.804788,1.276569,,45.0005395849294,43.119300634183,2.2140813168149
0.7, 2.35,2.35,,,0.2160279,1.797707,1.278374,,,0.2164234,1.80943,1.278499,,45.0005395849294,43.0707926320475,2.11396269919962
0.711, 2.37,2.37,,,0.2111074,1.802495,1.280917,,,0.2115249,1.814328,1.280983,,45.0005395849294,42.9805897412838,2.09872433414195
0.722, 2.45,2.45,,,0.2060447,1.807103,1.28155,,,0.2064969,1.819357,1.281592,,45.0005395849294,42.8869546805578,2.16002976254848
0.733, 2.71,2.71,,,0.2002402,1.811552,1.281047,,,0.2007635,1.82509,1.2811,,45.0005395849294,42.7864894308517,2.26408043458216
0.744, 2.93,2.93,,,0.1953531,1.815282,1.280419,,,0.195933,1.829921,1.280487,,45.0005395849294,42.7321621077053,2.3264150870906
0.755, 3.26,3.26,,,0.190649,1.81828,1.279376,,,0.1913038,1.83455,1.279484,,45.0005395849294,42.6964572948126,2.38949999316981
0.767, 3.31,3.31,,,0.1867798,1.821846,1.277846,,,0.1874494,1.838404,1.277987,,45.0005395849294,42.6865910868311,2.42986897136216
0.777, 3.56,3.56,,,0.1825707,1.824799,1.277366,,,0.1832805,1.842573,1.27753,,45.0005395849294,42.7157730692479,2.4157315473907
0.789, 3.81,3.81,,,0.1789605,1.827116,1.277768,,,0.1796834,1.84617,1.277916,,45.0005395849294,42.8292873950001,2.28070362045551
0.8, 3.61,3.61,,,0.1770657,1.830106,1.279363,,,0.1776973,1.848156,1.27943,,45.0005395849294,42.9962342891424,2.05661771318443
0.811, 3.5,3.5,,,0.1753958,1.832435,1.280981,,,0.1759475,1.849906,1.280976,,45.0005395849294,43.1910039580945,1.82424059682191
0.822, 3.32,3.32,,,0.1733728,1.83542,1.282846,,,0.1738531,1.852,1.282789,,45.0005395849294,43.3412442099919,1.65977167389718
0.833, 3.23,3.23,,,0.1713848,1.83789,1.283707,,,0.1718343,1.854019,1.283618,,45.0005395849294,43.4046556844817,1.59752933566167
0.844, 3.26,3.26,,,0.1686568,1.840455,1.284554,,,0.1691208,1.856733,1.284451,,45.0005395849294,43.3685376451557,1.63625970882904
0.856, 3.44,3.44,,,0.16562,1.842486,1.283783,,,0.1661593,1.859694,1.283703,,45.0005395849294,43.2053268643855,1.79525946464979
0.867, 3.79,3.79,,,0.1611328,1.845128,1.282009,,,0.1617856,1.864068,1.281963,,45.0005395849294,43.0261505168746,1.97704579812466
0.878, 4.06,4.06,,,0.1578328,1.847025,1.280976,,,0.1585662,1.867287,1.280967,,45.0005395849294,42.927075210626,2.08487719320214
0.889, 4.29,4.29,,,0.154713,1.848889,1.280034,,,0.1555181,1.870335,1.280064,,45.0005395849294,42.850078490255,2.17483889291744
0.9, 4.29,4.29,,,0.1516596,1.850138,1.278544,,,0.1524888,1.871559,1.278609,,45.0005259245515,47.2170895881738,2.25698066658091
0.911, 3.62,3.62,,,0.1496153,1.851329,1.278002,,,0.15032,1.86939,1.278075,,45.0005259245515,47.2346124380018,2.28567557114609
0.922, 3.05,3.05,,,0.1474635,1.851853,1.277381,,,0.1480459,1.867116,1.277441,,45.0005259245515,47.1856229075431,2.23598402532634
0.933, 3.68,3.68,,,0.1491536,1.850505,1.27848,,,0.1498093,1.86888,1.278508,,45.0005259245515,47.0437632975242,2.07140976808093
0.944, 3.18,3.18,,,0.147817,1.851504,1.280039,,,0.1483159,1.867386,1.280002,,45.0005259245515,46.7994337773336,1.80298270083886
0.956, 3.34,3.34,,,0.1485463,1.851386,1.282466,,,0.1489948,1.868065,1.282335,,45.0005259245515,46.5422225207268,1.55330770399782
0.967, 3.23,3.23,,,0.1481266,1.851455,1.283445,,,0.148533,1.867603,1.28326,,45.0005259245515,46.4450186862587,1.49710965612275
0.978, 3.01,3.01,,,0.1471409,1.851537,1.28272,,,0.1475342,1.866604,1.282552,,45.0005259245515,46.4988747263656,1.54509696307031
1.012, 3.08,3.08,,,0.1474295,1.851573,1.281152,,,0.1478863,1.866956,1.281058,,45.0005259245515,46.7015879051014,1.70341295294114
1.023, 0.82,0.82,,,0.1360175,1.851142,1.269544,,,0.13616,1.85523,1.269582,,45.0005259245515,46.9983083898626,2.14493611211983
1.034, 1.29,1.29,,,0.1383046,1.851144,1.272485,,,0.1385045,1.857575,1.272502,,45.0005259245515,46.7811971727571,1.82552744711442
1.045, 1.21,1.21,,,0.1379944,1.851183,1.274612,,,0.1381606,1.857231,1.274589,,45.0005259245515,46.5745668806413,1.5743311323998
1.056, 1.13,1.13,,,0.1377092,1.851278,1.276331,,,0.1378445,1.856915,1.276271,,45.0005259245515,46.3786975512634,1.4227155579183
1.067, 1.09,1.09,,,0.1369617,1.850704,1.276631,,,0.1370882,1.856158,1.276563,,45.0005259245515,46.3328635681135,1.40694785321469
1.078, 1.18,1.18,,,0.1373191,1.850623,1.275492,,,0.1374677,1.856538,1.275442,,45.0005259245515,46.4420509691469,1.4583078861362
1.089, 1.2,1.2,,,0.1366939,1.849928,1.274044,,,0.1368525,1.855923,1.274013,,45.0005259245515,46.5165785762016,1.51633194234637
1.1, 0.86,0.86,,,0.133471,1.848371,1.271224,,,0.1335842,1.852654,1.271223,,45.0005259245515,46.513528896822,1.53212376615482
1.111, 0.43,0.43,,,0.130612,1.84757,1.268796,,,0.1306707,1.849741,1.268804,,45.0005259245515,46.5487248606357,1.6159207934289
1.122, 0.07,0.07,,,0.1289487,1.847668,1.26802,,,0.1289587,1.848029,1.268021,,45.0005259245515,46.5968708627553,1.66212808909526
1.133, 0.26,-0.26,,,0.1275747,1.847901,1.269153,,,0.1275381,1.846608,1.269152,,45.0005259245515,46.6222825808552,1.65043075013689
1.144, 0.43,-0.43,,,0.1268356,1.848007,1.269565,,,0.1267736,1.845844,1.269565,,45.0005259245515,46.6430839213936,1.66165701949905
1.155, 0.83,-0.83,,,0.1243189,1.847429,1.26963,,,0.1241992,1.843269,1.269631,,45.0005259245515,46.648076789538,1.66389326605977
1.166, 1,-1,,,0.122796,1.846732,1.26964,,,0.1226562,1.841726,1.269643,,45.0005259245515,46.5998283345836,1.61519401863276
1.177, 1.08,-1.08,,,0.1204362,1.844757,1.269329,,,0.1202955,1.839366,1.269337,,45.0005259245515,46.4950293299698,1.50480204973971
1.188, 1.28,-1.28,,,0.1175093,1.842818,1.270509,,,0.1173548,1.836425,1.270528,,45.0005259245515,46.3846705515264,1.38691565598843
1.199, 1.42,-1.42,,,0.1162357,1.842219,1.27049,,,0.116063,1.835133,1.270509,,45.0005259245515,46.3963809105325,1.39927701738169
1.21, 1.51,-1.51,,,0.1152164,1.841631,1.269953,,,0.1150252,1.834095,1.269964,,45.0005259245515,46.4532968753024,1.46272947300539
1.222, 2.44,-2.44,,,0.105874,1.836782,1.268407,,,0.1055261,1.824596,1.268365,,45.0005259245515,46.635294090862,1.69465910526801
1.232, 2.98,-2.98,,,0.1009111,1.834392,1.265839,,,0.100446,1.819516,1.265728,,45.0005259245515,46.7924977204244,1.91581251358923
1.244, 3.47,-3.47,,,0.09607145,1.831926,1.264657,,,0.095513,1.814583,1.264489,,45.0005259245515,46.8468796850828,2.013436618123
1.255, 3.45,-3.45,,,0.09231925,1.828081,1.263844,,,0.09179492,1.810865,1.263679,,45.0005259245515,46.7468379070935,1.91867073423393
1.266, 3.42,-3.42,,,0.08916654,1.824882,1.264926,,,0.08869736,1.807767,1.264814,,45.0005259245515,46.5714967106948,1.6896861940821
1.277, 3.47,-3.47,,,0.085744,1.821732,1.266863,,,0.08533266,1.804403,1.266834,,45.0005259245515,46.3598120787339,1.40304792202884
1.288, 3.38,-3.38,,,0.08236713,1.817971,1.267776,,,0.08200377,1.801074,1.267786,,45.0005259245515,46.2317938466827,1.25038764879851
1.299, 3.55,-3.55,,,0.07773906,1.814186,1.268072,,,0.07737254,1.796443,1.268074,,45.0005259245515,46.1833439011535,1.20787964751671
