経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.002, 0.44,-0.44,,,-0.1167386,1.571795,0.9780613,,,-0.1165477,1.570458,0.9798048,,45.8734855478893,29.8617774656128,52.4462105542357
0.01, 1.13,1.13,,,-0.1127115,1.567941,0.9821546,,,-0.1132293,1.57135,0.9777018,,45.8734855478893,29.6103069828437,52.5025118019974
0.021, 2.39,2.39,,,-0.1099512,1.56379,0.9846078,,,-0.1110968,1.571041,0.9751484,,45.8734855478893,29.4055720681698,52.4829945369872
0.032, 3.36,3.36,,,-0.1086586,1.560276,0.9868549,,,-0.1102959,1.570475,0.9735761,,45.8734855478893,29.2947044406474,52.4331683083785
0.043, 4.24,4.24,,,-0.106791,1.557266,0.9883968,,,-0.1088858,1.57013,0.9716957,,45.8734855478893,29.1783009449566,52.3630461732159
0.054, 5.07,5.07,,,-0.1059806,1.553575,0.9897656,,,-0.1085017,1.569017,0.9697938,,45.8734855478893,29.102909318996,52.2608767913594
0.065, 5.62,5.62,,,-0.1055539,1.550374,0.9897177,,,-0.1083356,1.567541,0.967616,,45.8734855478893,29.0642026380467,52.1320935781425
0.076, 6.1,6.1,,,-0.105845,1.546997,0.989496,,,-0.1088391,1.56568,0.965582,,45.8734855478893,29.0227912022612,51.9681827030018
0.087, 6.46,6.46,,,-0.1064559,1.54364,0.9885936,,,-0.1095761,1.563488,0.9633309,,45.8734855478893,29.0252056740657,51.8070995260987
0.098, 6.79,6.79,,,-0.1071336,1.54081,0.9882576,,,-0.1104072,1.561698,0.9617215,,45.8734855478893,29.0093562205377,51.7533903350549
0.11, 7.3,7.3,,,-0.1068226,1.538228,0.9888332,,,-0.1103698,1.560692,0.9603126,,45.8734855478893,28.9630646147261,51.7399860891818
0.12, 7.52,7.52,,,-0.1075821,1.53615,0.9887491,,,-0.1112811,1.55932,0.9593534,,45.8734855478893,28.8975016307076,51.7250416356937
0.131, 7.77,7.77,,,-0.1080359,1.534207,0.9886975,,,-0.1118707,1.558137,0.9583302,,45.8734855478893,28.8829977244087,51.7337091455092
0.142, 7.85,7.85,,,-0.108066,1.533839,0.988889,,,-0.1119364,1.557982,0.9581848,,45.8734855478893,28.9165271221113,51.7934289028554
0.154, 7.84,7.84,,,-0.1087101,1.533852,0.9893899,,,-0.1125699,1.557885,0.9586864,,45.8734855478893,28.9810143513654,51.9169494554632
0.164, 7.81,7.81,,,-0.1094168,1.533854,0.9898645,,,-0.1132562,1.557759,0.9592003,,45.8734855478893,29.0474686750458,52.0283293471592
0.176, 7.86,7.86,,,-0.1095409,1.534047,0.9906001,,,-0.1133894,1.558069,0.9597561,,45.8734855478893,29.0754622045801,52.0539971973458
0.186, 7.76,7.76,,,-0.1103034,1.534051,0.9905647,,,-0.1140928,1.557796,0.960088,,45.8734855478893,29.0886649598783,52.0420409515364
0.197, 7.82,7.82,,,-0.1112254,1.533483,0.9911292,,,-0.1150102,1.557388,0.9604486,,45.8734855478893,29.1262617351184,52.0375091211482
0.209, 7.8,7.8,,,-0.1124339,1.533488,0.9921987,,,-0.1161562,1.557368,0.9615667,,45.8734855478893,29.1926511720035,52.0165404409798
0.22, 7.85,7.85,,,-0.1139744,1.532916,0.9933674,,,-0.1176903,1.556954,0.9625371,,45.8734855478893,29.2295615132511,52.0086754783694
0.231, 8.01,8.01,,,-0.1138477,1.533051,0.9947311,,,-0.1176481,1.55754,0.9632939,,45.8734855478893,29.2257775885562,52.034865838013
0.242, 8.4,8.4,,,-0.1151423,1.533764,1.000331,,,-0.1191821,1.559356,0.967304,,45.8734855478893,29.2302889283775,52.1853485616191
0.253, 8.8,8.8,,,-0.1158298,1.535745,1.007219,,,-0.120188,1.562402,0.9724625,,45.8734855478893,29.2297732491095,52.4800643859148
0.264, 8.95,8.95,,,-0.1155898,1.539427,1.013177,,,-0.1201118,1.566298,0.9776969,,45.8734855478893,29.2992909125474,52.8356201185493
0.275, 8.85,8.85,,,-0.1166056,1.543463,1.018755,,,-0.1210998,1.569863,0.9835457,,45.8734855478893,29.4124705590396,53.1114504703154
0.287, 8.62,8.62,,,-0.1180209,1.547633,1.023852,,,-0.122382,1.573266,0.9894664,,45.8734855478893,29.5152000163925,53.2683911376021
0.298, 8.42,8.42,,,-0.119326,1.551859,1.029151,,,-0.1235777,1.576861,0.995564,,45.8734855478893,29.5417899420914,53.3063055166298
0.309, 8.18,8.18,,,-0.1210556,1.555866,1.034326,,,-0.1252005,1.580165,1.001691,,45.8734855478893,29.5228532431445,53.3017429503912
0.32, 8.01,8.01,,,-0.122851,1.559807,1.040043,,,-0.1269156,1.583612,1.008105,,45.8734855478893,29.4999277138333,53.2737938170853
0.331, 7.67,7.67,,,-0.124693,1.564217,1.04503,,,-0.1285878,1.587045,1.014458,,45.8734855478893,29.472617203197,53.2247359847368
0.342, 7.41,7.41,,,-0.1264609,1.568785,1.050765,,,-0.1302287,1.590827,1.021255,,45.8734855478893,29.4578981459452,53.2169154183548
0.354, 7.11,7.11,,,-0.1281578,1.574006,1.057019,,,-0.1317877,1.595106,1.028647,,45.8734855478893,29.5009795629362,53.337567291591
0.364, 6.88,6.88,,,-0.1295415,1.579937,1.064492,,,-0.1330935,1.600233,1.036943,,45.8734855478893,29.5777167361259,53.5970666615061
0.376, 6.67,6.67,,,-0.13071,1.586042,1.072132,,,-0.1342072,1.605575,1.045339,,45.8734855478893,29.6466299278391,53.8890606554932
0.386, 6.64,6.64,,,-0.1308658,1.592302,1.080573,,,-0.1344361,1.6116,1.053783,,45.8734855478893,29.6912413071616,54.2236511230538
0.398, 6.66,6.66,,,-0.1308221,1.598269,1.088822,,,-0.1345055,1.617489,1.06188,,45.8734855478893,29.6819317595819,54.4984910974178
0.409, 6.78,6.78,,,-0.1307825,1.603701,1.097275,,,-0.1346389,1.623192,1.069789,,45.8734855478893,29.6215392286212,54.6747168032894
0.42, 6.7,6.7,,,-0.1319652,1.608819,1.104744,,,-0.1358282,1.628023,1.077564,,45.8734855478893,29.5983404917508,54.7795328833757
0.431, 6.64,6.64,,,-0.1329316,1.614081,1.112396,,,-0.1367821,1.633113,1.085457,,45.8734855478893,29.5684310942077,54.7845155062365
0.442, 6.64,6.64,,,-0.133753,1.618535,1.119329,,,-0.1376365,1.637578,1.092398,,45.8734855478893,29.507188204719,54.764585014793
0.453, 6.57,6.57,,,-0.1342895,1.623841,1.126495,,,-0.1381841,1.642658,1.099871,,45.8734855478893,29.4347164845473,54.7871553742773
0.465, 6.53,6.53,,,-0.135192,1.62878,1.133885,,,-0.1391406,1.647466,1.107383,,45.8734855478893,29.3620979153125,54.8623079436236
0.476, 6.57,6.57,,,-0.1359742,1.633976,1.142086,,,-0.140028,1.652701,1.115408,,45.8734855478893,29.3074324978115,54.9940657041413
0.487, 6.34,6.34,,,-0.1373552,1.640119,1.149907,,,-0.1413503,1.658109,1.124103,,45.8734855478893,29.2882294214944,55.1885177693058
0.498, 6.15,6.15,,,-0.1382865,1.646467,1.157825,,,-0.1422266,1.663808,1.132749,,45.8734855478893,29.3078798751897,55.4135827414785
0.509, 5.65,5.65,,,-0.1398018,1.654138,1.16549,,,-0.1434463,1.669952,1.142344,,45.8734855478893,29.457129749685,55.7366677557024
0.52, 5.04,5.04,,,-0.142148,1.661974,1.1732,,,-0.1454034,1.675952,1.152481,,45.8734855478893,29.6419341729153,56.0708620723021
0.531, 4.27,4.27,,,-0.1446208,1.670047,1.180003,,,-0.1473739,1.68179,1.162411,,45.8734855478893,29.809622142562,56.3471295561629
0.542, 3.67,3.67,,,-0.147184,1.67712,1.187125,,,-0.14955,1.68718,1.171935,,45.8734855478893,29.9474553561773,56.5530939048532
