経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.57,-0.57,,,0.3246477,1.787951,1.520998,,,0.3236447,1.78538,1.520287,,38.5821495287739,13.3796930513072,25.700532640904
0.011, 0.81,0.81,,,0.3234251,1.77948,1.522099,,,0.3248345,1.783149,1.523113,,39.0946220230337,14.0824836388515,25.4707941119218
0.022, 2.29,2.29,,,0.3214431,1.771513,1.521963,,,0.3253826,1.781869,1.52484,,39.3861583943592,14.4355497676028,25.3711331169681
0.033, 3.65,3.65,,,0.3199382,1.764289,1.521213,,,0.3261732,1.780809,1.525889,,39.6258638766104,14.5560769898902,25.407619986499
0.044, 4.9,4.9,,,0.3188217,1.757849,1.519942,,,0.3271305,1.779964,1.526362,,39.815674828363,14.5101046954134,25.5523704740037
0.055, 6.04,6.04,,,0.3175563,1.752133,1.51864,,,0.3277542,1.779368,1.526746,,39.9492938153777,14.4056967191187,25.7195922832525
0.066, 7.09,7.09,,,0.3157364,1.747352,1.517277,,,0.3276966,1.779281,1.526961,,39.9688486464273,14.2191992627949,25.891656696488
0.077, 7.79,7.79,,,0.3135095,1.743978,1.517756,,,0.3266866,1.779037,1.528466,,40.0246068941651,14.1904749030398,26.0005435692063
0.089, 8.32,8.32,,,0.3124323,1.740566,1.518992,,,0.3265617,1.778014,1.53037,,40.2537836401037,14.4643304764171,26.0042677297476
0.1, 8.63,8.63,,,0.3107344,1.738363,1.521188,,,0.3254545,1.777208,1.532894,,40.4345719122139,14.7473239888759,25.9913108612527
0.111, 8.71,8.71,,,0.3099999,1.737564,1.522406,,,0.324947,1.776763,1.534162,,40.5339306713051,14.8699566169163,26.0345425424012
0.122, 9.29,9.29,,,0.3069266,1.735281,1.523134,,,0.3230124,1.777036,1.535656,,40.4753310649517,14.7818574243585,26.1762689637351
0.133, 9.6,9.6,,,0.3053245,1.734089,1.523448,,,0.3220586,1.777148,1.536416,,40.4512546487974,14.6622420323,26.3361756405863
0.144, 9.92,9.92,,,0.304224,1.732598,1.523514,,,0.3215998,1.777067,1.537003,,40.4697542156496,14.5678385753136,26.4738654202331
0.155, 10.21,10.21,,,0.3041405,1.730863,1.523376,,,0.3220437,1.776583,1.537366,,40.5768174279102,14.543202083663,26.5800304626428
0.166, 10.38,10.38,,,0.30363,1.730246,1.523043,,,0.3218284,1.77669,1.5374,,40.5531815589451,14.393926595959,26.6790272217182
0.177, 10.55,10.55,,,0.3025346,1.730001,1.522727,,,0.3210779,1.777119,1.537428,,40.4586073472343,14.1643588217013,26.8227446431397
0.188, 10.62,10.62,,,0.2999595,1.731533,1.521847,,,0.3187857,1.778879,1.536741,,40.0679717639988,13.62808397262,27.0417034263643
0.2, 10.63,10.63,,,0.2972617,1.733753,1.520501,,,0.3162925,1.781057,1.535495,,39.5795722707988,12.993819817338,27.2754342008053
0.21, 10.51,10.51,,,0.2951256,1.736001,1.519969,,,0.3141381,1.782648,1.534858,,39.2198432926975,12.4974272954842,27.5253149570893
0.222, 10.38,10.38,,,0.2925603,1.738735,1.519045,,,0.3115187,1.784718,1.533795,,38.74746400775,11.9510446204862,27.735749664467
0.233, 10.04,10.04,,,0.2903279,1.742466,1.518283,,,0.3087924,1.786902,1.532565,,38.243758061046,11.4570870610038,27.867802830658
0.244, 9.87,9.87,,,0.288465,1.745539,1.516441,,,0.3066159,1.789237,1.530477,,37.6979849804144,10.9726951811878,27.8568130565893
0.255, 9.86,9.86,,,0.2875386,1.746775,1.515192,,,0.3055561,1.790493,1.529216,,37.4014250050942,10.7621597285228,27.7298637491135
0.266, 9.76,9.76,,,0.285406,1.750483,1.511605,,,0.3030854,1.793781,1.525514,,36.6153009893529,10.0328756916989,27.6089676966212
0.277, 9.68,9.68,,,0.281979,1.754652,1.507884,,,0.299438,1.797601,1.521716,,35.6835505143701,9.17350387556306,27.5681897608637
0.288, 9.44,9.44,,,0.2771289,1.760568,1.503634,,,0.2941791,1.802434,1.517149,,34.4739377063998,8.09783619613115,27.6154290553962
0.299, 9.18,9.18,,,0.2723663,1.766205,1.499594,,,0.2890509,1.806914,1.512751,,33.3185395234577,7.13525851696107,27.7186998052258
0.311, 8.76,8.76,,,0.266732,1.773235,1.495043,,,0.2827718,1.812032,1.507595,,31.953215482217,6.16929733292504,27.8529027733982
0.322, 8.43,8.43,,,0.261757,1.779218,1.490514,,,0.2772359,1.816523,1.502588,,30.7100322954102,5.45078834610389,27.9090469268134
0.333, 8.08,8.08,,,0.2575379,1.784674,1.486263,,,0.2723493,1.820454,1.497813,,29.5826413023804,4.9685791385538,27.8503141317748
0.344, 7.92,7.92,,,0.2535294,1.788945,1.481729,,,0.2679283,1.824063,1.492984,,28.5118964816558,4.62113852420107,27.6476231511532
0.355, 7.91,7.91,,,0.2489695,1.792562,1.476691,,,0.2632341,1.82772,1.487862,,27.387244394407,4.42531743303284,27.4179119429269
0.366, 7.87,7.87,,,0.2444961,1.796119,1.471742,,,0.2585573,1.83119,1.48277,,26.2792921192141,4.40237568202283,27.1560629880028
0.377, 7.96,7.96,,,0.2390919,1.799327,1.466196,,,0.2531984,1.834834,1.47731,,25.0665630375216,4.62092636145588,26.9847020842322
0.389, 8.03,8.03,,,0.2335136,1.80271,1.459879,,,0.2476524,1.83857,1.471133,,23.7625826310571,5.06697313345165,26.9010766654562
0.4, 8.33,8.33,,,0.2271672,1.80502,1.453048,,,0.2417409,1.842227,1.464805,,22.4164343453776,5.8203267562408,26.8723130321144
0.411, 8.59,8.59,,,0.2208881,1.80729,1.446224,,,0.235819,1.845662,1.458441,,21.0777992675761,6.75589573375013,26.850159314158
0.422, 9.05,9.05,,,0.2147783,1.808235,1.439407,,,0.2303904,1.848668,1.452378,,19.835143712868,7.70066753713631,26.8171968221407
0.435, 9.49,9.49,,,0.2088422,1.809029,1.432475,,,0.2250859,1.851491,1.446137,,18.5943698752238,8.65682569243887,26.7200561669207
0.444, 10,10,,,0.2033509,1.808835,1.427199,,,0.220259,1.853646,1.441512,,17.5913549159716,9.34438922742594,26.4677131275094
0.455, 10.37,10.37,,,0.1976863,1.809371,1.421275,,,0.2150372,1.855934,1.436043,,16.4606444510976,10.1736279573295,26.2368595701762
0.466, 10.81,10.81,,,0.1914881,1.809198,1.416562,,,0.2093838,1.857886,1.431805,,15.4330647171789,10.9151312022385,25.9350369342469
0.477, 11.18,11.18,,,0.1863823,1.809134,1.411609,,,0.2047067,1.859601,1.427247,,14.4700046559122,11.5958816237181,25.6805236022872
0.488, 11.56,11.56,,,0.1807038,1.809071,1.406437,,,0.1994444,1.861322,1.4225,,13.4352916433776,12.3815975356678,25.4487394317055
0.5, 12.04,12.04,,,0.1751007,1.808377,1.401005,,,0.194398,1.862891,1.417667,,12.4167158060818,13.1522597111058,25.2282250729407
0.511, 12.47,12.47,,,0.1693208,1.807798,1.39556,,,0.1891164,1.864371,1.412756,,11.3732268544817,13.9850424553163,25.0320483850587
0.522, 12.96,12.96,,,0.1641216,1.806613,1.390911,,,0.1844939,1.865522,1.408681,,10.4906810609105,14.653390107382,24.815959988753
0.533, 13.33,13.33,,,0.1582314,1.806084,1.385747,,,0.1789849,1.866754,1.403898,,9.45450638793424,15.4915789461701,24.6044990454811
0.544, 13.65,13.65,,,0.152929,1.805563,1.380683,,,0.1740045,1.867799,1.399149,,8.47493519858205,16.2752645844456,24.4046238102665
0.555, 13.94,13.94,,,0.1476031,1.805056,1.375662,,,0.1689574,1.868726,1.394397,,7.49690080175035,17.0724961950156,24.2106959621061
0.567, 14.06,14.06,,,0.1419729,1.80532,1.370338,,,0.1633824,1.869619,1.389042,,6.4143538413552,17.9885645561003,24.0172342743436
0.577, 14.17,14.17,,,0.1366514,1.805387,1.365231,,,0.1580449,1.870335,1.383846,,5.38368600824404,18.7900582045938,23.7522417249415
0.589, 14.14,14.14,,,0.1307804,1.806028,1.360198,,,0.1519144,1.870945,1.378506,,4.31038925816179,19.674297885032,23.466985712383
0.6, 14.06,14.06,,,0.1255814,1.806605,1.355648,,,0.14639,1.871362,1.373512,,3.37318765204285,20.397760039524,23.1170802535821
0.611, 13.99,13.99,,,0.1200013,1.80706,1.350472,,,0.1404425,1.871664,1.367895,,2.45200049120442,21.1901353857292,22.737711067069
0.622, 13.76,13.76,,,0.11511,1.808086,1.345367,,,0.1349534,1.871808,1.362157,,1.799070923544,21.9342656920746,22.353644418085
0.633, 13.56,13.56,,,0.109014,1.808888,1.339725,,,0.1283998,1.871768,1.356007,,1.85877958183306,22.9577182843021,22.0918364442947
