経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.68,-0.68,,,0.4371669,1.759314,1.323319,,,0.4372408,1.75591,1.323249,,44.7857267264156,45.9831681376238,1.89516848084075
0.011, 0.32,-0.32,,,0.4322988,1.762171,1.325916,,,0.4323143,1.760594,1.325889,,43.8274751181907,44.3350503669519,1.34770076629029
0.022, 0.15,0.15,,,0.4215176,1.769779,1.326339,,,0.4215304,1.770533,1.326345,,41.7318126297024,40.7182125850785,1.18564204630185
0.033, 0.09,-0.09,,,0.4240481,1.768648,1.327802,,,0.4240408,1.768205,1.3278,,42.231751727184,41.2584907786757,1.10694482231833
0.045, 0.07,0.07,,,0.4277639,1.764489,1.327162,,,0.4277666,1.764821,1.327166,,42.9474052681248,42.4314664529576,1.00716536627458
0.056, 0.21,-0.21,,,0.4318055,1.762014,1.327825,,,0.4318072,1.76098,1.327813,,43.7494265487169,43.7959777017097,0.898092584349988
0.066, 0.3,0.3,,,0.4354446,1.755889,1.328977,,,0.4354317,1.757406,1.328997,,44.4859599773693,44.9125394301118,1.12709089160149
0.077, 0.63,0.63,,,0.4380441,1.751667,1.32946,,,0.4379987,1.754836,1.32951,,45.0092924721072,45.7650870336831,1.40875486508669
0.088, 1.33,1.33,,,0.4387246,1.747583,1.32969,,,0.4386088,1.754207,1.329811,,45.1367881947014,46.064467877052,1.63206832067282
0.099, 1.88,1.88,,,0.43911,1.744366,1.331404,,,0.4389254,1.753772,1.331579,,45.226314896756,46.2674030369297,1.73200956681803
0.111, 2.84,2.84,,,0.4381988,1.740557,1.331576,,,0.4379061,1.754772,1.331854,,45.0242335105008,46.1152674075904,1.81013241459702
0.121, 3.81,3.81,,,0.4367354,1.737306,1.331207,,,0.4363486,1.756334,1.331622,,44.706920005965,45.7777604493354,1.8996038348096
0.132, 5.12,5.12,,,0.4341267,1.733414,1.330379,,,0.4336376,1.759025,1.331019,,44.155860359063,45.1507354405984,2.00584059420367
0.143, 6.22,6.22,,,0.4295336,1.732325,1.328645,,,0.4291172,1.76343,1.329487,,43.2411648659632,43.9133920653695,1.95704764512159
0.155, 6.97,6.97,,,0.4255497,1.732132,1.328669,,,0.4253076,1.76695,1.329599,,42.500157663529,42.8031106957344,1.82520578790214
0.165, 5.76,5.76,,,0.4216503,1.741005,1.334124,,,0.4217907,1.769796,1.334468,,41.8977042596474,41.5439107157697,0.973978118351238
0.176, 5.81,5.81,,,0.419371,1.742881,1.331759,,,0.4195496,1.771951,1.33212,,41.4312125976006,41.01078031494,1.02259028086875
0.188, 5.18,5.18,,,0.4202817,1.745258,1.333533,,,0.4203305,1.771144,1.333796,,41.6071343600625,41.4334802203419,0.838601424891258
0.2, 4.94,4.94,,,0.4191962,1.747534,1.331328,,,0.4192564,1.772241,1.33163,,41.3679582174573,41.1616318687511,0.960626699720987
0.21, 4.55,4.55,,,0.4201389,1.748641,1.332491,,,0.4201194,1.771405,1.332747,,41.5497197914971,41.5319749605272,0.893286319103014
0.221, 4,4,,,0.4205407,1.751076,1.332503,,,0.4204766,1.771093,1.332699,,41.6171200963512,41.7390970262496,0.83015872434268
0.232, 3.33,3.33,,,0.42005,1.754845,1.333388,,,0.4199663,1.771486,1.333514,,41.5330131492521,41.7659874802636,0.7409852177635
0.243, 2.98,2.98,,,0.4173788,1.758852,1.334238,,,0.4173318,1.773731,1.334317,,41.0464509768878,41.1802236431545,0.581145562141628
0.255, 2.97,2.97,,,0.4150265,1.760916,1.333838,,,0.4150136,1.775755,1.333904,,40.6025638252701,40.6095101274627,0.505129667580394
0.266, 2.81,2.81,,,0.4108554,1.765099,1.334384,,,0.4109147,1.779169,1.33442,,39.8459052447883,39.5695797043211,0.464359842672289
0.276, 2.67,2.67,,,0.4084535,1.76777,1.334508,,,0.4085465,1.781112,1.334536,,39.4096030180328,38.9779589801617,0.544645459119611
0.288, 2.29,2.29,,,0.4060748,1.771397,1.336986,,,0.4061715,1.782853,1.336957,,39.0175160196391,38.5252779602324,0.4949555141254
0.299, 2.04,2.04,,,0.4030635,1.77496,1.338158,,,0.4031756,1.78515,1.3381,,38.4932409588219,37.8757030825781,0.635198130264226
0.31, 2.13,2.13,,,0.3999313,1.776945,1.338285,,,0.4000607,1.787576,1.338217,,37.9315501227726,37.2524210174022,0.707205877832963
0.321, 2.45,2.45,,,0.3984455,1.776484,1.338177,,,0.3985457,1.788751,1.33812,,37.6568160163378,37.1934150148044,0.468136937178198
0.332, 2.62,2.62,,,0.395703,1.777696,1.338741,,,0.3957728,1.790812,1.338657,,37.1713603345882,36.8821428124214,0.326858346789754
0.344, 3.39,3.39,,,0.3968583,1.773217,1.337117,,,0.3967694,1.790184,1.33713,,37.3183596618146,37.5857820509464,0.419647744742747
0.354, 4.12,4.12,,,0.3935764,1.772133,1.336473,,,0.3934069,1.792749,1.336547,,36.7075665971885,37.1290814648023,0.654317750209744
0.365, 4.62,4.62,,,0.3903925,1.772037,1.336012,,,0.3901932,1.795138,1.33611,,36.1306649302808,36.5719634402751,0.698575880695951
0.377, 5.04,5.04,,,0.3863406,1.772768,1.336859,,,0.3861355,1.79798,1.336944,,35.4352868053271,35.8508867292843,0.641939526787432
0.388, 5.39,5.39,,,0.3829359,1.773443,1.336665,,,0.3826934,1.800403,1.336724,,34.8321845334924,35.3033651202739,0.636429165106158
0.399, 5.26,5.26,,,0.3764082,1.778291,1.338276,,,0.376328,1.804604,1.338125,,33.7658622601323,33.9490889097083,0.19077407509992
0.411, 5.4,5.4,,,0.3726168,1.780138,1.337645,,,0.3725243,1.807144,1.337479,,33.104549702716,33.3120679193992,0.221173431980709
0.421, 5.61,5.61,,,0.3695067,1.781175,1.336291,,,0.3694038,1.80924,1.336164,,32.5494295084655,32.7591641214726,0.209356724797741
0.433, 5.64,5.64,,,0.3667695,1.782813,1.336127,,,0.3665946,1.811014,1.336007,,32.0737205063902,32.4259431068025,0.354430325597955
0.444, 5.62,5.62,,,0.3642767,1.784536,1.335444,,,0.3640536,1.812629,1.335323,,31.6346520530979,32.0861446201447,0.454564764705681
0.455, 5.55,5.55,,,0.3620473,1.786259,1.335534,,,0.3617693,1.814009,1.335407,,31.2557336590575,31.8268160049542,0.573690250787464
0.466, 5.32,5.32,,,0.3587244,1.789404,1.335118,,,0.3584614,1.81601,1.334974,,30.698537087357,31.2680382445048,0.569238995284893
0.477, 5.11,5.11,,,0.3548033,1.792702,1.3353,,,0.3545565,1.818272,1.335104,,30.0578619459436,30.6302966692583,0.58450292019038
0.488, 4.76,4.76,,,0.3508988,1.796669,1.335327,,,0.3507022,1.820457,1.335095,,29.4269744653385,29.9366329217386,0.565791083871306
0.499, 4.51,4.51,,,0.3469172,1.800072,1.335852,,,0.346742,1.822612,1.335563,,28.7931329279996,29.3007559880836,0.658193935816714
0.51, 4.21,4.21,,,0.3434861,1.803388,1.336,,,0.3433335,1.824439,1.335683,,28.2451161302881,28.7434876993988,0.739399066455462
0.522, 3.69,3.69,,,0.3408227,1.807306,1.337188,,,0.3406692,1.825764,1.336854,,27.8431714616491,28.4345462990052,0.9191971212461
0.533, 3.45,3.45,,,0.3369897,1.810506,1.337019,,,0.3368442,1.827749,1.336681,,27.2278585194655,27.8421913295304,0.996618487272512
0.544, 3.35,3.35,,,0.3336076,1.812803,1.335675,,,0.3334746,1.829532,1.335375,,26.6622813058866,27.2307767177072,0.902873289749139
0.555, 3.42,3.42,,,0.3311189,1.813733,1.335309,,,0.3309309,1.830809,1.335016,,26.251418117987,26.9851084804765,0.965097698738578
0.566, 3.29,3.29,,,0.3279452,1.815932,1.334696,,,0.3277339,1.832389,1.334433,,25.7341303404963,26.5605149051799,0.991895091427771
0.577, 3.29,3.29,,,0.3247726,1.817543,1.333551,,,0.3245324,1.833967,1.333305,,25.2065904493467,26.1233759802744,1.036465276173
0.588, 3.12,3.12,,,0.3230515,1.819195,1.334016,,,0.3227482,1.834767,1.333764,,24.9371172959737,26.1408288206654,1.30476310343297
0.599, 3.41,3.41,,,0.3194785,1.819482,1.332592,,,0.3191005,1.836507,1.33234,,24.3372064299399,25.680578243799,1.40485994982088
0.61, 3.62,3.62,,,0.3165924,1.81977,1.331888,,,0.3160989,1.837876,1.331624,,23.8556063898695,25.4828374426406,1.66730056986543
0.621, 4.34,4.34,,,0.3132348,1.817835,1.32939,,,0.3125354,1.839541,1.329158,,23.2548485804021,25.1303996912755,1.8801354483393
0.633, 4.21,4.21,,,0.3074607,1.820881,1.329991,,,0.3068231,1.841902,1.329666,,22.3838577590378,24.1911360084148,1.8499142099805
0.644, 4.12,4.12,,,0.3030182,1.823078,1.330669,,,0.3023898,1.843652,1.330275,,21.7171715504415,23.5721962358829,1.94350039216668
0.655, 3.94,3.94,,,0.2985353,1.825738,1.330147,,,0.2979325,1.845406,1.329727,,21.0266411521163,22.9087355840324,2.00710866147648
0.665, 4.1,4.1,,,0.2940529,1.826715,1.328235,,,0.2933849,1.847192,1.327819,,20.2982783370311,22.276751858096,2.07961367881947
0.677, 4.2,4.2,,,0.2898902,1.827776,1.326805,,,0.2891576,1.848775,1.326382,,19.6320565812855,21.7334922870091,2.1923169196303
0.688, 4.13,4.13,,,0.2866397,1.829345,1.325752,,,0.2858583,1.849964,1.325353,,19.1162851057484,21.3786725072372,2.33288412982823
0.699, 4.19,4.19,,,0.2827081,1.830438,1.32455,,,0.2818552,1.85136,1.324137,,18.4937868047579,20.919273996446,2.49449835392446
0.71, 4.14,4.14,,,0.2779807,1.832234,1.324205,,,0.2770863,1.852923,1.323774,,17.7734528768187,20.3479850373327,2.64767153165849
0.721, 4.22,4.22,,,0.2734042,1.833329,1.322978,,,0.2724335,1.854411,1.322532,,17.0589860812132,19.7925369940111,2.80560876620605
0.733, 4.3,4.3,,,0.2684625,1.83444,1.32223,,,0.2674273,1.855924,1.321771,,16.302721944145,19.1584837208137,2.92496119598886
0.744, 4.48,4.48,,,0.2638046,1.834935,1.320989,,,0.262665,1.857307,1.320501,,15.5780713367704,18.5893462712291,3.08165747057612
0.755, 4.58,4.58,,,0.2578686,1.836076,1.32016,,,0.2566721,1.858938,1.319657,,14.6810796935067,17.771887055995,3.16050175706612
0.766, 4.9,4.9,,,0.252079,1.835991,1.319383,,,0.2507615,1.860447,1.318842,,13.8002798669935,16.9785691437106,3.24654698373163
0.777, 5.09,5.09,,,0.246062,1.836521,1.318511,,,0.2446668,1.861902,1.317949,,12.8949827139301,16.1341306820058,3.30624112786911
0.788, 5.4,5.4,,,0.239624,1.836405,1.318204,,,0.2381004,1.863347,1.31761,,11.9313369639582,15.2621255775779,3.39084390399942
