経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.92,-0.92,,,-0.003809463,1.826931,1.31541,,,-0.002271667,1.82268,1.314509,,45.0005634905908,27.3773081769884,22.8747588089516
0.011, 0.5,-0.5,,,-0.002897065,1.825211,1.314872,,,-0.002053969,1.822897,1.314378,,45.0005634905908,27.2808881067058,23.0205987115987
0.022, 0.18,-0.18,,,-0.002041627,1.824031,1.315807,,,-0.001740769,1.82321,1.315633,,45.0005634905908,27.1599527806269,23.0993285924233
0.032, 0.11,0.11,,,-0.001435298,1.822793,1.317244,,,-0.00162977,1.823321,1.317355,,45.0005634905908,27.057202832707,23.1148536119747
0.045, 0.15,0.15,,,-0.001284797,1.822693,1.319347,,,-0.00154683,1.823404,1.319495,,45.0005634905908,26.9882913485411,23.030804721482
0.056, 0.11,0.11,,,-0.001665624,1.822611,1.32066,,,-0.001846634,1.823105,1.320761,,45.0005634905908,27.0140548213735,22.9375897173782
0.067, 0.05,-0.05,,,-0.002010446,1.823227,1.320827,,,-0.00193385,1.823017,1.320784,,45.0005634905908,27.0760780599531,22.9268629055852
0.077, 0.04,-0.04,,,-0.001943717,1.823264,1.320391,,,-0.001874901,1.823076,1.320352,,45.0005634905908,27.0860552585056,22.9651239167036
0.088, 0.31,0.31,,,-0.0008771941,1.822127,1.319766,,,-0.00140065,1.82355,1.320065,,45.0005634905908,27.0545373514576,23.0631507889437
0.099, 0.61,0.61,,,-9.641983E-05,1.821042,1.318816,,,-0.001125962,1.823825,1.319407,,45.0005634905908,26.9968171319353,23.2228850035232
0.11, 0.99,0.99,,,0.001195399,1.819923,1.318843,,,-0.0004920512,1.824459,1.319813,,45.0005634905908,26.929338279908,23.3441071975393
0.121, 0.93,0.93,,,0.001460081,1.820538,1.319064,,,-0.0001346096,1.824817,1.319976,,45.0005634905908,26.8825258721867,23.359710764264
0.132, 0.85,0.85,,,0.0009044446,1.820512,1.319452,,,-0.0005466193,1.824404,1.320277,,45.0005634905908,26.858823408879,23.3391518954344
0.144, 0.86,0.86,,,0.0009676628,1.820498,1.320312,,,-0.0005047023,1.824446,1.321147,,45.0005634905908,26.8419391817206,23.3295896308624
0.155, 0.89,0.89,,,0.001172507,1.820509,1.321002,,,-0.000353992,1.824597,1.321867,,45.0005634905908,26.8153407182854,23.3489258958647
0.166, 1.03,1.03,,,0.001517665,1.819937,1.320887,,,-0.0002615079,1.82469,1.321893,,45.0005634905908,26.7795112544439,23.3986547942804
0.177, 1.33,1.33,,,0.002253484,1.818799,1.321259,,,-4.532933E-05,1.824906,1.322557,,45.0005634905908,26.6983481187952,23.5035186856895
0.188, 1.54,1.54,,,0.002455767,1.817674,1.321565,,,-0.0002183095,1.824733,1.323071,,45.0005634905908,26.6036355957575,23.6213274927628
0.2, 1.6,1.6,,,0.002894485,1.817725,1.321419,,,0.0001071692,1.825058,1.322986,,45.0005634905908,26.5506299141787,23.6835453917284
0.21, 1.64,1.64,,,0.00258957,1.817158,1.321839,,,-0.0002751127,1.824676,1.323449,,45.0005634905908,26.5188063561739,23.7331137807031
0.222, 1.67,1.67,,,0.002215877,1.816593,1.321544,,,-0.0007056221,1.824245,1.323189,,45.0005634905908,26.5005970723533,23.7817037451065
0.233, 1.71,1.71,,,0.001901221,1.816029,1.321917,,,-0.0010942,1.823857,1.323604,,45.0005634905908,26.4719051559958,23.8333792473815
0.244, 1.8,1.8,,,0.001934096,1.815499,1.32228,,,-0.001228333,1.823723,1.324058,,45.0005634905908,26.3998193415015,23.9274138741629
0.254, 2,2,,,0.002072975,1.81434,1.322393,,,-0.001463674,1.823488,1.324369,,45.0005634905908,26.2971735539636,24.0091780664418
0.266, 2.03,2.03,,,0.001724558,1.813777,1.323465,,,-0.001888216,1.823063,1.325459,,45.0005634905908,26.1593949818602,24.0817693149207
0.277, 2.12,2.12,,,0.001084991,1.812579,1.324509,,,-0.002695434,1.822256,1.326576,,45.0005634905908,26.0603794397651,24.1217037223392
0.288, 1.97,1.97,,,0.0001344737,1.812586,1.32476,,,-0.003381796,1.821569,1.326672,,45.0005634905908,26.0106915224833,24.1369572418786
