経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.98,-0.98,,,0.1660348,1.821904,1.226717,,,0.1652763,1.81705,1.22678,,44.8235181620417,38.5346967908357,8.89251502356984
0.011, 0.68,-0.68,,,0.1652803,1.819866,1.225471,,,0.1647573,1.816516,1.225507,,44.8235181620417,38.6576777585141,8.87781133424327
0.022, 0.44,-0.44,,,0.1642109,1.818639,1.224547,,,0.1638716,1.816477,1.224565,,44.8235181620417,38.7158231573004,8.92112327011234
0.033, 0.07,-0.07,,,0.1644058,1.816474,1.22453,,,0.1643502,1.816115,1.224533,,44.8235181620417,38.7973961042879,8.81061935015305
0.044, 0.43,0.43,,,0.1656092,1.814175,1.226414,,,0.1659304,1.816311,1.22639,,44.8235181620417,38.8235079167582,8.55932986739188
0.057, 0.89,0.89,,,0.1662986,1.812101,1.227719,,,0.1669438,1.81649,1.227656,,44.8235181620417,38.7961051985707,8.38234515676991
0.066, 1.29,1.29,,,0.1666753,1.809993,1.228257,,,0.1675978,1.816381,1.228156,,44.8235181620417,38.8282890490442,8.24314419781138
0.077, 1.58,1.58,,,0.1670555,1.807955,1.227994,,,0.1681765,1.815774,1.227876,,44.8235181620417,38.8943335613858,8.18122085074557
0.088, 1.83,1.83,,,0.1665687,1.806585,1.227527,,,0.1678657,1.815657,1.2274,,44.8235181620417,38.9590939981991,8.15376946746155
0.099, 1.72,1.72,,,0.1660959,1.807308,1.227177,,,0.1673217,1.815805,1.227066,,44.8235181620417,38.9554774131342,8.22249141388327
0.11, 2.06,2.06,,,0.1663502,1.80524,1.227147,,,0.1678118,1.815433,1.227029,,44.8235181620417,39.0511000588535,8.17041463800568
0.121, 2.17,2.17,,,0.1661012,1.804687,1.22695,,,0.1676451,1.81541,1.226831,,44.8235181620417,39.0486104549703,8.20147492239198
0.132, 2.44,2.44,,,0.1660915,1.80341,1.227275,,,0.167833,1.815503,1.227149,,44.8235181620417,39.0813407205622,8.20176264410276
0.144, 2.56,2.56,,,0.1663539,1.802742,1.227493,,,0.1681715,1.81541,1.227357,,44.8235181620417,39.0839430225635,8.17264896357574
0.154, 3.35,3.35,,,0.1677123,1.798636,1.229144,,,0.170036,1.81522,1.228953,,44.8235181620417,39.1676811394577,7.98583561101163
0.167, 3.92,3.92,,,0.1698849,1.794871,1.230365,,,0.1724989,1.814301,1.230115,,44.8235181620417,39.3079868814837,7.67692921533651
0.177, 4.42,4.42,,,0.1716507,1.791579,1.231236,,,0.1744635,1.813498,1.230944,,44.8235181620417,39.5073498525248,7.33010246421835
0.189, 4.55,4.55,,,0.1737634,1.788935,1.230526,,,0.1765357,1.811528,1.230231,,44.8235181620417,39.7215070128965,7.01263143844918
0.199, 4.85,4.85,,,0.1734942,1.787613,1.230646,,,0.1764234,1.811672,1.230322,,44.8235181620417,39.7396992212446,6.96021229934897
0.211, 5.15,5.15,,,0.1719559,1.7866,1.229999,,,0.1751203,1.812145,1.229688,,44.8235181620417,39.7186144278635,7.07520749544939
0.222, 4.64,4.64,,,0.1708719,1.789697,1.229477,,,0.1738242,1.812709,1.229189,,44.8235181620417,39.5444514390639,7.32517533664294
0.232, 4.82,4.82,,,0.1678464,1.790223,1.228765,,,0.1710974,1.814122,1.228461,,44.8235181620417,39.2610566530025,7.76025410579735
0.244, 4.92,4.92,,,0.1679039,1.789563,1.228636,,,0.1712234,1.813949,1.228342,,44.8235181620417,39.2861780880707,7.7636683465137
0.255, 4.9,4.9,,,0.1681038,1.789451,1.228469,,,0.1713928,1.813719,1.228186,,44.8235181620417,39.3233104104602,7.72890524592665
0.266, 4.84,4.84,,,0.1682306,1.789816,1.228652,,,0.1714363,1.813812,1.228361,,44.8235181620417,39.3730307711397,7.6214851562918
0.277, 5.06,5.06,,,0.1688869,1.788408,1.228953,,,0.1721922,1.813468,1.228631,,44.8235181620417,39.4017858667453,7.52840248709948
0.288, 5.23,5.23,,,0.1690997,1.787555,1.229291,,,0.1724633,1.813492,1.228935,,44.8235181620417,39.44139413264,7.40790514688891
0.3, 5.13,5.13,,,0.1688201,1.788267,1.229266,,,0.1721369,1.813709,1.228917,,44.8235181620417,39.4163409994616,7.44621311555655
0.31, 5.14,5.14,,,0.1685543,1.788361,1.229231,,,0.1718961,1.813856,1.228883,,44.8235181620417,39.3949727532378,7.48576844748666
0.322, 5.14,5.14,,,0.1685584,1.788347,1.229174,,,0.1718969,1.813818,1.228831,,44.8235181620417,39.4021068856273,7.48506066915361
0.332, 5.12,5.12,,,0.1686881,1.788259,1.228992,,,0.1720048,1.813623,1.228663,,44.8235181620417,39.436104151275,7.46545205036581
0.344, 5.11,5.11,,,0.1687253,1.788243,1.228985,,,0.1720375,1.813595,1.228656,,44.8235181620417,39.4402398307024,7.45914095574834
0.355, 5.19,5.19,,,0.168229,1.788219,1.229079,,,0.1715841,1.813972,1.228736,,44.8235181620417,39.4391674910325,7.43959636998223
