経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.69,-0.69,,,0.3926456,1.637891,1.275246,,,0.3909694,1.634884,1.275026,,45.0005395849294,16.2696826125018,29.3798905576052
0.011, 0.16,-0.16,,,0.3939653,1.632941,1.275964,,,0.3935924,1.632261,1.275916,,45.0005395849294,16.655743676668,28.9611965580401
0.022, 0.28,0.28,,,0.3928878,1.631091,1.275775,,,0.3935511,1.632302,1.27586,,45.0005395849294,16.6665114695948,28.9290810094564
0.032, 0.74,0.74,,,0.3915002,1.629316,1.274211,,,0.3932835,1.63257,1.274443,,45.0005395849294,16.6525505633198,28.9593968032439
0.044, 0.98,0.98,,,0.3907641,1.628453,1.2742,,,0.3931089,1.632744,1.274499,,45.0005395849294,16.7067242072143,28.8775813845476
0.054, 1.43,1.43,,,0.3895612,1.626624,1.272522,,,0.3929655,1.632888,1.272964,,45.0005395849294,16.8418355905211,28.7604436435415
0.065, 1.49,1.49,,,0.3896786,1.626112,1.271601,,,0.3932087,1.632645,1.272055,,45.0005395849294,16.9667187658304,28.6168252598602
0.078, 1.72,1.72,,,0.3876176,1.626589,1.269529,,,0.3917134,1.63414,1.270067,,45.0005395849294,16.8973462439083,28.7150638679588
0.089, 1.33,1.33,,,0.3889595,1.627861,1.270182,,,0.3921356,1.633718,1.270589,,45.0005395849294,16.8822532338099,28.7021240749363
0.099, 1.13,1.13,,,0.3895641,1.628631,1.270858,,,0.3922591,1.633594,1.271194,,45.0005395849294,16.8383112130074,28.7197186417486
0.11, 1.04,1.04,,,0.3894254,1.629387,1.271008,,,0.391905,1.633948,1.271316,,45.0005395849294,16.8062007870654,28.7458338693134
0.121, 0.94,0.94,,,0.3895112,1.62998,1.270622,,,0.3917512,1.634102,1.270898,,45.0005395849294,16.8078314946844,28.7352129254496
0.131, 1.03,1.03,,,0.3890681,1.629802,1.269818,,,0.3915249,1.634328,1.270123,,45.0005395849294,16.8446871944202,28.7067310374033
0.143, 0.94,0.94,,,0.3890852,1.63043,1.269951,,,0.3913154,1.634538,1.270227,,45.0005395849294,16.8380636186569,28.7085922639003
0.154, 0.86,0.86,,,0.387997,1.63205,1.268806,,,0.3900435,1.63581,1.269057,,45.0005395849294,16.7659368230287,28.7741176818794
0.165, 0.55,0.55,,,0.3880363,1.634082,1.269191,,,0.3893533,1.6365,1.269345,,45.0005395849294,16.7305496139236,28.7665600777731
0.176, 0.41,0.41,,,0.3886543,1.634433,1.26897,,,0.3896272,1.636226,1.26908,,45.0005395849294,16.7965258243754,28.6584586767875
0.189, 0.21,0.21,,,0.3903207,1.634094,1.269933,,,0.3908232,1.63503,1.269986,,45.0005395849294,17.0110279092905,28.3838611741323
0.199, 0.44,0.44,,,0.3909933,1.631915,1.270158,,,0.3920157,1.633838,1.270266,,45.0005395849294,17.222695465779,28.1632085040406
0.211, 0.53,0.53,,,0.3913597,1.630889,1.270235,,,0.3926089,1.633245,1.27037,,45.0005395849294,17.3032387617778,28.1032616429109
0.221, 0.77,0.77,,,0.3899002,1.63075,1.269414,,,0.3917098,1.634144,1.269617,,45.0005395849294,17.1912936719437,28.2471139605648
0.232, 0.88,0.88,,,0.3897139,1.630176,1.26895,,,0.3917896,1.634064,1.269188,,45.0005395849294,17.1725891994222,28.2858462547228
0.242, 1.22,1.22,,,0.3882599,1.629329,1.267701,,,0.3911467,1.634707,1.268049,,45.0005395849294,17.0782881952705,28.4328609498744
0.254, 1.65,1.65,,,0.3862004,1.628475,1.267018,,,0.3901181,1.635736,1.267515,,45.0005395849294,16.9913006159692,28.5767764467763
0.265, 1.75,1.75,,,0.3860734,1.627936,1.266884,,,0.3902275,1.635626,1.267414,,45.0005395849294,16.9717030962385,28.603608844184
0.277, 1.63,1.63,,,0.3869999,1.627817,1.267464,,,0.3908663,1.634987,1.267947,,45.0005395849294,16.9957760972983,28.5547712854302
0.287, 1.55,1.55,,,0.3863314,1.629046,1.267753,,,0.3900248,1.635829,1.268193,,45.0005395849294,16.741139821937,28.7707982100351
0.298, 1.68,1.68,,,0.3857102,1.628748,1.266428,,,0.3897234,1.63613,1.266933,,45.0005395849294,16.8127560609389,28.7523942658287
0.31, 1.69,1.69,,,0.3849876,1.629442,1.266309,,,0.3890266,1.636827,1.266804,,45.0005395849294,16.6598417900559,28.8865596679617
0.32, 1.65,1.65,,,0.3858576,1.628825,1.26666,,,0.3897929,1.636061,1.26714,,45.0005395849294,16.7836389653174,28.7494026430555
0.332, 1.56,1.56,,,0.3859687,1.629347,1.266663,,,0.3896787,1.636175,1.267115,,45.0005395849294,16.804476164348,28.7277680194615
0.343, 1.64,1.64,,,0.3854733,1.62927,1.266729,,,0.3893823,1.636471,1.267204,,45.0005395849294,16.8245108161734,28.7038521127482
0.354, 1.55,1.55,,,0.3855706,1.629802,1.266117,,,0.3892564,1.636597,1.266565,,45.0005395849294,16.8423888358284,28.6856223383607
0.365, 1.63,1.63,,,0.3850448,1.629753,1.266194,,,0.3889315,1.636922,1.266665,,45.0005395849294,16.852687053263,28.6721941868262
0.376, 1.63,1.63,,,0.3844978,1.630337,1.265691,,,0.3883702,1.637483,1.266158,,45.0005395849294,16.8601422045346,28.6597120164653
0.388, 1.62,1.62,,,0.383867,1.630994,1.265817,,,0.3877303,1.638123,1.26628,,45.0005395849294,16.8571642421393,28.6556617144002
0.399, 1.72,1.72,,,0.3825131,1.631713,1.265216,,,0.3866004,1.639253,1.265704,,45.0005395849294,16.846797722815,28.6621538090256
0.41, 1.81,1.81,,,0.3820074,1.631605,1.2645,,,0.3863077,1.639546,1.265015,,45.0005395849294,16.8737376956991,28.6384001193006
0.421, 1.98,1.98,,,0.3807953,1.631698,1.263788,,,0.3854733,1.64038,1.264352,,45.0005395849294,16.992142436761,28.5215526613262
0.432, 2.14,2.14,,,0.3796013,1.631812,1.263826,,,0.3846406,1.641213,1.264434,,45.0005395849294,17.1112131212484,28.3970912501864
0.443, 2.27,2.27,,,0.3790866,1.631401,1.263846,,,0.3844312,1.641422,1.264475,,45.0005395849294,17.213696691798,28.2656459708146
0.454, 2.26,2.26,,,0.3783996,1.632173,1.264279,,,0.383718,1.642136,1.264893,,45.0005395849294,17.1803260959892,28.2820845281421
0.466, 2.35,2.35,,,0.3779134,1.632075,1.264277,,,0.3834317,1.642422,1.264914,,45.0005395849294,17.2026949648985,28.2594373290318
0.476, 2.54,2.54,,,0.3767616,1.631961,1.264023,,,0.3827174,1.643136,1.264718,,45.0005395849294,17.2258083244067,28.2463848378912
0.488, 2.85,2.85,,,0.3741197,1.632496,1.263018,,,0.380809,1.645044,1.263832,,45.0005395849294,17.243305561026,28.2680689803552
0.499, 3.19,3.19,,,0.3702917,1.634037,1.261736,,,0.3777954,1.648058,1.262692,,45.0005395849294,17.1832613697033,28.3792132305314
0.511, 2.98,2.98,,,0.365912,1.639743,1.261679,,,0.3730556,1.652798,1.262545,,45.0005395849294,16.6397098080375,28.8950974041867
0.521, 3.21,3.21,,,0.3619854,1.642103,1.258081,,,0.3697166,1.656137,1.25912,,45.0005395849294,16.5597965969722,29.1013076396802
0.532, 2.75,2.75,,,0.3605784,1.646579,1.261479,,,0.367261,1.658592,1.262261,,45.0005395849294,16.2353335921216,29.2820993268849
0.544, 2.08,2.08,,,0.3527301,1.658952,1.257472,,,0.3579314,1.667922,1.258097,,45.0005395849294,15.2789175971851,30.3158108629602
0.554, 1.98,1.98,,,0.3489769,1.663352,1.255526,,,0.3539772,1.671876,1.256149,,45.0005395849294,15.0336779543129,30.6198977065364
0.566, 1.62,1.62,,,0.3516482,1.663153,1.262713,,,0.3556609,1.670193,1.263144,,45.0005395849294,15.6095004513617,29.8523381444426
0.577, 1.14,1.14,,,0.3422576,1.675804,1.255881,,,0.3451658,1.680688,1.256237,,45.0005395849294,14.6628362587412,30.992125930471
0.588, 1.04,1.04,,,0.3407412,1.67798,1.25818,,,0.3433815,1.682472,1.258488,,45.0005395849294,14.9299222610658,30.6489396700791
0.599, 0.91,0.91,,,0.3403083,1.679322,1.261342,,,0.3425817,1.683272,1.261591,,45.0005395849294,15.3925890172838,30.0990070043588
0.61, 0.66,0.66,,,0.3360339,1.685303,1.260588,,,0.3376853,1.688168,1.260767,,45.0005395849294,15.3492856191509,30.1317270246672
0.621, 1.19,1.19,,,0.3369659,1.680795,1.263517,,,0.3398407,1.686013,1.263827,,45.0005395849294,16.4122457319857,29.0208411833075
0.633, 1.49,1.49,,,0.3372409,1.678556,1.266557,,,0.3407208,1.685133,1.266903,,45.0005395849294,17.3119301772548,28.0289560169981
0.644, 1.95,1.95,,,0.3325297,1.6802,1.265249,,,0.3370297,1.688824,1.265724,,45.0005395849294,17.6599607491807,27.7132424842308
0.654, 2.43,2.43,,,0.3259417,1.683569,1.264982,,,0.3315475,1.694306,1.26557,,45.0005395849294,17.64332582392,27.7260559187572
0.666, 2.73,2.73,,,0.3219015,1.685562,1.267099,,,0.3281831,1.69767,1.267729,,45.0005395849294,17.7710708484119,27.5629339304436
0.676, 3.23,3.23,,,0.3152946,1.688774,1.265498,,,0.322742,1.703111,1.266273,,45.0005395849294,17.7574258383772,27.6027471020077
0.688, 3.17,3.17,,,0.3082295,1.696217,1.266963,,,0.31564,1.710213,1.267649,,45.0005395849294,17.2741438642705,28.0245659130312
0.699, 4.05,4.05,,,0.2941454,1.704226,1.258658,,,0.3038988,1.721955,1.25987,,45.0005395849294,16.5314239919495,29.0353894858348
0.71, 3.96,3.96,,,0.2859452,1.712943,1.257687,,,0.2956836,1.73017,1.258876,,45.0005395849294,15.8869393126325,29.6930615525247
0.721, 3.93,3.93,,,0.2814069,1.717709,1.256722,,,0.291074,1.734779,1.257983,,45.0005395849294,15.8965664639998,29.764833178326
0.732, 3.63,3.63,,,0.2714536,1.729618,1.2539,,,0.2806203,1.745233,1.2551,,45.0005395849294,15.0593697101609,30.6618658027237
0.743, 3.53,3.53,,,0.2678847,1.733883,1.253555,,,0.2767398,1.749114,1.25474,,45.0005395849294,15.3064979002861,30.4295608302322
0.755, 3.3,3.3,,,0.2641375,1.73921,1.254927,,,0.2723879,1.753466,1.25597,,45.0005395849294,15.3630194216424,30.2892243523558
0.766, 3.08,3.08,,,0.2636715,1.741278,1.259607,,,0.2711744,1.754679,1.260434,,45.0005395849294,16.047286536673,29.4198642386104
0.777, 2.92,2.92,,,0.2599507,1.746092,1.259899,,,0.2669905,1.758863,1.260636,,45.0005395849294,16.3856216553418,29.0246012023409
0.788, 2.92,2.92,,,0.2580664,1.748055,1.262507,,,0.2649227,1.760931,1.263176,,45.0005395849294,17.1596767271556,28.1738943346997
0.8, 3.25,3.25,,,0.2553888,1.748589,1.263007,,,0.2628313,1.763022,1.263721,,45.0005395849294,17.8934746651215,27.4106651124192
0.811, 3.51,3.51,,,0.2533497,1.748989,1.265922,,,0.2611744,1.764679,1.266627,,45.0005395849294,18.6316592919598,26.6225193607398
0.821, 3.72,3.72,,,0.249173,1.751793,1.265347,,,0.2573603,1.768493,1.266079,,45.0005395849294,19.0126284502415,26.2304784661217
0.832, 4.02,4.02,,,0.2424156,1.756602,1.264888,,,0.251228,1.774625,1.265682,,45.0005395849294,19.0740574623799,26.1713990389924
0.844, 4.25,4.25,,,0.23526,1.762179,1.26441,,,0.2446213,1.781232,1.265254,,45.0005395849294,18.9663129387685,26.2809894211756
0.855, 4.34,4.34,,,0.2272634,1.769483,1.263269,,,0.2369569,1.788897,1.264138,,45.0005395849294,18.6027863755944,26.6490358619072
0.866, 4.54,4.54,,,0.2185405,1.776817,1.26019,,,0.2288194,1.797034,1.261232,,45.0005395849294,18.2338024914253,27.0950847683371
0.877, 4.43,4.43,,,0.2091592,1.786879,1.258453,,,0.2193801,1.806473,1.259538,,45.0005395849294,17.6699328250914,27.7069860311252
