経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.1,-0.1,,,-0.01942978,1.806034,1.34044,,,-0.01941032,1.805541,1.340349,,45.0005634905908,43.7556146999327,10.8885148095573
0.01, 0.41,0.41,,,-0.01959246,1.803267,1.339509,,,-0.01967987,1.805271,1.339885,,45.0005634905908,43.5622793706664,11.1425099009281
0.021, 1,1,,,-0.01986521,1.799923,1.337985,,,-0.02009968,1.804851,1.338928,,45.0005634905908,43.3840763250851,11.3931249025275
0.033, 1.37,1.37,,,-0.02068938,1.797192,1.337243,,,-0.02103674,1.803914,1.338551,,45.0005634905908,43.1974858074365,11.627033261882
0.045, 1.74,1.74,,,-0.02089584,1.79508,1.335371,,,-0.02136992,1.803581,1.337052,,45.0005634905908,43.0081871198573,11.8511864038258
0.062, 1.8,1.8,,,-0.02250394,1.793111,1.333443,,,-0.02301705,1.801934,1.335215,,45.0005634905908,42.9124620213034,12.0446378463048
0.068, 1.61,1.61,,,-0.02475903,1.791866,1.331421,,,-0.02522402,1.799727,1.333022,,45.0005634905908,42.8932316242303,12.2172239152237
0.077, 1.4,1.4,,,-0.02707159,1.790632,1.329196,,,-0.02748206,1.797469,1.330602,,45.0005634905908,42.8681750759574,12.3311830570332
0.088, 1.44,1.44,,,-0.02828413,1.789209,1.32852,,,-0.02872732,1.796224,1.329963,,45.0005634905908,42.6968602759624,12.3817093800124
0.1, 1.81,1.81,,,-0.02849721,1.787018,1.328871,,,-0.02910491,1.795846,1.330678,,45.0005634905908,42.3742772806286,12.4178905985864
0.11, 2.53,2.53,,,-0.02766374,1.783978,1.329441,,,-0.02863228,1.796319,1.331947,,45.0005634905908,41.8280260867684,12.5153428811786
0.121, 3.46,3.46,,,-0.02563315,1.780898,1.330418,,,-0.02714652,1.797805,1.333837,,45.0005634905908,41.21631094663,12.6974792618387
0.133, 4.35,4.35,,,-0.0237436,1.777807,1.331636,,,-0.02590592,1.799045,1.335897,,45.0005634905908,40.5268887464668,12.9010871953309
0.145, 5.03,5.03,,,-0.02219701,1.775497,1.332567,,,-0.02493846,1.800013,1.337462,,45.0005634905908,39.971328005027,13.1087838507012
0.156, 5.44,5.44,,,-0.02195835,1.773369,1.333262,,,-0.0251006,1.79985,1.338582,,45.0005634905908,39.6168787630072,13.3471267102509
0.166, 5.69,5.69,,,-0.02191848,1.771957,1.333265,,,-0.02533527,1.799616,1.338901,,45.0005634905908,39.3922782436852,13.6172811749746
0.177, 5.59,5.59,,,-0.02368188,1.770683,1.332838,,,-0.02709284,1.797858,1.338482,,45.0005634905908,39.338886656429,13.8550494448764
0.189, 5.3,5.3,,,-0.02590351,1.770073,1.332947,,,-0.02915562,1.795795,1.338393,,45.0005634905908,39.3453889963379,14.0682170816196
0.199, 5.13,5.13,,,-0.02747908,1.769383,1.33378,,,-0.03068415,1.794267,1.339068,,45.0005634905908,39.2291425949937,14.1689495624695
0.21, 4.95,4.95,,,-0.02912998,1.768638,1.334836,,,-0.03230955,1.792642,1.339942,,45.0005634905908,39.035943869507,14.2823358221783
0.221, 4.88,4.88,,,-0.03017307,1.767902,1.335067,,,-0.03339647,1.791555,1.340113,,45.0005634905908,38.840255540137,14.4188277574327
0.232, 4.75,4.75,,,-0.03150318,1.767206,1.334885,,,-0.03471645,1.790235,1.339833,,45.0005634905908,38.6882735900498,14.5810720664623
0.244, 4.58,4.58,,,-0.03308568,1.766545,1.33429,,,-0.03623754,1.788714,1.33911,,45.0005634905908,38.5844478873656,14.7736236315432
0.255, 4.41,4.41,,,-0.03524718,1.765287,1.333893,,,-0.03833556,1.786616,1.338611,,45.0005634905908,38.5002897138492,15.019927076349
