1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointBall3, 1.58,1.58,,,0.04572989,1.863913,1.248491,,,0.04817432,1.871187,1.246659,,2.35609247165187,23.8772393059162,22.6322290435573, 1.964
PointBall1, 10.15,10.15,,,0.2037993,1.756705,1.100608,,,0.2276628,1.798458,1.084456,,34.1393062577053,6.88290437849265,34.4720730648082, 0.998
PointPlane2, 2.28,2.28,,,-0.1206771,1.82071,1.31684,,,-0.1181977,1.831121,1.312924,,29.7499911776726,15.6400723772359,23.7869373774123, 0.958
PointBall2, 4.71,4.71,,,-0.1524221,1.709616,1.037832,,,-0.1510358,1.729762,1.025754,,48.3387398073659,35.1384946035815,30.8619493587022, 0.834
PointPlane1, 2.27,2.27,,,0.04163548,1.641028,1.035432,,,0.04348403,1.65128,1.030974,,44.750001422956,23.3736341044996,24.974157410812, 0.898
PointPyramid, 1.95,1.95,,,0.05453043,1.838663,1.260773,,,0.05790952,1.847754,1.259697,,48.277076861255,45.6028290642755,21.2341764442719, 0.978
PointPlane3, 0.08,0.08,,,0.1303999,1.6439,0.9648664,,,0.1304743,1.644278,0.9647114,,59.7499809323891,38.8609680882187,24.2680917476518, 0.745
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane2, 2.03,2.03,,,-0.1198687,1.79236,1.264902,,,-0.1173269,1.801766,1.262081,,29.7499911776726,19.591174485146,21.7977763181411, 0.821
PointPyramid, 9.8,-9.8,,,0.0855075,1.870983,1.232611,,,0.0680934,1.825852,1.240339,,48.277076861255,43.2537836401037,22.7873699560477, 0.713
PointPlane1, 4.5,4.5,,,0.04856113,1.640603,1.046942,,,0.05423225,1.661625,1.041319,,44.750001422956,33.0905785511575,20.6252309457649, 0.911
PointBall3, 4.79,4.79,,,0.04243841,1.849463,1.263144,,,0.05191913,1.871366,1.261318,,1.94118303711183,25.5516413513301,23.7421330452511, 1.011
PointPlane3, 2.97,-2.97,,,0.1723943,1.64503,0.9525526,,,0.1688608,1.631412,0.9572831,,59.7499809323891,42.7140074653966,23.2414733628322, 0.812
PointBall1, 1.43,-1.43,,,0.2279717,1.794055,1.060372,,,0.225093,1.787763,1.062124,,36.6358086317652,13.2449633048097,28.0451350271443, 0.722
PointBall2, 12.14,-12.14,,,-0.1705966,1.689291,0.9476285,,,-0.1806372,1.632276,0.9658265,,64.3266378508583,59.0215959191898,19.810107655162, 0.845
