経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.61,-0.61,,,-0.1391441,1.614653,1.102901,,,-0.1386951,1.611652,1.103318,,44.8234942563803,33.4600781145946,11.3810866944504
0.011, 0.27,-0.27,,,-0.1377122,1.613976,1.103325,,,-0.1375082,1.61263,1.103514,,44.8234942563803,33.334098693954,11.5092193321669
0.022, 0.13,-0.13,,,-0.1366684,1.613919,1.103378,,,-0.1365684,1.613263,1.10347,,44.8234942563803,33.2858570691887,11.559926655154
0.033, 0.11,-0.11,,,-0.1364667,1.613877,1.103285,,,-0.1363815,1.613319,1.103363,,44.8234942563803,33.2738871630013,11.5738243821809
0.044, 0.22,-0.22,,,-0.136327,1.614543,1.103173,,,-0.1361609,1.613449,1.103325,,44.8234942563803,33.3403312413982,11.505641166915
0.056, 0.19,-0.19,,,-0.1365902,1.614584,1.103802,,,-0.136452,1.61367,1.103929,,44.8234942563803,33.3693322238071,11.4751255900999
0.067, 0.08,-0.08,,,-0.13572,1.614546,1.103806,,,-0.1356641,1.614176,1.103857,,44.8234942563803,33.3467584492284,11.4996306006127
0.077, 0.58,0.58,,,-0.1335638,1.613221,1.105277,,,-0.1340047,1.616071,1.104878,,44.8234942563803,33.2388209727783,11.6131304122133
0.089, 1.25,1.25,,,-0.1306369,1.61252,1.107,,,-0.1316029,1.618658,1.106134,,44.8234942563803,33.0909542115514,11.7662786170689
0.1, 1.74,1.74,,,-0.1282343,1.612397,1.10855,,,-0.1296018,1.620925,1.107339,,44.8234942563803,32.9454097145778,11.9192227700287
0.111, 2.08,2.08,,,-0.1255448,1.612924,1.109431,,,-0.1271955,1.623082,1.107983,,44.8234942563803,32.8347230870633,12.0351916949455
0.122, 1.86,1.86,,,-0.1246796,1.614799,1.109388,,,-0.12615,1.623896,1.108089,,44.8234942563803,32.8643387864803,12.0017340142273
0.133, 1.54,1.54,,,-0.1256039,1.616163,1.109497,,,-0.1268003,1.623673,1.108424,,44.8234942563803,32.9475885448624,11.9099260290533
0.143, 1.28,1.28,,,-0.1231432,1.620685,1.111292,,,-0.1241236,1.626956,1.110389,,44.8234942563803,33.0196709442622,11.8255501432632
0.155, 0.63,0.63,,,-0.121888,1.626465,1.112693,,,-0.1223529,1.629525,1.112253,,44.8234942563803,33.1935402349357,11.641360437041
0.166, 0.03,0.03,,,-0.1208949,1.631564,1.113902,,,-0.1209147,1.631695,1.113883,,44.8234942563803,33.3536569400981,11.4759324061731
0.177, 0.53,-0.53,,,-0.1197565,1.636565,1.115216,,,-0.1193789,1.633984,1.115585,,44.8234942563803,33.4412506986714,11.3867096475281
0.188, 1.1,-1.1,,,-0.1180111,1.641548,1.115774,,,-0.1172341,1.636175,1.116538,,44.8234942563803,33.5292815893394,11.2972964973653
0.199, 1.53,-1.53,,,-0.1152804,1.647789,1.118237,,,-0.1142005,1.640282,1.119313,,44.8234942563803,33.5164340038682,11.3084834931408
0.211, 2.14,-2.14,,,-0.1135545,1.654138,1.120414,,,-0.1120635,1.643649,1.121937,,44.8234942563803,33.5121583055667,11.311321436662
0.222, 2.78,-2.78,,,-0.1116088,1.661258,1.123237,,,-0.1097125,1.64766,1.125259,,44.8234942563803,33.4838983986622,11.3425499144519
0.233, 3.38,-3.38,,,-0.1099788,1.668453,1.126763,,,-0.1077292,1.651908,1.129283,,44.8234942563803,33.4809648324953,11.3573005613277
0.244, 4.18,-4.18,,,-0.1088579,1.675537,1.128989,,,-0.1061403,1.655061,1.132152,,44.8234942563803,33.5281887591026,11.3252251401043
0.255, 4.83,-4.83,,,-0.1070227,1.682593,1.131705,,,-0.10395,1.658904,1.135397,,44.8234942563803,33.5972624602568,11.2723227651337
0.266, 5.61,-5.61,,,-0.1049278,1.690138,1.133892,,,-0.1014289,1.662657,1.138183,,44.8234942563803,33.6813386715055,11.2001498657299
0.277, 6.21,-6.21,,,-0.1028573,1.696411,1.13571,,,-0.0990532,1.665943,1.140456,,44.8234942563803,33.79577507277,11.0959715545396
0.289, 6.9,-6.9,,,-0.1008558,1.703367,1.137902,,,-0.09671839,1.669518,1.143176,,44.8234942563803,33.8996110207376,11.0066967157036
0.3, 7.54,-7.54,,,-0.0986901,1.710327,1.140282,,,-0.09424807,1.673318,1.14608,,44.8234942563803,33.9566465138146,10.9676519403998
0.311, 8.16,-8.16,,,-0.09643167,1.717405,1.142877,,,-0.09170384,1.677369,1.149264,,44.8234942563803,33.9282739087919,11.0269268816886
0.322, 8.56,-8.56,,,-0.09417446,1.723947,1.146494,,,-0.08929803,1.681972,1.153369,,44.8234942563803,33.8480601694115,11.1522070617324
0.333, 9.02,-9.02,,,-0.09125509,1.731038,1.14975,,,-0.08619878,1.686829,1.157138,,44.8234942563803,33.8000063748431,11.2424961836319
0.344, 9.58,-9.58,,,-0.08893385,1.737423,1.151813,,,-0.0836489,1.690475,1.159745,,44.8234942563803,33.8062355071928,11.2696846046402
0.355, 10.11,-10.11,,,-0.08671847,1.743789,1.154241,,,-0.08124381,1.694238,1.162662,,44.8234942563803,33.8562768867543,11.2503585849214
0.367, 10.58,-10.58,,,-0.08377417,1.750092,1.156427,,,-0.07814109,1.698262,1.165249,,44.8234942563803,33.9213037009379,11.2076545358716
0.378, 10.95,-10.95,,,-0.08090156,1.75646,1.159496,,,-0.07517443,1.702791,1.168688,,44.8234942563803,33.9641802122595,11.1980922712997
0.389, 11.33,-11.33,,,-0.07857789,1.762264,1.162276,,,-0.07275516,1.706761,1.171883,,44.8234942563803,33.9734453636108,11.2297544660898
0.4, 11.56,-11.56,,,-0.07548901,1.767979,1.165317,,,-0.06962506,1.711311,1.175188,,44.8234942563803,33.9939359305506,11.239343197644
0.411, 11.76,-11.76,,,-0.07299871,1.773096,1.168432,,,-0.06711483,1.715455,1.178537,,44.8234942563803,34.0117866294497,11.252931004846
0.422, 11.82,-11.82,,,-0.06982372,1.778178,1.172036,,,-0.06398465,1.720283,1.182235,,44.8234942563803,34.0326972530118,11.258652995664
0.433, 11.84,-11.84,,,-0.06659569,1.782622,1.174933,,,-0.06080909,1.724622,1.185197,,44.8234942563803,34.0499024990523,11.2662413356207
0.444, 11.8,-11.8,,,-0.06385323,1.786451,1.177937,,,-0.0581315,1.728654,1.18822,,44.8234942563803,34.048290574453,11.2906532848086
0.455, 11.63,-11.63,,,-0.06078445,1.790214,1.181545,,,-0.05514254,1.733246,1.191725,,44.8234942563803,34.0181045542562,11.3300062723902
0.467, 11.37,-11.37,,,-0.05703001,1.793965,1.18517,,,-0.05150041,1.73826,1.195174,,44.8234942563803,33.977294175101,11.3780395763917
0.478, 10.96,-10.96,,,-0.05297005,1.797055,1.188856,,,-0.04759108,1.743411,1.198549,,44.8234942563803,33.8955812092394,11.4583250327564
0.489, 10.54,-10.54,,,-0.04914308,1.800265,1.192903,,,-0.04394651,1.74866,1.202328,,44.8234942563803,33.8087899978713,11.5625170043246
0.5, 9.97,-9.97,,,-0.0454725,1.802919,1.19767,,,-0.04055841,1.754137,1.206685,,44.8234942563803,33.7305911642399,11.6671751362907
0.511, 9.62,-9.62,,,-0.04186463,1.806137,1.201507,,,-0.03713188,1.759088,1.210261,,44.8234942563803,33.6922738040624,11.7236642142494
0.522, 9.23,-9.23,,,-0.03906171,1.808714,1.205599,,,-0.03454979,1.763572,1.214019,,44.8234942563803,33.7025703139496,11.7296295305497
0.533, 8.85,-8.85,,,-0.03551461,1.811193,1.208721,,,-0.03120061,1.767896,1.216786,,44.8234942563803,33.7240956545199,11.7100089589312
0.544, 8.5,-8.5,,,-0.03186055,1.814228,1.212291,,,-0.02771872,1.772639,1.220012,,44.8234942563803,33.7483086744538,11.6784338490505
0.555, 8.18,-8.18,,,-0.02835091,1.816612,1.214893,,,-0.0243822,1.776589,1.222261,,44.8234942563803,33.8215043946574,11.5919901235467
0.566, 7.92,-7.92,,,-0.02567254,1.819134,1.21797,,,-0.02186606,1.780364,1.225084,,44.8234942563803,33.8838401143829,11.5375629088864
0.578, 7.51,-7.51,,,-0.02236998,1.82167,1.221734,,,-0.01879688,1.78492,1.228458,,44.8234942563803,33.9424670414923,11.4873926095079
0.589, 7.19,-7.19,,,-0.01923747,1.82425,1.224934,,,-0.01586328,1.789053,1.23137,,44.8234942563803,34.005229648029,11.4447705227257
0.6, 6.94,-6.94,,,-0.01675536,1.826856,1.228215,,,-0.01354592,1.792859,1.234434,,44.8234942563803,34.0639214619337,11.4113845589918
0.611, 6.61,-6.61,,,-0.01368861,1.829347,1.231503,,,-0.01068173,1.796972,1.237386,,44.8234942563803,34.1711485987298,11.3138460452637
