経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.17,0.17,,,0.4633321,1.558314,1.281805,,,0.4638248,1.559002,1.281998,,45.0005634905908,15.8450907447524,37.6727064509997
0.011, 1.28,1.28,,,0.4624839,1.551666,1.28125,,,0.4660639,1.556763,1.2827,,45.0005634905908,16.3797476928191,37.2523561306069
0.021, 2.66,2.66,,,0.4624477,1.54242,1.279128,,,0.4697249,1.553102,1.282232,,45.0005634905908,17.1890994737339,36.625652140752
0.033, 3.67,3.67,,,0.4644433,1.533702,1.278107,,,0.4742284,1.548598,1.282469,,45.0005634905908,17.981773640707,35.82580627535
0.045, 4.58,4.58,,,0.4669197,1.52523,1.279753,,,0.4787942,1.544032,1.28515,,45.0005634905908,18.5731843365553,34.8537201193462
0.055, 4.93,4.93,,,0.4678923,1.521944,1.282273,,,0.4804577,1.542369,1.287927,,45.0005634905908,18.7707407226112,34.1067296713655
0.066, 5.1,5.1,,,0.4679632,1.520755,1.283895,,,0.4808271,1.541999,1.289589,,45.0005634905908,18.8159856019616,33.6133407251156
0.077, 5,5,,,0.4657898,1.5235,1.28433,,,0.4784341,1.544392,1.289793,,45.0005634905908,18.6226451500536,33.4957385312589
0.088, 4.83,4.83,,,0.4641855,1.526251,1.284886,,,0.4764377,1.546389,1.290067,,45.0005634905908,18.3833819225388,33.5457491749701
0.099, 4.83,4.83,,,0.4619901,1.528346,1.285226,,,0.4743643,1.548462,1.290389,,45.0005634905908,18.1352718927478,33.781619506109
0.111, 4.84,4.84,,,0.4609494,1.529363,1.285121,,,0.4733609,1.549466,1.290297,,45.0005634905908,18.0849521829853,33.8764088687727
0.121, 5.02,5.02,,,0.460992,1.528102,1.285238,,,0.473874,1.548953,1.29065,,45.0005634905908,18.135029421039,33.9248041727901
0.134, 5.2,5.2,,,0.4607818,1.527116,1.284681,,,0.4741019,1.548725,1.29033,,45.0005634905908,18.2407761143738,33.9033812850545
0.144, 5.74,5.74,,,0.4603295,1.524001,1.283862,,,0.4749214,1.547905,1.290202,,45.0005634905908,18.5623636096638,33.7467240706105
0.155, 5.92,5.92,,,0.4608255,1.522374,1.28278,,,0.4757702,1.547056,1.289393,,45.0005634905908,18.8140475358386,33.6099188004367
0.166, 6.19,6.19,,,0.460307,1.521118,1.282434,,,0.4758701,1.546956,1.289373,,45.0005634905908,18.9416047301335,33.5070356638318
0.177, 6.19,6.19,,,0.4599698,1.521476,1.282523,,,0.4755074,1.547319,1.289455,,45.0005634905908,18.9698646370381,33.4617378505168
