経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.54,-0.54,,,0.1144575,1.758212,1.652316,,,0.1143942,1.755545,1.652097,,45.0990206647368,40.1104077281312,5.12357619018889
0.011, 0.38,0.38,,,0.1129404,1.753875,1.651767,,,0.1129809,1.755789,1.651917,,45.0494744738762,40.2678606595913,4.895329630612
0.023, 2.17,2.17,,,0.1150989,1.747161,1.648765,,,0.1151819,1.75796,1.649606,,44.6063147373849,39.8886929636531,4.72202596496341
0.033, 2.83,2.83,,,0.1150811,1.743367,1.649086,,,0.1151174,1.757481,1.6501,,44.7044918737827,40.3451886441278,4.36004003629107
0.044, 2.52,2.52,,,0.1176449,1.740204,1.65395,,,0.1175519,1.752787,1.654676,,45.6563265194609,42.140660911853,3.57582441803944
0.055, 2.53,2.53,,,0.1193268,1.736983,1.657058,,,0.1191256,1.74962,1.657672,,46.2898572832013,43.3316136435302,3.1676790050236
0.066, 2.54,2.54,,,0.1210257,1.73515,1.658731,,,0.1207509,1.747855,1.659258,,46.639887392951,44.1262753954964,2.90090292252403
0.077, 2.92,2.92,,,0.1208845,1.732866,1.659128,,,0.1205322,1.747456,1.659654,,46.7188443775592,44.52284982805,2.69783798905576
0.088, 3.59,3.59,,,0.1211932,1.730827,1.657737,,,0.1207201,1.74876,1.658393,,46.4605334605266,44.251390797231,2.78839242110847
0.1, 4.07,4.07,,,0.1205221,1.729719,1.656506,,,0.1199894,1.750031,1.657218,,46.208048694694,44.0795500726846,2.71223816185954
0.111, 3.94,3.94,,,0.1164324,1.732182,1.654943,,,0.1160855,1.751882,1.655651,,45.8381939614299,43.6019388629784,2.516450581306
0.122, 3.74,3.74,,,0.1134197,1.734632,1.653701,,,0.1132351,1.753316,1.654377,,45.5499941374211,43.2578236968853,2.39130124206987
0.134, 2.22,2.22,,,0.1084758,1.741625,1.65477,,,0.1085259,1.752725,1.655132,,45.6691228785148,43.5457059171066,2.13313290523227
0.145, 1.42,1.42,,,0.1054436,1.746268,1.654365,,,0.1055396,1.753351,1.654581,,45.5431229673073,43.5381756337562,2.1426537617835
0.155, 1.05,1.05,,,0.103804,1.74875,1.653793,,,0.1039065,1.754015,1.653946,,45.4093093199067,43.4877210277613,2.21964343852204
0.166, 1.67,1.67,,,0.1051892,1.748137,1.651185,,,0.1053123,1.756485,1.651447,,44.9079700336842,42.8520080186419,2.21531843479389
0.177, 2.62,2.62,,,0.1079939,1.74476,1.649546,,,0.1080874,1.757847,1.650002,,44.6298208327594,42.3733312994548,2.2844762326499
0.189, 3.5,3.5,,,0.1078781,1.743781,1.645805,,,0.1079495,1.761292,1.64644,,43.9197578014988,41.5874121893829,2.33891689424477
0.199, 3.14,3.14,,,0.1036872,1.747298,1.644215,,,0.1038871,1.762995,1.644722,,43.5652368424947,41.4613234857186,2.22316760259228
0.211, 2.73,2.73,,,0.09960891,1.751269,1.642287,,,0.09990385,1.764895,1.642713,,43.1672144098774,41.1455911699317,2.38704133858044
0.222, 2.81,2.81,,,0.09743914,1.752685,1.640244,,,0.09778078,1.766746,1.640695,,42.7763909964449,40.723833830609,2.50811412221257
0.233, 3.52,3.52,,,0.09560906,1.753807,1.63487,,,0.09607314,1.771389,1.635519,,41.7828409715716,39.4726900585461,2.8033750809662
0.244, 4.08,4.08,,,0.09476388,1.753599,1.631754,,,0.09526902,1.774001,1.632526,,41.2155596258422,38.8524166916158,2.80030106903841
0.256, 4.27,4.27,,,0.09548621,1.753943,1.630295,,,0.09594404,1.775259,1.631082,,40.939951255218,38.6138996622472,2.66616320110467
0.266, 4.64,4.64,,,0.09744357,1.753551,1.628578,,,0.09779622,1.776752,1.629362,,40.6108215237469,38.445357918978,2.35060334758946
0.278, 5.02,5.02,,,0.09812944,1.754032,1.625719,,,0.09844974,1.779137,1.626535,,40.080310500391,37.9817588419642,2.23361928583544
0.288, 4.98,4.98,,,0.09707778,1.756111,1.623496,,,0.0974286,1.781012,1.62426,,39.6591951988325,37.670889620731,2.16238425675591
0.3, 5.11,5.11,,,0.09678371,1.757414,1.621125,,,0.09716002,1.782932,1.621901,,39.2240438589202,37.2531211117726,2.16274625677185
0.31, 5.28,5.28,,,0.09633485,1.758104,1.619132,,,0.09675102,1.784502,1.619942,,38.8651276733075,36.8813470954052,2.2015820709816
0.322, 5.44,5.44,,,0.09693877,1.758725,1.617354,,,0.09736824,1.785903,1.618185,,38.5422168289026,36.5626880436404,2.19650894811675
0.333, 6.32,6.32,,,0.09643096,1.760518,1.60911,,,0.0969473,1.792099,1.610124,,37.086618179914,35.0244987495062,2.28832845923459
0.344, 6.55,6.55,,,0.09669021,1.761781,1.605807,,,0.09725068,1.79451,1.606874,,36.5064414373905,34.4157274208182,2.33363907915392
0.355, 7.03,7.03,,,0.09742185,1.763072,1.600644,,,0.09805994,1.798173,1.601807,,35.6097127564025,33.4890107951137,2.38589301305818
