経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.88,-0.88,,,0.2155933,1.813279,1.287636,,,0.2132878,1.809539,1.287133,,45.0005634905908,14.8322898322392,32.2995231389727
0.011, 0.8,-0.8,,,0.2151563,1.813115,1.287214,,,0.2130816,1.809745,1.286763,,45.0005634905908,14.8491962575118,32.2692346659411
0.022, 0.62,-0.62,,,0.2140479,1.813016,1.287452,,,0.2124337,1.810393,1.287102,,45.0005634905908,14.8522869180252,32.2486109103162
0.033, 0.44,-0.44,,,0.2128015,1.81306,1.287079,,,0.2116452,1.811181,1.28683,,45.0005634905908,14.8322898322392,32.2475897970637
0.044, 0.45,-0.45,,,0.2122712,1.813611,1.286778,,,0.2111074,1.811719,1.286529,,45.0005634905908,14.8266993225591,32.2237660979017
0.055, 0.27,-0.27,,,0.2113411,1.813331,1.287017,,,0.2106391,1.812187,1.286867,,45.0005634905908,14.8636216166374,32.159121774301
0.066, 0.09,-0.09,,,0.2107776,1.812674,1.286597,,,0.2105408,1.812286,1.286547,,45.0005634905908,14.9697439703661,32.0223950513004
0.077, 0,0,,,0.2101511,1.812692,1.286159,,,0.2101448,1.812682,1.286157,,45.0005634905908,15.0654554085421,31.9009850270874
0.089, 0.09,0.09,,,0.210006,1.812231,1.286294,,,0.2102286,1.812598,1.286341,,45.0005634905908,15.1401127891874,31.8078758909128
0.1, 0.09,0.09,,,0.2106336,1.811607,1.286347,,,0.2108544,1.811972,1.286394,,45.0005634905908,15.139629553317,31.8042900416983
0.111, 0,0,,,0.2112089,1.811651,1.286448,,,0.2111963,1.81163,1.286446,,45.0005634905908,15.1260374772469,31.8131044005769
0.122, 0.01,-0.01,,,0.2112534,1.811615,1.286567,,,0.2112375,1.811589,1.286563,,45.0005634905908,15.1250300243724,31.8086135513226
0.133, 0.1,-0.1,,,0.2126242,1.810867,1.286731,,,0.2123738,1.810453,1.286679,,45.0005634905908,15.1384274400566,31.7892943617928
0.144, 0.1,-0.1,,,0.2132386,1.810253,1.286737,,,0.212988,1.809839,1.286684,,45.0005634905908,15.1367130626226,31.7972993432773
0.156, 0.37,-0.37,,,0.2156485,1.80967,1.287301,,,0.2147082,1.808118,1.287101,,45.0005634905908,15.1296369868394,31.8230764764876
0.168, 0.45,-0.45,,,0.2178069,1.808126,1.287914,,,0.2166328,1.806194,1.287664,,45.0005634905908,15.0734808805935,31.9013538572923
0.177, 0.64,-0.64,,,0.2205144,1.806655,1.288656,,,0.2188695,1.803957,1.288306,,45.0005634905908,14.9976145564988,31.9918470310876
0.188, 0.82,-0.82,,,0.2230334,1.805384,1.28963,,,0.2209153,1.801911,1.289181,,45.0005634905908,14.9820212350575,31.9958870878692
0.2, 1,-1,,,0.2265003,1.803182,1.29085,,,0.2239064,1.79892,1.290303,,45.0005634905908,15.0093027173907,31.9363858965704
0.21, 1.1,-1.1,,,0.2301215,1.800219,1.292721,,,0.2272843,1.795542,1.292127,,45.0005634905908,15.0618678517803,31.8454794963419
0.222, 1.2,-1.2,,,0.2330203,1.797974,1.293889,,,0.229941,1.792886,1.293248,,45.0005634905908,15.1017800610847,31.7726935874771
0.232, 1.29,-1.29,,,0.2363043,1.795328,1.294835,,,0.232986,1.789841,1.294145,,45.0005634905908,15.1142810144652,31.7516668507023
0.244, 1.38,-1.38,,,0.2393605,1.792882,1.295444,,,0.23581,1.787017,1.294703,,45.0005634905908,15.1067746367762,31.7821226633639
0.254, 1.37,-1.37,,,0.2415384,1.790664,1.295572,,,0.237997,1.78483,1.294822,,45.0005634905908,15.0830772961103,31.8702423464887
