経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.89,-0.89,,,-0.271059,1.559516,1.353441,,,-0.2692604,1.555691,1.352102,,45.0005634905908,26.2517647500777,30.5315594573643
0.01, 0.27,-0.27,,,-0.2694437,1.557249,1.353622,,,-0.2688855,1.556066,1.353205,,45.0005634905908,26.2572459767341,30.6265537256973
0.021, 0.18,0.18,,,-0.2688111,1.555,1.352963,,,-0.2691766,1.555774,1.353238,,45.0005634905908,26.3088121959854,30.692048407826
0.033, 0.41,0.41,,,-0.2683117,1.554023,1.35207,,,-0.2691507,1.5558,1.352704,,45.0005634905908,26.3859216144745,30.7593940711683
0.043, 0.43,0.43,,,-0.2686117,1.553631,1.350908,,,-0.2694774,1.555474,1.351571,,45.0005634905908,26.5553820181615,30.7519218444242
0.054, 0.54,0.54,,,-0.2685889,1.552968,1.350825,,,-0.2696708,1.55528,1.351656,,45.0005634905908,26.6270682666005,30.6954191060876
0.066, 0.47,0.47,,,-0.2690972,1.552887,1.350876,,,-0.2700407,1.55491,1.351604,,45.0005634905908,26.6901143259799,30.6427139528239
0.077, 0.6,0.6,,,-0.2689153,1.552272,1.350707,,,-0.27011,1.554841,1.351633,,45.0005634905908,26.7671844708823,30.6238592161447
0.088, 0.64,0.64,,,-0.2686481,1.552274,1.351164,,,-0.2699252,1.555026,1.352157,,45.0005634905908,26.8207468128631,30.6035803850633
0.099, 0.73,0.73,,,-0.268619,1.551722,1.350367,,,-0.2700806,1.55487,1.351506,,45.0005634905908,26.8383618702423,30.6290706503364
0.11, 0.82,0.82,,,-0.2680039,1.551803,1.350096,,,-0.2696349,1.555316,1.35137,,45.0005634905908,26.8659353431544,30.6604587837938
0.121, 0.84,0.84,,,-0.2671811,1.552458,1.350038,,,-0.2688671,1.556084,1.351354,,45.0005634905908,26.847671417822,30.6896441813051
0.134, 0.87,0.87,,,-0.2670393,1.552421,1.349612,,,-0.2687828,1.556168,1.350969,,45.0005634905908,26.8144937748519,30.6853275018698
0.145, 1.04,1.04,,,-0.2655218,1.552857,1.349725,,,-0.2676106,1.55734,1.35134,,45.0005634905908,26.7257901105694,30.6496807455834
