経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.62,-0.62,,,0.4972176,1.562344,1.379479,,,0.496651,1.559283,1.379494,,46.050527461344,35.5628952260394,10.4878858060704
0.01, 0.22,-0.22,,,0.496172,1.561086,1.379288,,,0.4959684,1.559991,1.379291,,46.050527461344,35.517573507063,10.533023963718
0.021, 0.17,0.17,,,0.4947338,1.560243,1.379794,,,0.4948967,1.561103,1.379793,,46.050527461344,35.3231760834103,10.7282179581605
0.033, 0.36,0.36,,,0.4939708,1.559969,1.38116,,,0.4943056,1.561716,1.381157,,46.050527461344,35.1991500968179,10.8520074494594
0.044, 0.78,0.78,,,0.4933674,1.5581,1.382242,,,0.4941006,1.561928,1.382236,,46.050527461344,35.2088831161144,10.84246226036
0.056, 1.26,1.26,,,0.4938865,1.554715,1.383561,,,0.495066,1.560927,1.383559,,46.050527461344,35.2977028936096,10.7548966763162
0.066, 1.87,1.87,,,0.49538,1.549646,1.386369,,,0.4970893,1.558828,1.386391,,46.050527461344,35.5045927329066,10.5524541438187
0.077, 2.17,2.17,,,0.496537,1.54667,1.387843,,,0.4985001,1.557364,1.387883,,46.050527461344,35.6488497392575,10.4117420055484
0.089, 2.24,2.24,,,0.497628,1.545178,1.388713,,,0.4996377,1.556184,1.388766,,46.050527461344,35.7030643642859,10.3611268901125
0.1, 2.19,2.19,,,0.4976977,1.545368,1.389251,,,0.4996834,1.556137,1.389309,,46.050527461344,35.6035314353756,10.4620010973837
0.113, 2.1,2.1,,,0.4965889,1.547045,1.388759,,,0.4985191,1.557345,1.388811,,46.050527461344,35.4374895412731,10.626731595202
0.123, 2.31,2.31,,,0.4946605,1.547714,1.389035,,,0.4968511,1.559075,1.389104,,46.050527461344,35.1373437167384,10.9297845189213
0.133, 2.18,2.18,,,0.4936487,1.5495,1.388729,,,0.4957593,1.560207,1.3888,,46.050527461344,34.9004044610241,11.1688454020875
0.144, 2.06,2.06,,,0.4919321,1.551979,1.386737,,,0.4939664,1.562068,1.386807,,46.050527461344,34.6522124689653,11.417596615869
0.155, 1.81,1.81,,,0.4911206,1.554264,1.386027,,,0.492931,1.563142,1.386077,,46.050527461344,34.5240439727567,11.5411308288548
0.166, 1.6,1.6,,,0.4901192,1.556552,1.384773,,,0.4917284,1.564389,1.384795,,46.050527461344,34.4470677429527,11.6101780630267
0.177, 1.34,1.34,,,0.4886736,1.559569,1.383257,,,0.4900389,1.566142,1.383259,,46.050527461344,34.3148284541119,11.7381766582845
0.188, 1.01,1.01,,,0.4871032,1.563158,1.381371,,,0.4881439,1.568107,1.381364,,46.050527461344,34.1773094291897,11.8740128953968
0.2, 1,1,,,0.4844049,1.566017,1.378543,,,0.4854435,1.570909,1.378533,,46.050527461344,34.0631701411459,11.9876510183243
0.21, 0.89,0.89,,,0.4817908,1.569375,1.375412,,,0.4827222,1.573732,1.375401,,46.050527461344,33.9813103262212,12.0693742294693
0.221, 0.95,0.95,,,0.4794135,1.571512,1.372658,,,0.4804072,1.576133,1.372642,,46.050527461344,33.9144257006351,12.1360915154254
0.232, 0.89,0.89,,,0.477085,1.574282,1.370065,,,0.4780199,1.578609,1.370043,,46.050527461344,33.8623694153244,12.1885781026418
0.243, 0.93,0.93,,,0.4741866,1.576996,1.36671,,,0.4751763,1.581559,1.366682,,46.050527461344,33.8157158094969,12.2360752368083
0.255, 1.06,1.06,,,0.4714851,1.579037,1.363429,,,0.4726111,1.58422,1.36339,,46.050527461344,33.7971240350935,12.2562003886378
0.266, 1.27,1.27,,,0.4684706,1.580904,1.359353,,,0.4698163,1.587119,1.3593,,46.050527461344,33.8353491877198,12.21946677853
0.277, 1.35,1.35,,,0.4663275,1.582658,1.355879,,,0.4677486,1.589264,1.355816,,46.050527461344,33.9129435496264,12.1436422893427
0.288, 1.61,1.61,,,0.4639016,1.583642,1.352929,,,0.4655782,1.591516,1.35285,,46.050527461344,34.0344901776191,12.0234753595241
0.299, 1.88,1.88,,,0.4613668,1.584697,1.349464,,,0.4633031,1.593876,1.349363,,46.050527461344,34.1422808050061,11.9179327180851
0.311, 2.05,2.05,,,0.458585,1.586535,1.346256,,,0.4606935,1.596583,1.34613,,46.050527461344,34.2054019964642,11.8590991777591
0.321, 2.18,2.18,,,0.4553305,1.589175,1.343022,,,0.4575655,1.599828,1.342871,,46.050527461344,34.2081682230011,11.8618244231621
0.332, 2.3,2.3,,,0.4527499,1.591103,1.339502,,,0.4551118,1.602373,1.339332,,46.050527461344,34.2225355255204,11.850853432113
0.343, 2.44,2.44,,,0.4494385,1.593713,1.336064,,,0.4519449,1.605658,1.335873,,46.050527461344,34.2105895249945,11.8668574186667
0.354, 2.55,2.55,,,0.4470395,1.595585,1.332013,,,0.4496462,1.608043,1.331801,,46.050527461344,34.2433095453029,11.8384583466617
0.366, 2.53,2.53,,,0.4447281,1.59809,1.32879,,,0.447309,1.610467,1.328562,,46.050527461344,34.2844546037181,11.804551581018
0.377, 2.31,2.31,,,0.4428671,1.601357,1.325875,,,0.4452167,1.612638,1.325641,,46.050527461344,34.3018032837272,11.7998763166612
0.388, 2.33,2.33,,,0.4400325,1.604136,1.323456,,,0.442417,1.615542,1.323197,,46.050527461344,34.2620276782025,11.8517848991352
0.399, 2.18,2.18,,,0.4376481,1.607503,1.320088,,,0.4398899,1.618163,1.319834,,46.050527461344,34.196792543255,11.9240004872201
0.41, 2.32,2.32,,,0.4340674,1.610341,1.316709,,,0.4364847,1.621696,1.316443,,46.050527461344,34.0536659331803,12.0640483896122
0.421, 2.32,2.32,,,0.4315971,1.612901,1.313697,,,0.4340271,1.624245,1.313445,,46.050527461344,33.9799818544646,12.1301116849735
0.432, 2.28,2.28,,,0.4287757,1.616079,1.310511,,,0.4311692,1.62721,1.310265,,46.050527461344,33.9333384939206,12.1755179275385
0.443, 1.97,1.97,,,0.4272509,1.61949,1.308294,,,0.4293287,1.629119,1.308059,,46.050527461344,33.8960900583184,12.228144533629
0.455, 1.78,1.78,,,0.4249254,1.623044,1.305673,,,0.4268099,1.631732,1.305434,,46.050527461344,33.8430468107002,12.3040970888596
0.466, 1.58,1.58,,,0.4226368,1.626626,1.303805,,,0.4243142,1.63432,1.303567,,46.050527461344,33.7920492046814,12.3838438140686
0.477, 1.28,1.28,,,0.420941,1.630164,1.301127,,,0.422308,1.636402,1.300917,,46.050527461344,33.7361236173136,12.4664412894031
0.488, 1.23,1.23,,,0.4186043,1.632875,1.298852,,,0.4199254,1.638873,1.298645,,46.050527461344,33.6784938977953,12.531107811118
0.499, 1.32,1.32,,,0.4161159,1.634914,1.295512,,,0.4175419,1.641346,1.295293,,46.050527461344,33.5975527432885,12.6070159701202
0.51, 1.42,1.42,,,0.4137349,1.636752,1.292237,,,0.4152811,1.643691,1.292014,,46.050527461344,33.5317370422777,12.654058042946
0.521, 1.39,1.39,,,0.4114691,1.639268,1.289377,,,0.4129909,1.646067,1.289165,,46.050527461344,33.4737214170821,12.7029468281172
0.532, 1.23,1.23,,,0.4098862,1.641863,1.286297,,,0.4112386,1.647884,1.286107,,46.050527461344,33.4333413398326,12.7445324337216
0.543, 0.96,0.96,,,0.4082704,1.645188,1.283589,,,0.4093251,1.649869,1.283435,,46.050527461344,33.3985415269798,12.7911851857754
0.555, 0.84,0.84,,,0.4063359,1.647928,1.281424,,,0.4072568,1.652015,1.28128,,46.050527461344,33.4055390555898,12.8106059743663
0.566, 0.48,0.48,,,0.4052901,1.651181,1.27935,,,0.4058138,1.653512,1.279261,,46.050527461344,33.451082755708,12.7958732567366
0.577, 0.25,0.25,,,0.4042839,1.653627,1.276645,,,0.4045513,1.654821,1.276598,,46.050527461344,33.5073464374304,12.7544054718921
0.588, 0.12,0.12,,,0.4027225,1.655991,1.274354,,,0.4028541,1.656582,1.27433,,46.050527461344,33.5696821571558,12.7008815497243
