経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.87,-0.87,,,0.3835258,1.647779,1.27979,,,0.3821468,1.643707,1.280428,,45.0005395849294,27.522203806009,20.360993132245
0.01, 0.08,0.08,,,0.3785332,1.646841,1.280636,,,0.3786567,1.647197,1.280582,,45.0005395849294,27.0368130110547,20.6892110334873
0.021, 0.73,0.73,,,0.3749645,1.646272,1.279984,,,0.376172,1.649681,1.279472,,45.0005395849294,26.6583010132585,20.94253249747
0.032, 1.37,1.37,,,0.3718957,1.645253,1.278908,,,0.3741963,1.651657,1.277975,,45.0005395849294,26.3437486126179,21.0959675702627
0.044, 1.8,1.8,,,0.3698156,1.64463,1.279103,,,0.3728448,1.653009,1.277906,,45.0005395849294,26.1903869643567,21.1534760539266
0.055, 2,2,,,0.3687072,1.644472,1.278896,,,0.3720711,1.653782,1.277572,,45.0005395849294,26.1908428794711,21.1301355906349
0.066, 2.17,2.17,,,0.3676993,1.644383,1.279562,,,0.3713502,1.654503,1.278123,,45.0005395849294,26.2199053335807,21.104828032917
0.077, 1.71,1.71,,,0.3694873,1.645508,1.280115,,,0.3723459,1.653507,1.278952,,45.0005395849294,26.4305568994585,21.0047486888883
0.088, 1.85,1.85,,,0.3686719,1.645504,1.280572,,,0.371738,1.654115,1.279308,,45.0005395849294,26.5139944880375,20.9686289420151
0.099, 2.15,2.15,,,0.3661345,1.646107,1.281143,,,0.3696941,1.656159,1.27965,,45.0005395849294,26.6368132387276,20.9114858734616
0.11, 2.17,2.17,,,0.364021,1.648157,1.281978,,,0.3675875,1.658266,1.28045,,45.0005395849294,26.7391824036118,20.9017630994487
0.121, 2.05,2.05,,,0.3617789,1.651117,1.28138,,,0.3651661,1.660687,1.279913,,45.0005395849294,26.7167520630017,20.9937042733077
0.132, 1.88,1.88,,,0.3589929,1.654978,1.281376,,,0.3621175,1.663736,1.280014,,45.0005395849294,26.6125336244512,21.166296318642
0.144, 1.75,1.75,,,0.3558074,1.658983,1.281206,,,0.3587397,1.667113,1.279926,,45.0005395849294,26.4531357966789,21.3812304130101
0.155, 1.66,1.66,,,0.351682,1.663648,1.280133,,,0.3544982,1.671355,1.278911,,45.0005395849294,26.2415331269857,21.6213252160332
0.166, 1.63,1.63,,,0.3479867,1.667499,1.279725,,,0.3507825,1.675071,1.278515,,45.0005395849294,26.0729999214528,21.8161631868751
0.177, 1.48,1.48,,,0.3452693,1.671203,1.279428,,,0.347812,1.678041,1.278327,,45.0005395849294,25.9679925960751,21.961110042313
0.188, 1.27,1.27,,,0.3424872,1.675305,1.27932,,,0.3446757,1.681178,1.278364,,45.0005395849294,25.9599585862875,22.0321115643068
0.199, 0.93,0.93,,,0.3406126,1.679307,1.279351,,,0.3422232,1.68363,1.278637,,45.0005395849294,25.9981359275909,22.0708694716735
0.21, 0.67,0.67,,,0.3385693,1.683042,1.279342,,,0.3397173,1.686136,1.278826,,45.0005395849294,26.1037767529965,22.0394198665153
0.222, 0.41,0.41,,,0.3364301,1.686849,1.278757,,,0.3371253,1.688728,1.27844,,45.0005395849294,26.1950980872056,22.026502271607
0.232, 0.26,0.26,,,0.3342985,1.689925,1.278547,,,0.3347375,1.691116,1.278345,,45.0005395849294,26.2716696283125,22.000197506298
0.243, 0.07,-0.07,,,0.331764,1.694505,1.278446,,,0.3316519,1.694201,1.278498,,45.0005395849294,26.2926639216896,22.0425241874067
0.255, 0.36,-0.36,,,0.3287739,1.699353,1.277751,,,0.3281592,1.697694,1.27804,,45.0005395849294,26.2574013635334,22.1482486826273
0.267, 0.5,-0.5,,,0.324741,1.704301,1.277369,,,0.323875,1.701978,1.277776,,45.0005395849294,26.1580323591587,22.2895874907366
0.277, 0.72,-0.72,,,0.3211373,1.709268,1.276811,,,0.3198934,1.70596,1.277394,,45.0005395849294,26.0229551267968,22.446533280665
0.288, 0.77,-0.77,,,0.3173504,1.7134,1.276289,,,0.3160067,1.709847,1.276917,,45.0005395849294,25.9388925759261,22.550664634306
0.299, 0.91,-0.91,,,0.3141829,1.71748,1.275669,,,0.3125836,1.71327,1.276416,,45.0005395849294,25.8641071292374,22.6391241193325
0.311, 0.86,-0.86,,,0.3100812,1.721248,1.274761,,,0.3085719,1.717282,1.275462,,45.0005395849294,25.8208054386518,22.6624372618683
0.321, 1.01,-1.01,,,0.3071566,1.72513,1.274027,,,0.3053803,1.720473,1.274851,,45.0005395849294,25.7830805973683,22.7025902353342
0.332, 0.92,-0.92,,,0.3034004,1.728302,1.274156,,,0.301786,1.724067,1.274908,,45.0005395849294,25.8061307776284,22.7074396695099
0.344, 1.13,-1.13,,,0.3007472,1.732315,1.274599,,,0.2987567,1.727097,1.275535,,45.0005395849294,25.8260817596388,22.7532395017149
0.355, 1.17,-1.17,,,0.2977252,1.735603,1.275095,,,0.2956631,1.73019,1.276077,,45.0005395849294,25.8820124696483,22.768448625026
0.366, 0.98,-0.98,,,0.293986,1.738082,1.27508,,,0.2922723,1.733581,1.275897,,45.0005395849294,25.8976006684478,22.7626583323183
