経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.2,-0.2,,,0.0994721,1.789647,1.614587,,,0.09932762,1.788659,1.614673,,37.9007493855676,43.2884536793659,9.5199993625157
0.011, 0.25,0.25,,,0.09826811,1.785441,1.617299,,,0.09844884,1.786693,1.617194,,38.3593351038701,43.6077376934224,9.36225102538212
0.022, 0.81,0.81,,,0.09780455,1.781489,1.619037,,,0.09838223,1.785499,1.618708,,38.6356299084868,43.7655013984812,9.2952332111109
0.033, 1.23,1.23,,,0.09730049,1.777591,1.621501,,,0.09817506,1.783657,1.621015,,39.0587259648496,44.0796252047634,9.25119471388908
0.044, 1.74,1.74,,,0.09702364,1.774375,1.622555,,,0.09826802,1.782955,1.621885,,39.2187231417048,44.1209410179031,9.23707842081477
0.055, 2.28,2.28,,,0.09612382,1.771109,1.623442,,,0.09776604,1.782379,1.62259,,39.3497569021906,44.132559169358,9.21036128284609
0.066, 2.83,2.83,,,0.09608779,1.767777,1.624391,,,0.09812415,1.781749,1.623367,,39.4925317575328,44.1322415655704,9.15553535590407
0.077, 3.51,3.51,,,0.09582251,1.764312,1.624714,,,0.09833101,1.781656,1.623483,,39.5136609471423,44.0096533337583,9.04493922839355
0.089, 4.16,4.16,,,0.09570999,1.760714,1.625395,,,0.09864311,1.781238,1.623996,,39.6082010079082,43.9206730468221,8.8924262311131
0.1, 5.04,5.04,,,0.09708083,1.757587,1.624072,,,0.1005832,1.7825,1.622457,,39.3222483160738,43.3774442115856,8.69757118479873
0.111, 5.76,5.76,,,0.09762321,1.755308,1.622636,,,0.1015857,1.783794,1.620854,,39.0273173408253,42.9235337576399,8.57322332555071
0.121, 6.04,6.04,,,0.09695025,1.75466,1.62184,,,0.1010995,1.784492,1.619983,,38.8672928432142,42.7611221089802,8.5646975421565
0.133, 5.8,5.8,,,0.09664638,1.756516,1.621026,,,0.1006942,1.785147,1.619161,,38.7166837611119,42.8057915449091,8.74574536144791
0.144, 5.57,5.57,,,0.09593076,1.757586,1.621077,,,0.09986899,1.785088,1.619234,,38.7302894975599,42.9644739103856,8.88099761740241
0.155, 5.88,5.88,,,0.09526423,1.757331,1.619632,,,0.09946484,1.786337,1.617653,,38.4418437867478,42.7758445813265,8.99086206091846
0.167, 6.05,6.05,,,0.09518217,1.75739,1.618505,,,0.09951474,1.787274,1.616458,,38.2242407960358,42.5801118557282,9.0059934908299
0.178, 6.37,6.37,,,0.09534065,1.757332,1.616662,,,0.09988623,1.788789,1.614507,,37.8703584597013,42.2188768209568,8.98161313126599
0.188, 6.5,6.5,,,0.09630442,1.757916,1.615131,,,0.1009144,1.790015,1.612908,,37.5816156356686,41.9386614878656,8.95337200738116
0.199, 6.92,6.92,,,0.09805469,1.758603,1.611655,,,0.10292,1.792787,1.609219,,36.9218945122847,41.3334486876361,8.93489890751127
0.21, 7.07,7.07,,,0.09939463,1.760907,1.60773,,,0.1043549,1.7958,1.6051,,36.1930621217071,40.802859117107,9.02634660021652
0.222, 6.86,6.86,,,0.09937737,1.763892,1.605051,,,0.104241,1.797737,1.602406,,35.7175341196399,40.5100250098753,9.17393246992155
0.233, 6.89,6.89,,,0.09937899,1.766372,1.601443,,,0.1043654,1.800329,1.598721,,35.0725525440746,40.0129545917653,9.38011965352728
0.244, 6.8,6.8,,,0.09934612,1.769428,1.597679,,,0.1043732,1.802926,1.594941,,34.4156659491174,39.4882731347038,9.5800435538384
0.255, 6.6,6.6,,,0.09921883,1.773211,1.593532,,,0.1042053,1.805698,1.590803,,33.7020238988312,38.9563243565677,9.80694243175218
0.266, 6.24,6.24,,,0.09857961,1.777745,1.589263,,,0.103395,1.80846,1.586576,,32.97733401787,38.5067681480967,10.0589533532244
0.277, 5.9,5.9,,,0.09878123,1.781654,1.585776,,,0.1034088,1.810652,1.583126,,32.3919355958714,38.1803739073121,10.2973593920221
0.288, 5.85,5.85,,,0.09864841,1.784717,1.581275,,,0.1032905,1.813478,1.578562,,31.622852901635,37.6206330902166,10.4643711729597
0.3, 5.68,5.68,,,0.09821868,1.788137,1.576982,,,0.1027446,1.816048,1.574294,,30.908480021128,37.0676883111561,10.5545979693848
0.311, 5.95,5.95,,,0.0983824,1.789973,1.571673,,,0.1031016,1.819225,1.568833,,30.0040161511202,36.2143449905686,10.5367592233164
0.322, 6.16,6.16,,,0.09965152,1.79177,1.56677,,,0.1044851,1.822049,1.563785,,29.1783829072244,35.4250176161957,10.4974130659238
0.333, 6.14,6.14,,,0.1017908,1.794269,1.562384,,,0.1065427,1.824448,1.559326,,28.4599546020106,34.7731375497608,10.472039767637
0.344, 5.97,5.97,,,0.1026763,1.797054,1.55873,,,0.1072714,1.826376,1.55566,,27.869935557167,34.3489008518384,10.5361436525346
0.355, 5.73,5.73,,,0.1026031,1.800517,1.554291,,,0.1070153,1.828645,1.551263,,27.1603267334735,33.8357726594365,10.6324339492267
0.366, 5.76,5.76,,,0.1021557,1.802785,1.549538,,,0.106619,1.831063,1.546429,,26.3847621898952,33.2380286708566,10.7471529495602
0.378, 5.63,5.63,,,0.1021534,1.805592,1.545031,,,0.1065515,1.833224,1.541955,,25.6731230925274,32.6444374371765,10.8504288220315
