経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.64,-0.64,,,-0.1192507,1.654881,1.140645,,,-0.119348,1.651688,1.14059,,44.8234942563803,46.9219707827283,2.12762072928204
0.011, 0.42,-0.42,,,-0.1212959,1.652408,1.140718,,,-0.121373,1.650317,1.140676,,44.8234942563803,47.2781787984104,2.50624051599801
0.023, 0.85,0.85,,,-0.1205138,1.645196,1.138353,,,-0.1203622,1.649466,1.138463,,44.8234942563803,47.48759580763,2.67188369781878
0.034, 4.06,4.06,,,-0.1150891,1.632697,1.137131,,,-0.1146943,1.652994,1.137784,,44.8234942563803,47.0946140544799,2.37264863629585
0.045, 6.01,6.01,,,-0.1126561,1.628013,1.141515,,,-0.1121002,1.658032,1.142315,,44.8234942563803,46.8303062315229,2.06876264296439
0.055, 7.02,7.02,,,-0.1122762,1.62457,1.143199,,,-0.1115774,1.659651,1.144081,,44.8234942563803,46.825518269048,2.03903275132534
0.066, 7.82,7.82,,,-0.1120387,1.621986,1.144643,,,-0.1110932,1.66108,1.145618,,44.8234942563803,46.9901804649765,2.1767278670572
0.077, 7.25,7.25,,,-0.1147926,1.622888,1.144384,,,-0.1136061,1.65909,1.145316,,44.8234942563803,47.3712537836401,2.54960069007676
0.095, 4.26,4.26,,,-0.1227589,1.631119,1.143238,,,-0.121577,1.652359,1.143769,,44.8234942563803,48.2758542574275,3.60097850994874
0.102, 4.73,4.73,,,-0.1207213,1.627031,1.138475,,,-0.1195127,1.650648,1.139285,,44.8234942563803,48.4620588693988,3.67029169460404
0.11, 5.93,5.93,,,-0.1175831,1.623584,1.138631,,,-0.1163075,1.653189,1.139673,,44.8234942563803,48.1701844037188,3.34913087268186
0.122, 6.6,6.6,,,-0.1152095,1.622577,1.139513,,,-0.1139215,1.655547,1.140621,,44.8234942563803,47.9432103937262,3.11985423522943
0.133, 7.18,7.18,,,-0.1131072,1.622276,1.141057,,,-0.1118353,1.658129,1.142187,,44.8234942563803,47.7129647232123,2.88954389136357
0.144, 6.59,6.59,,,-0.1146,1.62589,1.14369,,,-0.1131985,1.658815,1.14452,,44.8234942563803,47.7484134040182,2.96801251745967
0.155, 5.4,5.4,,,-0.1164517,1.63218,1.146286,,,-0.1150384,1.65916,1.146849,,44.8234942563803,47.9782287726264,3.32825504039488
0.166, 4.51,4.51,,,-0.1167661,1.636997,1.147365,,,-0.1154974,1.659516,1.14781,,44.8234942563803,48.0976717024132,3.5079406638716
0.177, 3.61,3.61,,,-0.1163904,1.642301,1.148369,,,-0.1153143,1.660294,1.148727,,44.8234942563803,48.2487759732166,3.69490940323501
0.188, 3.71,3.71,,,-0.1140181,1.644396,1.14968,,,-0.1129647,1.662889,1.150047,,44.8234942563803,48.1274308357988,3.5429293741384
0.2, 4.62,4.62,,,-0.1096733,1.645297,1.152907,,,-0.1085316,1.668373,1.15337,,44.8234942563803,47.8272850112641,3.1593246166841
0.211, 4.86,4.86,,,-0.1065337,1.649607,1.15754,,,-0.1053629,1.673852,1.15795,,44.8234942563803,47.6536240413545,3.02180729930913
0.222, 3.81,3.81,,,-0.1070544,1.65703,1.161393,,,-0.1059582,1.67605,1.161653,,44.8234942563803,47.9126555433245,3.45711701422842
0.233, 1.74,1.74,,,-0.1087724,1.666987,1.163214,,,-0.108166,1.675685,1.163345,,44.8234942563803,48.4726285868453,4.14283490408707
0.244, 0.57,0.57,,,-0.109021,1.673028,1.164181,,,-0.1088048,1.675864,1.164237,,44.8234942563803,48.9332736071253,4.57936679594697
0.257, 1.26,1.26,,,-0.1043708,1.676847,1.169518,,,-0.1039146,1.683141,1.169639,,44.8234942563803,48.7478510517922,4.36147736418454
0.267, 2.25,2.25,,,-0.09916723,1.681933,1.178133,,,-0.09836869,1.69317,1.178275,,44.8234942563803,48.4311386038866,4.18071641283028
0.277, 2.09,2.09,,,-0.09602525,1.690288,1.185732,,,-0.09523199,1.700708,1.1858,,44.8234942563803,48.4063347726059,4.39877062290185
0.289, 2.75,2.75,,,-0.08979552,1.695976,1.191983,,,-0.08878957,1.709703,1.192078,,44.8234942563803,48.3055314285454,4.24242460894322
0.299, 3.58,3.58,,,-0.08428629,1.702539,1.201318,,,-0.08295628,1.720387,1.201354,,44.8234942563803,48.166045309197,4.27809868598548
0.31, 2.13,2.13,,,-0.08312181,1.715652,1.2089,,,-0.08216955,1.726274,1.208892,,44.8234942563803,48.7025976347056,5.12877439088944
0.322, 0.02,-0.02,,,-0.08257288,1.727952,1.211517,,,-0.0825852,1.727835,1.211516,,44.8234942563803,49.6288429773704,5.96975677697042
0.333, 1.83,-1.83,,,-0.08181849,1.738763,1.214586,,,-0.08290267,1.729681,1.214445,,44.8234942563803,50.5757496416997,6.90015231321425
0.344, 2.63,-2.63,,,-0.07906184,1.749628,1.222319,,,-0.08078679,1.736587,1.222094,,44.8234942563803,51.1841965364112,7.63275496810871
0.355, 3.57,-3.57,,,-0.07535319,1.760767,1.228725,,,-0.07786585,1.743108,1.228396,,44.8234942563803,51.6607558970144,8.20173873844133
0.367, 2.78,-2.78,,,-0.06769615,1.766861,1.234597,,,-0.06962113,1.753103,1.234287,,44.8234942563803,51.7069382198023,8.10927164003083
0.377, 0.64,-0.64,,,-0.05904344,1.774482,1.249942,,,-0.05948751,1.771321,1.249916,,44.8234942563803,51.1916346122103,8.02448338158103
0.389, 1.49,1.49,,,-0.04796345,1.781699,1.262536,,,-0.04695994,1.789094,1.262524,,44.8234942563803,50.6406637577651,7.73144436867994
0.4, 1.29,1.29,,,-0.04286192,1.79341,1.272744,,,-0.04194035,1.799817,1.272669,,44.8234942563803,50.622652549425,8.19615847404471
0.411, 3.11,3.11,,,-0.03345803,1.795433,1.277789,,,-0.03137607,1.810832,1.277681,,44.8234942563803,50.4181874272158,7.70168694284156
0.422, 3.39,3.39,,,-0.02784766,1.805351,1.28797,,,-0.02546587,1.822139,1.287762,,44.8234942563803,50.5119864124774,8.08762335605889
0.433, 1.32,1.32,,,-0.02739104,1.816416,1.28984,,,-0.02635638,1.822955,1.289806,,44.8234942563803,51.4847146062453,8.99344045725839
0.445, 1.55,1.55,,,-0.02009694,1.825536,1.29678,,,-0.01884595,1.833185,1.296764,,44.8234942563803,51.8200563945937,9.29100361658507
