経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.05,-0.05,,,-0.2795602,1.545588,1.320173,,,-0.2795864,1.545365,1.320184,,45.0005634905908,51.7243483715122,7.08493283078321
0.01, 2.04,2.04,,,-0.2785766,1.537347,1.318909,,,-0.2774911,1.54746,1.318534,,45.0005634905908,51.1586755352876,6.40294144934333
0.022, 3.86,3.86,,,-0.2775644,1.5301,1.317223,,,-0.2756313,1.54932,1.316697,,45.0005634905908,50.7606770083317,5.88962585363133
0.033, 5.11,5.11,,,-0.2776748,1.524341,1.316875,,,-0.2752065,1.549744,1.316309,,45.0005634905908,50.561150112755,5.64170322715046
0.044, 5.58,5.58,,,-0.2779816,1.521886,1.319099,,,-0.275299,1.549652,1.318461,,45.0005634905908,50.5311655831331,5.6191128039861
0.055, 6.04,6.04,,,-0.2779574,1.519875,1.322228,,,-0.2750461,1.549905,1.321402,,45.0005634905908,50.5551258860747,5.69109531187212
0.068, 6.07,6.07,,,-0.2781591,1.519604,1.326307,,,-0.2751635,1.549788,1.325258,,45.0005634905908,50.6963195526682,5.925262791521
0.078, 6.18,6.18,,,-0.2788466,1.518506,1.330186,,,-0.2757458,1.549205,1.328952,,45.0005634905908,50.8049605385832,6.11593434708516
0.089, 6.73,6.73,,,-0.278684,1.516177,1.332697,,,-0.2753244,1.549627,1.331288,,45.0005634905908,50.7767928392299,6.12365459506655
0.099, 7.7,7.7,,,-0.2779648,1.512408,1.334062,,,-0.2742425,1.550709,1.332568,,45.0005634905908,50.5865754912329,5.88979233948771
0.111, 8.88,8.88,,,-0.2767066,1.508148,1.334704,,,-0.2726113,1.55234,1.333279,,45.0005634905908,50.3192077436129,5.52697867728837
0.121, 9.7,9.7,,,-0.2765208,1.504432,1.333054,,,-0.2722282,1.552723,1.331928,,45.0005634905908,50.0928347902506,5.19289833946722
0.133, 9.96,9.96,,,-0.2771203,1.502596,1.331547,,,-0.2727349,1.552216,1.330713,,45.0005634905908,50.0574270905786,5.09996508065884
0.144, 9.52,9.52,,,-0.2784264,1.503464,1.331374,,,-0.2740994,1.550852,1.330647,,45.0005634905908,50.222953305413,5.25437857802296
0.155, 8.88,8.88,,,-0.2787024,1.506191,1.333469,,,-0.2745482,1.550403,1.332498,,45.0005634905908,50.3795183123058,5.46037921209217
0.166, 8.3,8.3,,,-0.2797429,1.507849,1.339813,,,-0.2757874,1.549163,1.338517,,45.0005634905908,50.4918441851755,5.67996082317438
0.177, 8.27,8.27,,,-0.278699,1.509039,1.344044,,,-0.2747858,1.550165,1.342458,,45.0005634905908,50.4703632408336,5.77309002302912
0.188, 8.47,8.47,,,-0.2778504,1.508814,1.346933,,,-0.2739814,1.55097,1.345213,,45.0005634905908,50.2833219307123,5.63888876240391
0.199, 9.13,9.13,,,-0.2761412,1.507332,1.347503,,,-0.2721712,1.55278,1.345801,,45.0005634905908,50.0259501646645,5.33582815472199
0.21, 9.82,9.82,,,-0.2746469,1.50548,1.345555,,,-0.2705846,1.554366,1.344107,,45.0005634905908,49.7715187949725,4.96313462416316
0.223, 9.78,9.78,,,-0.2748798,1.505377,1.342742,,,-0.2708308,1.55412,1.341695,,45.0005634905908,49.7597742850215,4.84755373935771
0.232, 8.98,8.98,,,-0.2762461,1.507905,1.340251,,,-0.2723393,1.552612,1.339536,,45.0005634905908,50.0004769748638,5.03788976188823
0.244, 7.84,7.84,,,-0.2771465,1.512433,1.339479,,,-0.2734727,1.551478,1.338852,,45.0005634905908,50.3813624633304,5.41616483750411
0.254, 6.32,6.32,,,-0.2780095,1.518684,1.341537,,,-0.2748275,1.550124,1.340867,,45.0005634905908,50.7900024247171,5.85912777917544
0.266, 5.03,5.03,,,-0.2764068,1.526186,1.344823,,,-0.2737641,1.551187,1.344055,,45.0005634905908,51.0557821533992,6.21668817227558
0.277, 4.16,4.16,,,-0.2735297,1.532909,1.347414,,,-0.2713488,1.553602,1.346625,,45.0005634905908,51.0498193984197,6.31450586997825
0.288, 4,4,,,-0.268665,1.538405,1.349326,,,-0.2666501,1.558301,1.348451,,45.0005634905908,50.8277255584533,6.2053244453602
0.299, 3.83,3.83,,,-0.2641356,1.543613,1.349577,,,-0.2622762,1.562675,1.3487,,45.0005634905908,50.6209484172745,6.05394867454491
0.31, 3.17,3.17,,,-0.2610178,1.549726,1.348479,,,-0.2594877,1.565463,1.347747,,45.0005634905908,50.6042178693681,6.04840896439536
0.321, 2.14,2.14,,,-0.2585146,1.556885,1.347254,,,-0.2574354,1.567516,1.346772,,45.0005634905908,50.845036672423,6.2472669283388
0.332, 0.97,0.97,,,-0.2568306,1.563833,1.346438,,,-0.2563106,1.56864,1.346222,,45.0005634905908,51.221219575777,6.59210524069017
0.344, 0.27,-0.27,,,-0.2545553,1.571593,1.346921,,,-0.2547114,1.57024,1.346984,,45.0005634905908,51.6219331028524,6.98830956237841
0.356, 1.03,-1.03,,,-0.251015,1.578445,1.347957,,,-0.2516248,1.573326,1.348205,,45.0005634905908,51.845136848528,7.24012411591741
0.366, 1.4,-1.4,,,-0.2461217,1.584935,1.348847,,,-0.2469489,1.578002,1.34921,,45.0005634905908,51.8641691701207,7.32581822818068
0.377, 1.32,-1.32,,,-0.2402429,1.590468,1.350357,,,-0.241004,1.583947,1.350724,,45.0005634905908,51.728487466034,7.27782846663396
0.389, 0.95,-0.95,,,-0.2333877,1.595731,1.351514,,,-0.2339114,1.59104,1.351799,,45.0005634905908,51.4527663972916,7.12634512034224
0.4, 0.26,-0.26,,,-0.2256419,1.600439,1.352998,,,-0.2257782,1.599173,1.35308,,45.0005634905908,51.2301637082462,7.01688195042876
