経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.41,-0.41,,,0.4118076,1.780728,1.337595,,,0.4108971,1.778915,1.337826,,39.9060074927173,16.5821057017279,27.3419226754306
0.011, 0.23,0.23,,,0.4117548,1.776896,1.336089,,,0.4122675,1.777923,1.335964,,40.1251848419893,16.5249899539304,27.1437806006696
0.022, 0.73,0.73,,,0.4106662,1.774796,1.334422,,,0.4122879,1.778051,1.334044,,40.0948895387687,16.2538895080329,27.04342292644
0.033, 0.87,0.87,,,0.4092096,1.775192,1.333471,,,0.4111532,1.77907,1.333024,,39.8666143777755,15.8599942171067,27.159054610776
0.044, 0.73,0.73,,,0.407032,1.777892,1.33318,,,0.4086733,1.781131,1.332795,,39.4035787913525,15.3498269116276,27.4360392644797
0.055, 0.54,0.54,,,0.4058737,1.780039,1.333127,,,0.4070861,1.78242,1.332835,,39.1118511747356,15.1378639494657,27.5823316671467
0.067, 0.4,0.4,,,0.4067442,1.780153,1.333955,,,0.4076363,1.781912,1.333732,,39.228008783623,15.4936502009783,27.5412719860937
0.078, 0.37,0.37,,,0.4074962,1.779704,1.334282,,,0.4083165,1.781334,1.334072,,39.3590835252427,15.8427394521961,27.3938645550758
0.089, 0.52,0.52,,,0.4079922,1.778341,1.334235,,,0.4091502,1.780661,1.333937,,39.5107171356919,16.098292680428,27.2058226222689
0.1, 1.09,1.09,,,0.4075583,1.77527,1.33274,,,0.4099579,1.78012,1.332139,,39.6306040277624,16.0935866802208,26.9639212342607
0.112, 1.64,1.64,,,0.4062895,1.772982,1.331044,,,0.4098976,1.780292,1.330189,,39.5901180825838,15.7705119112804,26.8399806250306
0.122, 2.18,2.18,,,0.4044364,1.771286,1.327687,,,0.4092665,1.781001,1.326629,,39.4268765659631,15.0249336048713,26.9218489776915
0.134, 2.46,2.46,,,0.400811,1.772594,1.323936,,,0.4063415,1.783535,1.322804,,38.8479770687789,13.7975879187617,27.2424700012408
0.145, 2.26,2.26,,,0.3959392,1.777751,1.321038,,,0.401106,1.78776,1.319989,,37.8700954974256,12.3661228887601,27.7296964094835
0.155, 2.09,2.09,,,0.3910192,1.782584,1.320101,,,0.3958561,1.791791,1.319085,,36.9182710970308,11.3060451156749,28.1753918536336
0.166, 1.72,1.72,,,0.387403,1.787561,1.31789,,,0.3914209,1.795113,1.317018,,36.1165298541869,10.4050125618559,28.5126973213137
0.177, 1.54,1.54,,,0.3855622,1.790002,1.316705,,,0.3891627,1.796764,1.315897,,35.7122373080859,10.1064923222984,28.567079285972
0.188, 1.5,1.5,,,0.3851813,1.79053,1.315534,,,0.3886625,1.797135,1.314734,,35.6197872851479,10.1775134810855,28.3502942103903
0.199, 1.62,1.62,,,0.3859326,1.789272,1.314122,,,0.3896383,1.796443,1.313261,,35.7879704434956,10.5241276425717,27.8922685675842
0.211, 1.89,1.89,,,0.3862056,1.78749,1.312148,,,0.3904562,1.795854,1.311167,,35.9297480912468,10.7236852739987,27.4885360969796
