経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.12,-0.12,,,0.08239643,1.819897,1.206827,,,0.08226232,1.819332,1.206979,,44.7500116682395,32.3725890855857,19.550413624861
0.011, 1.12,1.12,,,0.08430189,1.814321,1.208649,,,0.08551621,1.819592,1.207238,,44.7500116682395,32.3116501395066,19.2563210553097
0.022, 1.86,1.86,,,0.08547917,1.810862,1.209627,,,0.08747168,1.819631,1.207277,,44.7500116682395,32.233345437946,19.1673271079955
0.033, 2.81,2.81,,,0.08684102,1.806593,1.211026,,,0.08982451,1.819851,1.207497,,44.7500116682395,32.2817509872469,19.02581242252
0.044, 3.59,3.59,,,0.08710979,1.802395,1.211481,,,0.09090891,1.819359,1.207005,,44.7500116682395,32.3796549160854,18.8984533037055
0.055, 4.52,4.52,,,0.08788023,1.797371,1.211999,,,0.09261721,1.818761,1.206407,,44.7500116682395,32.4551455797863,18.7224871450152
0.067, 5,5,,,0.08854758,1.79526,1.212714,,,0.0938185,1.818881,1.206528,,44.7500116682395,32.4610127121201,18.7977541200269
0.078, 4.48,4.48,,,0.08705359,1.797972,1.212348,,,0.09186301,1.819127,1.206773,,44.7500116682395,32.4570546176062,19.0004536383848
0.088, 5.48,5.48,,,0.08713438,1.794147,1.214492,,,0.09315114,1.819996,1.207643,,44.7500116682395,32.4845734490064,19.2391653281394
0.1, 5.81,5.81,,,0.0872588,1.793538,1.215801,,,0.09374328,1.82091,1.208556,,44.7500116682395,32.575814528495,19.3704927867513
0.111, 5.65,5.65,,,0.08638509,1.794734,1.215994,,,0.09290759,1.821327,1.208974,,44.7500116682395,32.7701880464863,19.6337846190974
0.122, 5.43,5.43,,,0.08539174,1.79572,1.215628,,,0.0918069,1.821239,1.208885,,44.7500116682395,32.8788597682517,19.8558272326465
