経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.32,-0.32,,,0.3116221,1.594004,1.054826,,,0.3110251,1.59254,1.055025,,44.8235181620417,25.9475737461196,23.1752034542542
0.011, 0.1,0.1,,,0.3134087,1.588927,1.053227,,,0.3136016,1.589403,1.053164,,44.8235181620417,26.1416655188155,23.0384767312537
0.022, 0.51,0.51,,,0.3157114,1.58428,1.05257,,,0.3166499,1.586613,1.052268,,44.8235181620417,26.3262428382623,22.8340560052729
0.033, 0.69,0.69,,,0.317991,1.580434,1.051083,,,0.3192673,1.583634,1.050673,,44.8235181620417,26.4525910891078,22.6587148088742
0.044, 0.87,0.87,,,0.3203115,1.577321,1.050534,,,0.3218933,1.581318,1.050023,,44.8235181620417,26.5370805267897,22.5039393114942
0.055, 0.67,0.67,,,0.3224145,1.576128,1.049164,,,0.3236297,1.579202,1.048767,,44.8235181620417,26.4955751759058,22.4994057735587
0.066, 0.27,0.27,,,0.3229649,1.577562,1.048245,,,0.3234687,1.578829,1.048078,,44.8235181620417,26.3086499789972,22.6589009315239
0.078, 0.13,0.13,,,0.3228237,1.577677,1.046973,,,0.323064,1.578277,1.046892,,44.8235181620417,26.1657777934619,22.8095612400436
0.088, 0.33,-0.33,,,0.3246706,1.577414,1.044336,,,0.3240614,1.575908,1.04454,,44.8235181620417,26.0072337393122,23.0238720796673
0.1, 0.49,-0.49,,,0.3260407,1.576308,1.042701,,,0.3251303,1.574065,1.043003,,44.8235181620417,26.0311820894231,23.0741320252763
0.111, 0.51,-0.51,,,0.3263235,1.575922,1.042241,,,0.3253732,1.573575,1.042552,,44.8235181620417,26.1225529425023,23.005852333591
0.123, 0.64,-0.64,,,0.3296152,1.572625,1.039706,,,0.3284281,1.569674,1.04009,,44.8235181620417,26.2977985162553,22.8437258453213
0.134, 0.86,-0.86,,,0.3326789,1.570685,1.038029,,,0.3310907,1.5667,1.038548,,44.8235181620417,26.3783298594233,22.6706164131718
0.145, 1.24,-1.24,,,0.3351842,1.570645,1.037086,,,0.3329106,1.564916,1.037844,,44.8235181620417,26.3058444788737,22.6227487412531
0.155, 1.67,-1.67,,,0.3369785,1.571146,1.035727,,,0.3339199,1.563444,1.036772,,44.8235181620417,26.1436496887141,22.6870566780465
0.167, 1.85,-1.85,,,0.3372729,1.571532,1.034924,,,0.3338743,1.562997,1.036094,,44.8235181620417,26.0558237037155,22.7583075019381
0.178, 1.77,-1.77,,,0.3368517,1.571046,1.034598,,,0.333603,1.562915,1.035706,,44.8235181620417,26.0694106571439,22.8069708908729
0.189, 1.68,-1.68,,,0.3367532,1.570338,1.034236,,,0.3336518,1.562582,1.035285,,44.8235181620417,26.1153163572781,22.8049798907853
0.2, 2.04,-2.04,,,0.3394422,1.568019,1.030437,,,0.3356823,1.558601,1.031686,,44.8235181620417,26.2488926556116,22.7374105387539
0.211, 2.31,-2.31,,,0.3419397,1.566003,1.027756,,,0.3377124,1.555362,1.029134,,44.8235181620417,26.4316241164866,22.6009519006708
0.222, 2.38,-2.38,,,0.3416009,1.565847,1.026572,,,0.3372529,1.554879,1.027993,,44.8235181620417,26.448843022905,22.5622127763238
0.232, 2.13,-2.13,,,0.339266,1.567646,1.028995,,,0.3353636,1.557837,1.030287,,44.8235181620417,26.3176094793916,22.6602208655443
0.244, 3.31,-3.31,,,0.3398523,1.57068,1.023208,,,0.3337294,1.555444,1.025267,,44.8235181620417,26.0771185254077,22.896695668408
0.255, 3.79,-3.79,,,0.3377518,1.574313,1.021898,,,0.3306752,1.556911,1.024289,,44.8235181620417,25.8767395637558,23.1517093117105
0.266, 4.59,-4.59,,,0.3363168,1.579466,1.020418,,,0.3276069,1.558414,1.023345,,44.8235181620417,25.6617935165569,23.5004963270659
0.277, 5.43,-5.43,,,0.3340013,1.585418,1.018912,,,0.3235382,1.560621,1.022398,,44.8235181620417,25.4336037329259,23.8995620710499
0.288, 6.58,-6.58,,,0.331785,1.593402,1.017455,,,0.3187934,1.563496,1.021718,,44.8235181620417,25.1172327944694,24.4928732669818
0.299, 8.03,-8.03,,,0.3293668,1.603383,1.015711,,,0.3130261,1.567072,1.021008,,44.8235181620417,24.697693559018,25.2412417055893
0.31, 9.57,-9.57,,,0.3271236,1.614124,1.014353,,,0.3071149,1.571124,1.020828,,44.8235181620417,24.2388534161759,25.9863845874509
0.322, 11.17,-11.17,,,0.3257383,1.624892,1.013241,,,0.3017838,1.575027,1.021017,,44.8235181620417,23.7707003106598,26.7202149688145
0.333, 12.93,-12.93,,,0.3256026,1.635917,1.012213,,,0.2972682,1.578535,1.021463,,44.8235181620417,23.3465302070799,27.3723545824307
0.344, 14.66,-14.66,,,0.3254546,1.647119,1.01172,,,0.2927722,1.582422,1.022463,,44.8235181620417,22.9794485305418,27.9247580690145
0.355, 16.42,-16.42,,,0.3260425,1.65763,1.010552,,,0.28883,1.585504,1.02288,,44.8235181620417,22.6294781849456,28.4467586769013
0.366, 18.44,-18.44,,,0.3264914,1.669469,1.008673,,,0.2840104,1.588882,1.022837,,44.8235181620417,22.2858496698173,28.9816905400744
0.377, 20.64,-20.64,,,0.3263639,1.683142,1.006956,,,0.2778605,1.593504,1.023224,,44.8235181620417,21.8884351240192,29.6358313990618
0.39, 22.9,-22.9,,,0.325554,1.697681,1.005014,,,0.2704358,1.599046,1.023636,,44.8235181620417,21.4055253952118,30.4548291143635
0.399, 25.49,-25.49,,,0.3241965,1.714747,1.002756,,,0.2609855,1.606173,1.024265,,44.8235181620417,20.8273174546618,31.5106192363166
0.41, 28.06,-28.06,,,0.3220116,1.732014,1.000135,,,0.2503335,1.613917,1.024565,,44.8235181620417,20.3185776586795,32.589246095124
0.422, 30.67,-30.67,,,0.3203449,1.749368,0.9977415,,,0.2396669,1.621864,1.025137,,44.8235181620417,19.899086234551,33.672315991863
0.433, 33.16,-33.16,,,0.3187353,1.765305,0.9947317,,,0.2292721,1.62896,1.024777,,44.8235181620417,19.6487205348493,34.6109000709201
0.444, 35.57,-35.57,,,0.3167227,1.780863,0.991783,,,0.2184749,1.636172,1.02418,,44.8235181620417,19.5320370014104,35.486403939653
0.455, 38.15,-38.15,,,0.3154924,1.79618,0.9878829,,,0.2078093,1.642627,1.022642,,44.8235181620417,19.5013694528905,36.3104559948
0.466, 40.66,-40.66,,,0.3140551,1.811237,0.9840431,,,0.1969521,1.649202,1.021085,,44.8235181620417,19.511054660864,37.0871782554104
0.477, 43.29,-43.29,,,0.3130301,1.827134,0.9804726,,,0.186112,1.656412,1.02044,,44.8235181620417,19.4009281088459,37.8587676290024
0.488, 45.97,-45.97,,,0.3123002,1.843937,0.9776766,,,0.1752905,1.664604,1.021204,,44.8235181620417,19.1845972408313,38.6414594747812
0.499, 48.31,-48.31,,,0.3118427,1.8591,0.9756044,,,0.1661269,1.672376,1.023032,,44.8235181620417,18.8450497636185,39.2982436169038
0.51, 50.79,-50.79,,,0.3113289,1.874691,0.9730163,,,0.1563449,1.680194,1.024305,,44.8235181620417,18.59908270562,39.9302205126512
0.522, 53.19,-53.19,,,0.3105851,1.889577,0.969965,,,0.1467822,1.687376,1.024901,,44.8235181620417,18.4107060935531,40.4332229498903
0.533, 55.33,-55.33,,,0.3093362,1.902589,0.9667213,,,0.1375502,1.693594,1.024462,,44.8235181620417,18.3613221196809,40.8511417230062
0.544, 57.58,-57.58,,,0.308171,1.915756,0.9629462,,,0.1279285,1.699457,1.023132,,44.8235181620417,18.421969075181,41.2216589846013
0.555, 60.01,-60.01,,,0.3067548,1.930263,0.9590517,,,0.1171516,1.706508,1.022326,,44.8235181620417,18.4217095279998,41.6961009866208
0.566, 62.44,-62.44,,,0.3051792,1.945454,0.9557033,,,0.1058202,1.714727,1.022619,,44.8235181620417,18.3620170914096,42.2676921815965
0.577, 64.84,-64.84,,,0.3034777,1.960757,0.9523402,,,0.09410648,1.723688,1.023578,,44.8235181620417,18.2305052176952,42.931333833455
0.588, 67.3,-67.3,,,0.3016248,1.976118,0.9486328,,,0.08181558,1.732767,1.024126,,44.8235181620417,18.1689464319662,43.6021471837423
0.6, 69.54,-69.54,,,0.2999517,1.990771,0.9461945,,,0.07037035,1.742063,1.025827,,44.8235181620417,18.1195522128105,44.2534740048699
0.61, 71.52,-71.52,,,0.2980575,2.003446,0.9434078,,,0.05993894,1.749998,1.026617,,44.8235181620417,18.1010953346394,44.7809114431848
0.621, 73.31,-73.31,,,0.2955621,2.014829,0.9403609,,,0.04957014,1.756984,1.026129,,44.8235181620417,18.1998820654036,45.2132760659933
0.633, 75.01,-75.01,,,0.2932525,2.024985,0.9368684,,,0.03983299,1.762764,1.024566,,44.8235181620417,18.3570822798715,45.56074826997
0.644, 76.31,-76.31,,,0.2909698,2.032983,0.9340086,,,0.03221959,1.767139,1.02314,,44.8235181620417,18.4516650293186,45.750282599069
0.655, 77.33,-77.33,,,0.2892998,2.039686,0.9320607,,,0.02680585,1.770589,1.022605,,44.8235181620417,18.4485146046516,45.8173857907025
0.666, 77.89,-77.89,,,0.2879681,2.043927,0.9309987,,,0.02439152,1.772253,1.022543,,44.8235181620417,18.3358284393132,45.6828139923251
0.677, 78.46,-78.46,,,0.2879724,2.047673,0.9302709,,,0.02326827,1.773453,1.023117,,44.8235181620417,18.190203687619,45.5679472891549
0.688, 78.87,-78.87,,,0.2883119,2.05099,0.930342,,,0.02318922,1.774886,1.025065,,44.8235181620417,17.9396774784764,45.4744693227754
0.699, 79.01,-79.01,,,0.2877707,2.053607,0.931127,,,0.02278072,1.77695,1.027575,,44.8235181620417,17.6998251471621,45.462506246777
0.717, 78.99,-78.99,,,0.2877673,2.054819,0.9321759,,,0.02344503,1.77805,1.029796,,44.8235181620417,17.5039319121228,45.4271463584278
0.723, 78.64,-78.64,,,0.2884537,2.053674,0.9339809,,,0.02614827,1.777592,1.031852,,44.8235181620417,17.349841141188,45.3137071647544
0.733, 77.81,-77.81,,,0.2887316,2.049848,0.9363875,,,0.03030959,1.775555,1.033131,,44.8235181620417,17.2675168734127,45.0839840036974
0.743, 76.93,-76.93,,,0.2890617,2.044732,0.9380877,,,0.03473891,1.772104,1.03268,,44.8235181620417,17.3059383939721,44.7780359336242
0.755, 75.79,-75.79,,,0.2896234,2.037995,0.9402977,,,0.04028387,1.76778,1.03211,,44.8235181620417,17.3891710768817,44.4320253900892
0.766, 74.4,-74.4,,,0.2906455,2.029883,0.9430717,,,0.0475754,1.762861,1.032446,,44.8235181620417,17.362010830403,44.038387938797
0.777, 72.6,-72.6,,,0.2919418,2.020244,0.9469335,,,0.05728395,1.757515,1.034594,,44.8235181620417,17.1131050835958,43.5477481436116
0.788, 70.16,-70.16,,,0.2950792,2.006467,0.9519942,,,0.07318166,1.748752,1.038099,,44.8235181620417,16.5763119939257,42.6348011788906
0.799, 67.02,-67.02,,,0.298222,1.988812,0.9583857,,,0.09271414,1.737639,1.041915,,44.8235181620417,16.0020450724171,41.3572245754753
0.81, 64.04,-64.04,,,0.3015724,1.970735,0.9638357,,,0.1111687,1.726179,1.044162,,44.8235181620417,15.6602009441598,40.1016821617093
0.822, 60.81,-60.81,,,0.3032615,1.950913,0.9682353,,,0.1278926,1.714438,1.044282,,44.8235181620417,15.5625497323135,38.8503812952998
0.833, 57.89,-57.89,,,0.3051825,1.931879,0.9717627,,,0.1425795,1.703319,1.043244,,44.8235181620417,15.7040166064661,37.7518034544819
0.843, 54.81,-54.81,,,0.3064162,1.911972,0.9755653,,,0.1553869,1.693043,1.041519,,44.8235181620417,16.0848013496453,36.8716482270537
0.855, 51.78,-51.78,,,0.3072244,1.892494,0.9790651,,,0.1663968,1.683836,1.039509,,44.8235181620417,16.5385871526422,36.1978739898435
0.866, 48.67,-48.67,,,0.3074428,1.872492,0.9822348,,,0.1759526,1.675068,1.036665,,44.8235181620417,17.1404036414014,35.6905548731691
0.877, 45.73,-45.73,,,0.3080077,1.853563,0.9855769,,,0.1854521,1.666838,1.034525,,44.8235181620417,17.7346027619007,35.1590022459938
