経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.83,-0.83,,,-0.1072197,1.799402,1.521939,,,-0.1070587,1.795547,1.520404,,36.1809453664567,23.0495826185351,22.067025782825
0.011, 0.5,-0.5,,,-0.1056928,1.797861,1.522778,,,-0.1055917,1.795552,1.521863,,36.1814781211972,22.7890450598951,21.9746765051744
0.022, 0.18,-0.18,,,-0.1047441,1.796436,1.52296,,,-0.104706,1.795606,1.522632,,36.1690779131041,22.5707556351905,21.9749770334896
0.033, 0.2,0.2,,,-0.1044968,1.794642,1.522503,,,-0.1045397,1.795567,1.52287,,36.1788894795737,22.510147953277,22.0480924989726
0.044, 0.38,0.38,,,-0.1056246,1.793772,1.52109,,,-0.1057043,1.79553,1.521795,,36.1867988384125,22.6689600923442,22.2331086580614
0.056, 0.99,0.99,,,-0.1061707,1.791114,1.518899,,,-0.1063741,1.795715,1.520765,,36.1406165156246,22.753637360223,22.439626252059
0.067, 1.41,1.41,,,-0.1079274,1.789311,1.51605,,,-0.1081981,1.795811,1.518726,,36.1150989295955,23.0567509018695,22.729130642163
0.077, 1.92,1.92,,,-0.1085062,1.787327,1.513659,,,-0.1088624,1.796163,1.517342,,36.0280925672745,23.1533434344239,22.972292200038
0.089, 2.15,2.15,,,-0.1088234,1.786386,1.512558,,,-0.1092138,1.796291,1.51672,,35.9963014526674,23.2166746541932,23.1326804052123
0.099, 2.36,2.36,,,-0.1078953,1.785551,1.512772,,,-0.1083327,1.796447,1.517325,,35.9588720170573,23.0687993552302,23.021437117296
0.111, 1.63,1.63,,,-0.1080657,1.788194,1.515647,,,-0.108375,1.795707,1.51875,,36.1404525910891,23.1003036019002,22.7927299468497
0.122, 2.41,2.41,,,-0.1050402,1.785109,1.516023,,,-0.1055298,1.796254,1.520558,,36.0093915098474,22.6122268351295,22.5038231982815
0.134, 2.46,2.46,,,-0.1034906,1.785356,1.51644,,,-0.1040161,1.796769,1.521052,,35.884187315656,22.3033042177555,22.3827546835175
