経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.93,-0.93,,,0.2468762,1.652531,1.062667,,,0.2447861,1.648506,1.063652,,44.8234874261913,19.1658090984947,29.7556773099984
0.01, 0.9,-0.9,,,0.2478212,1.652048,1.063197,,,0.245806,1.648142,1.064157,,44.8234874261913,19.1540099470319,29.6445569654836
0.022, 0.55,-0.55,,,0.2454358,1.652772,1.06513,,,0.2442069,1.650376,1.065719,,44.8234874261913,19.1863747975134,29.5371693192464
0.032, 0.18,-0.18,,,0.2426698,1.654655,1.068502,,,0.2422639,1.653857,1.068699,,44.8234874261913,19.1930239864853,29.4010095019312
0.044, 0.03,0.03,,,0.2405562,1.655797,1.07005,,,0.2406304,1.655942,1.070013,,44.8234874261913,19.1556013810642,29.3637644814236
0.056, 0.12,0.12,,,0.2379337,1.658507,1.072083,,,0.2382006,1.659031,1.071952,,44.8234874261913,19.0981304634397,29.4017335019631
0.066, 0.26,0.26,,,0.2349655,1.66126,1.074309,,,0.2355382,1.662382,1.074029,,44.8234874261913,19.0789068965557,29.4578093534885
0.077, 0.39,0.39,,,0.2315076,1.663747,1.075643,,,0.2323804,1.665456,1.075218,,44.8234874261913,19.1146578132239,29.4669242406822
0.088, 0.44,0.44,,,0.2292692,1.666864,1.078227,,,0.2302412,1.668764,1.077757,,44.8234874261913,19.1509483148216,29.4850754678964
0.099, 0.47,0.47,,,0.2263024,1.670424,1.080616,,,0.2273489,1.672472,1.080109,,44.8234874261913,19.1594826359521,29.4584479761581
0.11, 0.45,0.45,,,0.2242511,1.673908,1.083309,,,0.2252517,1.675873,1.082821,,44.8234874261913,19.1430987201364,29.4083143890453
0.121, 0.43,0.43,,,0.2223534,1.677245,1.085967,,,0.2233115,1.679136,1.085496,,44.8234874261913,19.1397553426307,29.3232751211505
0.132, 0.35,0.35,,,0.2208509,1.681361,1.089466,,,0.2216123,1.682875,1.089084,,44.8234874261913,19.0333853945516,29.2506975330496
0.144, 0.26,0.26,,,0.2192269,1.68585,1.09341,,,0.2198044,1.687003,1.093114,,44.8234874261913,18.8514342827675,29.2483547782295
0.155, 0.09,-0.09,,,0.2169074,1.691842,1.096245,,,0.21672,1.691467,1.096342,,44.8234874261913,18.6907882379592,29.3152189132486
0.165, 0.47,-0.47,,,0.2137529,1.697969,1.09815,,,0.2127334,1.695939,1.098681,,44.8234874261913,18.6012666585463,29.4240135784157
