経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.43,0.43,,,0.07030871,1.623381,1.010518,,,0.07037622,1.625467,1.010087,,44.7499911776726,33.3627513367249,11.5723439387195
0.011, 2.37,2.37,,,0.07110842,1.612518,1.011045,,,0.07147844,1.624112,1.008731,,44.7499911776726,33.7570000899308,11.1778510062576
0.022, 3.09,3.09,,,0.06572782,1.611441,1.01426,,,0.06645562,1.626542,1.011162,,44.7499911776726,33.5023057579632,11.6577144707799
0.033, 3.46,3.46,,,0.06349801,1.608402,1.013442,,,0.06446824,1.625324,1.009944,,44.7499911776726,33.4578856239321,11.866309296001
0.044, 3.96,3.96,,,0.06288178,1.605206,1.01317,,,0.06408487,1.624559,1.009179,,44.7499911776726,33.5094296450692,11.914823274552
0.055, 2.09,2.09,,,0.05607779,1.619519,1.016581,,,0.05700118,1.629698,1.014318,,44.7499911776726,32.8171285202509,13.2689995936038
0.067, 1.31,1.31,,,0.05519478,1.62534,1.017781,,,0.05584256,1.631692,1.016312,,44.7499911776726,32.4265851445666,13.9547403219068
0.077, 1.09,1.09,,,0.06086528,1.624126,1.015218,,,0.06136828,1.629411,1.014031,,44.7499911776726,32.7289541956143,13.4770010461573
0.088, 1.22,1.22,,,0.06547216,1.623697,1.015532,,,0.0659918,1.629614,1.014234,,44.7499911776726,32.9486301486818,13.0672503252878
0.099, 1.52,1.52,,,0.0687556,1.623847,1.017491,,,0.06934132,1.631249,1.015869,,44.7499911776726,32.9029839957289,12.8820454822284
0.111, 1.59,1.59,,,0.07072343,1.624957,1.019032,,,0.07132362,1.63271,1.017329,,44.7499911776726,32.8659438808906,12.8743990856654
0.121, 2.4,2.4,,,0.07625591,1.624532,1.023447,,,0.07708055,1.636234,1.020854,,44.7499911776726,32.7187259876169,12.8505745327297
0.133, 2.71,2.71,,,0.07823662,1.624848,1.025619,,,0.07912269,1.638064,1.022683,,44.7499911776726,32.6707200043713,12.8211833757754
0.144, 2.94,2.94,,,0.07953396,1.624909,1.027034,,,0.08048797,1.639224,1.023844,,44.7499911776726,32.6251353231192,12.8563007924158
0.155, 2.59,2.59,,,0.07680732,1.625078,1.025088,,,0.07769056,1.637676,1.022296,,44.7499911776726,32.7118445722196,12.8490855515321
0.166, 2.52,2.52,,,0.07614604,1.625127,1.024707,,,0.0770254,1.637381,1.022001,,44.7499911776726,32.7691976690842,12.8317667535998
0.177, 2.65,2.65,,,0.07767586,1.625933,1.026298,,,0.07863557,1.638839,1.023459,,44.7499911776726,32.8271757282404,12.8373470179964
0.189, 2.61,2.61,,,0.07781097,1.626497,1.026588,,,0.07879017,1.639202,1.023822,,44.7499911776726,32.9706131119138,12.7671301139617
0.199, 2.54,2.54,,,0.07720698,1.627274,1.026974,,,0.07815998,1.639647,1.024267,,44.7499911776726,32.9072392034634,12.8258449797542
0.211, 2.48,2.48,,,0.07742111,1.627976,1.027345,,,0.07834524,1.640066,1.024686,,44.7499911776726,32.8449239743048,12.8702147411415
0.222, 2.62,2.62,,,0.07801056,1.628163,1.028364,,,0.07898861,1.640924,1.025544,,44.7499911776726,32.7910850096704,12.9260267766175
0.237, 2.66,2.66,,,0.07829387,1.629787,1.030249,,,0.07930143,1.642745,1.027364,,44.7499911776726,32.7059535342244,13.0336449417328
0.244, 2.69,2.69,,,0.07822155,1.631559,1.032194,,,0.07926375,1.644635,1.029255,,44.7499911776726,32.6054746241404,13.1763275895239
0.255, 2.78,2.78,,,0.07785838,1.632349,1.033541,,,0.0789494,1.645875,1.030495,,44.7499911776726,32.5874975667452,13.2171208932066
0.266, 2.75,2.75,,,0.0772915,1.633157,1.034163,,,0.07838968,1.646529,1.031149,,44.7499911776726,32.5874531705168,13.2542165033303
0.277, 2.91,2.91,,,0.07670254,1.633895,1.035827,,,0.07788453,1.648027,1.032647,,44.7499911776726,32.6149480962556,13.2671691029571
0.288, 2.91,2.91,,,0.07634,1.635341,1.037275,,,0.07753578,1.649466,1.034086,,44.7499911776726,32.585670491193,13.3210362421211
0.3, 3.01,3.01,,,0.07577997,1.63695,1.03954,,,0.0770426,1.651595,1.036215,,44.7499911776726,32.5259712244138,13.4177901378901
0.311, 3.02,3.02,,,0.07467386,1.638527,1.041171,,,0.07595809,1.6532,1.03782,,44.7499911776726,32.4638233348853,13.5105893542398
0.322, 2.91,2.91,,,0.07393911,1.640778,1.042754,,,0.07520064,1.654892,1.039512,,44.7499911776726,32.4047217096418,13.61555484471
0.333, 2.92,2.92,,,0.07323629,1.643123,1.045174,,,0.07453096,1.657278,1.041898,,44.7499911776726,32.3316421026509,13.740178472838
0.344, 2.88,2.88,,,0.07255141,1.646355,1.048206,,,0.07385879,1.660311,1.044931,,44.7499911776726,32.1734207749305,13.9484941140846
0.355, 2.78,2.78,,,0.07204481,1.649082,1.050366,,,0.07332805,1.662532,1.047152,,44.7499911776726,31.955961218187,14.1987471156681
0.367, 2.76,2.76,,,0.07187303,1.651496,1.052707,,,0.07315567,1.664852,1.049472,,44.7499911776726,31.7889630976273,14.3716277364868
0.378, 2.72,2.72,,,0.07157796,1.654041,1.055072,,,0.07283533,1.667201,1.051821,,44.7499911776726,31.5273053879946,14.6019195107763
0.389, 2.66,2.66,,,0.07085066,1.656775,1.057488,,,0.07208323,1.669624,1.054244,,44.7499911776726,31.2399866583642,14.8811051928788
0.4, 2.93,2.93,,,0.07112154,1.657122,1.059474,,,0.07244068,1.671233,1.055853,,44.7499911776726,31.0014696289955,15.0395228885325
0.411, 3.74,3.74,,,0.07345944,1.655305,1.062657,,,0.07498363,1.673356,1.057976,,44.7499911776726,30.7869572987969,15.0148266327282
0.422, 4.36,4.36,,,0.07374753,1.653743,1.064855,,,0.07544194,1.674772,1.059391,,44.7499911776726,30.7289075226563,14.9796033481586
0.433, 3.82,3.82,,,0.06976336,1.658183,1.066093,,,0.07143932,1.676596,1.061215,,44.7499911776726,30.5415007974246,15.4103458010844
0.445, 3.65,3.65,,,0.06683246,1.660052,1.066949,,,0.06853862,1.677616,1.062236,,44.7499911776726,30.4131444710189,15.6903852568094
0.455, 3.99,3.99,,,0.06727312,1.661294,1.070345,,,0.06913298,1.680449,1.065068,,44.7499911776726,30.0349466619159,16.046359338519
0.467, 3.83,3.83,,,0.06693791,1.661769,1.069837,,,0.06873371,1.680167,1.064787,,44.7499911776726,30.0926993248358,16.0051289027415
0.478, 3.6,3.6,,,0.06675883,1.663577,1.070254,,,0.06844927,1.680837,1.065457,,44.7499911776726,29.9139737697976,16.182922136984
0.489, 3.49,3.49,,,0.06698363,1.665937,1.072018,,,0.06861405,1.682638,1.067258,,44.7499911776726,29.5403760929725,16.5287226522079
0.499, 3.35,3.35,,,0.06809844,1.668515,1.073802,,,0.06964727,1.684536,1.069156,,44.7499911776726,29.2700372131463,16.7613657190538
0.511, 2.92,2.92,,,0.06799475,1.670884,1.073531,,,0.0693496,1.684828,1.069448,,44.7499911776726,29.1280853955761,16.9088807255482
0.522, 2.41,2.41,,,0.06837156,1.673409,1.072917,,,0.0694956,1.684922,1.069542,,44.7499911776726,29.1188714706421,16.929545462307
0.533, 1.96,1.96,,,0.06865647,1.675961,1.072714,,,0.06956613,1.685336,1.069956,,44.7499911776726,29.0607807133677,16.9695618319933
0.545, 1.74,1.74,,,0.06884447,1.678182,1.073578,,,0.0696491,1.686494,1.071114,,44.7499911776726,28.9366898399801,17.0824972992294
0.555, 1.39,1.39,,,0.06855004,1.68121,1.074471,,,0.06920067,1.687861,1.072481,,44.7499911776726,28.8054614191084,17.2330722303868
0.567, 0.96,0.96,,,0.0684626,1.683892,1.07444,,,0.06891728,1.688454,1.073074,,44.7499911776726,28.8131283062384,17.2726258547697
0.578, 0.72,0.72,,,0.06822844,1.686936,1.07601,,,0.06857289,1.690357,1.074977,,44.7499911776726,28.685031527014,17.4216520405759
0.588, 0.81,0.81,,,0.06894359,1.68632,1.075966,,,0.06932439,1.690186,1.074806,,44.7499911776726,28.7673899457341,17.2863528270721
0.6, 0.91,0.91,,,0.06880932,1.685955,1.076224,,,0.06923127,1.690304,1.074924,,44.7499911776726,28.8101605891266,17.208825059508
0.611, 0.61,0.61,,,0.06859258,1.687226,1.075634,,,0.06887625,1.690149,1.074769,,44.7499911776726,28.9690922565009,17.0571231471689
0.622, 0.38,0.38,,,0.06849548,1.688309,1.075309,,,0.06867433,1.690147,1.074767,,44.7499911776726,29.0243314098762,17.0111679281646
0.634, 0.44,0.44,,,0.06838943,1.689362,1.076678,,,0.06859291,1.691441,1.076061,,44.7499911776726,28.9201061411367,17.1251723199761
0.645, 0.08,0.08,,,0.06808832,1.692939,1.078064,,,0.06812673,1.693328,1.077948,,44.7499911776726,28.8038597397926,17.2604288447988
0.656, 0.17,-0.17,,,0.06784999,1.695872,1.079425,,,0.06776836,1.695052,1.079672,,44.7499911776726,28.6852091119274,17.3916965392571
0.667, 0.17,-0.17,,,0.06808606,1.695724,1.079311,,,0.06800766,1.69493,1.07955,,44.7499911776726,28.6945357349796,17.363865226711
0.679, 0.17,-0.17,,,0.06765618,1.696196,1.079788,,,0.06757861,1.695406,1.080026,,44.7499911776726,28.708366867664,17.3359673198225
0.69, 0.26,-0.26,,,0.0679362,1.69723,1.080242,,,0.06781588,1.695994,1.080614,,44.7499911776726,28.7237689438137,17.2993011578309
0.7, 0.26,-0.26,,,0.0678004,1.697958,1.080978,,,0.06768026,1.696728,1.081348,,44.7499911776726,28.7052079052607,17.3266714326208
0.712, 0.55,-0.55,,,0.06750853,1.70066,1.081874,,,0.06725071,1.698044,1.082664,,44.7499911776726,28.6611361108676,17.3891249731061
0.723, 0.91,-0.91,,,0.06672568,1.705197,1.084173,,,0.06628907,1.700873,1.085493,,44.7499911776726,28.5115959533407,17.5943704444062
0.734, 1.52,-1.52,,,0.06584615,1.710511,1.085669,,,0.06508534,1.70328,1.0879,,44.7499911776726,28.3903993725333,17.8203933505834
0.745, 1.96,-1.96,,,0.06581576,1.71313,1.085548,,,0.06482064,1.703806,1.088426,,44.7499911776726,28.4006395333615,17.85126751232
0.756, 2.09,-2.09,,,0.06648457,1.71432,1.085956,,,0.06544299,1.704406,1.089026,,44.7499911776726,28.3356195493669,17.8683481074116
0.767, 2.11,-2.11,,,0.06672885,1.715364,1.086831,,,0.06569721,1.705325,1.089944,,44.7499911776726,28.2843623961669,17.8568033804882
0.779, 2.22,-2.22,,,0.0683202,1.716577,1.087394,,,0.06728543,1.706039,1.090659,,44.7499911776726,28.2599769139612,17.764052829235
0.789, 1.94,-1.94,,,0.06953511,1.717607,1.090099,,,0.06867131,1.708362,1.092981,,44.7499911776726,28.1117140017736,17.7902380662369
0.801, 1.88,-1.88,,,0.06949946,1.718852,1.091743,,,0.06867804,1.709918,1.094538,,44.7499911776726,28.0415406401936,17.8227583035177
0.812, 1.82,-1.82,,,0.06822142,1.719077,1.09232,,,0.06740813,1.710411,1.095031,,44.7499911776726,28.0597106504275,17.8504530122841
0.823, 1.81,-1.81,,,0.06755213,1.718395,1.091748,,,0.06673191,1.709804,1.094424,,44.7499911776726,28.146657248595,17.805711859371
0.834, 1.76,-1.76,,,0.0671927,1.718932,1.092594,,,0.06638833,1.710572,1.095191,,44.7499911776726,28.1952830714905,17.7770882449033
0.845, 1.65,-1.65,,,0.06648442,1.719711,1.094056,,,0.06572764,1.711876,1.096495,,44.7499911776726,28.1637515040645,17.8165530768294
0.856, 1.48,-1.48,,,0.06582259,1.720169,1.095576,,,0.06514305,1.713139,1.097758,,44.7499911776726,28.2113681665382,17.7726025182907
0.867, 1.11,-1.11,,,0.0654199,1.719833,1.097543,,,0.06491296,1.714554,1.099174,,44.7499911776726,28.2850607829901,17.6866667880923
0.878, 0.92,-0.92,,,0.06518839,1.720119,1.099035,,,0.06477422,1.715757,1.100377,,44.7499911776726,28.334748700272,17.6126070489827
0.889, 0.42,-0.42,,,0.06442247,1.719188,1.101192,,,0.06423501,1.717186,1.101806,,44.7499911776726,28.3741623057807,17.5434701685804
0.901, 0.22,-0.22,,,0.06457096,1.719084,1.102321,,,0.06447224,1.718025,1.102645,,44.7499911776726,28.3887823252923,17.5199111392414
