経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.89,-0.89,,,0.4068073,1.583271,1.08246,,,0.4049111,1.57926,1.082292,,45.8734855478893,34.4032042693235,25.4123157414227
0.011, 0.59,-0.59,,,0.4064568,1.582596,1.083627,,,0.405205,1.579944,1.083519,,45.8734855478893,34.3428049081738,25.3770070794909
0.022, 0.19,-0.19,,,0.4063424,1.581128,1.084753,,,0.4059446,1.580283,1.08472,,45.8734855478893,34.3009529251992,25.3026297365938
0.033, 0.22,0.22,,,0.4064857,1.579503,1.086012,,,0.4069595,1.580514,1.086051,,45.8734855478893,34.255549243955,25.1875547126596
0.044, 0.44,0.44,,,0.4071975,1.57849,1.087137,,,0.4081354,1.580502,1.08721,,45.8734855478893,34.2254827520653,25.0762021417196
0.055, 0.71,0.71,,,0.4068053,1.577768,1.087954,,,0.4083109,1.581004,1.08807,,45.8734855478893,34.2084653362217,25.0403692627836
0.066, 0.71,0.71,,,0.4067906,1.577762,1.08788,,,0.4082837,1.58097,1.087996,,45.8734855478893,34.217228468683,25.0411188760241
0.077, 0.69,0.69,,,0.4065224,1.577912,1.087684,,,0.4079833,1.581046,1.087799,,45.8734855478893,34.2289968842955,25.0832355288217
0.089, 0.68,0.68,,,0.4063575,1.578007,1.087574,,,0.4078005,1.581099,1.087688,,45.8734855478893,34.2353148091019,25.1104896903989
0.099, 0.93,0.93,,,0.405474,1.577575,1.088087,,,0.4074371,1.581772,1.088243,,45.8734855478893,34.2347205826607,25.1570767018839
0.111, 1.01,1.01,,,0.4054196,1.577632,1.08877,,,0.4075551,1.582196,1.088938,,45.8734855478893,34.2219173934177,25.1670607306253
0.123, 1.31,1.31,,,0.4051542,1.576912,1.08999,,,0.4079263,1.582849,1.0902,,45.8734855478893,34.1570032773523,25.11506933211
0.134, 1.8,1.8,,,0.4067625,1.574922,1.092909,,,0.4105414,1.583103,1.093162,,45.8734855478893,34.0112607048983,24.8600164152208
