経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.85,-0.85,,,0.07323731,1.554416,0.9370322,,,0.07286078,1.550295,0.9379416,,44.7500116682395,32.9106474677644,13.2006806283319
0.01, 0.68,-0.68,,,0.07227755,1.55324,0.9368544,,,0.07196727,1.549931,0.937578,,44.7500116682395,33.0322658127413,13.1578570509748
0.022, 0.8,-0.8,,,0.07142991,1.553703,0.9366241,,,0.07105143,1.549825,0.9374714,,44.7500116682395,33.0748076448029,13.2311091202375
0.033, 0.77,-0.77,,,0.0704186,1.553447,0.9365375,,,0.07004423,1.549709,0.9373553,,44.7500116682395,33.0830653432796,13.3005064015946
0.043, 0.44,-0.44,,,0.07179488,1.55385,0.9388715,,,0.07158376,1.551704,0.9393507,,44.7500116682395,32.8238186903568,13.4832267634125
0.055, 0.11,-0.11,,,0.07316546,1.55369,0.9406772,,,0.07311371,1.553153,0.9407997,,44.7500116682395,32.5334571115358,13.6927078056538
0.065, 0.6,0.6,,,0.07547048,1.552693,0.9439251,,,0.07573367,1.555596,0.9432427,,44.7500116682395,32.1277336408436,13.9084145651503
0.077, 1.44,1.44,,,0.07890039,1.551598,0.9479181,,,0.07948611,1.558584,0.9462304,,44.7500116682395,31.7273821137841,14.1079636588412
0.088, 1.63,1.63,,,0.07982074,1.553106,0.9505926,,,0.08046681,1.561009,0.9486552,,44.7500116682395,31.5211138216843,14.252306896328
0.099, 1.28,1.28,,,0.07993051,1.55397,0.9493396,,,0.08044314,1.560186,0.9478325,,44.7500116682395,31.6689703376276,14.1296503626261
0.11, 1.22,1.22,,,0.08131823,1.554472,0.9494572,,,0.08178198,1.560384,0.948031,,44.7500116682395,31.7078853393409,13.9960604039146
0.122, 1.49,1.49,,,0.08339113,1.554427,0.9510951,,,0.08391667,1.561666,0.9493129,,44.7500116682395,31.4024836843861,14.1564289722956
0.132, 1.9,1.9,,,0.08490325,1.554924,0.9540861,,,0.08553328,1.564114,0.9517607,,44.7500116682395,31.010485478449,14.4494884757636
0.144, 2.13,2.13,,,0.08589949,1.554937,0.9555247,,,0.08657637,1.565243,0.9528896,,44.7500116682395,30.8517074903267,14.5463439705938
0.155, 2.15,2.15,,,0.08514257,1.55462,0.9552951,,,0.08582852,1.565015,0.9526616,,44.7500116682395,30.9796232695432,14.4283558710597
0.167, 1.81,1.81,,,0.08284663,1.554074,0.9526656,,,0.08346339,1.562856,0.9505031,,44.7500116682395,31.3863302874485,14.1213516830155
0.177, 1.7,1.7,,,0.08248405,1.554001,0.9518862,,,0.08305905,1.562247,0.9498932,,44.7500116682395,31.6251341847543,13.8814797149079
0.188, 1.69,1.69,,,0.08225521,1.554312,0.9521096,,,0.08281527,1.562492,0.9501389,,44.7500116682395,31.6610268278439,13.8203947735394
0.199, 1.62,1.62,,,0.08244617,1.555048,0.9524564,,,0.0829661,1.562897,0.9505432,,44.7500116682395,31.4950703111037,13.9350283965107
0.21, 1.77,1.77,,,0.08193466,1.555413,0.9537687,,,0.08247062,1.563983,0.9516301,,44.7500116682395,31.1626791643947,14.1850961292181
0.221, 1.85,1.85,,,0.08179559,1.555004,0.9538715,,,0.0823286,1.563956,0.9516023,,44.7500116682395,30.9353533996696,14.3516494337204
0.232, 2.01,2.01,,,0.08186075,1.554391,0.9542636,,,0.08240794,1.564125,0.9517713,,44.7500116682395,30.7803422607698,14.4458753057933
0.244, 1.57,1.57,,,0.07967208,1.554529,0.9516823,,,0.0801028,1.562118,0.9497643,,44.7500116682395,30.9601264950999,14.2793040720448
0.255, 1.1,1.1,,,0.07834053,1.553944,0.9482069,,,0.07864171,1.559259,0.9469053,,44.7500116682395,31.3821741174542,13.8661689925357
0.265, 1.05,1.05,,,0.0793779,1.554264,0.9482231,,,0.07964479,1.559331,0.9469775,,44.7500116682395,31.3131721332843,13.8668528652074
0.277, 1.13,1.13,,,0.0806663,1.555103,0.9496187,,,0.08092817,1.560593,0.9482391,,44.7500116682395,30.9964460250008,14.1017140359245
