経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.07,-0.07,,,-0.2029595,1.788495,1.311743,,,-0.2028265,1.788158,1.311728,,37.7651837946936,16.4761848385742,21.6986958892508
0.011, 1,1,,,-0.2006973,1.783744,1.318409,,,-0.2025403,1.78838,1.31857,,37.7201489436544,16.0879927554462,21.7774787040399
0.023, 1.8,1.8,,,-0.1989266,1.780195,1.32152,,,-0.2022698,1.788539,1.3218,,37.6863941497155,15.8509442167082,21.9267576068384
0.033, 2.05,2.05,,,-0.1978354,1.779538,1.320778,,,-0.2016384,1.789038,1.321162,,37.5686416917012,15.7845035534058,21.9432422679415
0.044, 2.34,2.34,,,-0.1935945,1.781015,1.316133,,,-0.1980229,1.791837,1.316697,,36.9013834547779,14.8565899370826,22.4503428185686
0.055, 1.57,1.57,,,-0.1953654,1.784362,1.312644,,,-0.1982751,1.791644,1.313059,,36.9436110981464,15.5199259379842,22.0160093937866
0.067, 1.15,1.15,,,-0.1964725,1.786085,1.317058,,,-0.1985823,1.791413,1.317348,,37.003173761146,15.604867875686,21.8231265645402
0.077, 1.11,1.11,,,-0.1951324,1.787312,1.317886,,,-0.1971738,1.792463,1.318146,,36.7533664293935,15.2882971542018,21.8117696678138
0.089, 1.08,1.08,,,-0.1944925,1.787925,1.319395,,,-0.1964875,1.792957,1.319644,,36.6365053110411,15.1243623733996,21.8108407621125
0.099, 0.98,0.98,,,-0.191793,1.790342,1.327076,,,-0.1935915,1.794894,1.327284,,36.1770384983602,14.5745850944786,21.7205302958724
0.11, 1.19,1.19,,,-0.1888995,1.791046,1.329963,,,-0.1911001,1.796576,1.330214,,35.770095838935,13.9879384554438,21.8570743113177
0.121, 1.44,1.44,,,-0.1854883,1.791806,1.332955,,,-0.1881807,1.7985,1.333244,,35.299092837067,13.2767049005468,22.0528036218215
0.133, 1.74,1.74,,,-0.1835144,1.791326,1.334573,,,-0.1867857,1.799383,1.334916,,35.0814078840871,12.8629294908208,22.2331718373095
0.143, 2.34,2.34,,,-0.1794026,1.790416,1.337471,,,-0.1838723,1.801211,1.33787,,34.6265651093456,12.0303422607698,22.5975743722203
0.155, 2.98,2.98,,,-0.1761892,1.788794,1.337004,,,-0.181962,1.80254,1.33749,,34.2896796982878,11.4180798517394,22.8755664787985
0.166, 3.16,3.16,,,-0.1755804,1.788234,1.336035,,,-0.1817116,1.80277,1.336577,,34.2301989975559,11.2565706417987,22.9739468133184
0.177, 2.96,2.96,,,-0.1777664,1.788055,1.333765,,,-0.1834679,1.801714,1.334306,,34.4955859903717,11.7295620824336,22.7722342572682
0.189, 2.72,2.72,,,-0.1792636,1.788562,1.331884,,,-0.184477,1.801126,1.33242,,34.6420798836136,12.0007974245634,22.6694655263287
0.2, 2.57,2.57,,,-0.1807355,1.78847,1.331202,,,-0.1856396,1.800357,1.331727,,34.8343531184935,12.3160627261789,22.561900295178
0.211, 2.44,2.44,,,-0.1810465,1.789052,1.330954,,,-0.1856918,1.800335,1.331439,,34.8395201564569,12.3657241764784,22.514135076094
0.221, 2.49,2.49,,,-0.1814948,1.788461,1.330664,,,-0.1862385,1.79997,1.331147,,34.9307953868904,12.4367120380942,22.5320284636742
0.233, 2.48,2.48,,,-0.1816868,1.78844,1.32974,,,-0.186404,1.799898,1.330229,,34.9477410857496,12.4878599082706,22.5107729155686
0.243, 2.57,2.57,,,-0.1820629,1.787785,1.326572,,,-0.1869379,1.799653,1.327111,,35.0054527675357,12.6361638015921,22.4817565652346
0.255, 2.42,2.42,,,-0.182316,1.788434,1.327979,,,-0.1869186,1.799615,1.328471,,35.0165518246281,12.5809383085948,22.5166502931859
0.266, 2.56,2.56,,,-0.1819539,1.787861,1.326961,,,-0.1868428,1.799706,1.327471,,34.9925778613085,12.5154376500507,22.5643215971714
0.277, 2.43,2.43,,,-0.1819471,1.788621,1.327775,,,-0.1866162,1.799838,1.328176,,34.9605750108429,12.2955047111228,22.6977134804025
0.289, 2.37,2.37,,,-0.1823701,1.788654,1.328115,,,-0.1869341,1.799604,1.328479,,35.0193726926768,12.3273607125253,22.7119510093312
0.299, 2.44,2.44,,,-0.1828513,1.787978,1.32694,,,-0.1875272,1.799232,1.327346,,35.1107674514174,12.4920920641173,22.6609397429345
0.31, 2.4,2.4,,,-0.1832183,1.787935,1.327103,,,-0.1878139,1.799024,1.327516,,35.1626666423816,12.5945551440999,22.6158946466117
0.322, 2.42,2.42,,,-0.1839975,1.787306,1.326335,,,-0.1886237,1.798481,1.326754,,35.296688610546,12.7590303636051,22.5952555230616
0.333, 2.32,2.32,,,-0.1849009,1.787272,1.325917,,,-0.1893311,1.797995,1.32633,,35.416592578089,12.925064573745,22.5608330781499
0.344, 2.37,2.37,,,-0.1855063,1.786594,1.324967,,,-0.1900112,1.797541,1.325413,,35.5276343754304,13.1339215074682,22.4916944902004
0.356, 2.39,2.39,,,-0.1852905,1.78662,1.325567,,,-0.1898348,1.797648,1.326002,,35.5019221290154,13.0703768442933,22.511932340148
0.366, 2.39,2.39,,,-0.1852418,1.786626,1.325691,,,-0.1897952,1.797672,1.326122,,35.4961096381935,13.0540723294246,22.5173725856705
0.377, 2.39,2.39,,,-0.1852255,1.786629,1.326418,,,-0.1897743,1.797662,1.326844,,35.4993676383369,13.0456780271682,22.518059019663
0.388, 2.37,2.37,,,-0.185373,1.786614,1.326397,,,-0.1898896,1.797581,1.326822,,35.5194142429931,13.086509750664,22.4980141225541
0.4, 2.41,2.41,,,-0.185129,1.786576,1.326808,,,-0.1896991,1.797701,1.327246,,35.4902117700093,13.1051997090339,22.4499398374187
0.411, 2.4,2.4,,,-0.1852394,1.786505,1.327253,,,-0.1897837,1.797624,1.3277,,35.5097768463424,13.2232885538555,22.3520717670723
0.422, 2.53,2.53,,,-0.1842554,1.786479,1.326872,,,-0.1890269,1.798174,1.327356,,35.3734189535467,13.1270213090513,22.3245683035973
0.433, 2.46,2.46,,,-0.184017,1.787055,1.327563,,,-0.1886419,1.798421,1.328034,,35.3130913093814,13.111584228183,22.2716445842862
0.444, 2.54,2.54,,,-0.18336,1.787001,1.327442,,,-0.1881352,1.798782,1.327934,,35.2232913997675,13.1018554777546,22.1957936281167
0.455, 2.61,2.61,,,-0.1829417,1.786928,1.326993,,,-0.1878162,1.799024,1.327495,,35.1628613027675,13.1596269236943,22.0824739627504
0.466, 2.57,2.57,,,-0.1825075,1.787468,1.327006,,,-0.1872876,1.799395,1.327502,,35.0705137326641,13.1766716602937,21.9739644579733
0.477, 2.68,2.68,,,-0.1816835,1.787382,1.327263,,,-0.18664,1.799837,1.327774,,34.9603530297011,13.2031335199493,21.8312374139538
0.489, 2.71,2.71,,,-0.1807102,1.787921,1.326994,,,-0.1856885,1.800509,1.327504,,34.7917088335972,13.1580969613628,21.7074317009561
0.499, 2.76,2.76,,,-0.1795437,1.788429,1.327328,,,-0.1845737,1.801266,1.327845,,34.6015256365452,13.1450991117339,21.5255113250225
0.511, 2.87,2.87,,,-0.1787205,1.788352,1.327613,,,-0.1839145,1.801707,1.328149,,34.4904599335423,13.1756232262853,21.3808564601635
0.522, 2.86,2.86,,,-0.1781022,1.78887,1.327206,,,-0.1832354,1.802188,1.327741,,34.368295173447,13.2304525683218,21.2097038771568
0.533, 2.91,2.91,,,-0.1769336,1.789388,1.326803,,,-0.182117,1.802963,1.327345,,34.1706943911626,13.2165685016728,21.0307256051263
0.544, 2.91,2.91,,,-0.1761799,1.789927,1.326077,,,-0.1813298,1.803521,1.326604,,34.0272126112609,13.2306318607825,20.8749443624189
0.555, 3.14,3.14,,,-0.1743102,1.789851,1.325214,,,-0.1798322,1.804553,1.325771,,33.7612245618149,13.1366715123063,20.7073844588157
0.566, 3.17,3.17,,,-0.1732825,1.790368,1.32522,,,-0.1788075,1.805234,1.325786,,33.5852549880301,13.1586374000658,20.5124457426863
0.577, 3.27,3.27,,,-0.1717293,1.790882,1.324939,,,-0.1773574,1.806199,1.325541,,33.3344299581196,13.1259088420211,20.309548148848
0.589, 3.37,3.37,,,-0.1699955,1.791417,1.325735,,,-0.1757455,1.807226,1.32636,,33.0667343614286,13.0357802295627,20.1238062821802
0.599, 3.45,3.45,,,-0.1685115,1.791938,1.325554,,,-0.1743345,1.808143,1.326211,,32.8249081054991,13.019706233572,19.9103509237261
0.611, 3.63,3.63,,,-0.1669814,1.791859,1.326131,,,-0.1730486,1.808947,1.326838,,32.6127112093646,13.0167043655153,19.7005941126048
0.623, 3.85,3.85,,,-0.1650598,1.791799,1.326308,,,-0.1714476,1.809955,1.327095,,32.3441242730118,12.9135172855008,19.5511188418732
