経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.003, 0.68,-0.68,,,-0.1906329,1.776962,1.32989,,,-0.1903204,1.77363,1.330563,,45.8734855478893,34.4695458948857,12.3308799673972
0.01, 0.31,0.31,,,-0.1883189,1.773717,1.331162,,,-0.1884631,1.77521,1.33086,,45.8734855478893,34.3501849273666,12.3979447392177
0.021, 0.94,0.94,,,-0.1869664,1.771161,1.331494,,,-0.1874122,1.775767,1.330568,,45.8734855478893,34.3710374943224,12.3589452139158
0.032, 1.35,1.35,,,-0.186165,1.769104,1.331139,,,-0.1867942,1.775681,1.329833,,45.8734855478893,34.5117188967423,12.2010918626267
0.043, 1.46,1.46,,,-0.1861604,1.767535,1.32989,,,-0.1868216,1.774687,1.328505,,45.8734855478893,34.82091813677,11.8794557022402
0.055, 1.34,1.34,,,-0.186113,1.767348,1.328541,,,-0.1866977,1.773893,1.327298,,45.8734855478893,35.0829071105682,11.6218978135427
0.065, 1.25,1.25,,,-0.1861183,1.768113,1.32886,,,-0.1866448,1.77423,1.327706,,45.8734855478893,35.2581868352661,11.4939077560211
0.076, 1.09,1.09,,,-0.1859202,1.769054,1.328655,,,-0.1863651,1.77439,1.327644,,45.8734855478893,35.3454117636345,11.4731166607661
0.087, 1.06,1.06,,,-0.185545,1.770089,1.329469,,,-0.1859666,1.775291,1.328474,,45.8734855478893,35.3851634634978,11.5083629972235
0.098, 1.1,1.1,,,-0.1839795,1.770884,1.329276,,,-0.1844109,1.776263,1.328243,,45.8734855478893,35.3984550112527,11.5238444743202
0.109, 1,1,,,-0.1830802,1.771997,1.329122,,,-0.1834773,1.776903,1.328182,,45.8734855478893,35.380816048212,11.5192451958158
0.121, 0.93,0.93,,,-0.1828302,1.772519,1.329002,,,-0.1832016,1.777068,1.328132,,45.8734855478893,35.3589116321533,11.5234508846802
0.132, 0.92,0.92,,,-0.1821365,1.773154,1.329136,,,-0.1825065,1.777679,1.328269,,45.8734855478893,35.3446980088861,11.5376312107762
0.144, 0.91,0.91,,,-0.1809333,1.773844,1.328769,,,-0.1812975,1.778304,1.327912,,45.8734855478893,35.3344151593768,11.5574720559893
0.154, 0.77,0.77,,,-0.1804865,1.774457,1.328061,,,-0.1807944,1.778249,1.327334,,45.8734855478893,35.3628185002499,11.5337380030576
0.165, 0.61,0.61,,,-0.1791394,1.774889,1.325943,,,-0.1793768,1.777856,1.325381,,45.8734855478893,35.4964989589654,11.3898054306833
0.176, 0.39,0.39,,,-0.177789,1.774402,1.322198,,,-0.1779398,1.776316,1.321845,,45.8734855478893,35.7175033837895,11.117901583807
0.187, 0.19,0.19,,,-0.177231,1.773944,1.319425,,,-0.1773047,1.774883,1.319256,,45.8734855478893,35.8662205035443,10.910134065226
0.199, 0.27,0.27,,,-0.1764521,1.773068,1.318042,,,-0.176555,1.774372,1.317809,,45.8734855478893,35.9257148646541,10.8109178863297
0.209, 0.42,0.42,,,-0.1759255,1.772499,1.317932,,,-0.1760889,1.774536,1.317567,,45.8734855478893,35.8324178982826,10.8955097768463
0.221, 0.61,0.61,,,-0.1756594,1.772737,1.319516,,,-0.1759,1.775708,1.318976,,45.8734855478893,35.7125719873459,11.039649816211
0.232, 0.9,0.9,,,-0.1738344,1.77096,1.317662,,,-0.1742003,1.775394,1.316848,,45.8734855478893,35.590806793306,11.1536729910422
0.243, 1.47,1.47,,,-0.1716104,1.767862,1.315737,,,-0.1722223,1.775054,1.314407,,45.8734855478893,35.4337124467672,11.2804788645494
0.255, 1.8,1.8,,,-0.1698141,1.765232,1.313053,,,-0.1705795,1.774071,1.311423,,45.8734855478893,35.3864304635535,11.2914899829587
0.265, 2.25,2.25,,,-0.1683766,1.76127,1.30976,,,-0.1693379,1.772287,1.30775,,45.8734855478893,35.4278453144334,11.2100963284319
0.277, 2.57,2.57,,,-0.1671488,1.758001,1.3066,,,-0.1682464,1.770578,1.304328,,45.8734855478893,35.4903654492614,11.1216018386869
0.287, 3.1,3.1,,,-0.1659257,1.752839,1.302612,,,-0.1672533,1.768058,1.2999,,45.8734855478893,35.5805717551195,10.997373507746
0.299, 3.39,3.39,,,-0.1651012,1.748861,1.298634,,,-0.1665599,1.765495,1.295712,,45.8734855478893,35.6520565129836,10.8829456442177
0.31, 3.88,3.88,,,-0.1636435,1.743625,1.293926,,,-0.1653256,1.762673,1.29063,,45.8734855478893,35.7187669687507,10.7710082383463
0.321, 4.17,4.17,,,-0.16297,1.739052,1.289268,,,-0.1647834,1.759506,1.285771,,45.8734855478893,35.7784798959079,10.6786632295638
0.332, 4.5,4.5,,,-0.1622583,1.733923,1.284206,,,-0.1642263,1.756022,1.280465,,45.8734855478893,35.8209807468356,10.6086973349741
0.343, 4.89,4.89,,,-0.1605926,1.729446,1.279524,,,-0.1627591,1.753443,1.27548,,45.8734855478893,35.798205481682,10.6022769573329
0.355, 5.35,5.35,,,-0.1593587,1.724411,1.27514,,,-0.1617716,1.750677,1.270722,,45.8734855478893,35.7422252528024,10.6306751755643
0.365, 6.06,6.06,,,-0.1578849,1.718842,1.271796,,,-0.1606814,1.748579,1.266772,,45.8734855478893,35.6239571155201,10.7258692269251
0.377, 6.58,6.58,,,-0.1564124,1.713855,1.267729,,,-0.1595177,1.746123,1.26226,,45.8734855478893,35.513468563486,10.8110638816192
0.387, 7.42,7.42,,,-0.1543057,1.70749,1.263733,,,-0.1578904,1.743896,1.257596,,45.8734855478893,35.4522051834304,10.8318182646084
0.399, 7.95,7.95,,,-0.1528452,1.701561,1.25848,,,-0.1567746,1.740604,1.251992,,45.8734855478893,35.4495311644448,10.7805978236741
0.409, 8.35,8.35,,,-0.1521531,1.695494,1.252604,,,-0.1563528,1.736482,1.245952,,45.8734855478893,35.5158557145345,10.6541411435785
0.421, 8.72,8.72,,,-0.1512608,1.689659,1.246671,,,-0.1556841,1.732475,1.23982,,45.8734855478893,35.5646608298907,10.574547243848
0.432, 8.75,8.75,,,-0.1516187,1.685317,1.241297,,,-0.1560288,1.728283,1.23445,,45.8734855478893,35.6163004736736,10.5241839916307
0.443, 8.95,8.95,,,-0.1521232,1.680457,1.236768,,,-0.1565888,1.724439,1.229769,,45.8734855478893,35.6700335703788,10.4804724897063
0.454, 9.19,9.19,,,-0.1516625,1.675441,1.231296,,,-0.1562329,1.720592,1.224169,,45.8734855478893,35.7302894975599,10.4115712508239
0.465, 9.42,9.42,,,-0.1516238,1.670254,1.22592,,,-0.1563136,1.716552,1.218741,,45.8734855478893,35.8314377661639,10.2841882263479
0.477, 9.74,9.74,,,-0.1515222,1.664376,1.22027,,,-0.1563868,1.712293,1.213009,,45.8734855478893,35.9528102243376,10.1304022525963
0.488, 10.09,10.09,,,-0.1505167,1.659086,1.214717,,,-0.1556022,1.708726,1.207361,,45.8734855478893,36.0401717564855,10.0075963085105
0.498, 10.66,10.66,,,-0.1492033,1.653135,1.209779,,,-0.1546714,1.705602,1.202171,,45.8734855478893,36.0872864000692,9.92267656892287
0.51, 11.08,11.08,,,-0.1484222,1.64788,1.205208,,,-0.154219,1.702443,1.197412,,45.8734855478893,36.0855993433912,9.89568707716861
0.521, 11.73,11.73,,,-0.1469353,1.642105,1.201043,,,-0.1532004,1.699851,1.192859,,45.8734855478893,36.0375045676889,9.92249813023577
0.532, 12.36,12.36,,,-0.1456701,1.636415,1.197054,,,-0.1523697,1.697251,1.188485,,45.8734855478893,36.0042552077345,9.94166449428712
0.543, 12.83,12.83,,,-0.1445748,1.631961,1.193613,,,-0.1516016,1.695104,1.18479,,45.8734855478893,36.0004166415278,9.93382855997987
0.554, 13.25,13.25,,,-0.1438817,1.626902,1.189306,,,-0.1511534,1.692138,1.180298,,45.8734855478893,36.0559802288796,9.86988006188151
0.565, 13.3,13.3,,,-0.144292,1.622367,1.183686,,,-0.1515294,1.687865,1.174848,,45.8734855478893,36.2157964057269,9.70111462992329
0.577, 13.2,13.2,,,-0.1449492,1.61848,1.178026,,,-0.1520355,1.683539,1.169456,,45.8734855478893,36.4026225648953,9.50828473464147
0.587, 13.05,13.05,,,-0.1460253,1.614695,1.172457,,,-0.1528671,1.67905,1.164168,,45.8734855478893,36.6206285367572,9.28967087596035
0.599, 12.93,12.93,,,-0.1462033,1.611553,1.167211,,,-0.1528671,1.675353,1.159128,,45.8734855478893,36.7764149021063,9.13344481719568
0.61, 12.84,12.84,,,-0.1473208,1.607876,1.162489,,,-0.1538621,1.671244,1.154521,,45.8734855478893,36.8628372832696,9.04832785590123
0.621, 12.85,12.85,,,-0.1468747,1.604747,1.157761,,,-0.153396,1.668163,1.149855,,45.8734855478893,36.9203338141027,8.98830500891909
0.632, 12.91,12.91,,,-0.1468571,1.600969,1.153006,,,-0.1534121,1.664693,1.14514,,45.8734855478893,36.9658365330871,8.93828411992446
0.643, 12.96,12.96,,,-0.1467295,1.597111,1.147984,,,-0.1533357,1.661124,1.140197,,45.8734855478893,37.0229539884319,8.87398215954638
0.654, 13.25,13.25,,,-0.1455382,1.593196,1.143675,,,-0.1523837,1.658615,1.135825,,45.8734855478893,37.0287630641594,8.85938092305451
0.665, 13.58,13.58,,,-0.1441611,1.589305,1.13961,,,-0.1513002,1.656343,1.131645,,45.8734855478893,37.0007661195306,8.88070989569163
0.676, 13.82,13.82,,,-0.1429317,1.58549,1.13514,,,-0.1502985,1.653731,1.127082,,45.8734855478893,36.9710240616174,8.90690793929783
0.688, 14.05,14.05,,,-0.1425714,1.58177,1.131503,,,-0.1501139,1.651111,1.123325,,45.8734855478893,36.9441438528868,8.93254590740768
0.699, 14.28,14.28,,,-0.1418401,1.578008,1.127493,,,-0.1495349,1.648532,1.119231,,45.8734855478893,36.9613695894943,8.91411720376617
0.71, 14.19,14.19,,,-0.1420802,1.57485,1.122563,,,-0.1496922,1.644904,1.114442,,45.8734855478893,37.0274755735367,8.84737686592225
