経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.78,-0.78,,,-0.182666,1.795861,1.34743,,,-0.1823319,1.791977,1.347588,,45.8734855478893,40.9610087278432,5.3362687019112
0.011, 0.65,-0.65,,,-0.1823549,1.796255,1.348628,,,-0.1820842,1.793025,1.348769,,45.8734855478893,40.921557556295,5.29061315744838
0.022, 1,-1,,,-0.1831224,1.797623,1.348693,,,-0.182716,1.792667,1.348911,,45.8734855478893,40.9808948230583,5.20356581399346
0.034, 0.36,-0.36,,,-0.1825011,1.795204,1.349489,,,-0.1823569,1.79341,1.349566,,45.8734855478893,41.0930875072428,5.09208346946279
0.044, 0.41,0.41,,,-0.1820013,1.792106,1.350471,,,-0.1821594,1.79416,1.35039,,45.8734855478893,41.3811029161492,4.82681813938822
0.055, 0.65,0.65,,,-0.1821789,1.790829,1.350653,,,-0.1824221,1.794073,1.350535,,45.8734855478893,41.5709650943192,4.6600569410088
0.066, 0.58,0.58,,,-0.1820999,1.790802,1.349998,,,-0.1823122,1.793686,1.349898,,45.8734855478893,41.6927405336427,4.55251177353825
0.078, 0.74,0.74,,,-0.1820213,1.790087,1.350135,,,-0.1822941,1.793782,1.350011,,45.8734855478893,41.7301699692528,4.54079373056954
0.095, 0.78,0.78,,,-0.1808775,1.789885,1.348974,,,-0.1811683,1.793756,1.348849,,45.8734855478893,41.7441650264727,4.57645756232832
0.101, 0.71,0.71,,,-0.1804442,1.789703,1.347805,,,-0.1807137,1.793244,1.347696,,45.8734855478893,41.7637505933727,4.60474735130963
0.11, 0.56,0.56,,,-0.1804472,1.790406,1.347693,,,-0.1806611,1.793215,1.347604,,45.8734855478893,41.7090134588874,4.63062352226016
0.122, 0.48,0.48,,,-0.1805799,1.791143,1.348236,,,-0.1807622,1.793545,1.348155,,45.8734855478893,41.6622369096582,4.64262202986386
0.132, 0.36,0.36,,,-0.1811562,1.791364,1.348239,,,-0.1812907,1.793172,1.348176,,45.8734855478893,41.6514383808809,4.60138561767107
0.144, 0,0,,,-0.1821856,1.792348,1.347973,,,-0.1821869,1.792366,1.347972,,45.8734855478893,41.6514930223928,4.52276971562508
0.155, 0.14,-0.14,,,-0.1830564,1.792372,1.347845,,,-0.1830076,1.791689,1.34787,,45.8734855478893,41.6830860615195,4.48750971878974
0.166, 0.17,-0.17,,,-0.1829507,1.792259,1.347357,,,-0.1828907,1.79142,1.347387,,45.8734855478893,41.7210994782874,4.47439618283505
0.177, 0.2,-0.2,,,-0.1829954,1.791549,1.34618,,,-0.1829229,1.790537,1.346215,,45.8734855478893,41.7793917261367,4.44042879926416
0.188, 0.26,-0.26,,,-0.1832293,1.789929,1.343816,,,-0.1831364,1.788649,1.343855,,45.8734855478893,41.9093189960078,4.41139793477853
0.199, 0.23,-0.23,,,-0.1826037,1.788338,1.341203,,,-0.1825177,1.787181,1.341234,,45.8734855478893,41.9885047919468,4.43667774485374
0.211, 0.13,-0.13,,,-0.1826742,1.786933,1.340118,,,-0.182626,1.786295,1.340135,,45.8734855478893,41.9809335274625,4.49457512240268
0.222, 0.07,-0.07,,,-0.1820304,1.787686,1.340944,,,-0.1820049,1.787351,1.340953,,45.8734855478893,41.8873599384372,4.53621878461341
0.232, 0.06,0.06,,,-0.1820203,1.787243,1.341253,,,-0.1820425,1.787537,1.341244,,45.8734855478893,41.7875469717788,4.58107775828644
0.244, 0.02,0.02,,,-0.1825744,1.786786,1.340913,,,-0.1825827,1.786895,1.340909,,45.8734855478893,41.6857703257886,4.63476731253693
0.255, 0.02,0.02,,,-0.1828069,1.786225,1.34034,,,-0.182813,1.786306,1.340337,,45.8734855478893,41.707107836162,4.60359859890057
0.266, 0.14,-0.14,,,-0.1830098,1.786188,1.33933,,,-0.1829567,1.785479,1.339353,,45.8734855478893,41.7675037822171,4.55737102611067
0.277, 0.15,-0.15,,,-0.1834478,1.782914,1.33524,,,-0.1833918,1.782159,1.335262,,45.8734855478893,41.957943111356,4.44042879926416
0.289, 0.27,-0.27,,,-0.1831457,1.780722,1.331098,,,-0.1830455,1.779382,1.33113,,45.8734855478893,42.0922758531191,4.42390102259313
0.299, 0.1,-0.1,,,-0.1815064,1.779198,1.328614,,,-0.181468,1.778702,1.328625,,45.8734855478893,42.0671919840902,4.53906782719167
0.311, 0.07,-0.07,,,-0.1808135,1.779206,1.328143,,,-0.1807858,1.778855,1.328151,,45.8734855478893,41.9262271288276,4.65690310124731
0.322, 0.12,-0.12,,,-0.1802937,1.779974,1.328327,,,-0.1802476,1.77939,1.328342,,45.8734855478893,41.8532704652383,4.67235725758806
0.333, 0.28,-0.28,,,-0.1800779,1.780163,1.327149,,,-0.1799677,1.778748,1.327188,,45.8734855478893,41.823053709191,4.64443587192485
0.344, 0.65,-0.65,,,-0.1803212,1.780368,1.324978,,,-0.1800749,1.777116,1.32507,,45.8734855478893,41.8758271643446,4.54109553954509
0.355, 1.51,-1.51,,,-0.1812755,1.780002,1.319213,,,-0.1807456,1.772474,1.319412,,45.8734855478893,42.1665678186539,4.21756144039579
0.366, 2.26,-2.26,,,-0.182662,1.779985,1.31519,,,-0.1819053,1.768715,1.315447,,45.8734855478893,42.4417902836008,3.98265800788431
0.377, 2.68,-2.68,,,-0.1828761,1.778661,1.310631,,,-0.1820038,1.7653,1.31089,,45.8734855478893,42.6561421043585,3.83246727485705
0.388, 3.1,-3.1,,,-0.1831152,1.777992,1.30696,,,-0.182114,1.762541,1.307239,,45.8734855478893,42.7317898624058,3.78853037669631
0.4, 3.15,-3.15,,,-0.1822664,1.776749,1.30405,,,-0.1812399,1.761055,1.304338,,45.8734855478893,42.6928372946532,3.82668936186683
0.41, 3.03,-3.03,,,-0.1813836,1.775488,1.302293,,,-0.1803846,1.760389,1.302576,,45.8734855478893,42.6502203305128,3.8727227011576
0.422, 2.8,-2.8,,,-0.1803948,1.774211,1.301167,,,-0.1794567,1.760231,1.301432,,45.8734855478893,42.6040004416856,3.92785001018837
0.433, 2.9,-2.9,,,-0.1802013,1.773569,1.299371,,,-0.1792232,1.759092,1.299646,,45.8734855478893,42.5845002521478,3.95383845237025
0.444, 2.9,-2.9,,,-0.1796332,1.771743,1.2963,,,-0.1786549,1.757257,1.296577,,45.8734855478893,42.5816452331542,3.95354133914962
0.455, 3.07,-3.07,,,-0.1796285,1.769906,1.292608,,,-0.1785927,1.754608,1.292903,,45.8734855478893,42.5672130438396,3.96516418635943
0.466, 3.06,-3.06,,,-0.1781043,1.768064,1.288613,,,-0.1770577,1.752814,1.288922,,45.8734855478893,42.489939700815,4.02934234956224
0.477, 2.95,-2.95,,,-0.1762488,1.765568,1.284111,,,-0.1752153,1.750867,1.284425,,45.8734855478893,42.3794511487809,4.13625913964663
0.489, 2.8,-2.8,,,-0.1746214,1.763633,1.280905,,,-0.1736253,1.749666,1.281197,,45.8734855478893,42.3564436572019,4.18717606405807
0.5, 2.72,-2.72,,,-0.1730661,1.76163,1.277216,,,-0.1720875,1.748066,1.277479,,45.8734855478893,42.3904511681331,4.21412372090482
0.511, 2.83,-2.83,,,-0.1713118,1.759658,1.272027,,,-0.1702971,1.745558,1.272268,,45.8734855478893,42.4915823612646,4.1799198420405
0.522, 2.96,-2.96,,,-0.1705363,1.757167,1.266956,,,-0.1694897,1.74242,1.267183,,45.8734855478893,42.6044922152921,4.10756210064739
0.533, 3.43,-3.43,,,-0.1700813,1.756008,1.261568,,,-0.1688967,1.738918,1.261817,,45.8734855478893,42.7027786347135,4.00741232029488
0.544, 3.93,-3.93,,,-0.1695782,1.755555,1.256805,,,-0.168249,1.735936,1.257103,,45.8734855478893,42.7352322776517,3.92480801477142
0.555, 4.24,-4.24,,,-0.1693463,1.75462,1.2531,,,-0.1679621,1.733472,1.253457,,45.8734855478893,42.7541109199923,3.81212910650883
0.566, 4.61,-4.61,,,-0.1693705,1.753553,1.248999,,,-0.1678999,1.730541,1.249399,,45.8734855478893,42.7937089406035,3.73108635294091
0.577, 4.99,-4.99,,,-0.1690107,1.7523,1.244236,,,-0.167434,1.727391,1.244639,,45.8734855478893,42.8668500192953,3.68424235559558
0.588, 5.08,-5.08,,,-0.1681015,1.749665,1.239151,,,-0.1664789,1.72433,1.239511,,45.8734855478893,42.9220652670092,3.70686692970483
0.6, 5.11,-5.11,,,-0.1668576,1.74826,1.235732,,,-0.1651854,1.722754,1.236068,,45.8734855478893,42.9060211530953,3.78408306989674
0.611, 5.04,-5.04,,,-0.1655453,1.745673,1.231402,,,-0.1638543,1.720548,1.231729,,45.8734855478893,42.8441089050866,3.88201560015163
0.623, 5.16,-5.16,,,-0.1643795,1.74376,1.226669,,,-0.1626089,1.718005,1.227017,,45.8734855478893,42.7683313734486,3.96708987276496
0.633, 5.21,-5.21,,,-0.1638053,1.741983,1.223295,,,-0.162017,1.715984,1.22367,,45.8734855478893,42.7279137301597,3.97640881185448
0.644, 5.6,-5.6,,,-0.1640077,1.740165,1.218253,,,-0.1620962,1.712246,1.218654,,45.8734855478893,42.7432133534748,3.95789771905839
0.655, 5.8,-5.8,,,-0.163147,1.73647,1.21091,,,-0.1611824,1.707519,1.211296,,45.8734855478893,42.8111669036363,3.91521672189633
0.666, 6.07,-6.07,,,-0.1628939,1.734653,1.206294,,,-0.1608594,1.704372,1.206682,,45.8734855478893,42.8568676981011,3.87383516818771
0.677, 6.06,-6.06,,,-0.1625402,1.732284,1.202773,,,-0.1605273,1.702041,1.203172,,45.8734855478893,42.8654771513103,3.84124577524352
0.688, 5.99,-5.99,,,-0.1620528,1.730477,1.20033,,,-0.160073,1.700578,1.200723,,45.8734855478893,42.8817671520275,3.82115904322713
0.7, 5.81,-5.81,,,-0.160946,1.726097,1.194642,,,-0.1590337,1.697119,1.194968,,45.8734855478893,42.9696853445773,3.79586301145309
0.711, 5.72,-5.72,,,-0.1601603,1.721571,1.188376,,,-0.1582604,1.693019,1.188605,,45.8734855478893,43.0842139533931,3.8124885452039
0.722, 5.6,-5.6,,,-0.1589608,1.717574,1.182671,,,-0.1570575,1.689645,1.182803,,45.8734855478893,43.1609989379056,3.89862619286405
0.734, 5.32,-5.32,,,-0.1578466,1.713701,1.178251,,,-0.1559992,1.687144,1.178334,,45.8734855478893,43.1735528252508,3.97995282616145
0.744, 4.88,-4.88,,,-0.1565272,1.709951,1.174908,,,-0.1547883,1.68559,1.175006,,45.8734855478893,43.0668174620611,4.08283852408723
0.756, 4.52,-4.52,,,-0.1555945,1.707039,1.172563,,,-0.1539697,1.684518,1.172726,,45.8734855478893,42.9020015868806,4.12981485634405
0.766, 4.16,-4.16,,,-0.1549935,1.704153,1.17056,,,-0.153499,1.683424,1.170763,,45.8734855478893,42.796772280361,4.13502799808299
0.778, 3.93,-3.93,,,-0.1544178,1.701757,1.168364,,,-0.1530083,1.682172,1.168565,,45.8734855478893,42.7795499588481,4.1299570096522
0.789, 3.79,-3.79,,,-0.1538462,1.699776,1.166142,,,-0.1524877,1.680886,1.166291,,45.8734855478893,42.8833073596425,4.1177997001547
0.8, 3.49,-3.49,,,-0.1524706,1.692063,1.156458,,,-0.1512079,1.674642,1.1565,,45.8734855478893,43.0946299915875,4.14685148209409
0.811, 3.53,-3.53,,,-0.1517579,1.688732,1.151026,,,-0.1504763,1.671142,1.150996,,45.8734855478893,43.2564883949397,4.18165300249416
0.822, 3.31,-3.31,,,-0.1504468,1.684963,1.146127,,,-0.1492369,1.668443,1.146077,,45.8734855478893,43.2964859816063,4.20975325373128
0.833, 3.21,-3.21,,,-0.1500616,1.681943,1.142388,,,-0.1488985,1.665948,1.142338,,45.8734855478893,43.3205282468157,4.18137211097236
0.844, 3.24,-3.24,,,-0.1490567,1.679501,1.137824,,,-0.1478891,1.663332,1.137762,,45.8734855478893,43.3683737206202,4.15671000611302
