経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.48,-0.48,,,-0.1019463,1.766424,1.526519,,,-0.1012176,1.764218,1.525997,,46.050527461344,30.3031715982528,22.2488539512074
0.01, 0.19,0.19,,,-0.1002405,1.764045,1.526403,,,-0.1005354,1.764925,1.526612,,46.050527461344,30.0867194943839,22.4455497334519
0.022, 0.89,0.89,,,-0.09891628,1.761019,1.526585,,,-0.100321,1.765148,1.527561,,46.050527461344,29.8310894265259,22.6466544026829
0.032, 1.56,1.56,,,-0.09726287,1.758519,1.527882,,,-0.09975111,1.765739,1.529577,,46.050527461344,29.590625793298,22.7777479273222
0.043, 2.16,2.16,,,-0.09607811,1.756018,1.529725,,,-0.09953591,1.765962,1.532047,,46.050527461344,29.4197310499253,22.8678876388378
0.054, 2.54,2.54,,,-0.09547409,1.754202,1.531001,,,-0.09956971,1.765927,1.533744,,46.050527461344,29.3521941412916,22.9411738590454
0.065, 2.88,2.88,,,-0.09516872,1.752376,1.532875,,,-0.09982087,1.765666,1.535991,,46.050527461344,29.3282816496728,22.9852046723046
0.076, 3.1,3.1,,,-0.09501703,1.751188,1.533936,,,-0.100018,1.765462,1.537299,,46.050527461344,29.3373589708271,23.031118910175
0.088, 3.39,3.39,,,-0.09438992,1.750007,1.535691,,,-0.09988022,1.765605,1.539382,,46.050527461344,29.2812455532624,23.1234459897115
0.099, 3.59,3.59,,,-0.0942678,1.748829,1.536237,,,-0.1001183,1.765358,1.540158,,46.050527461344,29.2005673610313,23.2188142108912
0.11, 3.96,3.96,,,-0.09370056,1.747082,1.536497,,,-0.100178,1.765296,1.540832,,46.050527461344,29.1372822450376,23.3062184317203
0.121, 3.97,3.97,,,-0.09409371,1.746613,1.53572,,,-0.1005985,1.76486,1.540091,,46.050527461344,29.1291918861908,23.3816220105117
0.132, 3.8,3.8,,,-0.09454791,1.747237,1.535516,,,-0.1007524,1.7647,1.539704,,46.050527461344,29.1918725304598,23.3433319710901
0.143, 3.77,3.77,,,-0.09471972,1.747242,1.535436,,,-0.1008704,1.764578,1.5396,,46.050527461344,29.2210510977821,23.33298764988
0.155, 3.91,3.91,,,-0.09504107,1.746062,1.535887,,,-0.1014218,1.764006,1.540208,,46.050527461344,29.1964590023598,23.3821462275159
0.166, 4.18,4.18,,,-0.09452671,1.744875,1.535827,,,-0.1013742,1.764055,1.540452,,46.050527461344,29.1370705091792,23.447581145491
0.177, 4.49,4.49,,,-0.09375012,1.743688,1.535853,,,-0.1011491,1.764288,1.540821,,46.050527461344,29.0376332029147,23.533848139855
0.188, 4.73,4.73,,,-0.09342142,1.742478,1.535883,,,-0.1012407,1.764194,1.541117,,46.050527461344,28.9921407292137,23.5670974998093
0.2, 4.59,4.59,,,-0.09371366,1.743061,1.535958,,,-0.101288,1.764144,1.541033,,46.050527461344,29.0239250136319,23.5265603282133
0.21, 4.55,4.55,,,-0.09454832,1.742454,1.535879,,,-0.1020459,1.763358,1.540915,,46.050527461344,29.0559790905148,23.5073384688765
0.221, 4.49,4.49,,,-0.09552984,1.741881,1.535553,,,-0.1028966,1.762476,1.540531,,46.050527461344,29.1175293385076,23.4910638360846
0.232, 4.5,4.5,,,-0.09658954,1.740744,1.53556,,,-0.1039496,1.761383,1.540579,,46.050527461344,29.2002258515823,23.4873806566771
0.243, 4.47,4.47,,,-0.09727263,1.740185,1.53524,,,-0.1045918,1.760717,1.540249,,46.050527461344,29.2222053997197,23.5036296762604
