経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.8,-0.8,,,0.4613724,1.559684,1.105651,,,0.4601588,1.555873,1.105657,,45.8734855478893,35.2648360242381,17.666152315491
0.011, 0.27,-0.27,,,0.4603176,1.556989,1.105189,,,0.4599162,1.55571,1.105191,,45.8734855478893,35.3467641410525,17.4313099277935
0.023, 0.02,0.02,,,0.4599225,1.556216,1.106037,,,0.4599501,1.556305,1.106037,,45.8734855478893,35.3524297828114,17.2014125969175
0.034, 0.16,0.16,,,0.4591641,1.55618,1.106344,,,0.4593957,1.556932,1.106337,,45.8734855478893,35.1822009828642,17.129067235242
0.044, 0.35,0.35,,,0.4570429,1.556567,1.106311,,,0.4575609,1.558244,1.106291,,45.8734855478893,34.9878957667627,17.1742779636475
0.055, 0.15,0.15,,,0.4561064,1.558501,1.106378,,,0.4563263,1.559206,1.106368,,45.8734855478893,34.8082310607397,17.3231385173709
0.066, 0.11,0.11,,,0.454267,1.559474,1.105588,,,0.4544364,1.560014,1.10558,,45.8734855478893,34.7689267382546,17.4131296722761
0.077, 0.04,0.04,,,0.4539196,1.559542,1.104703,,,0.4539725,1.55971,1.104701,,45.8734855478893,34.8613152894919,17.4650015424843
0.089, 0.13,0.13,,,0.4532759,1.559468,1.10476,,,0.4534782,1.560111,1.104753,,45.8734855478893,34.9311471416228,17.4654437972208
0.1, 0.15,0.15,,,0.4521824,1.559279,1.103515,,,0.4524042,1.559986,1.103509,,45.8734855478893,35.020475768197,17.435983484603
0.111, 0.34,0.34,,,0.4512126,1.55841,1.102933,,,0.4517267,1.560052,1.102921,,45.8734855478893,35.1126150175365,17.3869085767821
0.123, 0.4,0.4,,,0.4508227,1.558247,1.102796,,,0.4514239,1.560171,1.102782,,45.8734855478893,35.1448432642384,17.3467846316195
0.133, 0.59,0.59,,,0.4498359,1.558164,1.103188,,,0.4507117,1.560975,1.103165,,45.8734855478893,35.1095141117396,17.3089334318398
0.144, 0.82,0.82,,,0.4492776,1.557246,1.103248,,,0.4504914,1.561168,1.103208,,45.8734855478893,35.067829468395,17.1994386723023
0.156, 1.03,1.03,,,0.4491156,1.556707,1.10401,,,0.4506187,1.561618,1.103948,,45.8734855478893,35.0466149014233,17.0263019193969
0.166, 1.33,1.33,,,0.4490802,1.555474,1.10471,,,0.4510027,1.561828,1.104619,,45.8734855478893,35.0550877508529,16.8411047603002
0.178, 1.22,1.22,,,0.4492571,1.555971,1.10469,,,0.4510199,1.561807,1.104607,,45.8734855478893,35.074485487556,16.8137122873961
0.188, 1.33,1.33,,,0.447802,1.556403,1.104741,,,0.4497448,1.562781,1.10466,,45.8734855478893,35.0767087140689,16.945464925272
0.199, 1.21,1.21,,,0.4472659,1.557292,1.104397,,,0.4490319,1.56306,1.104328,,45.8734855478893,35.0735702422327,17.0267561269641
0.21, 1.11,1.11,,,0.4450862,1.559007,1.103746,,,0.4467179,1.56429,1.10369,,45.8734855478893,35.0676143174421,17.1681120105458
0.221, 1.01,1.01,,,0.4428588,1.560766,1.103143,,,0.4443613,1.565584,1.103098,,45.8734855478893,35.0525537507414,17.3187330454788
0.233, 0.88,0.88,,,0.4420708,1.562098,1.103132,,,0.4433822,1.566298,1.103092,,45.8734855478893,35.0354441273466,17.344481150386
0.244, 0.98,0.98,,,0.4416919,1.561992,1.103378,,,0.4431428,1.566648,1.103331,,45.8734855478893,35.0226648437651,17.309059790336
0.255, 0.96,0.96,,,0.4411916,1.562559,1.103531,,,0.4426188,1.567144,1.103482,,45.8734855478893,35.0104797866249,17.2914549782402
0.267, 0.82,0.82,,,0.4398558,1.5645,1.10375,,,0.4410822,1.568436,1.103706,,45.8734855478893,34.9701577659818,17.3105402337974
0.278, 0.62,0.62,,,0.4381718,1.566667,1.10337,,,0.439096,1.56962,1.103334,,45.8734855478893,34.895141800415,17.3831588030321
0.289, 0.53,0.53,,,0.4357603,1.568839,1.103189,,,0.4365523,1.571357,1.103159,,45.8734855478893,34.8603693083181,17.4680956180923
0.3, 0.23,0.23,,,0.4332731,1.571617,1.102074,,,0.4336172,1.572705,1.102062,,45.8734855478893,34.8574494025292,17.5592461975769
0.311, 0.08,0.08,,,0.4317727,1.572982,1.101249,,,0.4318955,1.573369,1.101245,,45.8734855478893,34.8561414213396,17.5982004728768
0.322, 0.06,-0.06,,,0.429535,1.57509,1.100722,,,0.4294392,1.574789,1.100725,,45.8734855478893,34.8049935511632,17.6602544473068
0.333, 0.25,-0.25,,,0.4263408,1.577998,1.099986,,,0.4259598,1.576809,1.099999,,45.8734855478893,34.7459192466757,17.7720441503416
