経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.28,-0.28,,,0.1874551,1.800599,1.223516,,,0.1873801,1.799212,1.223658,,44.8235181620417,38.7243062520135,6.38877777183298
0.011, 0.55,0.55,,,0.1840426,1.798533,1.223623,,,0.1841861,1.80125,1.223347,,44.8235181620417,38.8063163310957,6.31729984415785
0.023, 1.26,1.26,,,0.1803913,1.798447,1.225427,,,0.1807373,1.8047,1.224777,,44.8235181620417,38.6175060020286,6.49419405477584
0.033, 1.98,1.98,,,0.1783475,1.797454,1.227646,,,0.178885,1.807299,1.2266,,44.8235181620417,38.5582438673441,6.59151016047529
0.045, 2.41,2.41,,,0.1748095,1.799832,1.230873,,,0.1755119,1.811762,1.229538,,44.8235181620417,38.1669901520059,6.98364838528641
0.055, 3,3,,,0.1774321,1.794781,1.230746,,,0.1780917,1.809658,1.229142,,44.8235181620417,38.9297788270972,6.41912045948958
0.066, 3.61,3.61,,,0.1762831,1.794474,1.23399,,,0.1770468,1.81241,1.231989,,44.8235181620417,38.8641748619448,6.57533584608397
0.077, 3.94,3.94,,,0.1748283,1.794175,1.234622,,,0.1756335,1.813743,1.232462,,44.8235181620417,38.96765905518,6.48570370298696
0.088, 3.99,3.99,,,0.1735516,1.79596,1.236275,,,0.174374,1.815791,1.234099,,44.8235181620417,38.9780341122405,6.45873982444138
0.099, 4.06,4.06,,,0.1724972,1.797047,1.237231,,,0.1733217,1.817195,1.235032,,44.8235181620417,39.0236495293431,6.41579031547505
0.111, 4.03,4.03,,,0.1727902,1.796962,1.237085,,,0.1735642,1.816983,1.234974,,44.8235181620417,39.25970086049,6.17307784252544
0.121, 3.98,3.98,,,0.1723676,1.798687,1.238742,,,0.1731274,1.818489,1.236667,,44.8235181620417,39.296635107399,6.13270801055947
0.133, 4.04,4.04,,,0.1748522,1.797378,1.239592,,,0.1754743,1.817477,1.237584,,44.8235181620417,39.793370846249,5.73428985386811
0.145, 3.66,3.66,,,0.1731297,1.801356,1.240755,,,0.1738249,1.819518,1.238819,,44.8235181620417,39.2324996328773,6.22642546044011
0.158, 4.02,4.02,,,0.1761801,1.8002,1.244767,,,0.1767435,1.820178,1.242672,,44.8235181620417,39.7256802583633,5.955916679663
0.168, 3.95,3.95,,,0.1750918,1.803677,1.248251,,,0.1757069,1.82332,1.246079,,44.8235181620417,39.37905499782,6.31612035589838
0.178, 3.7,3.7,,,0.1740735,1.805279,1.247566,,,0.1747192,1.823633,1.245533,,44.8235181620417,39.207405518565,6.39132457854888
0.188, 3.51,3.51,,,0.1745152,1.805079,1.246247,,,0.1751338,1.822502,1.244349,,44.8235181620417,39.2595403510489,6.30204248263709
0.2, 3.41,3.41,,,0.1745281,1.806129,1.246975,,,0.1751302,1.823072,1.245152,,44.8235181620417,39.3094826928703,6.2297308450196
0.21, 3.35,3.35,,,0.1766597,1.805296,1.247306,,,0.1771656,1.821976,1.245636,,44.8235181620417,39.8135028282674,5.73258059907588
0.222, 3.47,3.47,,,0.1765154,1.80507,1.247734,,,0.1770451,1.822346,1.24604,,44.8235181620417,39.8765796234972,5.62803431145434
0.233, 3.72,3.72,,,0.1785488,1.801205,1.245934,,,0.1789947,1.819697,1.244243,,44.8235181620417,40.4047752127888,5.16099281919465
0.244, 3.95,3.95,,,0.1795088,1.799767,1.246577,,,0.179941,1.819412,1.244786,,44.8235181620417,40.5045062171795,5.1153475200153
0.254, 4,4,,,0.1783642,1.799054,1.244798,,,0.1788485,1.818946,1.243034,,44.8235181620417,40.49871080183,5.01465772784657
0.266, 4.32,4.32,,,0.1784027,1.797948,1.245796,,,0.1789326,1.819479,1.243872,,44.8235181620417,40.4620804983306,5.05516587113938
0.277, 4.23,4.23,,,0.1783415,1.799022,1.246585,,,0.1788651,1.820062,1.24463,,44.8235181620417,40.3158700579314,5.2536323798769
0.288, 4.3,4.3,,,0.1781718,1.798285,1.245908,,,0.1786775,1.819693,1.24392,,44.8235181620417,40.3718878528504,5.23124387417426
0.3, 4.22,4.22,,,0.178027,1.799021,1.246187,,,0.1785287,1.820011,1.24422,,44.8235181620417,40.3289464547335,5.28015869944095
0.311, 4.05,4.05,,,0.1773089,1.800023,1.245645,,,0.1778219,1.820155,1.243718,,44.8235181620417,40.1846143163038,5.41580326437499
0.321, 4.08,4.08,,,0.1776935,1.799859,1.246035,,,0.1781947,1.820166,1.244106,,44.8235181620417,40.2474725454862,5.36194850492855
0.333, 3.91,3.91,,,0.1783703,1.799824,1.245366,,,0.1788475,1.819291,1.243521,,44.8235181620417,40.2605147913434,5.35060740301416
0.344, 4.02,4.02,,,0.1784091,1.799191,1.245324,,,0.1788982,1.819191,1.243431,,44.8235181620417,40.2687485841587,5.34170083658431
0.355, 3.93,3.93,,,0.1785049,1.79914,1.244627,,,0.1789804,1.818676,1.242785,,44.8235181620417,40.286892981184,5.32082351019349
0.366, 3.68,3.68,,,0.18064,1.798075,1.243284,,,0.1810474,1.816376,1.241599,,44.8235181620417,40.4579858000371,5.17036127715427
0.377, 3.59,3.59,,,0.1863196,1.789849,1.236116,,,0.1864536,1.807726,1.234772,,44.8235181620417,41.7271066294953,4.07265684675219
0.388, 4.01,4.01,,,0.1877414,1.78748,1.23737,,,0.1878318,1.807488,1.235814,,44.8235181620417,41.7544683665489,4.20668137623754
0.399, 4.32,4.32,,,0.1907245,1.781103,1.233293,,,0.1906464,1.802635,1.231766,,44.8235181620417,42.3625771669059,3.81264265134276
0.411, 5.06,5.06,,,0.1950111,1.77185,1.229451,,,0.1946075,1.797082,1.227873,,44.8235181620417,43.2080247890325,3.45332028292919
0.422, 5.6,5.6,,,0.1970547,1.767103,1.228549,,,0.1964711,1.795027,1.22683,,44.8235181620417,43.4560016301384,3.48374557318377
0.433, 6.38,6.38,,,0.2010336,1.758193,1.225244,,,0.2000425,1.79004,1.223349,,44.8235181620417,43.9725073509909,3.62152756038172
0.444, 6.83,6.83,,,0.2007452,1.753319,1.221088,,,0.19969,1.787386,1.219244,,44.8235181620417,44.1681444539435,3.35456300735498
0.455, 7.47,7.47,,,0.198702,1.750909,1.220767,,,0.1977884,1.788192,1.218481,,44.8235181620417,43.6200047128304,3.54613315965681
0.467, 7.31,7.31,,,0.1979637,1.75013,1.217968,,,0.1972466,1.786611,1.215704,,44.8235181620417,43.3836391929904,3.48734060046468
0.477, 6.37,6.37,,,0.190449,1.760869,1.220286,,,0.1907093,1.792616,1.217659,,44.8235181620417,41.4097589740145,4.5055000096761
0.488, 5.41,5.41,,,0.1949526,1.760308,1.216769,,,0.1951295,1.787256,1.2145,,44.8235181620417,41.4245053520223,4.57932410726584
0.499, 4.8,4.8,,,0.2009813,1.759379,1.21688,,,0.201019,1.783259,1.214736,,44.8235181620417,41.4288869182529,4.88222591305397
0.51, 3.96,3.96,,,0.2068719,1.758204,1.214827,,,0.2068042,1.777931,1.212987,,44.8235181620417,41.5148243559986,5.08395853278434
0.521, 3.11,3.11,,,0.2103219,1.757986,1.211628,,,0.2102797,1.773463,1.210143,,44.8235181620417,41.3867070862072,5.23247971149282
0.538, 1.83,1.83,,,0.2126104,1.758078,1.204445,,,0.2126299,1.7672,1.203637,,44.8235181620417,41.4493672399093,4.81523712708591
0.543, 0.83,0.83,,,0.2151092,1.757131,1.198071,,,0.2151435,1.76125,1.197735,,44.8235181620417,41.4511533343275,4.43769330857769
0.556, 0.04,0.04,,,0.217831,1.757689,1.195704,,,0.2178337,1.7579,1.195687,,44.8235181620417,41.2100647388079,4.54458790054789
0.567, 0.61,-0.61,,,0.2239035,1.752288,1.189244,,,0.2238734,1.749236,1.189474,,44.8235181620417,41.6147397754917,4.10594078453827
