経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.68,-0.68,,,0.2998444,1.626039,1.080276,,,0.2985533,1.623203,1.081637,,44.8234874261913,11.5377678145558,33.3203631839154
0.01, 0.15,-0.15,,,0.2981887,1.623565,1.080331,,,0.2979082,1.622945,1.080626,,44.8234874261913,11.6600802774878,33.1959786124016
0.022, 0.55,0.55,,,0.2959926,1.620097,1.080027,,,0.2970233,1.622382,1.078945,,44.8234874261913,11.8492901726103,33.0025476604895
0.033, 1.26,1.26,,,0.2943139,1.616307,1.079926,,,0.2966775,1.621577,1.07746,,44.8234874261913,12.0799695601244,32.7634944612859
0.044, 1.74,1.74,,,0.2930361,1.613632,1.079604,,,0.2963101,1.620951,1.076208,,44.8234874261913,12.2210804106765,32.6166317378391
0.055, 2.37,2.37,,,0.2916819,1.610502,1.080003,,,0.296147,1.620495,1.075401,,44.8234874261913,12.3287369956048,32.5039438649535
0.066, 2.74,2.74,,,0.2907089,1.608889,1.080353,,,0.2958595,1.620447,1.075045,,44.8234874261913,12.4005999751836,32.4318204844198
0.079, 2.88,2.88,,,0.2908556,1.608553,1.081353,,,0.2962579,1.620676,1.075768,,44.8234874261913,12.3588180016461,32.4760766939153
0.089, 2.71,2.71,,,0.2906562,1.609915,1.081416,,,0.2957495,1.621298,1.076138,,44.8234874261913,12.2213706937081,32.6156242849646
0.099, 2.7,2.7,,,0.290443,1.610222,1.081605,,,0.2955377,1.621581,1.076327,,44.8234874261913,12.1628325590555,32.6740736271605
0.11, 3.07,3.07,,,0.2889745,1.60921,1.082277,,,0.2947652,1.622096,1.076283,,44.8234874261913,12.1232516139167,32.7130193647241
