経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.83,-0.83,,,0.1740322,1.563405,0.9140754,,,0.1726912,1.559468,0.9140007,,45.7999961295596,49.9144404993779,18.8523222073349
0.011, 0.27,-0.27,,,0.1754962,1.561386,0.9146552,,,0.1750728,1.560125,0.9146336,,45.7999961295596,49.7458748504473,18.5970370640205
0.022, 0.21,0.21,,,0.1758284,1.560434,0.9158651,,,0.1761551,1.561416,0.9158785,,45.7999961295596,49.5317996523434,18.438906236304
0.034, 0.67,0.67,,,0.1763605,1.559801,0.9173598,,,0.1774161,1.562985,0.9173914,,45.7999961295596,49.308500284022,18.3576474780096
0.044, 0.86,0.86,,,0.1766763,1.559785,0.9182147,,,0.1780284,1.563872,0.9182466,,45.7999961295596,49.1895491278418,18.3170283441459
0.056, 1.08,1.08,,,0.1771511,1.55892,0.918393,,,0.1788457,1.564064,0.9184313,,45.7999961295596,49.1502584657347,18.2450091239941
0.067, 1.09,1.09,,,0.1765651,1.558144,0.9176717,,,0.178271,1.563326,0.9177201,,45.7999961295596,49.2460108850445,18.237905727455
0.079, 0.78,0.78,,,0.1761702,1.558847,0.9169428,,,0.1773979,1.562563,0.9169846,,45.7999961295596,49.3618338146719,18.299611362247
0.088, 0.64,0.64,,,0.1751324,1.559005,0.9164339,,,0.1761354,1.562031,0.9164716,,45.7999961295596,49.4435399503445,18.3634036197725
0.1, 0.63,0.63,,,0.174707,1.558564,0.9159763,,,0.1757034,1.561559,0.9160169,,45.7999961295596,49.5162951233589,18.4257512923287
0.111, 0.46,0.46,,,0.1743433,1.559411,0.9160314,,,0.1750754,1.561604,0.9160604,,45.7999961295596,49.5163087837369,18.4784171720058
0.122, 0.68,0.68,,,0.1738786,1.558794,0.9164414,,,0.1749602,1.56204,0.9164807,,45.7999961295596,49.4484576864101,18.4513098594916
0.133, 1.31,1.31,,,0.1746499,1.557709,0.9182624,,,0.1766985,1.563935,0.9183068,,45.7999961295596,49.1298942572909,18.2253859910547
0.144, 2.18,2.18,,,0.1754917,1.555498,0.9201449,,,0.1788452,1.565884,0.9201859,,45.7999961295596,48.8717848308333,17.9011415522515
0.155, 2.7,2.7,,,0.176636,1.553272,0.9203902,,,0.1807227,1.566142,0.9204344,,45.7999961295596,48.7673136752905,17.6225944928186
0.167, 2.99,2.99,,,0.1767434,1.551552,0.9200596,,,0.1812393,1.565816,0.9201201,,45.7999961295596,48.7756704115075,17.50113836483
0.178, 3.07,3.07,,,0.1759011,1.550884,0.919739,,,0.1805206,1.56552,0.9198349,,45.7999961295596,48.9030773416449,17.5280561396
0.189, 2.58,2.58,,,0.1749192,1.55195,0.9184872,,,0.1788294,1.564226,0.9185872,,45.7999961295596,49.0285991396239,17.6813597312548
0.2, 2.61,2.61,,,0.1742663,1.551547,0.9181958,,,0.1782399,1.563953,0.9183248,,45.7999961295596,49.1713193534543,17.7786318676127
0.211, 2.54,2.54,,,0.1737046,1.551128,0.9174678,,,0.1775952,1.563217,0.9176151,,45.7999961295596,49.2870773962864,17.8626380694243
0.222, 2.56,2.56,,,0.1736791,1.551174,0.9176183,,,0.1776058,1.56337,0.9177626,,45.7999961295596,49.2710776786009,17.8693282395302
0.233, 2.42,2.42,,,0.1739158,1.551748,0.9175307,,,0.1776145,1.563256,0.9176521,,45.7999961295596,49.1961846564358,17.8366218795997
0.244, 2.82,2.82,,,0.1747101,1.551167,0.9188228,,,0.1790219,1.564595,0.9189429,,45.7999961295596,49.1075253883816,17.817101199495
0.256, 2.96,2.96,,,0.1754698,1.551221,0.9195206,,,0.1799884,1.565301,0.9196237,,45.7999961295596,49.0202492335959,17.8051773970833
0.266, 2.82,2.82,,,0.1759223,1.551941,0.9195892,,,0.1802391,1.565366,0.9196867,,45.7999961295596,49.0259046300713,17.8366338324304
0.278, 2.76,2.76,,,0.1757261,1.552017,0.9193836,,,0.1799605,1.565159,0.9194873,,45.7999961295596,49.0680844621169,17.8716641641613
0.288, 2.76,2.76,,,0.1758976,1.552184,0.9195167,,,0.1801477,1.565317,0.919639,,45.7999961295596,49.1632904663084,17.9490894788907
0.3, 2.63,2.63,,,0.175545,1.552292,0.9190022,,,0.179604,1.564795,0.9191358,,45.7999961295596,49.2495625833141,18.0054983021289
0.311, 2.5,2.5,,,0.175554,1.552899,0.9190087,,,0.1794147,1.564794,0.9191346,,45.7999961295596,49.2434017528542,18.0005583679491
0.323, 2.4,2.4,,,0.1756596,1.552855,0.9184968,,,0.1793555,1.564254,0.9186142,,45.7999961295596,49.2232731859303,17.9821936973293
0.333, 2.57,2.57,,,0.1758101,1.55279,0.9192398,,,0.1797721,1.565028,0.9193611,,45.7999961295596,49.1961539205854,17.9563789980796
0.345, 2.72,2.72,,,0.1757085,1.552584,0.9197341,,,0.1798807,1.565531,0.9198459,,45.7999961295596,49.1077712751849,17.8762489285141
0.356, 2.92,2.92,,,0.176577,1.552172,0.9202671,,,0.1810218,1.566074,0.9203691,,45.7999961295596,49.0032113271854,17.7417864131604
0.367, 3.11,3.11,,,0.1763801,1.551934,0.9209286,,,0.1811034,1.566766,0.921036,,45.7999961295596,48.9799272129528,17.6763890612247
0.378, 3.1,3.1,,,0.175952,1.55178,0.9207135,,,0.1806471,1.566551,0.9208289,,45.7999961295596,49.0015652516412,17.6464472202838
0.389, 3.19,3.19,,,0.1760509,1.551647,0.9209675,,,0.1808721,1.566833,0.9211003,,45.7999961295596,49.0446227629708,17.6286170119517
0.4, 3.29,3.29,,,0.1755736,1.551507,0.9212878,,,0.1805421,1.567181,0.9214363,,45.7999961295596,49.0762704436094,17.6049657750614
0.411, 3.29,3.29,,,0.1755772,1.551509,0.9213064,,,0.1805515,1.5672,0.9214548,,45.7999961295596,49.0758162360422,17.6060261619005
0.422, 3.18,3.18,,,0.1749488,1.552155,0.9214268,,,0.1797562,1.567315,0.9215656,,45.7999961295596,49.0611005938849,17.6098544828238
0.434, 3.2,3.2,,,0.1749361,1.552792,0.9221272,,,0.1797712,1.568038,0.9222627,,45.7999961295596,49.046784517783,17.6102711243516
0.445, 3.08,3.08,,,0.1742586,1.553463,0.9222274,,,0.1789121,1.568131,0.9223521,,45.7999961295596,49.0288450264271,17.6162304642366
0.457, 3.09,3.09,,,0.1730372,1.554083,0.9228843,,,0.1777079,1.56881,0.9230061,,45.7999961295596,49.014938761664,17.6110736715567
0.467, 3.26,3.26,,,0.1726399,1.553966,0.9235454,,,0.1775545,1.569498,0.92367,,45.7999961295596,48.9915009681793,17.571625915103
0.478, 3.31,3.31,,,0.1717992,1.554347,0.9241397,,,0.1767688,1.570116,0.9242654,,45.7999961295596,48.9706484012235,17.5055899404977
0.489, 3.35,3.35,,,0.1710282,1.554672,0.9246699,,,0.1760459,1.57067,0.9247991,,45.7999961295596,48.9552429099792,17.4278555597169
0.5, 3.54,3.54,,,0.1701743,1.554471,0.92536,,,0.1754593,1.571387,0.925491,,45.7999961295596,48.9202279461736,17.3629960851633
0.511, 3.46,3.46,,,0.1696211,1.555091,0.9255725,,,0.1747734,1.571594,0.9256898,,45.7999961295596,48.8834132275717,17.3505975846175
0.523, 3.48,3.48,,,0.1688778,1.555822,0.9263843,,,0.1740685,1.572426,0.9264927,,45.7999961295596,48.8585718302516,17.3705127081358
0.534, 3.23,3.23,,,0.1674242,1.557225,0.9265943,,,0.1722489,1.572625,0.9266845,,45.7999961295596,48.8329927725217,17.4039055020587
0.544, 3.23,3.23,,,0.1664307,1.558116,0.9274566,,,0.1712696,1.573507,0.9275345,,45.7999961295596,48.8072497902563,17.4611885894863
0.556, 3.24,3.24,,,0.1647744,1.559671,0.9290311,,,0.1696536,1.575124,0.9290937,,45.7999961295596,48.7731978830968,17.5298473566599
0.567, 3.25,3.25,,,0.164104,1.560332,0.9297107,,,0.1690007,1.575828,0.9297717,,45.7999961295596,48.7709541660169,17.5430740176196
0.578, 3.37,3.37,,,0.1635735,1.56026,0.9302055,,,0.1686542,1.576349,0.9302745,,45.7999961295596,48.7866909214266,17.5320125265666
0.589, 3.24,3.24,,,0.1630086,1.560825,0.9301174,,,0.1678798,1.576259,0.930187,,45.7999961295596,48.7959014312661,17.5237121394087
0.6, 3.51,3.51,,,0.1613298,1.561321,0.9318382,,,0.1666012,1.578053,0.931917,,45.7999961295596,48.7980358653223,17.4942210909406
0.612, 3.81,3.81,,,0.1603374,1.561192,0.9330903,,,0.1660449,1.579355,0.933172,,45.7999961295596,48.7752947511136,17.451511919249
0.622, 4.17,4.17,,,0.1588304,1.561675,0.935236,,,0.1650618,1.58157,0.9353075,,45.7999961295596,48.7130751446008,17.3969506621299
0.634, 4.34,4.34,,,0.1583624,1.561615,0.9359593,,,0.1648376,1.582317,0.9360273,,45.7999961295596,48.6903955020929,17.3737604629957
0.645, 4.58,4.58,,,0.1572386,1.561516,0.9369853,,,0.1640757,1.583397,0.9370689,,45.7999961295596,48.7143114088062,17.3582234906136
0.657, 4.68,4.68,,,0.1560335,1.562059,0.9379272,,,0.1630085,1.584392,0.9380275,,45.7999961295596,48.7472055989336,17.3513301223856
0.667, 4.86,4.86,,,0.1536593,1.562504,0.9391582,,,0.1608951,1.585706,0.9392948,,45.7999961295596,48.8142199981103,17.3297091591696
0.678, 4.98,4.98,,,0.1525602,1.562395,0.9395902,,,0.1599616,1.586167,0.9397387,,45.7999961295596,48.8259269420219,17.3042496297468
0.688, 5.14,5.14,,,0.1505249,1.562738,0.9406832,,,0.1581391,1.587309,0.9408396,,45.7999961295596,48.8114913376128,17.2281613245102
0.7, 5.53,5.53,,,0.1492306,1.562497,0.9422672,,,0.1573779,1.588934,0.9424064,,45.7999961295596,48.7291568245541,17.1360698864936
0.711, 6,6,,,0.1477687,1.563413,0.9453993,,,0.1565236,1.592091,0.9454498,,45.7999961295596,48.5034771353732,16.9799368890538
0.722, 6.24,6.24,,,0.1465304,1.563911,0.9471117,,,0.1555981,1.593779,0.9470766,,45.7999961295596,48.3245022784372,16.8890953756206
0.733, 6.25,6.25,,,0.1450278,1.565075,0.9483488,,,0.1540827,1.595005,0.9482586,,45.7999961295596,48.2126784244575,16.8324731089768
0.744, 6.28,6.28,,,0.1426603,1.565662,0.9490497,,,0.1517378,1.595714,0.9489425,,45.7999961295596,48.1765023285253,16.8073004474912
0.755, 5.97,5.97,,,0.142199,1.566368,0.9482418,,,0.1508633,1.594941,0.9481965,,45.7999961295596,48.2979601640611,16.8697249596734
0.768, 5.85,5.85,,,0.1401353,1.56698,0.9482204,,,0.1486341,1.594963,0.9482179,,45.7999961295596,48.3837644131217,16.8958897061084
0.778, 5.67,5.67,,,0.1367209,1.56822,0.9485283,,,0.1449751,1.595339,0.9485807,,45.7999961295596,48.4995395314263,16.9323014435604
0.789, 5.61,5.61,,,0.1347797,1.568831,0.948833,,,0.1429529,1.595672,0.9489014,,45.7999961295596,48.5341583442711,16.940355943915
0.8, 5.67,5.67,,,0.133694,1.569412,0.9496825,,,0.1419412,1.596534,0.9497328,,45.7999961295596,48.4915379650363,16.9169693768477
0.811, 5.66,5.66,,,0.1315567,1.570563,0.9508064,,,0.1397681,1.597657,0.9508151,,45.7999961295596,48.3963968476401,16.8626744970989
0.823, 5.9,5.9,,,0.1284666,1.57227,0.9536262,,,0.1369696,1.600498,0.9535536,,45.7999961295596,48.2173263680584,16.7639355776575
0.834, 5.9,5.9,,,0.1257253,1.57344,0.9548426,,,0.1342079,1.601704,0.9547163,,45.7999961295596,48.101476117675,16.7054640373475
0.845, 5.84,5.84,,,0.1241415,1.574563,0.9556662,,,0.1325079,1.602533,0.9555159,,45.7999961295596,48.0392565111622,16.6524668935048
0.857, 5.83,5.83,,,0.1224676,1.575044,0.9561007,,,0.1308067,1.60299,0.9559565,,45.7999961295596,48.040195662147,16.6146942408985
0.867, 5.8,5.8,,,0.1212481,1.575598,0.9564531,,,0.1295338,1.603374,0.9563268,,45.7999961295596,48.071525738998,16.6097013727541
0.878, 5.9,5.9,,,0.1194584,1.575531,0.9568632,,,0.1278895,1.603812,0.9567485,,45.7999961295596,48.0952401551364,16.6001049572373
0.889, 6,6,,,0.1181865,1.576122,0.9578518,,,0.126755,1.604853,0.9577525,,45.7999961295596,48.1283563264056,16.6059618442876
0.901, 5.88,5.88,,,0.1165015,1.57724,0.9583757,,,0.124884,1.605402,0.9582809,,45.7999961295596,48.125166628152,16.5758577863585
0.912, 6.07,6.07,,,0.11367,1.578376,0.9604113,,,0.122308,1.607484,0.9602885,,45.7999961295596,48.0672397954131,16.5282906427549
0.923, 6.37,6.37,,,0.110948,1.579583,0.9630675,,,0.119981,1.61015,0.9628587,,45.7999961295596,47.9113031659064,16.4633679889533
0.933, 6.63,6.63,,,0.1093291,1.580206,0.9649132,,,0.118701,1.611996,0.9646376,,45.7999961295596,47.8040931045827,16.4271543269816
0.945, 6.79,6.79,,,0.1089024,1.580713,0.9661477,,,0.1184844,1.613271,0.9658669,,45.7999961295596,47.7995032175882,16.4009400616766
0.956, 6.67,6.67,,,0.1078686,1.581805,0.966662,,,0.1172732,1.613819,0.9663957,,45.7999961295596,47.8081468217423,16.371947617004
0.967, 6.83,6.83,,,0.1068085,1.582334,0.9679296,,,0.1164253,1.615124,0.9676529,,45.7999961295596,47.7948825947433,16.3464846724867
0.978, 7,7,,,0.1051455,1.582865,0.9692309,,,0.1149779,1.616456,0.9689373,,45.7999961295596,47.7708778955732,16.3164147655025
