経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.32,-0.32,,,-0.1282038,1.793129,1.50501,,,-0.1282829,1.791703,1.50432,,37.0869870101189,30.9369619091744,26.2443215516368
0.01, 0.28,0.28,,,-0.1282674,1.791353,1.501808,,,-0.1282011,1.792627,1.502429,,36.8648590192076,30.7617334108939,26.3911467090442
0.022, 0.61,0.61,,,-0.1280027,1.790766,1.499626,,,-0.127868,1.793493,1.500964,,36.6562274817207,30.5865254031804,26.4833405998955
0.033, 0.75,0.75,,,-0.1279484,1.790461,1.498659,,,-0.1277886,1.793836,1.500309,,36.5731553082521,30.4745034737203,26.4112923514405
0.044, 0.5,0.5,,,-0.1288032,1.790687,1.500082,,,-0.128696,1.792917,1.501163,,36.7943202425172,30.6428061603751,26.2127165596793
0.055, 0.39,0.39,,,-0.1288718,1.790952,1.500612,,,-0.1287862,1.792726,1.501465,,36.8403318105806,30.6633513688268,26.0516163073039
0.067, 0.35,0.35,,,-0.1295239,1.790686,1.500875,,,-0.1294476,1.792261,1.501628,,36.9514282494339,30.7755645435783,25.9301550566735
0.077, 0.43,0.43,,,-0.1293354,1.790545,1.500511,,,-0.1292431,1.792472,1.501431,,36.9008438698485,30.7167668617445,25.890374328507
0.088, 0.44,0.44,,,-0.1294968,1.790456,1.500325,,,-0.1294039,1.792447,1.501277,,36.9066085493475,30.6788968789451,25.9036197724864
0.099, 0.7,0.7,,,-0.1289828,1.789775,1.499406,,,-0.1288395,1.792942,1.500922,,36.7880603743171,30.517352664286,25.9353955191684
0.111, 0.87,0.87,,,-0.1290188,1.789209,1.498681,,,-0.128849,1.793104,1.500553,,36.748943882029,30.4374087173702,26.0184557398062
0.122, 1.42,1.42,,,-0.128194,1.787487,1.4969,,,-0.1279292,1.793892,1.500002,,36.5592729491504,30.182396781615,26.1709277559528
0.133, 1.78,1.78,,,-0.1272828,1.786352,1.496343,,,-0.1269711,1.794341,1.500243,,36.4514413406295,29.9144313924592,26.3404632917185
0.144, 2.13,2.13,,,-0.1262876,1.785002,1.49637,,,-0.125938,1.794569,1.50106,,36.3973803948532,29.618373436029,26.4300975692496
0.161, 2.26,2.26,,,-0.1257975,1.784073,1.497474,,,-0.1254396,1.794228,1.502437,,36.4809170211724,29.4574746742284,26.3522060941223
0.168, 2.01,2.01,,,-0.1256942,1.783932,1.50091,,,-0.1253638,1.792971,1.505246,,36.7856834685521,29.4908606379624,25.9421249628608
0.178, 2.07,2.07,,,-0.1252164,1.782882,1.503038,,,-0.124871,1.792205,1.507469,,36.970812325759,29.4356078242092,25.7368436330686
0.189, 2.15,2.15,,,-0.1246447,1.781972,1.504643,,,-0.124282,1.791696,1.509238,,37.0935986330515,29.3590687264999,25.6074832688829
0.2, 2.31,2.31,,,-0.1238686,1.781427,1.504877,,,-0.123482,1.791871,1.509828,,37.0527097067231,29.2145453427787,25.6762598568165
0.211, 2.15,2.15,,,-0.1246337,1.782501,1.503562,,,-0.124271,1.792202,1.508199,,36.9722603258228,29.3542841791194,25.8659307896951
0.222, 2.73,2.73,,,-0.1234223,1.780652,1.502331,,,-0.1229616,1.792918,1.50827,,36.8014407145288,29.148207132311,26.1482925096733
0.233, 3.04,3.04,,,-0.1229465,1.779979,1.500777,,,-0.1224294,1.793614,1.507445,,36.6340601033863,29.0840306766554,26.3782291141359
0.244, 3.18,3.18,,,-0.1222723,1.77945,1.501075,,,-0.1217336,1.793712,1.508065,,36.6108989325553,28.9627675015055,26.4247717293925
0.255, 3.06,3.06,,,-0.1222079,1.77979,1.501839,,,-0.1216917,1.793514,1.508532,,36.6591268969427,28.946573123434,26.3142814698111
0.266, 3.18,3.18,,,-0.1220032,1.778923,1.502429,,,-0.1214719,1.793231,1.509381,,36.7279103150652,28.8850672716696,26.2313356548387
0.278, 3.46,3.46,,,-0.1210143,1.777426,1.50352,,,-0.1204506,1.792992,1.511063,,36.7867148270881,28.6740007718114,26.1648710858748
0.288, 3.73,3.73,,,-0.1206571,1.775953,1.503952,,,-0.1200649,1.792723,1.512057,,36.851946546941,28.5683565313113,26.102651479362
0.3, 3.72,3.72,,,-0.120666,1.775943,1.503994,,,-0.1200734,1.792702,1.512091,,36.8571613962272,28.5721063050613,26.0986541112615
0.31, 3.89,3.89,,,-0.1201545,1.775415,1.503834,,,-0.119531,1.792906,1.512295,,36.8086192431468,28.4994877358265,26.1258809520828
0.322, 3.98,3.98,,,-0.1203101,1.774945,1.503549,,,-0.1196627,1.792862,1.512235,,36.8191274888924,28.5443962283696,26.1768802656488
0.332, 4.29,4.29,,,-0.1200359,1.774047,1.502273,,,-0.1193209,1.793331,1.511665,,36.7061254273137,28.5353171996681,26.2831562986295
0.344, 4.53,4.53,,,-0.1200314,1.772963,1.501848,,,-0.119278,1.793299,1.511779,,36.7138776918059,28.5259649634073,26.3434651597752
0.355, 4.6,4.6,,,-0.1198924,1.772859,1.50142,,,-0.1191362,1.793518,1.511494,,36.6612715762824,28.4811230652067,26.3077552242408
0.366, 4.71,4.71,,,-0.1198271,1.772165,1.501615,,,-0.119057,1.79335,1.511929,,36.7020170686423,28.4560767622172,26.2705136188276
0.377, 4.91,4.91,,,-0.1199206,1.77146,1.500779,,,-0.1191145,1.79353,1.511493,,36.6582799535092,28.4751295743768,26.2079456726769
0.388, 4.99,4.99,,,-0.1200524,1.770809,1.501035,,,-0.1192245,1.793262,1.511917,,36.7230130695666,28.5118742835416,26.1722903786543
0.399, 5,5,,,-0.1200326,1.77082,1.500982,,,-0.1192042,1.793292,1.511879,,36.7157628239644,28.5076959154332,26.1839016999202
0.41, 5.19,5.19,,,-0.1199088,1.770235,1.500169,,,-0.1190568,1.793562,1.511494,,36.6506916135525,28.4658951588759,26.2111234180998
0.421, 5.53,5.53,,,-0.1195695,1.769001,1.499265,,,-0.1186859,1.793841,1.511345,,36.5835645162576,28.3566223804802,26.2441354289871
0.433, 5.82,5.82,,,-0.118566,1.768324,1.498476,,,-0.1176643,1.794474,1.511205,,36.4310361510519,28.1370710783616,26.2611289391692
0.443, 5.84,5.84,,,-0.1183828,1.768203,1.498672,,,-0.1174895,1.794457,1.511437,,36.435246962558,28.0858566138427,26.2331678530325
0.455, 5.89,5.89,,,-0.1177841,1.768109,1.498974,,,-0.1168801,1.7946,1.511832,,36.4012257912489,27.9942706098107,26.1962199457455
0.466, 6.07,6.07,,,-0.1174183,1.767448,1.498761,,,-0.1164653,1.794751,1.511987,,36.3648379594583,27.969027938888,26.154096462759
0.478, 6.1,6.1,,,-0.1170489,1.767521,1.498773,,,-0.1160723,1.794932,1.512056,,36.3211110896087,27.9434147302132,26.1637953311105
0.488, 6.14,6.14,,,-0.116596,1.767638,1.498566,,,-0.1155998,1.795236,1.511961,,36.2476285014679,27.8915018788712,26.2010386440709
0.5, 6.15,6.15,,,-0.1165459,1.767637,1.498517,,,-0.1155523,1.795274,1.511934,,36.238233576526,27.8762483593317,26.2061049367468
