経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.89,-0.89,,,0.0610229,1.619841,0.9996505,,,0.05989409,1.615543,1.000163,,44.7499911776726,40.5011184434455,15.986069260393
0.011, 0.46,-0.46,,,0.06086351,1.618929,1.001063,,,0.06028796,1.616712,1.001332,,44.7499911776726,40.3425385308036,15.8833210200204
0.021, 0.29,-0.29,,,0.06072832,1.6181,1.001174,,,0.06037286,1.616722,1.001342,,44.7499911776726,40.2847448867498,15.8146810358665
0.033, 0.12,0.12,,,0.06071912,1.616745,1.001989,,,0.06086248,1.617302,1.001921,,44.7499911776726,40.328420530182,15.7838376099803
0.043, 0,0,,,0.06018331,1.616863,1.001485,,,0.06018385,1.616865,1.001485,,44.7499911776726,40.4248184023505,15.8291115176338
0.055, 0.04,-0.04,,,0.06049832,1.616989,1.001386,,,0.06044655,1.61679,1.00141,,44.7499911776726,40.4540823470351,15.867015651378
0.066, 0.38,0.38,,,0.06020321,1.616341,1.002996,,,0.06067466,1.618158,1.002778,,44.7499911776726,40.4009878729995,15.851193518606
0.077, 1.27,1.27,,,0.06121535,1.614284,1.00576,,,0.06278444,1.620393,1.005013,,44.7499911776726,40.2477935643683,15.7721067604072
0.088, 2,2,,,0.06203266,1.612101,1.00756,,,0.06447023,1.621735,1.006355,,44.7499911776726,40.0362796871318,15.6513165758441
0.1, 2.5,2.5,,,0.0622756,1.610662,1.008847,,,0.06529243,1.6227,1.00732,,44.7499911776726,39.9066290399145,15.5763040253719
0.11, 2.66,2.66,,,0.06204704,1.609891,1.008968,,,0.06524464,1.622716,1.007336,,44.7499911776726,39.8613004907491,15.5266246458262
0.121, 2.67,2.67,,,0.06165793,1.609264,1.00833,,,0.06486822,1.622096,1.006716,,44.7499911776726,39.9539315136951,15.5329254951602
0.132, 2.44,2.44,,,0.06124342,1.609871,1.007684,,,0.06419211,1.621607,1.006227,,44.7499911776726,40.0583377824425,15.5454315711825
0.144, 2.64,2.64,,,0.06089523,1.608544,1.007452,,,0.06410541,1.621279,1.005899,,44.7499911776726,40.1884323919436,15.5350684669527
0.155, 2.87,2.87,,,0.06065762,1.607792,1.007888,,,0.06415057,1.621614,1.006234,,44.7499911776726,40.3163925673884,15.5165176736832
0.166, 2.99,2.99,,,0.06075032,1.607116,1.007838,,,0.06438337,1.621501,1.006121,,44.7499911776726,40.329807058545,15.5020342579512
0.177, 3.27,3.27,,,0.0610958,1.606389,1.008647,,,0.06505978,1.622141,1.00676,,44.7499911776726,40.295738075913,15.467203709248
0.189, 3.56,3.56,,,0.06153872,1.605611,1.009453,,,0.0658374,1.622772,1.007392,,44.7499911776726,40.2590258101458,15.4182227165255
0.199, 3.89,3.89,,,0.06282686,1.604756,1.010397,,,0.06749047,1.623512,1.008131,,44.7499911776726,40.1941355997418,15.3448989302786
0.211, 4.03,4.03,,,0.06305629,1.604026,1.0104,,,0.06786933,1.623436,1.008056,,44.7499911776726,40.1839893540121,15.3113729476705
0.221, 4.24,4.24,,,0.06312086,1.603317,1.010824,,,0.06818232,1.623747,1.008367,,44.7499911776726,40.2091790909701,15.2889443146076
0.233, 4.21,4.21,,,0.06368671,1.603277,1.010635,,,0.06872011,1.623584,1.008204,,44.7499911776726,40.2391260545527,15.2824027011121
0.243, 4.39,4.39,,,0.06408894,1.602684,1.010973,,,0.06934579,1.623838,1.008458,,44.7499911776726,40.2920122078244,15.2953151733787
0.255, 4.53,4.53,,,0.06376199,1.602088,1.011119,,,0.06921103,1.623932,1.008551,,44.7499911776726,40.3769968342074,15.3125631081003
0.266, 4.56,4.56,,,0.06405143,1.601492,1.010659,,,0.06955601,1.62348,1.0081,,44.7499911776726,40.4557830640911,15.3280864201044
0.277, 4.58,4.58,,,0.06410852,1.601496,1.01076,,,0.06963007,1.623566,1.008186,,44.7499911776726,40.4387997991924,15.3265615804147
0.288, 4.6,4.6,,,0.06420966,1.601488,1.010895,,,0.069755,1.623679,1.008299,,44.7499911776726,40.4144331000065,15.3206824952502
0.299, 4.64,4.64,,,0.06434804,1.601482,1.011094,,,0.06992873,1.623847,1.008466,,44.7499911776726,40.382242419344,15.3145284949792
0.31, 4.7,4.7,,,0.06458458,1.601464,1.011408,,,0.07022122,1.624109,1.008729,,44.7499911776726,40.3297831528835,15.3020207114097
0.321, 4.65,4.65,,,0.06480113,1.602088,1.011781,,,0.07036625,1.624491,1.00911,,44.7499911776726,40.2736663202243,15.2979567489667
0.333, 4.67,4.67,,,0.06489165,1.602078,1.011892,,,0.07047734,1.624583,1.009203,,44.7499911776726,40.2566523194753,15.2930885317712
0.344, 4.66,4.66,,,0.06488575,1.602057,1.011823,,,0.0704614,1.624523,1.009142,,44.7499911776726,40.2656510934563,15.2887769749776
0.355, 4.76,4.76,,,0.06495161,1.601974,1.012291,,,0.07064606,1.624941,1.00956,,44.7499911776726,40.282118679087,15.2688703891956
0.366, 4.62,4.62,,,0.06496692,1.602468,1.011972,,,0.0704812,1.624723,1.009343,,44.7499911776726,40.3212795676035,15.242680029552
0.377, 4.61,4.61,,,0.06432547,1.602469,1.011929,,,0.06983116,1.624686,1.009306,,44.7499911776726,40.3256747942121,15.243419397509
0.389, 4.61,4.61,,,0.06424163,1.603154,1.012627,,,0.06975451,1.625378,1.009997,,44.7499911776726,40.3147396616552,15.2614254832074
0.399, 4.52,4.52,,,0.06408444,1.60456,1.013541,,,0.06949447,1.626326,1.010946,,44.7499911776726,40.275636829745,15.3051643058877
0.411, 4.41,4.41,,,0.06398514,1.605283,1.013718,,,0.06927861,1.626552,1.011171,,44.7499911776726,40.254517885419,15.3322340523625
0.422, 4.42,4.42,,,0.06398536,1.605928,1.01443,,,0.06929296,1.627251,1.011871,,44.7499911776726,40.2407106583961,15.3396072413664
0.433, 4.45,4.45,,,0.06345883,1.606561,1.015234,,,0.06879739,1.628027,1.012647,,44.7499911776726,40.2089297890724,15.3408708263276
0.444, 4.48,4.48,,,0.06362206,1.607116,1.015935,,,0.0689816,1.628708,1.013328,,44.7499911776726,40.1895047316134,15.3233326085744
0.456, 4.72,4.72,,,0.06320187,1.607013,1.017148,,,0.06884024,1.62978,1.0144,,44.7499911776726,40.1829579954761,15.2949019469454
0.466, 4.71,4.71,,,0.0632772,1.607513,1.017552,,,0.06889077,1.630206,1.014825,,44.7499911776726,40.2083936192375,15.2688703891956
0.478, 4.79,4.79,,,0.06269076,1.608013,1.018484,,,0.0684009,1.631107,1.015727,,44.7499911776726,40.2483433945812,15.2448093409665
0.488, 5.07,5.07,,,0.06260794,1.607892,1.019833,,,0.06865554,1.63233,1.01695,,44.7499911776726,40.3252274168339,15.2243785381802
0.5, 5.03,5.03,,,0.06247262,1.608489,1.020194,,,0.06847988,1.63273,1.01735,,44.7499911776726,40.3655460223825,15.2266410382798
0.51, 5.23,5.23,,,0.06234938,1.608504,1.021267,,,0.06860253,1.633702,1.018322,,44.7499911776726,40.3927472499952,15.234922642418
0.522, 5.21,5.21,,,0.06216485,1.609206,1.021859,,,0.06840838,1.634307,1.018926,,44.7499911776726,40.4044746844737,15.2612957096168
0.533, 5.37,5.37,,,0.06173415,1.609985,1.023517,,,0.06820711,1.635881,1.020501,,44.7499911776726,40.4440078182897,15.312149881667
0.544, 5.52,5.52,,,0.06134247,1.610672,1.024961,,,0.0680201,1.637271,1.02189,,44.7499911776726,40.5148983497125,15.3435311849353
0.555, 5.85,5.85,,,0.06093308,1.610645,1.026674,,,0.06804909,1.638856,1.023476,,44.7499911776726,40.6433195629134,15.3573332893166
0.566, 5.92,5.92,,,0.06097561,1.611084,1.027451,,,0.06817569,1.639635,1.024254,,44.7499911776726,40.7173588114561,15.3252177407329
