経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.68,-0.68,,,0.366456,1.537484,1.026667,,,0.3651228,1.534336,1.02681,,44.8235181620417,29.9798031311863,23.0437291465793
0.01, 0.16,0.16,,,0.3687629,1.529873,1.025485,,,0.3690568,1.530597,1.025457,,44.8235181620417,30.6197986687962,22.1450248334288
0.023, 0.05,0.05,,,0.3671643,1.5318,1.025655,,,0.3672502,1.53201,1.025647,,44.8235181620417,30.5304768724109,22.317024359869
0.034, 0.45,0.45,,,0.3645423,1.529548,1.023298,,,0.3653922,1.531613,1.023228,,44.8235181620417,30.7406281269459,22.4211898644549
0.045, 0.17,-0.17,,,0.3621782,1.534674,1.02292,,,0.3618569,1.533913,1.022946,,44.8235181620417,30.5204330795159,22.940202264663
0.054, 0.83,-0.83,,,0.3566613,1.5418,1.021715,,,0.3549748,1.538007,1.021853,,44.8235181620417,30.0678169463819,24.0217148783145
0.066, 0.96,-0.96,,,0.3554696,1.542426,1.020283,,,0.3535001,1.53803,1.020411,,44.8235181620417,30.3805849601515,24.1655962242715
0.076, 0.9,-0.9,,,0.3535423,1.543201,1.019982,,,0.3516992,1.539088,1.020106,,44.8235181620417,30.3219819387036,24.172827686854
0.099, 0.54,-0.54,,,0.3560653,1.538467,1.018952,,,0.354982,1.535991,1.019009,,44.8235181620417,30.8585001132673,23.6415875408246
0.11, 0.48,-0.48,,,0.3583209,1.538969,1.022465,,,0.3573847,1.536788,1.022539,,44.8235181620417,30.4573221333412,23.2726514679784
0.121, 0.47,-0.47,,,0.3568853,1.539906,1.022422,,,0.3559643,1.537763,1.022498,,44.8235181620417,30.3560031100127,23.3087729223988
0.132, 0.02,0.02,,,0.3566856,1.537226,1.022646,,,0.3567275,1.537326,1.022642,,44.8235181620417,30.5758634781827,22.780896644442
0.143, 0.46,0.46,,,0.360238,1.534538,1.026144,,,0.3611013,1.536648,1.026057,,44.8235181620417,30.4321153209107,22.3314719171088
0.154, 0.88,0.88,,,0.3599775,1.532417,1.02657,,,0.3616315,1.536512,1.026397,,44.8235181620417,30.4751899077128,22.0744604435297
0.165, 1.29,1.29,,,0.3599705,1.53002,1.026644,,,0.3623688,1.535993,1.0264,,44.8235181620417,30.5895648372764,21.9535199948091
0.176, 0.91,0.91,,,0.3576488,1.53251,1.024606,,,0.3593734,1.536727,1.024442,,44.8235181620417,30.5445504768041,22.3104673784482
0.188, 0.89,0.89,,,0.3569926,1.532799,1.024142,,,0.3586771,1.536898,1.023987,,44.8235181620417,30.5652561946968,22.4051030618599
