経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.34,-0.34,,,0.07392161,1.638567,1.021319,,,0.07369113,1.636923,1.021542,,44.7499911776726,37.9885241441489,10.8636469452549
0.011, 1.84,1.84,,,0.07975817,1.628018,1.022888,,,0.08084197,1.637062,1.021682,,44.7499911776726,37.9253380658954,9.97868582610567
0.023, 2.96,2.96,,,0.08065127,1.624092,1.025299,,,0.08231749,1.638669,1.023288,,44.7499911776726,37.624901958329,9.96430827830288
0.033, 2.69,2.69,,,0.07722542,1.624446,1.024136,,,0.07884973,1.637653,1.022273,,44.7499911776726,37.5265882181517,10.4119494725387
0.043, 0.4,0.4,,,0.06823815,1.634297,1.021132,,,0.06853212,1.636237,1.020856,,44.7499911776726,37.742763699367,11.5713902735832
0.054, 0.59,0.59,,,0.06995885,1.633901,1.021846,,,0.07039669,1.636805,1.021424,,44.7499911776726,37.5785830317615,11.6446764937908
0.066, 0.77,0.77,,,0.07157379,1.633642,1.022547,,,0.07212463,1.637393,1.022012,,44.7499911776726,37.6760873945447,11.3923471147574
0.077, 0.51,0.51,,,0.07179795,1.633995,1.021443,,,0.07215923,1.636472,1.021092,,44.7499911776726,37.7104398300194,11.3208589417988
0.088, 0.54,0.54,,,0.07183988,1.634276,1.021901,,,0.0722189,1.636909,1.021528,,44.7499911776726,37.7125640187921,11.2313151642717
0.099, 0.55,0.55,,,0.071968,1.634238,1.021953,,,0.07235759,1.63695,1.02157,,44.7499911776726,37.7055630750877,11.221614588373
0.11, 0.56,0.56,,,0.07201882,1.634237,1.022016,,,0.07241607,1.637005,1.021624,,44.7499911776726,37.6956763765392,11.2224393336923
0.121, 0.49,0.49,,,0.07208671,1.633894,1.021239,,,0.07242503,1.636283,1.020902,,44.7499911776726,37.7065500373953,11.127461287058
0.133, 0.47,0.47,,,0.0715469,1.634195,1.021456,,,0.07187804,1.636508,1.021128,,44.7499911776726,37.6799737720743,11.2132407766836
0.144, 0.59,0.59,,,0.07095629,1.6336,1.021532,,,0.07137121,1.636501,1.02112,,44.7499911776726,37.6693528282105,11.2188944656117
0.155, 0.6,0.6,,,0.07094231,1.63363,1.021605,,,0.07136275,1.636568,1.021187,,44.7499911776726,37.6578781107242,11.2285446688667
0.166, 0.82,0.82,,,0.07054517,1.632284,1.021499,,,0.0711184,1.636308,1.020927,,44.7499911776726,37.6640765072235,11.1939941579117
0.177, 1.3,1.3,,,0.06998955,1.630141,1.022017,,,0.07088362,1.636498,1.021117,,44.7499911776726,37.6652991110509,11.1086705834006
0.189, 1.44,1.44,,,0.07039014,1.629367,1.022035,,,0.07137433,1.636417,1.021037,,44.7499911776726,37.658100091866,11.0647328314662
0.199, 1.27,1.27,,,0.06851928,1.631003,1.022743,,,0.06942116,1.637229,1.021849,,44.7499911776726,37.5994629194732,11.3508998204799
0.21, 1.22,1.22,,,0.06895885,1.630963,1.022396,,,0.06982453,1.636925,1.021545,,44.7499911776726,37.6461779970015,11.3349077867569
0.221, 1.23,1.23,,,0.06918117,1.63085,1.02234,,,0.07005047,1.636863,1.021482,,44.7499911776726,37.6482851103019,11.3038321344454
0.232, 1.32,1.32,,,0.06899132,1.630935,1.022964,,,0.06993215,1.637419,1.022039,,44.7499911776726,37.6521373368865,11.3265638571443
0.243, 1.4,1.4,,,0.0692703,1.631049,1.023484,,,0.07026935,1.63789,1.02251,,44.7499911776726,37.6744379039061,11.35447286309
0.254, 1.61,1.61,,,0.06914048,1.630501,1.024116,,,0.07029392,1.638376,1.022995,,44.7499911776726,37.683330809958,11.3697451656492
0.266, 1.71,1.71,,,0.06957726,1.630591,1.024772,,,0.07080814,1.638961,1.023581,,44.7499911776726,37.6893311309768,11.3927791242104
0.277, 1.77,1.77,,,0.06984036,1.630695,1.025241,,,0.07112677,1.639387,1.024007,,44.7499911776726,37.7170582831409,11.4179415404125
