経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.92,-0.92,,,0.3941834,1.798736,1.319576,,,0.3914785,1.795032,1.319063,,36.1383727985447,5.35148636295852,36.6666947463325
0.011, 0.74,-0.74,,,0.3965855,1.795786,1.320571,,,0.3944316,1.79283,1.320164,,36.6710626521851,5.20341512294909,36.6061519512142
0.022, 0.66,-0.66,,,0.3986791,1.793723,1.320759,,,0.396756,1.791082,1.320396,,37.0885306328284,5.22817156979372,36.5830010256667
0.034, 0.55,-0.55,,,0.3989569,1.792818,1.320636,,,0.3973586,1.790627,1.320334,,37.196290524365,5.2598572433585,36.6421368018551
0.045, 0.63,-0.63,,,0.3990704,1.793281,1.320401,,,0.3972136,1.790744,1.320049,,37.1682457684133,5.30622013926755,36.7326231454614
0.055, 0.6,-0.6,,,0.3998675,1.792452,1.320179,,,0.3981149,1.790065,1.319845,,37.3287791151035,5.38448684790194,36.8260191495732
0.066, 0.66,-0.66,,,0.4007275,1.792181,1.320013,,,0.3987916,1.789553,1.319643,,37.4493046298436,5.45168736972837,36.9114716439013
0.077, 0.72,-0.72,,,0.4016373,1.7919,1.319446,,,0.3995084,1.789017,1.31904,,37.5747103146099,5.54884851551534,36.9850122886483
0.088, 0.73,-0.73,,,0.4014337,1.792134,1.319569,,,0.3992645,1.789202,1.319157,,37.531420576855,5.50128350634582,37.0300676302546
0.099, 0.81,-0.81,,,0.4019451,1.792253,1.319048,,,0.3995392,1.789003,1.318591,,37.5775004468082,5.57341115574766,37.0481710461459
0.112, 0.82,-0.82,,,0.4019542,1.792267,1.319167,,,0.3995374,1.789002,1.31871,,37.577903427958,5.53923374386564,37.0434752912222
0.122, 0.81,-0.81,,,0.4021085,1.792136,1.318707,,,0.3997036,1.788884,1.318253,,37.6052139385943,5.59338348209864,37.0110933652683
0.133, 0.89,-0.89,,,0.4029953,1.791925,1.318481,,,0.4003728,1.788373,1.31799,,37.7247422457434,5.6135295513818,36.956001060956
0.144, 0.98,-0.98,,,0.4033984,1.792209,1.318324,,,0.4005028,1.788276,1.317787,,37.7471350203141,5.60374530566803,36.8779900575216
0.155, 0.91,-0.91,,,0.402952,1.792064,1.318442,,,0.4002867,1.78844,1.317948,,37.7089235280658,5.56309885104838,36.8447406975672
0.166, 0.91,-0.91,,,0.4027819,1.792212,1.317697,,,0.4001132,1.788588,1.317201,,37.6736046208505,5.66859709625899,36.8740729441416
0.177, 0.93,-0.93,,,0.4020059,1.792974,1.317594,,,0.3992597,1.789247,1.317084,,37.518812047998,5.65537385039382,36.8967184357046
0.188, 0.98,-0.98,,,0.4005697,1.794405,1.316926,,,0.3976687,1.790472,1.316387,,37.2289524880671,5.69852911880317,36.9228541538363
0.199, 0.93,-0.93,,,0.3993819,1.794978,1.316912,,,0.3966359,1.791254,1.316402,,37.0435026119781,5.67118957986369,36.907301813529
0.21, 0.95,-0.95,,,0.3988623,1.795499,1.316926,,,0.3960563,1.79169,1.316406,,36.9396256828766,5.65887304158561,36.8880440957001
0.223, 0.92,-0.92,,,0.3970698,1.79664,1.316725,,,0.3943605,1.79296,1.31622,,36.6356139713792,5.68906290376378,36.8749779441814
0.233, 0.85,-0.85,,,0.3938292,1.798585,1.316304,,,0.3913321,1.795194,1.315836,,36.09551677779,5.79119130448641,36.8935389827344
0.245, 0.82,-0.82,,,0.3897733,1.801342,1.315833,,,0.387354,1.798062,1.315376,,35.3918502185091,5.98589053711468,36.9425933999884
0.256, 0.87,-0.87,,,0.3865629,1.803929,1.315739,,,0.3839825,1.800431,1.315252,,34.8013359849645,6.1294145788107,36.9468486077229
0.267, 0.81,-0.81,,,0.3836433,1.805566,1.316049,,,0.3812473,1.802312,1.315594,,34.3270271716301,6.2309265549779,36.8959568696333
0.278, 0.68,-0.68,,,0.38021,1.807074,1.315593,,,0.3782192,1.804363,1.315212,,33.8021237334268,6.48213535613175,36.8245574891315
0.289, 0.65,-0.65,,,0.3768722,1.809104,1.315177,,,0.3749773,1.806514,1.314811,,33.2438172560171,6.76079980943773,36.7369978815031
0.3, 0.54,-0.54,,,0.3733166,1.810782,1.314943,,,0.371736,1.808617,1.314636,,32.6899674769168,7.02361608987618,36.684569350893
0.311, 0.55,-0.55,,,0.3698537,1.813015,1.314923,,,0.3682576,1.810823,1.314614,,32.0999757528291,7.27906814593382,36.6127533288634
0.322, 0.64,-0.64,,,0.3669532,1.815333,1.315705,,,0.3650966,1.812778,1.315347,,31.5698916162845,7.42877478931713,36.5515889865479
0.333, 0.53,-0.53,,,0.3637372,1.81669,1.315612,,,0.3621875,1.814549,1.315313,,31.0820829344313,7.66362400720357,36.4442320761612
0.344, 0.5,-0.5,,,0.361017,1.818153,1.316062,,,0.3595499,1.81612,1.315778,,30.6440936509978,7.84079740179611,36.3554430345164
0.355, 0.34,-0.34,,,0.3571744,1.819476,1.315677,,,0.3561825,1.818095,1.315484,,30.0840147395478,8.19934390343023,36.2508967468948
0.366, 0.44,-0.44,,,0.3544405,1.821582,1.315607,,,0.3531782,1.819819,1.31536,,29.5875863592019,8.49058572285598,36.1635727807862
0.377, 0.42,-0.42,,,0.3518448,1.82297,1.316324,,,0.3506187,1.821251,1.316084,,29.1702993785666,8.62470672876067,36.0544434363591
0.389, 0.49,-0.49,,,0.3498149,1.824444,1.316638,,,0.3484119,1.82247,1.316366,,28.810512343859,8.75665488079613,35.9520418280773
0.4, 0.43,-0.43,,,0.3479922,1.825122,1.317072,,,0.3467533,1.82337,1.316834,,28.5423727848843,8.7713355182349,35.8113331049015
0.411, 0.48,-0.48,,,0.3461502,1.826408,1.317373,,,0.3447647,1.82444,1.317108,,28.2204113367477,8.86310593736944,35.6763412499018
0.422, 0.49,-0.49,,,0.3435096,1.827845,1.318076,,,0.3421045,1.825842,1.317807,,27.793475006631,9.05086783242814,35.5780821512363
0.433, 0.4,-0.4,,,0.3405604,1.828876,1.317599,,,0.3394218,1.827249,1.317379,,27.3575842987616,9.42568896685423,35.5369370928211
0.444, 0.37,-0.37,,,0.3381961,1.829939,1.317771,,,0.3371337,1.828419,1.317565,,26.9906989901566,9.70192571486465,35.5027929781104
0.455, 0.31,-0.31,,,0.3350164,1.831204,1.317313,,,0.3341314,1.829938,1.317139,,26.5068484028172,10.1761218300808,35.5235738280819
0.466, 0.36,-0.36,,,0.3331253,1.832402,1.316855,,,0.3321077,1.830946,1.316653,,26.1807273695918,10.5124164297919,35.5292326396518
0.477, 0.23,-0.23,,,0.3308436,1.832834,1.317359,,,0.3301775,1.83188,1.317227,,25.8767463939448,10.6907091216035,35.4862400151175
0.489, 0.11,-0.11,,,0.3286043,1.833228,1.31727,,,0.3282966,1.832786,1.317208,,25.5778214656903,10.9057132254088,35.4380018054466
0.499, 0.06,0.06,,,0.3255473,1.833749,1.317322,,,0.3257234,1.834003,1.317358,,25.1712049477889,11.1480577219271,35.3036656485891
0.511, 0.2,0.2,,,0.3224251,1.834432,1.317903,,,0.3229967,1.83526,1.318018,,24.7454485328185,11.3664359390884,35.1881022661429
0.522, 0.22,0.22,,,0.3203829,1.835275,1.318601,,,0.3209939,1.836163,1.318724,,24.4357421512591,11.5032787753016,35.0981179414266
0.533, 0.23,0.23,,,0.3182635,1.836194,1.318073,,,0.3188964,1.837117,1.3182,,24.1025433347032,11.7511625550826,35.019645900236
0.544, 0.28,0.28,,,0.3155358,1.837089,1.318639,,,0.3163253,1.838244,1.318798,,23.7050212134286,11.9968717734472,34.944544557307
0.555, 0.34,0.34,,,0.3128717,1.83794,1.318696,,,0.3138193,1.839331,1.318887,,23.3148996019138,12.2562968650571,34.8584841761597
0.566, 0.41,0.41,,,0.3103536,1.838639,1.318686,,,0.3114951,1.840322,1.318917,,22.9537175011071,12.4692416668849,34.7419884729177
0.578, 0.19,0.19,,,0.308381,1.840641,1.318778,,,0.3088999,1.841409,1.318882,,22.5509685777156,12.7311657538878,34.6369196758392
0.589, 0.08,0.08,,,0.3064122,1.842046,1.318344,,,0.3066206,1.842355,1.318386,,22.1942397601238,12.9654625802405,34.5229784632758
0.6, 0,0,,,0.3037576,1.843499,1.318378,,,0.3037625,1.843506,1.318379,,21.7534142407163,13.2705918814097,34.4251940627444
0.61, 0.2,-0.2,,,0.3009545,1.845662,1.317545,,,0.3004054,1.844841,1.317434,,21.2297914629468,13.7408828360766,34.3596447391039
0.622, 0.29,-0.29,,,0.2981055,1.847263,1.316735,,,0.2972931,1.846046,1.31657,,20.746599988844,14.176090525048,34.3010758686008
0.633, 0.55,-0.55,,,0.2959192,1.849419,1.315888,,,0.2944016,1.847139,1.315579,,20.2984764125115,14.5774623115864,34.231691393848
0.644, 0.77,-0.77,,,0.2931692,1.851534,1.315058,,,0.2910658,1.848363,1.314628,,19.785051106889,15.0255534445212,34.1510746733178
0.655, 1.02,-1.02,,,0.2911449,1.853565,1.313772,,,0.2883508,1.849336,1.3132,,19.3664988337452,15.3845703754213,34.0447183856165
0.666, 1.13,-1.13,,,0.2884293,1.855094,1.313272,,,0.2853285,1.850386,1.312639,,18.9066444078397,15.7453494950783,33.9557483439638
0.677, 1.53,-1.53,,,0.2863671,1.857811,1.3122,,,0.2821914,1.851446,1.311351,,18.4296940189173,16.147005588233,33.8518372639174
0.689, 1.64,-1.64,,,0.2837837,1.85921,1.311662,,,0.2793262,1.852387,1.310757,,17.9970544810024,16.4664040079549,33.7401329382448
0.7, 1.6,-1.6,,,0.2813689,1.859808,1.310934,,,0.2770256,1.853124,1.310049,,17.6507502393412,16.6923551971477,33.5992739509114
0.711, 1.64,-1.64,,,0.2784536,1.860901,1.310114,,,0.2740357,1.854058,1.309208,,17.2024866441346,17.0007997012931,33.4355782267236
