1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPlane2, 10.53,10.53,,,-0.116644,1.749928,1.269929,,,-0.1075449,1.800929,1.26063,,29.7499911776726,21.952954796671,14.1335666222325, 0.955
PointBall3, 0.15,-0.15,,,0.04538564,1.871835,1.251695,,,0.04512623,1.871139,1.251742,,2.58096086244796,23.1737195956983,20.6773265046622, 0.733
PointBall2, 4.06,4.06,,,-0.1318845,1.671562,0.9781151,,,-0.1309805,1.690175,0.9700919,,55.1764829763232,39.7136932767035,23.2011188987914, 0.9
PointBall1, 2.71,-2.71,,,0.2356385,1.802833,1.070157,,,0.2297337,1.79068,1.071359,,35.9730549044741,20.9258343929613,26.3247726400843, 0.767
PointPlane1, 2.27,-2.27,,,0.05896069,1.66504,1.030954,,,0.05690408,1.654294,1.033988,,44.750001422956,30.8842021143988,18.627938546513, 0.886
PointPyramid, 6.05,6.05,,,0.05745064,1.828039,1.271546,,,0.06886945,1.855968,1.273889,,48.527550136433,26.6373613613933,22.70419191465, 0.801
PointPlane3, 3.84,3.84,,,0.1460319,1.658803,0.9889562,,,0.1497725,1.67686,0.9835225,,59.7499809323891,44.4041548039565,19.863477044304, 0.812
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPyramid, 17.17,-17.17,,,0.06685907,1.889323,1.241395,,,0.02607786,1.814587,1.230381,,48.277076861255,61.2878526227356,29.5425310175957, 0.823
PointBall3, 0.88,0.88,,,0.03723346,1.86666,1.256404,,,0.03859696,1.870811,1.256672,,3.48267750238203,21.8905695580754,18.5613220058444, 0.911
PointPlane2, 2.96,-2.96,,,-0.1261456,1.82749,1.278358,,,-0.1276968,1.813177,1.281844,,29.7499911776726,17.3555784999311,14.6990447980712, 0.878
PointPlane1, 1.3,-1.3,,,0.0506201,1.656765,1.028543,,,0.04936032,1.650659,1.030353,,44.750001422956,30.4314152265403,19.6567835729402, 0.845
PointBall2, 5.53,5.53,,,-0.1622644,1.671968,1.012818,,,-0.1639386,1.697647,1.002707,,53.9493404883357,37.1422125031163,21.5110535224992, 0.878
PointBall1, 0.91,0.91,,,0.2328517,1.779233,1.063124,,,0.2348009,1.783313,1.062772,,37.6421003741805,22.9300269906301,25.8532693268735, 0.766
PointPlane3, 1.96,-1.96,,,0.1453142,1.619331,0.9419098,,,0.143544,1.610188,0.9450293,,59.7499809323891,42.2243409721408,21.2013283579201, 0.779
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane3, 11.04,-11.04,,,0.1467257,1.67275,0.9368418,,,0.1332119,1.621256,0.9514198,,59.7499809323891,45.9590200044852,20.9252418740673, 0.745
PointBall2, 17.95,17.95,,,-0.1378201,1.619314,1.01872,,,-0.1419146,1.704547,0.9909011,,52.7674480023405,37.8479110436187,18.0105577646158, 0.834
PointBall3, 5.88,5.88,,,0.04018027,1.84294,1.236001,,,0.04828587,1.870985,1.239672,,2.86894361451324,20.470554486125,17.7077413361899, 0.835
PointBall1, 10.88,10.88,,,0.2468063,1.726144,1.088107,,,0.2672788,1.77635,1.083561,,39.1906442348082,21.5802023557322,22.6174570523409, 0.679
PointPlane1, 9.05,9.05,,,0.06492509,1.61842,1.05613,,,0.06919373,1.660583,1.040277,,44.750001422956,24.9516365701978,21.0338555392263, 0.756
PointPlane2, 6.18,6.18,,,-0.1196084,1.786112,1.294133,,,-0.1188393,1.81618,1.287047,,29.7499911776726,16.7974359470569,13.0880337365801, 0.846
PointPyramid, 0.14,-0.14,,,0.03249496,1.827456,1.27833,,,0.03222112,1.826833,1.278266,,48.5275603817165,72.3835151112239,24.4005410648037, 0.734
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall3, 6.43,6.43,,,0.04876222,1.841723,1.258902,,,0.06074661,1.871538,1.2603,,0.999755144839849,22.3998779672902,22.0628166788661, 0.71
PointPlane1, 4.84,4.84,,,0.0504051,1.626071,1.034246,,,0.05451064,1.649368,1.029062,,44.750001422956,33.7361133720301,15.6518237173759, 0.79
PointBall1, 6.96,6.96,,,0.2323081,1.750554,1.073693,,,0.2478688,1.781635,1.072147,,38.0242870136479,23.4691986936125,26.6838869011774, 0.745
PointBall2, 7.61,7.61,,,-0.1537541,1.676083,1.02107,,,-0.1545866,1.712228,1.009145,,51.4533401331659,38.3398007633875,18.0508729550699, 0.834
PointPyramid, 0.97,0.97,,,0.06392393,1.838831,1.255508,,,0.06579001,1.843281,1.255744,,48.277076861255,55.0012408176647,22.9349788776406, 0.777
PointPlane3, 5.04,5.04,,,0.1676504,1.608911,0.9616151,,,0.1716893,1.6336,0.9585466,,59.7499809323891,53.4730509201972,11.4599232969778, 0.678
