経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.07,-0.07,,,-0.1490379,1.790379,1.136282,,,-0.149097,1.79005,1.136283,,45.7999961295596,46.8788825355483,10.1755617545845
0.01, 0.59,-0.59,,,-0.1541685,1.792733,1.136052,,,-0.1547174,1.789822,1.136063,,45.7999961295596,46.7872487201933,10.6803946824702
0.022, 4.46,-4.46,,,-0.1573401,1.797374,1.122614,,,-0.1616067,1.775481,1.122239,,45.7999961295596,48.0092105098395,11.0944458610762
0.032, 3.81,-3.81,,,-0.1569255,1.796566,1.124787,,,-0.1604982,1.777835,1.124508,,45.7999961295596,47.8456001630138,10.8531497985663
0.044, 2.96,-2.96,,,-0.1542692,1.79308,1.125363,,,-0.1569097,1.778542,1.125189,,45.7999961295596,47.5976608879473,10.3352712097289
0.055, 0.26,-0.26,,,-0.1492167,1.784659,1.129858,,,-0.1494256,1.783388,1.129861,,45.7999961295596,46.6523968840678,9.33611957611847
0.066, 2.4,2.4,,,-0.1428614,1.77709,1.13543,,,-0.1411508,1.788965,1.135237,,45.7999961295596,45.6964777853795,8.22437739981536
0.077, 1.32,1.32,,,-0.1452846,1.778816,1.131863,,,-0.1442839,1.785333,1.131736,,45.7999961295596,45.5882022145749,8.77176155127252
0.088, 3.53,3.53,,,-0.1387161,1.770282,1.134607,,,-0.1363647,1.787775,1.13409,,45.7999961295596,44.8759603530297,7.78628651732079
0.1, 6.06,6.06,,,-0.130538,1.762175,1.139579,,,-0.1271375,1.792249,1.138402,,45.7999961295596,44.1860668698268,6.74517489837248
0.111, 2.16,2.16,,,-0.1404529,1.777385,1.13482,,,-0.1388233,1.788073,1.134377,,45.7999961295596,44.3609231228079,8.91506489248713
0.122, 0.29,-0.29,,,-0.1364814,1.778508,1.123762,,,-0.1366949,1.777096,1.123795,,45.7999961295596,45.3390744866259,8.66886560806327
0.133, 0.04,0.04,,,-0.1353293,1.77897,1.125783,,,-0.1353012,1.779153,1.125778,,45.7999961295596,45.1654920638896,8.8133616710285
0.144, 0.53,-0.53,,,-0.1273801,1.775222,1.119412,,,-0.127755,1.772606,1.119467,,45.7999961295596,45.4449048497757,8.20334212530437
0.156, 0.85,-0.85,,,-0.123766,1.774696,1.117311,,,-0.124372,1.770471,1.117408,,45.7999961295596,45.3190893536706,8.22824414055163
0.166, 0.64,-0.64,,,-0.1151081,1.767778,1.111712,,,-0.1155121,1.764627,1.111775,,45.7999961295596,45.3686970162319,7.35935445607221
0.177, 0.16,0.16,,,-0.1090088,1.764175,1.112128,,,-0.108913,1.764972,1.112107,,45.7999961295596,44.9806295840529,6.96722604965775
0.188, 1.75,1.75,,,-0.1042187,1.760014,1.116053,,,-0.1031998,1.768673,1.115675,,45.7999961295596,43.961565388245,7.07118622168744
0.199, 1.16,1.16,,,-0.09798816,1.756385,1.109646,,,-0.09734839,1.762165,1.109401,,45.7999961295596,43.9895725781573,6.67288417820874
0.21, 0.84,0.84,,,-0.09612743,1.756832,1.108466,,,-0.09564736,1.760982,1.108261,,45.7999961295596,43.6212034109964,7.07481945533796
0.221, 0.69,-0.69,,,-0.0955848,1.761028,1.104815,,,-0.09602757,1.757597,1.104998,,45.7999961295596,43.4869082352727,7.8621972376439
0.232, 2.84,-2.84,,,-0.0911776,1.762723,1.095706,,,-0.09305425,1.748649,1.096372,,45.7999961295596,43.8699998747799,7.97304266705219
0.243, 4.07,-4.07,,,-0.08170754,1.755912,1.083219,,,-0.08414284,1.735724,1.083912,,45.7999961295596,44.5057436197497,7.08498832606867
0.255, 4.02,-4.02,,,-0.07380847,1.750214,1.078015,,,-0.07605696,1.730238,1.078624,,45.7999961295596,44.6708770987179,6.59061754015297
0.266, 3.64,-3.64,,,-0.07159915,1.751201,1.080641,,,-0.073824,1.733165,1.081445,,45.7999961295596,43.9484104442696,7.39125229238218
0.277, 4.3,-4.3,,,-0.06689891,1.751309,1.077399,,,-0.06961442,1.729983,1.078378,,45.7999961295596,43.9041405743961,7.62704493012147
0.288, 5.71,-5.71,,,-0.06171033,1.751913,1.071025,,,-0.06542229,1.723651,1.072273,,45.7999961295596,44.0308644856355,7.81291144773824
0.299, 6.44,-6.44,,,-0.05566897,1.750725,1.066191,,,-0.05986446,1.718814,1.067611,,45.7999961295596,44.0130172018309,7.82583843415641
0.311, 7.16,-7.16,,,-0.04881402,1.749447,1.061377,,,-0.05346136,1.713994,1.062964,,45.7999961295596,43.9952689557666,7.80921716927371
0.322, 7.77,-7.77,,,-0.04217619,1.748325,1.057191,,,-0.04722749,1.70986,1.058979,,45.7999961295596,43.9015007063554,7.85050480788386
0.333, 8.35,-8.35,,,-0.03569972,1.747296,1.053211,,,-0.04115818,1.705955,1.055215,,45.7999961295596,43.7951580790321,7.92327791014431
0.344, 8.8,-8.8,,,-0.0285575,1.746002,1.049573,,,-0.03426822,1.70241,1.051798,,45.7999961295596,43.6424862798579,7.91574250415219
0.355, 8.97,-8.97,,,-0.02152156,1.744917,1.047439,,,-0.02730642,1.700531,1.049986,,45.7999961295596,43.2823713960792,8.00662926758745
0.366, 7.09,-7.09,,,-0.006633122,1.732364,1.044488,,,-0.01028676,1.697177,1.046753,,45.7999961295596,42.700063634594,6.8369858717541
0.377, 4.11,-4.11,,,0.007861238,1.716808,1.044413,,,0.006350834,1.696392,1.045996,,45.7999961295596,41.7900946322683,5.93904184401442
0.388, 1.23,-1.23,,,0.0185285,1.705547,1.048347,,,0.01816723,1.699463,1.048956,,45.7999961295596,40.452917799814,6.42324290542579
0.4, 1.97,-1.97,,,0.02167202,1.702455,1.041407,,,0.02106563,1.692688,1.042426,,45.7999961295596,40.2264902049398,6.70574934003299
0.411, 4.69,-4.69,,,0.02065304,1.704325,1.028938,,,0.01875448,1.681091,1.031246,,45.7999961295596,40.5978919760078,7.13850242983973
0.422, 6.64,-6.64,,,0.02149645,1.701919,1.016591,,,0.01841613,1.668979,1.019569,,45.7999961295596,41.1672121331477,7.2400703281792
0.433, 8.3,-8.3,,,0.02148671,1.701712,1.008015,,,0.01698418,1.660612,1.011504,,45.7999961295596,41.5818592457422,7.74042606718857
0.444, 8.82,-8.82,,,0.02583433,1.697901,1.001667,,,0.02091624,1.654225,1.005347,,45.7999961295596,41.6404451917177,7.85790190254914
0.455, 8.63,-8.63,,,0.02998535,1.692986,0.9979835,,,0.0250103,1.650248,1.001513,,45.7999961295596,41.7613190460958,7.98057380417621
0.466, 5.64,-5.64,,,0.0444605,1.675473,0.9964659,,,0.04195229,1.647476,0.9988406,,45.7999961295596,41.4605141083245,6.86341358046475
0.477, 3.08,-3.08,,,0.056756,1.660873,0.995616,,,0.05572909,1.645579,0.9970123,,45.7999961295596,40.9809562947591,6.26609989379056
0.488, 0.43,0.43,,,0.06715904,1.646715,1.000402,,,0.06726646,1.648855,1.00017,,45.7999961295596,39.9363437770717,6.59736832818603
0.499, 0.96,0.96,,,0.07357159,1.638612,0.9954233,,,0.07378437,1.643389,0.9949013,,45.7999961295596,39.8820335293977,6.49814830730842
0.511, 1,-1,,,0.07645565,1.636829,0.9833196,,,0.0761885,1.631885,0.9838107,,45.7999961295596,40.475576951755,6.23177605973228
0.523, 2.81,-2.81,,,0.07868025,1.633316,0.9705138,,,0.0778345,1.619337,0.9717147,,45.7999961295596,41.2581970805496,5.79609708772126
0.533, 4.67,-4.67,,,0.07461182,1.638947,0.9661899,,,0.07255951,1.615795,0.9683,,45.7999961295596,41.098818035797,7.06832821448615
0.544, 3.56,-3.56,,,0.08231136,1.633314,0.9664688,,,0.08086462,1.615628,0.9681396,,45.7999961295596,40.8727114598049,6.93624473933153
0.555, 1.88,-1.88,,,0.09111286,1.624308,0.9665642,,,0.09044427,1.614982,0.9675161,,45.7999961295596,40.3928736084913,6.90705635361254
0.566, 1.75,-1.75,,,0.09329348,1.621021,0.9640638,,,0.0926242,1.612348,0.9649773,,45.7999961295596,40.2370599223863,7.23868806868438
0.577, 0.86,-0.86,,,0.1014187,1.612463,0.9605125,,,0.1011237,1.608179,0.9609588,,45.7999961295596,40.2605694328553,6.91233608969404
0.588, 1.26,-1.26,,,0.1092238,1.604653,0.9509676,,,0.1088626,1.598409,0.9515398,,45.7999961295596,40.9235895375165,5.9748115437024
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.42,-0.42,,,-0.110083,1.786365,1.13067,,,-0.1106052,1.784341,1.130779,,45.7999961295596,44.8844775986877,14.7080060060128
0.023, 0.57,0.57,,,-0.1126242,1.7844,1.133662,,,-0.1119152,1.787167,1.133503,,45.7999961295596,44.6558097018281,14.6614599756618
0.033, 1.21,1.21,,,-0.1171058,1.78069,1.133223,,,-0.1156101,1.786566,1.132924,,45.7999961295596,44.9936137733038,14.5028100535828
0.045, 2.03,2.03,,,-0.1223886,1.776888,1.133518,,,-0.1198814,1.78672,1.133072,,45.7999961295596,45.2964575224856,14.4797598733228
0.055, 2.35,2.35,,,-0.1266241,1.777022,1.135213,,,-0.1236307,1.788362,1.134655,,45.7999961295596,45.2105200847399,14.9864062163827
0.067, 2.64,2.64,,,-0.1253541,1.775979,1.135591,,,-0.1220129,1.788713,1.134993,,45.7999961295596,45.3125221269664,14.8830330137184
0.078, 3.61,3.61,,,-0.1266898,1.774424,1.138914,,,-0.1220988,1.791874,1.138041,,45.7999961295596,45.1557829502546,14.9475031675001
0.089, 4.65,4.65,,,-0.128373,1.770998,1.140734,,,-0.1225218,1.793448,1.139558,,45.7999961295596,44.9946758676901,14.8402521250425
0.1, 4.33,4.33,,,-0.131201,1.773619,1.141698,,,-0.1256233,1.794494,1.140567,,45.7999961295596,44.9915954524602,15.2020865088969
0.11, 3.64,3.64,,,-0.1355004,1.775861,1.140372,,,-0.1306514,1.7934,1.139512,,45.7999961295596,45.3996036213662,15.641732113158
0.122, 3.48,3.48,,,-0.1354596,1.777351,1.14096,,,-0.1308007,1.79409,1.140177,,45.7999961295596,45.547811892042,15.7205746921008
0.133, 3.53,3.53,,,-0.1344348,1.777092,1.14096,,,-0.1297354,1.794066,1.140154,,45.7999961295596,45.4875218139161,15.6491514059375
0.144, 3.41,3.41,,,-0.1320824,1.777092,1.140431,,,-0.127588,1.793522,1.139629,,45.7999961295596,45.3691136577597,15.4876276818452
