経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.003, 0.43,-0.43,,,-0.2955825,1.565523,1.218567,,,-0.2946203,1.563593,1.218359,,46.050527461344,20.2872117233364,27.0795068148211
0.01, 1.37,1.37,,,-0.2917871,1.557235,1.220539,,,-0.2948798,1.563324,1.221158,,46.050527461344,19.7853943238853,27.4357643493733
0.021, 2.87,2.87,,,-0.288783,1.550164,1.221559,,,-0.2953245,1.562863,1.222801,,46.050527461344,19.41774061902,27.7181192391625
0.032, 4.43,4.43,,,-0.2852252,1.543182,1.221198,,,-0.2954414,1.562741,1.223073,,46.050527461344,19.0775169530982,28.0161835636056
0.043, 5.51,5.51,,,-0.2831024,1.53797,1.220025,,,-0.2959045,1.562261,1.222354,,46.050527461344,18.8703231703916,28.2234729689579
0.054, 6.79,6.79,,,-0.2803566,1.532062,1.219781,,,-0.296232,1.561921,1.222563,,46.050527461344,18.6339252071539,28.403870212749
0.065, 7.81,7.81,,,-0.2788293,1.526596,1.220113,,,-0.2971793,1.560938,1.223148,,46.050527461344,18.4616763788159,28.4805220085764
0.077, 8.59,8.59,,,-0.2779256,1.52218,1.220413,,,-0.2981313,1.559951,1.223534,,46.050527461344,18.3679661860111,28.4660454230334
0.087, 9.42,9.42,,,-0.2766621,1.51779,1.221201,,,-0.2988283,1.559228,1.224473,,46.050527461344,18.3296283352667,28.438705884094
0.098, 10.02,10.02,,,-0.2750115,1.51539,1.221092,,,-0.2986293,1.559434,1.224512,,46.050527461344,18.2591066340487,28.486708452245
0.111, 10.69,10.69,,,-0.2735327,1.512338,1.221083,,,-0.298754,1.559305,1.224671,,46.050527461344,18.2122669055715,28.5118606231637
0.122, 10.95,10.95,,,-0.2731055,1.51101,1.221917,,,-0.2989178,1.559135,1.22551,,46.050527461344,18.2224695003603,28.4724436025604
0.133, 11.18,11.18,,,-0.2729053,1.509623,1.222955,,,-0.2992228,1.558819,1.22649,,46.050527461344,18.2567416811144,28.3923954952627
0.144, 11.36,11.36,,,-0.2723986,1.508892,1.225439,,,-0.2991341,1.558911,1.228876,,46.050527461344,18.2466330014241,28.3533216916557
0.156, 11.44,11.44,,,-0.2721234,1.508664,1.229429,,,-0.2989963,1.559054,1.232649,,46.050527461344,18.2568936528192,28.2717538673099
0.167, 11.5,11.5,,,-0.2714369,1.508942,1.236421,,,-0.2983973,1.559675,1.239294,,46.050527461344,18.2810144652019,28.1487780222732
0.177, 11.58,11.58,,,-0.2706325,1.509292,1.242443,,,-0.297711,1.560387,1.245013,,46.050527461344,18.3000023905661,28.0528480180499
0.188, 11.67,11.67,,,-0.2689871,1.510373,1.248,,,-0.2962576,1.561895,1.250393,,46.050527461344,18.3042217398085,28.0059809688168
0.199, 11.61,11.61,,,-0.2678159,1.512046,1.252872,,,-0.2948612,1.563343,1.255213,,46.050527461344,18.3914381304407,27.9103310023416
0.21, 11.62,11.62,,,-0.2661415,1.513724,1.256642,,,-0.2931277,1.565141,1.259003,,46.050527461344,18.4993090125482,27.8055285826333
0.221, 11.67,11.67,,,-0.2636168,1.516074,1.26076,,,-0.2906406,1.567721,1.263175,,46.050527461344,18.5766147989705,27.7370422777314
0.232, 11.92,11.92,,,-0.2602975,1.517809,1.266881,,,-0.2878638,1.570602,1.269305,,46.050527461344,18.6196825555835,27.6852148037516
0.243, 12.09,12.09,,,-0.2563593,1.520746,1.273443,,,-0.2842772,1.574322,1.275812,,46.050527461344,18.6573817836583,27.6300063862267
0.254, 12.34,12.34,,,-0.2524569,1.523098,1.279994,,,-0.2809079,1.577817,1.282404,,46.050527461344,18.7076929556846,27.577803251853
0.265, 12.48,12.48,,,-0.2481572,1.526644,1.28688,,,-0.276853,1.582024,1.28938,,46.050527461344,18.7940863085447,27.5028043617587
0.276, 12.71,12.71,,,-0.2438868,1.529592,1.293405,,,-0.2730142,1.586006,1.296074,,46.050527461344,18.8904910109021,27.4294856981535
0.287, 12.8,12.8,,,-0.2393632,1.53372,1.300041,,,-0.2685719,1.590614,1.302924,,46.050527461344,19.0439790176595,27.3139359760852
0.299, 12.89,12.89,,,-0.2349824,1.537788,1.307467,,,-0.2642228,1.595126,1.310447,,46.050527461344,19.2068346286028,27.1665285450673
0.31, 13.07,13.07,,,-0.2299563,1.541849,1.314635,,,-0.2594543,1.600072,1.317687,,46.050527461344,19.3605036353681,27.0184295574151
0.32, 12.94,12.94,,,-0.2258222,1.547095,1.322208,,,-0.2548441,1.604854,1.325275,,46.050527461344,19.5546483420285,26.8329523605702
0.332, 12.89,12.89,,,-0.2212398,1.552345,1.327967,,,-0.2499228,1.60996,1.331154,,46.050527461344,19.7801880123353,26.6350151914787
0.343, 12.78,12.78,,,-0.2170834,1.557546,1.333413,,,-0.2452525,1.614804,1.336738,,46.050527461344,20.0681863457692,26.3832475954889
0.354, 12.47,12.47,,,-0.2136486,1.563351,1.339448,,,-0.2408581,1.619363,1.342867,,46.050527461344,20.3738373026218,26.1188458574335
0.365, 12.16,12.16,,,-0.2096654,1.569752,1.345227,,,-0.2359106,1.624495,1.348673,,46.050527461344,20.681388759558,25.8394279489056
0.376, 11.74,11.74,,,-0.2064516,1.576114,1.35153,,,-0.2314852,1.629086,1.354908,,46.050527461344,21.0045386605772,25.5295422748855
0.387, 11.18,11.18,,,-0.2040839,1.582471,1.356901,,,-0.227626,1.633089,1.360218,,46.050527461344,21.3666308840655,25.1950337695927
0.398, 10.55,10.55,,,-0.2021342,1.588902,1.361053,,,-0.2240728,1.636775,1.364342,,46.050527461344,21.7116783709544,24.9005774924783
0.409, 10,10,,,-0.2002367,1.594749,1.364223,,,-0.2207575,1.640214,1.367521,,46.050527461344,22.0684071885462,24.6080831871483
0.421, 9.47,9.47,,,-0.1981182,1.600618,1.367184,,,-0.2173265,1.643773,1.370418,,46.050527461344,22.3837860420535,24.3357567223289
0.431, 9,9,,,-0.1955563,1.60652,1.370729,,,-0.2136369,1.6476,1.373849,,46.050527461344,22.6284297509372,24.110703702987
0.443, 8.68,8.68,,,-0.1931456,1.611236,1.373501,,,-0.2104567,1.650899,1.376509,,46.050527461344,22.8022478151933,23.9371127425144
0.454, 8.33,8.33,,,-0.1907995,1.615993,1.377371,,,-0.2073571,1.654115,1.380204,,46.050527461344,22.8899098756564,23.8237179450693
0.465, 8.03,8.03,,,-0.1881405,1.620778,1.380824,,,-0.2040603,1.657535,1.383474,,46.050527461344,22.9299040472285,23.7472983756672
0.476, 8.07,8.07,,,-0.1844302,1.624353,1.385796,,,-0.2004314,1.661299,1.388301,,46.050527461344,22.8967042061442,23.7110266570892
0.488, 8.12,8.12,,,-0.1812055,1.627321,1.391236,,,-0.1973271,1.664519,1.393562,,46.050527461344,22.8428635339625,23.6848892314102
0.499, 8.2,8.2,,,-0.177774,1.630352,1.395366,,,-0.1940787,1.667889,1.397571,,46.050527461344,22.7703286345428,23.7035766284593
0.51, 8.25,8.25,,,-0.1744914,1.633399,1.399326,,,-0.1909188,1.671167,1.401471,,46.050527461344,22.7288113308282,23.7183793555261
0.521, 8.41,8.41,,,-0.1710247,1.635885,1.402479,,,-0.1878161,1.674385,1.404663,,46.050527461344,22.6721668660702,23.7740727164686
0.532, 8.68,8.68,,,-0.1668886,1.638393,1.405226,,,-0.1842526,1.678082,1.407523,,46.050527461344,22.6146515522174,23.8465102856954
0.543, 8.96,8.96,,,-0.1626192,1.640919,1.408525,,,-0.1806049,1.681866,1.410947,,46.050527461344,22.5396202187254,23.9384173086096
0.554, 9.25,9.25,,,-0.1582983,1.643427,1.412563,,,-0.1769336,1.685674,1.415045,,46.050527461344,22.4485003750912,24.0231492180003
0.565, 9.68,9.68,,,-0.1537258,1.645262,1.417796,,,-0.173264,1.689481,1.420327,,46.050527461344,22.4024597787246,24.0486890021435
0.576, 9.9,9.9,,,-0.1499608,1.647672,1.424742,,,-0.1699561,1.692912,1.427228,,46.050527461344,22.3817233249815,24.0394682470206
0.587, 10.23,10.23,,,-0.1454866,1.650111,1.430617,,,-0.1661632,1.696847,1.433128,,46.050527461344,22.353366087884,24.0524012098541
0.599, 10.59,10.59,,,-0.1413928,1.651976,1.4369,,,-0.1628288,1.700306,1.439459,,46.050527461344,22.2953299721214,24.1002688817728
0.609, 11.17,11.17,,,-0.1357344,1.653895,1.442759,,,-0.1584457,1.704852,1.445454,,46.050527461344,22.1921958260715,24.2021838390899
0.621, 11.68,11.68,,,-0.1305181,1.655825,1.449182,,,-0.1543855,1.709064,1.451927,,46.050527461344,22.0600060561009,24.3175252403942
0.632, 12.26,12.26,,,-0.1249335,1.657722,1.456518,,,-0.1500643,1.713547,1.459295,,46.050527461344,21.9605260611552,24.3950598381473
0.643, 12.69,12.69,,,-0.1197105,1.660191,1.463002,,,-0.145779,1.717992,1.465803,,46.050527461344,21.9137221911702,24.4269055942663
0.654, 13.18,13.18,,,-0.114812,1.662017,1.469557,,,-0.1418768,1.72204,1.472469,,46.050527461344,21.9186809083696,24.4226777072877
