経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.46,-0.46,,,0.2865504,1.636903,1.084905,,,0.2854957,1.634896,1.085115,,44.8234874261913,25.7052505939419,28.1465121070792
0.011, 0.5,0.5,,,0.2838057,1.632403,1.084445,,,0.2849633,1.634632,1.084209,,44.8234874261913,25.7257770193738,27.856915509424
0.022, 1.6,1.6,,,0.2810776,1.627195,1.084175,,,0.2847001,1.634268,1.083431,,44.8234874261913,25.8204127027855,27.5504005336654
0.033, 2.45,2.45,,,0.2786114,1.622971,1.083416,,,0.2841265,1.633853,1.08227,,44.8234874261913,25.8747280731012,27.3154915516254
0.044, 3.28,3.28,,,0.2759572,1.61959,1.08347,,,0.2832943,1.634195,1.081922,,44.8234874261913,25.889725460554,27.1250539300338
0.055, 3.79,3.79,,,0.2732993,1.618088,1.083258,,,0.281743,1.634953,1.081443,,44.8234874261913,25.8307519013539,27.0650780406009
0.066, 4.3,4.3,,,0.2706562,1.616578,1.083061,,,0.2802013,1.635709,1.08097,,44.8234874261913,25.769486813751,27.0034441227931
0.078, 4.66,4.66,,,0.2683225,1.615853,1.082998,,,0.2786714,1.636618,1.080725,,44.8234874261913,25.7700998232119,26.9795982255169
0.09, 5.08,5.08,,,0.2655063,1.614252,1.081679,,,0.2767712,1.636912,1.079242,,44.8234874261913,25.8758226108853,26.9059824486911
0.1, 5.21,5.21,,,0.2634772,1.614211,1.080666,,,0.2750297,1.637429,1.078231,,44.8234874261913,26.0008714182774,26.9017716371849
0.111, 5.43,5.43,,,0.2607808,1.61432,1.080076,,,0.2728361,1.638511,1.077568,,44.8234874261913,26.0503407695119,26.9246630155512
0.122, 5.43,5.43,,,0.2591569,1.615237,1.079752,,,0.2712423,1.639418,1.077257,,44.8234874261913,26.0557844301289,26.9861398390124
0.133, 5.22,5.22,,,0.2586761,1.616923,1.079812,,,0.2703391,1.640164,1.077408,,44.8234874261913,26.0215771361701,27.0788015978089
0.144, 5.19,5.19,,,0.2583855,1.617814,1.080455,,,0.2699904,1.64088,1.078072,,44.8234874261913,26.0123358904802,27.1356663361614
0.156, 5.19,5.19,,,0.2568946,1.619301,1.081115,,,0.2685318,1.642376,1.07873,,44.8234874261913,25.9954243425659,27.1888478951065
0.168, 4.98,4.98,,,0.2549671,1.622413,1.081732,,,0.2661887,1.644535,1.07944,,44.8234874261913,25.9511476425034,27.321935834928
0.177, 4.7,4.7,,,0.2516637,1.628239,1.084231,,,0.2623658,1.64907,1.08203,,44.8234874261913,25.7816838237219,27.6270540370401
0.188, 4.3,4.3,,,0.2505874,1.632491,1.085562,,,0.2604377,1.651483,1.083514,,44.8234874261913,25.627048345216,27.860561122792
0.2, 3.95,3.95,,,0.2490172,1.636598,1.086715,,,0.2581328,1.654027,1.084807,,44.8234874261913,25.5031418869308,28.0656341318204
0.211, 3.54,3.54,,,0.2474816,1.641171,1.087966,,,0.255702,1.656768,1.086254,,44.8234874261913,25.4479300543114,28.2435281113503
0.221, 3.13,3.13,,,0.2454817,1.645564,1.088429,,,0.2527738,1.659313,1.086924,,44.8234874261913,25.4322684309804,28.3872233346576
0.233, 2.64,2.64,,,0.2443363,1.649689,1.088757,,,0.2505245,1.661307,1.087494,,44.8234874261913,25.4508533751948,28.4791679236112
