1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPlane3, 3.2,3.2,,,0.154865,1.631981,0.9705784,,,0.1606234,1.646117,0.9657729,,59.7499809323891,45.432528547344,27.78973206307, 1.442
PointBall3, 0.06,0.06,,,0.06046146,1.87128,1.260932,,,0.06060454,1.87153,1.260901,,1.08191292675875,30.9462885322265,30.2868884277246, 1.3
PointPlane2, 3.15,-3.15,,,-0.106504,1.821736,1.269565,,,-0.1131319,1.807707,1.272371,,29.7499911776726,30.7379404475823,27.0637871348837, 1.267
PointPyramid, 3.93,-3.93,,,0.08036114,1.87169,1.271931,,,0.06915079,1.85565,1.273476,,48.527550136433,14.2932402188848,35.1709243408583, 1.545
PointBall2, 0.83,0.83,,,-0.150014,1.688169,0.9851002,,,-0.1485097,1.691979,0.9844764,,54.8866234163922,63.9061987380087,23.0472791373016, 1.233
PointBall1, 1.33,1.33,,,0.2376119,1.772733,1.060706,,,0.241783,1.777833,1.05976,,38.8467134838176,22.0511216877852,39.9276421163113, 1.023
PointPlane1, 7.07,-7.07,,,0.05775925,1.676791,1.023239,,,0.03718412,1.648504,1.028198,,44.750001422956,48.2847915597078,36.7468026177838, 1.088
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane2, 1.9,-1.9,,,-0.1272167,1.816989,1.273662,,,-0.1323501,1.8091,1.274782,,29.7499911776726,38.7470166303718,33.6088806117117, 1.078
PointBall2, 5.34,5.34,,,-0.1648169,1.667638,0.9915291,,,-0.1527553,1.691039,0.9870167,,55.0451623479002,68.0050839373307,28.7387304727743, 1.033
PointPlane1, 1.25,1.25,,,0.04858917,1.644986,1.030705,,,0.05200183,1.650167,1.029861,,44.750001422956,47.1177854705943,34.0983661049595, 1.244
PointPyramid, 1.58,1.58,,,0.06224029,1.852332,1.273517,,,0.06605751,1.85915,1.272385,,48.527550136433,20.9139362037582,30.2128081980482, 1.123
PointBall3, 4.89,-4.89,,,0.06208304,1.89169,1.257689,,,0.04894054,1.871281,1.260411,,2.24166631567084,35.4688401086911,33.2794503519255, 1.256
PointPlane3, 3.86,3.86,,,0.1588146,1.624353,0.9680156,,,0.1668118,1.641151,0.9629059,,59.7499809323891,48.3414855433358,29.3313279139578, 1.166
PointBall1, 0.77,-0.77,,,0.2330597,1.787999,1.061314,,,0.230909,1.784858,1.062029,,37.2947374532274,18.3216882405775,35.7382364224381, 1.111
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane1, 1.16,-1.16,,,0.06000681,1.655497,1.02943,,,0.05721447,1.650489,1.030183,,44.750001422956,45.2182928397991,29.9410042426857, 1.178
PointBall3, 1.69,1.69,,,0.05124893,1.864243,1.25903,,,0.05523264,1.871483,1.25729,,1.28435641975154,32.1659997746038,30.8816134727754, 1.245
PointPyramid, 1.49,-1.49,,,0.06628893,1.865999,1.273921,,,0.06299379,1.859374,1.274844,,48.7770808455319,60.2824078237538,27.2530175205731, 1.022
PointBall1, 6.14,6.14,,,0.223293,1.757364,1.070007,,,0.2353473,1.785459,1.06701,,37.1641510701199,21.4078647349374,23.7917629059267, 0.891
PointBall2, 0.25,0.25,,,-0.1568306,1.680799,0.9821143,,,-0.1563406,1.681939,0.9820195,,56.5426471308084,69.7825859778497,23.5954393689816, 1.223
PointPlane2, 6.62,6.62,,,-0.1050842,1.788839,1.295551,,,-0.0915871,1.818816,1.291611,,29.7499911776726,32.482647335714,25.0593469428643, 1.133
PointPlane3, 1.46,1.46,,,0.1410514,1.630434,0.9608303,,,0.1445583,1.636849,0.9604222,,59.7499809323891,60.9011273226911,28.7988327207033, 0.978
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane2, 3.06,3.06,,,-0.1287962,1.796093,1.276521,,,-0.1211902,1.809299,1.275128,,29.7499911776726,37.5463103888313,30.3058934285613, 1.212
PointBall2, 7.07,7.07,,,-0.1482694,1.674853,0.993642,,,-0.135945,1.707733,0.9893944,,52.2183520347702,61.4953127828125,21.5463143731082, 1.067
PointBall3, 3.4,3.4,,,0.04984559,1.857112,1.253411,,,0.05877969,1.871531,1.252032,,0.739399066455462,32.7133540439841,32.048913260015, 1.144
PointPlane3, 3.23,3.23,,,0.1432784,1.62656,0.9645057,,,0.1505782,1.640828,0.9627196,,59.7499809323891,57.4313981510678,27.7179126259458, 1.167
PointBall1, 3.77,3.77,,,0.2311951,1.76538,1.066958,,,0.2413806,1.781123,1.064974,,38.1305989051207,21.3943973098162,33.3430906377461, 0.932
PointPyramid, 2.39,2.39,,,0.06472634,1.843067,1.268502,,,0.0717174,1.852746,1.267816,,48.527550136433,13.1047173269372,35.9420731672611, 1.078
PointPlane1, 8.47,-8.47,,,0.04116811,1.676497,1.020197,,,0.01940035,1.64017,1.019864,,44.750001422956,53.0600532982413,30.9378669092143, 0.833
5順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall1, 6.14,6.14,,,0.2357372,1.75585,1.078741,,,0.2538127,1.780515,1.076239,,38.2755355152752,21.445137076201,36.4616866240994, 1.322
PointPlane2, 4.59,-4.59,,,-0.08683591,1.826437,1.268438,,,-0.09852275,1.806822,1.270837,,29.7499911776726,37.6134887125435,31.259794206406, 1.389
PointBall3, 0.48,-0.48,,,0.05571593,1.873326,1.247764,,,0.05426282,1.871398,1.247949,,1.53582338070449,38.418802144224,37.1933637883871, 1.3
PointPyramid, 0.78,0.78,,,0.06389096,1.855871,1.271938,,,0.06610894,1.859092,1.271771,,48.527550136433,14.187423516113,34.6056442405001, 1.167
PointPlane3, 3.95,-3.95,,,0.1461226,1.655021,0.9586112,,,0.1371796,1.637575,0.9608414,,59.7499809323891,57.3177028253077,27.788449695089, 1.311
PointBall2, 6,-6,,,-0.1450326,1.695693,0.9696293,,,-0.1574639,1.668492,0.972111,,58.7078170374511,72.2079587638724,24.939231239463, 1.478
PointPlane1, 1.14,1.14,,,0.05607177,1.646504,1.031769,,,0.05876547,1.651485,1.031179,,44.750001422956,46.221138751874,28.9158611786857, 1.278
