経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.84,-0.84,,,0.4648789,1.729155,1.323878,,,0.4652842,1.725005,1.324148,,50.7671895935241,56.545990508314,6.55562264002741
0.01, 0.5,-0.5,,,0.4651905,1.727292,1.324301,,,0.4654315,1.724809,1.324462,,50.8036252366376,56.5484596216303,6.51463382218514
0.021, 0.28,-0.28,,,0.4652657,1.72621,1.325204,,,0.4654,1.724805,1.325296,,50.8050664065124,56.4804002035396,6.4666888837536
0.033, 0.02,0.02,,,0.4632989,1.72723,1.325755,,,0.4632887,1.727345,1.325747,,50.3344493103217,55.6579054314801,6.20665120956955
0.044, 0.17,0.17,,,0.4617788,1.728325,1.327243,,,0.4617097,1.729153,1.327186,,49.998352786091,55.0294836490968,6.01626951015023
0.055, 0.06,0.06,,,0.4632256,1.727001,1.328403,,,0.4632008,1.727293,1.328383,,50.3461255183829,55.4573710830289,6.04902496206399
0.066, 0.18,0.18,,,0.4641613,1.725254,1.329385,,,0.4640836,1.726164,1.329322,,50.5566353578393,55.7120005282013,6.09953250202344
0.076, 0.51,0.51,,,0.4631275,1.72507,1.329075,,,0.4629168,1.727601,1.328906,,50.2893256668257,55.313120906867,5.93927278977931
0.088, 0.82,0.82,,,0.4606579,1.726591,1.329211,,,0.460344,1.730659,1.328938,,49.7175432265585,54.4036470932423,5.68358253088099
0.099, 0.87,0.87,,,0.4598233,1.727198,1.330855,,,0.4594997,1.731539,1.330546,,49.5533796344255,54.1318670435413,5.70959317117706
0.11, 0.76,0.76,,,0.460632,1.726695,1.331871,,,0.4603512,1.730461,1.331601,,49.7569021905554,54.3513585815064,5.73623773838782
0.121, 0.94,0.94,,,0.4568529,1.730091,1.333502,,,0.456546,1.734759,1.333145,,48.9467803058331,53.0982818659621,5.56933097160577
0.132, 0.91,0.91,,,0.4584488,1.72842,1.333293,,,0.4581385,1.73294,1.332961,,49.2912506417532,53.5816201891279,5.56235905620449
0.143, 1.1,1.1,,,0.455705,1.730498,1.334941,,,0.4553611,1.735995,1.33451,,48.7126175219391,52.716020094416,5.53016922931563
0.154, 1.15,1.15,,,0.4573844,1.728505,1.333783,,,0.4570058,1.734214,1.333363,,49.0503669519029,53.2153171541335,5.46855580207478
0.166, 1.19,1.19,,,0.4542062,1.731733,1.335631,,,0.4538592,1.737632,1.335177,,48.4003651874375,52.1945659016476,5.33843472559147
0.177, 1.14,1.14,,,0.4561491,1.729853,1.334558,,,0.4557817,1.735549,1.334139,,48.7972674690621,52.871987459773,5.40754727344548
0.188, 1.3,1.3,,,0.4524348,1.733136,1.335977,,,0.4520647,1.739606,1.335474,,48.0213853216962,51.7363626739279,5.31253080699821
0.199, 1.21,1.21,,,0.4546615,1.731224,1.334697,,,0.4542873,1.737231,1.334253,,48.4764500775796,52.4338103461426,5.33927910770411
0.209, 1.79,1.79,,,0.4503584,1.733226,1.335119,,,0.4498398,1.742136,1.33446,,47.531199734078,51.2666471626826,5.18580006556981
0.221, 1.93,1.93,,,0.4509443,1.732076,1.334133,,,0.4503468,1.741666,1.33345,,47.6215904550386,51.5550109112269,5.21785499622632
0.232, 2.13,2.13,,,0.4478507,1.734379,1.335122,,,0.4472179,1.744973,1.334337,,46.977763181411,50.8037550102282,5.24740025931951
