経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.97,-0.97,,,0.4049209,1.625745,1.270283,,,0.4049344,1.620919,1.270426,,45.0005395849294,45.1842409326395,1.44631556839125
0.01, 0.57,-0.57,,,0.4078257,1.62082,1.27097,,,0.4078579,1.617996,1.271053,,45.0005395849294,45.6777630675745,1.57743566673459
0.021, 0.12,-0.12,,,0.4098921,1.616533,1.271489,,,0.4099035,1.61595,1.271506,,45.0005395849294,46.1458564089371,1.80786052298757
0.032, 0.55,0.55,,,0.4114173,1.61177,1.272058,,,0.4113454,1.614508,1.27198,,45.0005395849294,46.5264106332382,2.05376077320016
0.044, 1.17,1.17,,,0.4131568,1.607024,1.272369,,,0.4129696,1.612884,1.272205,,45.0005395849294,46.8506806852501,2.2706408310974
0.054, 2.14,2.14,,,0.4126176,1.602904,1.272027,,,0.4122388,1.613614,1.271752,,45.0005395849294,47.0427524295551,2.36190026671888
0.066, 3.24,3.24,,,0.4107046,1.599534,1.271343,,,0.4101265,1.615727,1.270973,,45.0005395849294,47.0585199208153,2.30120742088649
0.077, 4.28,4.28,,,0.4064484,1.598658,1.270113,,,0.405833,1.62002,1.269645,,45.0005395849294,46.6631134505773,1.93107478430832
0.088, 5.08,5.08,,,0.4029056,1.598161,1.268974,,,0.4023182,1.623535,1.268488,,45.0005395849294,46.3363333041153,1.57420680161602
0.099, 5.19,5.19,,,0.3944902,1.605495,1.272423,,,0.3944359,1.631418,1.271697,,45.0005395849294,45.1424128553263,1.35897932928683
0.11, 5.14,5.14,,,0.3893965,1.610431,1.272813,,,0.3897236,1.63613,1.272076,,45.0005395849294,44.2947727425372,1.57097131975188
0.121, 4.93,4.93,,,0.3863513,1.614314,1.272944,,,0.3869099,1.638943,1.272244,,45.0005395849294,43.7249027551844,1.8939290149843
0.133, 4.6,4.6,,,0.3845778,1.617626,1.271885,,,0.385233,1.64062,1.271289,,45.0005395849294,43.3881402875282,2.04736622221109
0.144, 3.77,3.77,,,0.3854383,1.621001,1.272802,,,0.3859969,1.639856,1.272272,,45.0005395849294,43.3270066810632,2.17411873486686
0.155, 2.78,2.78,,,0.3858519,1.625695,1.274219,,,0.3862755,1.639578,1.273783,,45.0005395849294,43.2822518677721,2.33414216526098
0.167, 1.79,1.79,,,0.3867551,1.62987,1.276976,,,0.387028,1.638825,1.276651,,45.0005395849294,43.2943515475501,2.52646449212422
