経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0, 0.72,-0.72,,,-0.2839317,1.57918,1.240131,,,-0.2827331,1.575924,1.239173,,46.050527461344,29.8232073884431,25.381914570273
0.011, 0.14,-0.14,,,-0.2833596,1.576172,1.24129,,,-0.2831197,1.575523,1.241098,,46.050527461344,29.7650756500348,25.4573061962336
0.022, 0.58,0.58,,,-0.2818475,1.573204,1.242353,,,-0.2828245,1.575829,1.243129,,46.050527461344,29.6773247971149,25.5819895885153
0.033, 1.13,1.13,,,-0.280364,1.571282,1.244151,,,-0.282279,1.576395,1.245657,,46.050527461344,29.54718920648,25.6318260624074
0.045, 1.91,1.91,,,-0.2781491,1.568696,1.246209,,,-0.2813971,1.57731,1.248731,,46.050527461344,29.3883190108065,25.672429828346
0.056, 2.51,2.51,,,-0.2764495,1.566686,1.248461,,,-0.2807429,1.577989,1.251743,,46.050527461344,29.2053553235062,25.7055579524459
0.066, 3.08,3.08,,,-0.2742938,1.565293,1.250663,,,-0.2795997,1.579175,1.254662,,46.050527461344,29.0461299580057,25.7295370384073
0.077, 3.64,3.64,,,-0.2721242,1.563956,1.252649,,,-0.2784412,1.580376,1.257352,,46.050527461344,28.8959819136596,25.774066455462
0.089, 4.17,4.17,,,-0.2701871,1.562599,1.254059,,,-0.2774539,1.5814,1.259411,,46.050527461344,28.7734141724145,25.7915910128373
0.1, 4.6,4.6,,,-0.2683084,1.561835,1.256154,,,-0.2763479,1.582548,1.262005,,46.050527461344,28.6476123366873,25.7913553713175
0.11, 4.88,4.88,,,-0.2667597,1.561632,1.258379,,,-0.2753103,1.583624,1.264535,,46.050527461344,28.5556865307535,25.744283416415
0.122, 5.1,5.1,,,-0.2656192,1.561388,1.260674,,,-0.2745565,1.584406,1.267051,,46.050527461344,28.511158821246,25.6468524781633
0.133, 5.06,5.06,,,-0.2648839,1.562391,1.263352,,,-0.2737286,1.585265,1.269639,,46.050527461344,28.5312361617525,25.5253980577219
0.144, 5.1,5.1,,,-0.2642172,1.562852,1.265088,,,-0.2730971,1.58592,1.271397,,46.050527461344,28.5758270505081,25.4227317796171
0.155, 5.11,5.11,,,-0.2629676,1.564135,1.265851,,,-0.2718254,1.587239,1.272203,,46.050527461344,28.6799430362239,25.4034330806543
0.166, 4.92,4.92,,,-0.262323,1.566054,1.267113,,,-0.2708136,1.588289,1.273268,,46.050527461344,28.7928767959128,25.39782037286
