経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.79,-0.79,,,0.1645915,1.819457,1.222095,,,0.1629968,1.815927,1.222913,,44.8235181620417,20.743958413256,26.8013712742742
0.011, 0.5,-0.5,,,0.1636679,1.819157,1.223433,,,0.1626495,1.816909,1.223955,,44.8235181620417,20.700304967938,26.8658738714536
0.022, 0.17,-0.17,,,0.1618369,1.818885,1.224359,,,0.1614952,1.818134,1.224533,,44.8235181620417,20.6871414862264,26.9395989313031
0.033, 0.16,0.16,,,0.1600829,1.818411,1.225012,,,0.1604091,1.819125,1.224848,,44.8235181620417,20.7220130160635,26.9756691593062
0.044, 0.4,0.4,,,0.1586727,1.81825,1.225621,,,0.1594884,1.820035,1.225214,,44.8235181620417,20.7975497835399,26.9524943280972
0.055, 0.63,0.63,,,0.1584241,1.817284,1.226104,,,0.1596938,1.820071,1.22547,,44.8235181620417,20.8507791538079,26.8813254664734
0.066, 1.02,1.02,,,0.1579105,1.815602,1.226922,,,0.1599767,1.820162,1.225882,,44.8235181620417,20.8832037684429,26.7815654337796
0.078, 1.8,1.8,,,0.1576815,1.812889,1.230131,,,0.161281,1.820937,1.228282,,44.8235181620417,20.906692788345,26.5801380381193
0.089, 2.38,2.38,,,0.1577247,1.810476,1.232163,,,0.1624379,1.821119,1.229697,,44.8235181620417,20.8974549577496,26.4422399377087
0.1, 2.73,2.73,,,0.158011,1.808923,1.233497,,,0.1633799,1.821125,1.230648,,44.8235181620417,20.8752892869624,26.3623216040016
0.11, 3.06,3.06,,,0.1585381,1.807506,1.235137,,,0.164545,1.821205,1.231926,,44.8235181620417,20.868023673435,26.3177785265689
0.122, 3.46,3.46,,,0.158085,1.806476,1.236963,,,0.1648733,1.821954,1.233313,,44.8235181620417,20.8012141799277,26.3535601790876
0.133, 3.76,3.76,,,0.1569721,1.805447,1.237186,,,0.1643727,1.822256,1.233239,,44.8235181620417,20.813107246489,26.4009565679666
0.143, 3.83,3.83,,,0.1566276,1.804868,1.236724,,,0.164193,1.822015,1.232718,,44.8235181620417,20.8483698046452,26.4139253892923
