1順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角,時間
PointPlane3, 7.82,7.82,,,0.1518403,1.624826,0.9772292,,,0.1587332,1.663282,0.9756833,,59.7499809323891,58.2634312820379,10.3570629276694, 1.286
PointPyramid, 4.87,-4.87,,,0.06371737,1.882918,1.270017,,,0.06051847,1.858848,1.271809,,48.5275603817165,56.2027598516938,8.54240209777871, 1.044
PointBall3, 2.8,2.8,,,0.06083697,1.857581,1.267017,,,0.06249713,1.871439,1.266201,,1.71623204371776,8.50918518122199,7.4965609998486, 1.023
PointBall2, 5.3,5.3,,,-0.1430628,1.683864,0.9955363,,,-0.1406552,1.71025,0.9954772,,51.7872885629624,55.2181505441953,5.21511310223768, 1.001
PointBall1, 1.65,1.65,,,0.2348004,1.77869,1.070603,,,0.2363262,1.786796,1.070303,,36.8645345852311,28.8677561577,10.8130480515178, 0.877
PointPlane1, 1.4,-1.4,,,0.06035384,1.670207,1.042786,,,0.05925505,1.663322,1.043016,,44.750001422956,43.8472963266105,9.21223873104196, 0.923
PointPlane2, 2.55,-2.55,,,-0.1119896,1.822169,1.274508,,,-0.1138753,1.809623,1.275689,,29.7499911776726,25.9681565206107,9.92459926712072, 0.923
2順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointBall1, 4.19,4.19,,,0.2430807,1.759279,1.069189,,,0.2466055,1.779884,1.067792,,38.4062892380127,29.338250310489,10.3362419503377, 0.878
PointPlane2, 2.44,-2.44,,,-0.109091,1.824229,1.279441,,,-0.1110719,1.812199,1.280151,,29.7499911776726,28.0983746426957,9.83999030113165, 1.01
PointBall3, 4.02,4.02,,,0.05920836,1.851655,1.255712,,,0.06150223,1.871569,1.254628,,0.354430325597955,7.5112313920039,7.15617853203302, 0.856
PointBall2, 4.7,4.7,,,-0.1339651,1.704581,1.006555,,,-0.1315619,1.727931,1.006922,,48.6573647081859,53.3054039316845,5.98661112205206, 1.001
PointPyramid, 1.84,-1.84,,,0.06064872,1.867083,1.270061,,,0.05971008,1.857933,1.270444,,48.5275603817165,54.4229218865437,6.23382084755815, 1.022
PointPlane3, 10.22,10.22,,,0.1685019,1.599861,0.9671012,,,0.1756152,1.650473,0.9682883,,59.7499809323891,61.6476806385771,8.15429880710749, 0.966
PointPlane1, 1.22,-1.22,,,0.05595494,1.680819,1.054288,,,0.0550573,1.674792,1.054486,,44.750001422956,43.7836662860734,8.62021929460085, 1.156
3順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane2, 13.03,-13.03,,,-0.1033481,1.868015,1.261363,,,-0.1131532,1.803715,1.265457,,29.7499911776726,27.6442080566632,9.28975539954898, 1.211
PointBall1, 5.64,5.64,,,0.243402,1.762146,1.08945,,,0.2474993,1.789979,1.087638,,36.1520092708432,27.7857978742175,9.0461558558056, 0.911
PointPyramid, 2.75,2.75,,,0.05719192,1.842771,1.272908,,,0.05839361,1.856444,1.272209,,48.5275603817165,53.6026742466586,5.6819962194904, 1.2
PointBall2, 9.26,9.26,,,-0.1281039,1.671207,0.9885905,,,-0.1227421,1.717216,0.9891023,,50.5625776222518,55.2687861501981,6.70542789426412, 0.922
PointPlane1, 0.59,-0.59,,,0.05596548,1.666005,1.042737,,,0.05558408,1.663058,1.042752,,44.750001422956,45.1831583476862,7.37373712651673, 0.911
PointBall3, 2.02,2.02,,,0.05282195,1.861185,1.269861,,,0.05382127,1.871228,1.269372,,2.5449903125153,8.46169316969718,6.21593130195924, 1.133
PointPlane3, 2.18,-2.18,,,0.1562299,1.63895,0.9553301,,,0.1547654,1.62814,0.955394,,59.7499809323891,59.96491331921,7.71619853310308, 0.877
4順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPlane2, 0.84,0.84,,,-0.1169695,1.810635,1.284784,,,-0.116511,1.814785,1.28463,,29.7499911776726,28.5214963122671,6.57226311481662, 1.255
PointBall2, 0.17,-0.17,,,-0.1552741,1.698097,0.9948821,,,-0.1553694,1.697256,0.9948703,,54.0094256607923,59.0872818466099,6.54990662562482, 1.034
PointBall3, 0.95,-0.95,,,0.06070083,1.876026,1.269508,,,0.06008849,1.87132,1.269724,,2.24811806949262,9.14157359585544,7.77417744603297, 0.911
PointBall1, 3.57,3.57,,,0.2640468,1.758112,1.082245,,,0.2667854,1.77577,1.081892,,39.3140930704318,32.3516101601338,8.85878242774514, 0.833
PointPlane1, 2.1,2.1,,,0.05241737,1.667658,1.057865,,,0.05383597,1.678071,1.057765,,44.750001422956,44.9811999048327,7.76389545029728, 0.889
PointPlane3, 10.52,10.52,,,0.1527366,1.619332,0.9815078,,,0.1593633,1.671492,0.9804232,,59.7499809323891,59.0848844502779,7.29955102891105, 0.798
PointPyramid, 0.87,0.87,,,0.06079845,1.853352,1.276529,,,0.06118312,1.857693,1.27633,,48.7770808455319,51.3333746939222,5.5832133307075, 1.034
5順目,めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触角度
PointPyramid, 1.93,1.93,,,0.06724605,1.84702,1.276521,,,0.06831583,1.856595,1.276165,,48.527550136433,42.198044744568,6.63817358469947, 0.801
PointPlane1, 1.49,1.49,,,0.06827681,1.663767,1.050709,,,0.06965375,1.671082,1.050776,,44.750001422956,46.4868501786664,10.6865845412333, 0.811
PointPlane3, 4.11,4.11,,,0.1728419,1.661068,0.9867151,,,0.1759985,1.681354,0.9861171,,59.7499809323891,58.7306845101559,8.95602724334711, 0.789
PointBall2, 5.67,5.67,,,-0.1434165,1.687732,1.000683,,,-0.1399774,1.715886,1.000664,,50.8059031046624,55.5149564063188,6.96759189165499, 0.865
PointBall3, 3.01,-3.01,,,0.05527966,1.88626,1.2499,,,0.0528993,1.871402,1.250539,,1.56660533488986,10.7472263740917,9.35681163363322, 0.934
PointBall1, 2.1,-2.1,,,0.2528116,1.78914,1.069854,,,0.2512736,1.778779,1.070483,,38.6508236638727,30.5717892704561,9.01874716120271, 0.901
PointPlane2, 2.64,-2.64,,,-0.09625553,1.818304,1.267344,,,-0.09808554,1.805236,1.26809,,29.7499911776726,27.8096710922497,8.50756898775461, 0.833
