経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.86,-0.86,,,0.1224466,1.787623,1.620666,,,0.1224727,1.783313,1.620498,,39.1361461569373,36.7011257289804,2.50201967265181
0.009, 0.01,0.01,,,0.1203295,1.784696,1.618887,,,0.1203293,1.784742,1.618889,,38.8092772180185,36.204338763713,2.64249147364742
0.02, 1.55,1.55,,,0.1179053,1.779745,1.615171,,,0.1178918,1.787498,1.615565,,38.1715971144728,35.0282997496736,3.16081146344767
0.032, 2.25,2.25,,,0.1191719,1.775036,1.616511,,,0.1191034,1.786255,1.617068,,38.4602409007653,35.4071805776746,3.11130860159849
0.043, 3.53,3.53,,,0.1196576,1.771006,1.61299,,,0.1195179,1.788637,1.613972,,37.9052709706723,34.5196931423764,3.46684427055289
0.054, 4.03,4.03,,,0.1215503,1.768094,1.613263,,,0.121302,1.788209,1.614381,,38.0052102958269,34.6568501672827,3.50391981699647
0.065, 3.84,3.84,,,0.1195744,1.769956,1.612237,,,0.1194682,1.789127,1.613337,,37.7901105693759,34.2972373023941,3.54624350989751
0.076, 3.29,3.29,,,0.1181568,1.773323,1.611699,,,0.1182016,1.789749,1.612618,,37.6437327893467,34.1881352787229,3.45689033733165
0.087, 3.03,3.03,,,0.1171445,1.775761,1.610367,,,0.1172684,1.790865,1.611213,,37.3797220796104,33.8991977943043,3.48880012647233
0.098, 3.1,3.1,,,0.1169218,1.777876,1.60699,,,0.1170965,1.79335,1.607901,,36.7861684119697,33.1332330813373,3.67615541184332
0.11, 3.21,3.21,,,0.1165393,1.779269,1.604309,,,0.1167583,1.795268,1.605307,,36.3220673160659,32.4629900518297,3.89762130131037
0.121, 2.68,2.68,,,0.1152481,1.784389,1.601095,,,0.1155369,1.797734,1.601957,,35.7177151196478,31.7166621321801,4.13284874091158
0.133, 2.98,2.98,,,0.1154124,1.785626,1.596998,,,0.1157457,1.800496,1.598009,,35.0302087874935,30.8280169798498,4.3348567026352
0.145, 1.87,1.87,,,0.1122665,1.795564,1.591073,,,0.1125903,1.80488,1.591742,,33.913776832682,29.5013347327632,4.78949713302818
0.154, 1.2,1.2,,,0.111119,1.801389,1.587602,,,0.1113699,1.807364,1.588025,,33.2664559173911,28.9292381038029,4.92294536531835
0.164, 0.27,0.27,,,0.110145,1.807822,1.585185,,,0.1102112,1.809166,1.585278,,32.7898248398036,28.5482689455213,5.08075858924723
0.177, 0.18,0.18,,,0.1118279,1.810709,1.581282,,,0.1118702,1.81159,1.581344,,32.1381872450774,27.8455193391109,5.0642269705949
0.19, 0.62,-0.62,,,0.1112805,1.81703,1.577785,,,0.1111121,1.813929,1.577572,,31.4984068584204,27.3129251081162,5.20085380208161
0.199, 0.82,-0.82,,,0.1128689,1.820022,1.574422,,,0.1126508,1.815929,1.574151,,30.9416713244761,26.8717000226535,5.05256869177975
