経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.79,-0.79,,,0.3879172,1.526581,1.032375,,,0.3872864,1.522667,1.032471,,44.8235181620417,37.8542050627637,9.22438963723728
0.01, 0.27,-0.27,,,0.386499,1.524662,1.032405,,,0.3862868,1.523349,1.032436,,44.8235181620417,37.9037205177739,9.2379714680239
0.021, 0.06,0.06,,,0.3869234,1.5232,1.033307,,,0.3869681,1.523479,1.033301,,44.8235181620417,37.9809938607985,9.16934685179514
0.033, 0.12,0.12,,,0.3873411,1.523,1.033937,,,0.3874341,1.523589,1.033923,,44.8235181620417,38.003796446708,9.03726807239545
0.046, 0.43,-0.43,,,0.3878981,1.526247,1.034759,,,0.387566,1.524128,1.034817,,44.8235181620417,37.8887999699472,9.00184671234545
0.056, 0.59,-0.59,,,0.3878394,1.527671,1.035412,,,0.3873794,1.524741,1.035497,,44.8235181620417,37.8068820984162,9.02941591638938
0.066, 0.69,-0.69,,,0.3871109,1.529084,1.035947,,,0.386578,1.525698,1.036049,,44.8235181620417,37.7332253404565,9.062583314076
0.077, 0.87,-0.87,,,0.3850607,1.531997,1.036552,,,0.3843762,1.527708,1.036689,,44.8235181620417,37.583695428213,9.19878923516682
0.088, 1.17,-1.17,,,0.3821709,1.536339,1.037412,,,0.3812281,1.530579,1.037602,,44.8235181620417,37.3961077029733,9.43481836819955
0.099, 1.59,-1.59,,,0.3795424,1.540495,1.03732,,,0.3782352,1.532678,1.037578,,44.8235181620417,37.2736868107912,9.6284123908735
0.111, 1.92,-1.92,,,0.3768535,1.5446,1.037748,,,0.3752504,1.535138,1.038072,,44.8235181620417,37.1420656540532,9.76078059953122
0.121, 2.48,-2.48,,,0.3752618,1.549375,1.038399,,,0.3731801,1.537159,1.038859,,44.8235181620417,36.9578588723586,9.84859890056725
0.134, 2.93,-2.93,,,0.3737491,1.554277,1.040174,,,0.3712818,1.539864,1.040786,,44.8235181620417,36.7202912392581,9.94558075389349
0.144, 3.32,-3.32,,,0.3717562,1.558346,1.040731,,,0.3689527,1.542,1.041478,,44.8235181620417,36.5669364211859,10.003546860219
0.155, 3.77,-3.77,,,0.3703892,1.562185,1.041136,,,0.3671994,1.543614,1.042007,,44.8235181620417,36.5050583241221,10.0329935124588
0.165, 3.91,-3.91,,,0.3679036,1.5653,1.041904,,,0.364595,1.54603,1.042819,,44.8235181620417,36.4820883985825,10.0368739135731
0.177, 4.09,-4.09,,,0.3657061,1.567876,1.041887,,,0.3622348,1.547721,1.042851,,44.8235181620417,36.44872634051,10.0706978631754
0.188, 4.22,-4.22,,,0.3636182,1.570351,1.042284,,,0.3600365,1.549575,1.043275,,44.8235181620417,36.4490371141085,10.0775118304565
0.2, 4.06,-4.06,,,0.3619933,1.571515,1.043576,,,0.3585615,1.551512,1.044539,,44.8235181620417,36.4601464164844,10.0381477438178
0.21, 3.93,-3.93,,,0.3611667,1.573224,1.046266,,,0.3579025,1.553888,1.04724,,44.8235181620417,36.455542869112,9.92287464440329
0.222, 3.74,-3.74,,,0.3603905,1.574386,1.048599,,,0.357328,1.555949,1.04958,,44.8235181620417,36.4270029244592,9.82056695121993
0.232, 3.5,-3.5,,,0.3593711,1.575502,1.05108,,,0.3565416,1.558236,1.052028,,44.8235181620417,36.429823792508,9.72968957929451
0.244, 3.35,-3.35,,,0.3575182,1.576687,1.052158,,,0.354818,1.560186,1.053062,,44.8235181620417,36.4444506422085,9.71436007390265
0.255, 3.23,-3.23,,,0.3570358,1.576631,1.052607,,,0.3544178,1.560742,1.053448,,44.8235181620417,36.4878086818532,9.74372391010105
0.266, 3.08,-3.08,,,0.3561446,1.576641,1.052903,,,0.3536354,1.561469,1.053694,,44.8235181620417,36.4973880218976,9.76591519409689
0.278, 2.77,-2.77,,,0.3537913,1.577888,1.054784,,,0.3515181,1.564229,1.05548,,44.8235181620417,36.51240419237,9.80367418632528
0.288, 2.55,-2.55,,,0.3517461,1.579081,1.056254,,,0.3496566,1.566539,1.056886,,44.8235181620417,36.533864646145,9.80393458728014
0.299, 2.25,-2.25,,,0.3509309,1.578983,1.057659,,,0.3490932,1.567883,1.058223,,44.8235181620417,36.5515309299416,9.75374721242912
0.31, 2.03,-2.03,,,0.3497641,1.580064,1.059848,,,0.3481292,1.570079,1.060364,,44.8235181620417,36.5739237045124,9.67158260032125
0.321, 1.79,-1.79,,,0.3483698,1.581212,1.061978,,,0.3469375,1.572391,1.062443,,44.8235181620417,36.5813276293666,9.61318875341083
0.333, 1.54,-1.54,,,0.3465771,1.582483,1.064023,,,0.3453513,1.574916,1.064427,,44.8235181620417,36.5600652510721,9.60500533323923
0.344, 1.51,-1.51,,,0.345338,1.583773,1.064839,,,0.3441365,1.576351,1.065241,,44.8235181620417,36.534199325405,9.61042764951568
0.355, 1.33,-1.33,,,0.3432858,1.585085,1.066088,,,0.3422261,1.578552,1.066444,,44.8235181620417,36.5092486450613,9.6329442212617
0.366, 1.01,-1.01,,,0.340679,1.586304,1.06771,,,0.3398685,1.581307,1.067982,,44.8235181620417,36.5172911925851,9.62853448050152
0.378, 0.74,-0.74,,,0.3388371,1.58694,1.068999,,,0.3382492,1.583311,1.069198,,44.8235181620417,36.5081797204859,9.62624722096686
0.388, 0.48,-0.48,,,0.3364275,1.588222,1.070461,,,0.3360451,1.585856,1.070592,,44.8235181620417,36.4830651156066,9.62248890948064
0.4, 0.4,-0.4,,,0.3346002,1.590134,1.071952,,,0.3342793,1.588146,1.072065,,44.8235181620417,36.4516530764879,9.62389848973138
0.41, 0.17,-0.17,,,0.3321934,1.592075,1.074186,,,0.3320602,1.591249,1.074234,,44.8235181620417,36.4080389047564,9.63020873057523
0.422, 0.01,-0.01,,,0.3304154,1.594027,1.076473,,,0.330411,1.594,1.076475,,44.8235181620417,36.3599885252825,9.63990076873777
0.433, 0.07,0.07,,,0.3285674,1.59595,1.077973,,,0.3286248,1.596307,1.077951,,44.8235181620417,36.3258034294379,9.65080516544425
0.444, 0.21,0.21,,,0.3260883,1.597795,1.079195,,,0.3262529,1.59882,1.079133,,44.8235181620417,36.3217975236011,9.64721931622978
0.455, 0.31,0.31,,,0.3235534,1.60024,1.080923,,,0.3237967,1.601757,1.080831,,44.8235181620417,36.3243281086182,9.63688182520863
0.467, 0.44,0.44,,,0.3210544,1.602088,1.082129,,,0.3214045,1.604273,1.081997,,44.8235181620417,36.3202197499468,9.63406607980165
0.477, 0.55,0.55,,,0.3180292,1.605286,1.084465,,,0.3184603,1.607982,1.084298,,44.8235181620417,36.2638092191614,9.64501828783099
0.489, 0.64,0.64,,,0.3155151,1.608045,1.08662,,,0.3160205,1.611204,1.086416,,44.8235181620417,36.1479179876442,9.69894604492215
0.5, 0.56,0.56,,,0.3128183,1.611457,1.08807,,,0.3132578,1.614197,1.087886,,44.8235181620417,36.0247662652413,9.76770726493051
0.511, 0.64,0.64,,,0.310156,1.614171,1.089893,,,0.3106591,1.617301,1.089676,,44.8235181620417,35.9327602045869,9.82587144673648
0.522, 0.73,0.73,,,0.3080381,1.6162,1.091393,,,0.3086163,1.619783,1.091143,,44.8235181620417,35.8715753717046,9.87826411885439
0.533, 0.94,0.94,,,0.3050811,1.618129,1.092921,,,0.3058362,1.622777,1.092598,,44.8235181620417,35.8553673332552,9.92291477176354
0.544, 1.16,1.16,,,0.3018791,1.620095,1.094266,,,0.3028175,1.625814,1.093874,,44.8235181620417,35.835996917308,9.98888927466808
0.555, 1.31,1.31,,,0.2988734,1.62208,1.095289,,,0.2999399,1.628537,1.094847,,44.8235181620417,35.8025733875347,10.0424772298575
0.566, 1.63,1.63,,,0.2961412,1.623359,1.09695,,,0.2974685,1.631383,1.096401,,44.8235181620417,35.7927993871044,10.0559617304511
0.578, 1.93,1.93,,,0.2944416,1.624437,1.099227,,,0.2959953,1.633954,1.098564,,44.8235181620417,35.81422227484,9.9707995191547
0.589, 2.07,2.07,,,0.2938542,1.626141,1.102145,,,0.2954832,1.636326,1.101406,,44.8235181620417,35.8119409917207,9.86009325484687
0.6, 2.29,2.29,,,0.2924813,1.627928,1.105093,,,0.2942517,1.639202,1.104241,,44.8235181620417,35.7898863115044,9.77889340693241
0.61, 2.33,2.33,,,0.2905245,1.630405,1.106987,,,0.2923115,1.641887,1.106098,,44.8235181620417,35.7609911970248,9.75209430669597
0.622, 2.49,2.49,,,0.2885439,1.632411,1.109185,,,0.290458,1.644697,1.108219,,44.8235181620417,35.7034605152467,9.78896195926248
0.633, 2.59,2.59,,,0.2857557,1.634539,1.110211,,,0.2877715,1.647297,1.10921,,44.8235181620417,35.62894656857,9.89683967155898
0.644, 2.65,2.65,,,0.2826699,1.637304,1.111574,,,0.2847726,1.650371,1.110558,,44.8235181620417,35.5562118861225,10.0257970545948
0.655, 2.63,2.63,,,0.2804286,1.639975,1.112909,,,0.2825412,1.65291,1.111916,,44.8235181620417,35.5107535633665,10.1265184363876
0.667, 2.71,2.71,,,0.278199,1.641971,1.114165,,,0.2803867,1.655297,1.113138,,44.8235181620417,35.466302693485,10.1765085895318
0.677, 2.75,2.75,,,0.2782881,1.64248,1.115291,,,0.2804841,1.656001,1.114232,,44.8235181620417,35.4768075241362,10.1153630302361
0.689, 2.7,2.7,,,0.2772036,1.644849,1.117165,,,0.2793355,1.658136,1.116102,,44.8235181620417,35.4763806373249,10.0556099757187
0.7, 2.63,2.63,,,0.2756321,1.64862,1.120338,,,0.2776758,1.661542,1.119259,,44.8235181620417,35.4093901438096,10.0273859273063
0.711, 2.63,2.63,,,0.2739021,1.651318,1.122451,,,0.275941,1.664239,1.121339,,44.8235181620417,35.3167591208636,10.0723772358908
0.722, 2.45,2.45,,,0.2712512,1.654732,1.123212,,,0.2731716,1.66678,1.122163,,44.8235181620417,35.2153034937555,10.1777841273238
0.733, 2.32,2.32,,,0.2684101,1.658026,1.123996,,,0.2702525,1.669441,1.123007,,44.8235181620417,35.1620894914127,10.2645625320877
0.744, 2.28,2.28,,,0.2659789,1.660579,1.124856,,,0.2678038,1.671798,1.123891,,44.8235181620417,35.1422512075205,10.3117736520907
0.755, 2.3,2.3,,,0.2636942,1.662983,1.126147,,,0.2655288,1.67431,1.125168,,44.8235181620417,35.1496722078472,10.288071188783
0.766, 2.19,2.19,,,0.2630294,1.665436,1.128047,,,0.2647576,1.676216,1.127093,,44.8235181620417,35.1276209427255,10.2556662109413
0.777, 2.05,2.05,,,0.262388,1.668475,1.130589,,,0.2639776,1.678584,1.129662,,44.8235181620417,35.0972949036545,10.1958388781187
0.789, 2.04,2.04,,,0.2612143,1.67103,1.132885,,,0.2627707,1.681045,1.131936,,44.8235181620417,35.0416117879955,10.1876554579471
0.8, 1.9,1.9,,,0.259561,1.674168,1.134554,,,0.2610048,1.68351,1.133655,,44.8235181620417,35.0083692582301,10.1908221043129
0.811, 1.77,1.77,,,0.2573855,1.677363,1.135815,,,0.2587332,1.686049,1.134974,,44.8235181620417,34.9679823507917,10.2319116674427
0.822, 1.58,1.58,,,0.2552919,1.68072,1.136953,,,0.2565125,1.688486,1.136201,,44.8235181620417,34.8867406679697,10.3329865115151
0.84, 1.47,1.47,,,0.2529779,1.684139,1.138631,,,0.2541361,1.691388,1.137928,,44.8235181620417,34.7910155694158,10.4574675594483
0.846, 1.52,1.52,,,0.2506683,1.686754,1.140426,,,0.2518719,1.694241,1.139699,,44.8235181620417,34.7452840391006,10.5112749344586
0.855, 1.4,1.4,,,0.2498179,1.689169,1.141988,,,0.2509181,1.696057,1.141312,,44.8235181620417,34.7442526805646,10.4882614664643
0.867, 1.4,1.4,,,0.2498545,1.690275,1.143602,,,0.2509444,1.697173,1.142918,,44.8235181620417,34.766064889072,10.4328848555358
0.878, 1.41,1.41,,,0.249176,1.693329,1.14733,,,0.2502525,1.700278,1.146617,,44.8235181620417,34.7386553406955,10.387222480884
0.889, 1.32,1.32,,,0.2487442,1.695886,1.149744,,,0.2497352,1.70237,1.149058,,44.8235181620417,34.6851613006046,10.386256862917
0.9, 1.3,1.3,,,0.2476526,1.698471,1.152126,,,0.2486233,1.704842,1.151442,,44.8235181620417,34.6359463739096,10.4148966990835
0.911, 1.03,1.03,,,0.2456835,1.70178,1.152656,,,0.2464637,1.706843,1.152112,,44.8235181620417,34.5663501632984,10.4980499810462
0.922, 0.97,0.97,,,0.2439985,1.703098,1.15237,,,0.2447475,1.707882,1.151866,,44.8235181620417,34.5556643326393,10.5521553230509
0.934, 0.84,0.84,,,0.2412841,1.706321,1.153106,,,0.2419377,1.710442,1.152676,,44.8235181620417,34.5184466328876,10.6199884911316
0.944, 0.74,0.74,,,0.2396017,1.708964,1.154389,,,0.2401855,1.712621,1.154005,,44.8235181620417,34.4628762153468,10.6806345928581
0.956, 0.85,0.85,,,0.2384812,1.710273,1.155975,,,0.2391442,1.714438,1.155533,,44.8235181620417,34.4311431573459,10.6942804566664
0.967, 0.96,0.96,,,0.2366521,1.712757,1.158604,,,0.2373962,1.717483,1.158092,,44.8235181620417,34.4038258165206,10.6805244560608
0.978, 0.99,0.99,,,0.2349928,1.715168,1.160594,,,0.2357482,1.720037,1.160056,,44.8235181620417,34.3982011558956,10.6436072846242
0.989, 1.3,1.3,,,0.2332259,1.716339,1.163015,,,0.2342021,1.722716,1.162298,,44.8235181620417,34.402183156071,10.6065449716718
1, 1.61,1.61,,,0.2310886,1.717553,1.165153,,,0.2322892,1.725453,1.164257,,44.8235181620417,34.3994135144396,10.5914126879867
1.011, 1.65,1.65,,,0.2287407,1.719285,1.165588,,,0.2299664,1.727388,1.16467,,44.8235181620417,34.4289165157385,10.5574128610182
1.022, 1.78,1.78,,,0.2259234,1.721142,1.166475,,,0.2272508,1.729886,1.165487,,44.8235181620417,34.4266010816743,10.5672133284308
1.033, 1.84,1.84,,,0.2241221,1.722972,1.167726,,,0.2254882,1.731993,1.166704,,44.8235181620417,34.4260102703275,10.5623143753849
1.044, 1.86,1.86,,,0.2228317,1.724287,1.168526,,,0.2242205,1.733442,1.167485,,44.8235181620417,34.3971834577376,10.5892756926096
1.055, 1.83,1.83,,,0.2208957,1.7268,1.169834,,,0.222256,1.735767,1.168809,,44.8235181620417,34.3758561926478,10.6060813725948
1.067, 2.05,2.05,,,0.2183799,1.728782,1.172009,,,0.2199086,1.738866,1.170844,,44.8235181620417,34.3287005679302,10.6425716572201
1.078, 2.21,2.21,,,0.2151164,1.731587,1.174018,,,0.2167643,1.742429,1.172739,,44.8235181620417,34.2167981667773,10.7387799916444
1.089, 2.23,2.23,,,0.213045,1.734465,1.176192,,,0.2147105,1.74539,1.174872,,44.8235181620417,34.0830323306995,10.8549094260023
経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.97,-0.97,,,0.3560984,1.539905,1.017911,,,0.3552308,1.535156,1.018078,,44.8235181620417,36.654243311822,10.4939629667154
0.011, 0.63,-0.63,,,0.3559839,1.537739,1.017415,,,0.3554208,1.534628,1.017521,,44.8235181620417,36.7594931089085,10.3927327358436
0.022, 0.54,-0.54,,,0.3563493,1.537021,1.017535,,,0.3558732,1.534382,1.017625,,44.8235181620417,36.7798402418798,10.3578415692132
0.034, 0.6,-0.6,,,0.3567809,1.537106,1.017588,,,0.3562474,1.534162,1.017688,,44.8235181620417,36.7572323163561,10.4014941607576
0.044, 0.51,-0.51,,,0.355725,1.537215,1.017364,,,0.3552642,1.534688,1.017449,,44.8235181620417,36.7423356741909,10.4607597105366
0.055, 0.32,-0.32,,,0.3544493,1.536748,1.016959,,,0.354157,1.535161,1.01701,,44.8235181620417,36.7288767868059,10.5489664785709
0.067, 0.13,-0.13,,,0.353878,1.536271,1.017251,,,0.3537585,1.535627,1.017272,,44.8235181620417,36.7140621069084,10.631119137848
0.077, 0.05,-0.05,,,0.3533791,1.536366,1.017509,,,0.35333,1.536104,1.017517,,44.8235181620417,36.7102611067411,10.6974633247311
0.089, 0.05,0.05,,,0.3533549,1.535753,1.017464,,,0.3534029,1.536009,1.017456,,44.8235181620417,36.7131024653567,10.6924952160218
