経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.49,-0.49,,,-0.05536166,1.814264,1.55376,,,-0.0553478,1.8118,1.553872,,46.050527461344,45.7841125250867,2.38843491057575
0.009, 0.98,0.98,,,-0.05522511,1.806949,1.554948,,,-0.05529889,1.811851,1.554742,,46.050527461344,45.238735595416,2.33078576770755
0.02, 2.38,2.38,,,-0.055218,1.799791,1.555805,,,-0.05548602,1.811657,1.555355,,46.050527461344,44.7982088967765,2.31562125406823
0.032, 3.02,3.02,,,-0.05670933,1.794874,1.555598,,,-0.05711094,1.809971,1.555076,,46.050527461344,44.5607812825501,2.30214272988993
0.043, 3.37,3.37,,,-0.05857339,1.791156,1.55526,,,-0.0590252,1.807985,1.554684,,46.050527461344,44.5464993573931,2.2983989325553
0.055, 3.56,3.56,,,-0.06105684,1.787585,1.5563,,,-0.06153584,1.805381,1.555666,,46.050527461344,44.5451435648805,2.3602424517874
0.066, 3.92,3.92,,,-0.06278737,1.783946,1.556548,,,-0.06332454,1.803525,1.55583,,46.050527461344,44.5176759598977,2.42632218229091
0.077, 4.76,4.76,,,-0.06302912,1.779275,1.556398,,,-0.06377929,1.803054,1.55553,,46.050527461344,44.2820822514124,2.5784569578566
0.087, 5.7,5.7,,,-0.06291342,1.774353,1.557258,,,-0.06399214,1.802833,1.556248,,46.050527461344,43.9183507825689,2.8049806022633
0.098, 6.92,6.92,,,-0.06142311,1.769314,1.557674,,,-0.06300119,1.803861,1.556496,,46.050527461344,43.4697508005551,3.11954047342317
0.109, 7.93,7.93,,,-0.06013085,1.765176,1.558582,,,-0.06216326,1.80473,1.557242,,46.050527461344,43.1435819560068,3.39049748535209
0.12, 8.4,8.4,,,-0.06073682,1.76193,1.558292,,,-0.06300706,1.803855,1.556859,,46.050527461344,42.9861904962474,3.53684516986111
0.131, 8.47,8.47,,,-0.06208057,1.760211,1.557526,,,-0.06435153,1.80246,1.556041,,46.050527461344,43.0111548369691,3.54420021617548
0.142, 8.61,8.61,,,-0.06431691,1.757163,1.555882,,,-0.06658587,1.800142,1.554412,,46.050527461344,43.0639248770281,3.46921541334596
0.154, 8.48,8.48,,,-0.06685352,1.755336,1.552612,,,-0.06896597,1.797673,1.551288,,46.050527461344,43.2232526953633,3.24401319706347
0.165, 8.1,8.1,,,-0.07063199,1.753511,1.548663,,,-0.07253543,1.793971,1.547517,,46.050527461344,43.380702211729,3.02226065310267
0.176, 8.02,8.02,,,-0.07290404,1.751708,1.545129,,,-0.07469496,1.791731,1.544082,,46.050527461344,43.5086726324573,2.84915655703834
0.187, 7.94,7.94,,,-0.07451087,1.750479,1.542785,,,-0.07624593,1.790122,1.541799,,46.050527461344,43.5625662386035,2.76661521731954
0.2, 7.98,7.98,,,-0.07483218,1.749898,1.542078,,,-0.07659805,1.789756,1.541048,,46.050527461344,43.5333945014702,2.81800043656291
0.209, 7.85,7.85,,,-0.07424323,1.751149,1.542341,,,-0.07603359,1.790342,1.54125,,46.050527461344,43.4579345736198,2.93991440065661
