経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.44,-0.44,,,-0.1574545,1.673344,1.364737,,,-0.1566757,1.671302,1.364442,,45.0005395849294,25.2480718945692,22.2796000469006
0.011, 0.7,0.7,,,-0.1598418,1.663669,1.367745,,,-0.1610872,1.666891,1.368201,,45.0005395849294,24.955060202424,22.4631545455477
0.022, 1.96,1.96,,,-0.1607141,1.654698,1.369643,,,-0.164256,1.663722,1.370925,,45.0005395849294,24.6792640016028,22.7439658126274
0.035, 3.35,3.35,,,-0.1605295,1.645888,1.369998,,,-0.1667068,1.661271,1.37223,,45.0005395849294,24.2928836261018,23.2070645782984
0.045, 4.52,4.52,,,-0.1591975,1.63956,1.369916,,,-0.1677259,1.660252,1.372936,,45.0005395849294,23.8061336235405,23.7020739868838
0.056, 5.7,5.7,,,-0.1584269,1.632544,1.370158,,,-0.1693973,1.65858,1.373901,,45.0005395849294,23.340125197364,24.0796348808644
0.066, 6.56,6.56,,,-0.1579906,1.627262,1.370604,,,-0.1707948,1.657183,1.37481,,45.0005395849294,22.9830087665476,24.3270038351511
0.077, 7.21,7.21,,,-0.1584819,1.622507,1.37008,,,-0.1726546,1.655323,1.374619,,45.0005395849294,22.7640090021891,24.4711669264036
0.089, 7.59,7.59,,,-0.1602205,1.618256,1.368651,,,-0.1751615,1.652816,1.373433,,45.0005395849294,22.7445224730293,24.4914884461662
0.1, 7.83,7.83,,,-0.162337,1.614636,1.366492,,,-0.1777184,1.65026,1.371549,,45.0005395849294,22.8267340426864,24.5217052022134
0.111, 8.14,8.14,,,-0.1637749,1.611141,1.363069,,,-0.1798173,1.648161,1.368514,,45.0005395849294,22.8369605431366,24.6717063974965
0.122, 8.68,8.68,,,-0.1637422,1.60766,1.361348,,,-0.180907,1.647071,1.367309,,45.0005395849294,22.8063544663175,24.8348949801526
0.133, 9.29,9.29,,,-0.1632233,1.604165,1.360948,,,-0.1817019,1.646276,1.367374,,45.0005395849294,22.6791302437353,25.0020962988344
0.144, 9.95,9.95,,,-0.161708,1.601275,1.362727,,,-0.1816604,1.646317,1.369572,,45.0005395849294,22.4777984707207,25.1763668631105
0.155, 10.79,10.79,,,-0.1589691,1.598373,1.36483,,,-0.1807937,1.647184,1.372173,,45.0005395849294,22.2625775084154,25.3365433324264
0.166, 11.5,11.5,,,-0.1564428,1.596131,1.367163,,,-0.1799291,1.648049,1.374877,,45.0005395849294,21.9918646757425,25.5401512659186
0.179, 12.22,12.22,,,-0.1538537,1.593883,1.368378,,,-0.1789927,1.648985,1.376608,,45.0005395849294,21.8308429705403,25.722069934305
0.189, 12.54,12.54,,,-0.1522779,1.593418,1.367355,,,-0.178103,1.649875,1.376041,,45.0005395849294,21.8557714527698,25.84329895851
0.2, 12.31,12.31,,,-0.1521326,1.595167,1.366804,,,-0.1773397,1.650638,1.375499,,45.0005395849294,22.0433506402733,25.7558930301337
0.21, 11.9,11.9,,,-0.1527323,1.597348,1.366303,,,-0.1768731,1.651105,1.374697,,45.0005395849294,22.2735894805983,25.5119289250535
0.222, 11.75,11.75,,,-0.1517273,1.599547,1.367012,,,-0.1752758,1.652702,1.375396,,45.0005395849294,22.5768857298,25.2704339332895
0.233, 11.39,11.39,,,-0.1507745,1.602979,1.36699,,,-0.1733401,1.654638,1.37524,,45.0005395849294,22.8944826871785,25.0300471396876
0.244, 11.15,11.15,,,-0.1495713,1.605905,1.367162,,,-0.171482,1.656496,1.375326,,45.0005395849294,23.0949401960037,24.8937643789708
0.255, 10.79,10.79,,,-0.1471508,1.610685,1.367545,,,-0.1682781,1.6597,1.375432,,45.0005395849294,23.1805651526035,24.7951040067027
0.266, 10.65,10.65,,,-0.1439909,1.614782,1.369359,,,-0.1647729,1.663205,1.376947,,45.0005395849294,23.192326738027,24.6419250659967
0.278, 10.37,10.37,,,-0.1411276,1.619451,1.372,,,-0.1612736,1.666704,1.379195,,45.0005395849294,23.2481362121821,24.4422137553176
0.288, 9.78,9.78,,,-0.1385592,1.625892,1.374744,,,-0.1574258,1.670552,1.381284,,45.0005395849294,23.3323148762654,24.1726108283539
0.3, 9.23,9.23,,,-0.1363517,1.631769,1.376019,,,-0.1539901,1.673988,1.382104,,45.0005395849294,23.5135607710373,23.9254109212445
0.311, 8.46,8.46,,,-0.1344121,1.638836,1.376061,,,-0.1503498,1.677628,1.381674,,45.0005395849294,23.8480983046333,23.6210645304871
0.322, 7.74,7.74,,,-0.1327691,1.645316,1.374625,,,-0.1471068,1.680871,1.379861,,45.0005395849294,24.2468293693573,23.3210945833186
0.333, 6.87,6.87,,,-0.1313747,1.652455,1.372175,,,-0.1438827,1.684095,1.37698,,45.0005395849294,24.6972530118287,23.0423853068975
0.344, 6.16,6.16,,,-0.1295181,1.659032,1.370062,,,-0.1405538,1.687424,1.374479,,45.0005395849294,25.0726555660918,22.8114549099383
0.355, 5.52,5.52,,,-0.1270886,1.665629,1.368745,,,-0.1368643,1.691114,1.372754,,45.0005395849294,25.344283644088,22.6148376748671
0.368, 5.09,5.09,,,-0.1238726,1.671581,1.369902,,,-0.1328366,1.695141,1.373541,,45.0005395849294,25.4478651675161,22.4187446568001
0.379, 4.81,4.81,,,-0.1198097,1.677476,1.373279,,,-0.1282228,1.699755,1.376578,,45.0005395849294,25.4849650465079,22.1710017496667
0.39, 4.66,4.66,,,-0.1148232,1.683423,1.375904,,,-0.1229408,1.705037,1.378985,,45.0005395849294,25.5014377547803,21.9751785240645
0.4, 4.63,4.63,,,-0.1096649,1.688791,1.379075,,,-0.1176979,1.71028,1.382033,,45.0005395849294,25.5154652553978,21.8083870167214
0.411, 4.44,4.44,,,-0.1054903,1.694181,1.380555,,,-0.1131546,1.714823,1.383344,,45.0005395849294,25.6033749102115,21.6467352265858
0.422, 4.31,4.31,,,-0.1015535,1.698968,1.381411,,,-0.1089425,1.719035,1.384101,,45.0005395849294,25.7391010105265,21.4844567666113
0.433, 4.25,4.25,,,-0.09774029,1.703179,1.3791,,,-0.1049795,1.722998,1.381782,,45.0005395849294,25.9005000836698,21.3701740445989
0.445, 4.34,4.34,,,-0.09356627,1.706803,1.376941,,,-0.1009264,1.727051,1.379689,,45.0005395849294,25.9933599179467,21.2945075035318
0.456, 4.61,4.61,,,-0.08883089,1.709829,1.375605,,,-0.09664184,1.731336,1.378487,,45.0005395849294,25.9846002005799,21.250256416678
0.467, 4.84,4.84,,,-0.08429682,1.712872,1.375311,,,-0.09251525,1.735463,1.378288,,45.0005395849294,25.9243135375484,21.2388534161759
0.478, 5.36,5.36,,,-0.07917721,1.714696,1.37494,,,-0.08828264,1.739695,1.378191,,45.0005395849294,25.8799070638953,21.2290179440448
0.489, 5.88,5.88,,,-0.07404745,1.716516,1.376047,,,-0.08404468,1.743933,1.37955,,45.0005395849294,25.829428552239,21.2088449808925
0.5, 6.24,6.24,,,-0.06931999,1.718914,1.377532,,,-0.07992403,1.748054,1.381161,,45.0005395849294,25.8231720991334,21.1196751562121
0.511, 6.78,6.78,,,-0.06412345,1.720698,1.379011,,,-0.07560878,1.752369,1.382865,,45.0005395849294,25.849690307848,21.0132932553022
0.523, 7.32,7.32,,,-0.05891788,1.722496,1.380461,,,-0.07127988,1.756698,1.384583,,45.0005395849294,25.8943324230209,20.9372954500696
0.533, 7.86,7.86,,,-0.05372932,1.724307,1.380416,,,-0.0669553,1.761023,1.384882,,45.0005395849294,25.9682726338233,20.8987953823369
0.545, 8.38,8.38,,,-0.04921583,1.725507,1.380771,,,-0.06328163,1.764696,1.385596,,45.0005395849294,26.0516863167409,20.8617723429711
0.556, 9.24,9.24,,,-0.04380648,1.725517,1.380465,,,-0.05928612,1.768692,1.385908,,45.0005395849294,26.108122460735,20.8932987877553
0.567, 9.94,9.94,,,-0.03870913,1.726157,1.379624,,,-0.05538392,1.772594,1.38559,,45.0005395849294,26.1124749986624,20.9609654699796
0.578, 10.77,10.77,,,-0.03338411,1.726187,1.380179,,,-0.05150032,1.776478,1.386657,,45.0005395849294,26.060169411454,21.0208645197865
0.589, 11.53,11.53,,,-0.02781787,1.72683,1.381557,,,-0.04730171,1.780676,1.38842,,45.0005395849294,25.9628204354701,21.0727278522585
0.6, 12.35,12.35,,,-0.02197815,1.727445,1.383334,,,-0.04287046,1.785107,1.390572,,45.0005395849294,25.914148508799,21.0623049838751
0.611, 13.06,13.06,,,-0.01686779,1.728057,1.38499,,,-0.0389618,1.789016,1.392549,,45.0005395849294,25.888958771841,21.0421883697819
0.622, 13.78,13.78,,,-0.0116202,1.728685,1.385616,,,-0.03497081,1.793007,1.393551,,45.0005395849294,25.8517820532231,21.059502898846
0.633, 14.47,14.47,,,-0.006581247,1.729303,1.386561,,,-0.03111199,1.796866,1.394899,,45.0005395849294,25.8495963927495,21.0628667669187
0.645, 14.99,14.99,,,-0.002160026,1.73049,1.386131,,,-0.02747579,1.800502,1.394775,,45.0005395849294,25.9239925186663,20.9934754619769
0.656, 15.36,15.36,,,0.001884494,1.732261,1.38626,,,-0.02390526,1.804073,1.395127,,45.0005395849294,26.0455425617534,20.8776952210306
0.667, 15.76,15.76,,,0.005528629,1.733449,1.384156,,,-0.02082291,1.807155,1.393411,,45.0005395849294,26.1517093117105,20.8373510022733
0.678, 16.21,16.21,,,0.01015049,1.735272,1.382807,,,-0.01690291,1.811075,1.392461,,45.0005395849294,26.2060280971207,20.8385906815732
0.689, 16.55,16.55,,,0.01466384,1.737686,1.383058,,,-0.01287009,1.815108,1.392911,,45.0005395849294,26.2670097318809,20.7780547166439
0.7, 16.95,16.95,,,0.01884843,1.73946,1.384034,,,-0.009177864,1.8188,1.394014,,45.0005395849294,26.3665511985274,20.6396033709259
