経過時間(s),めり込み量(mm),Y軸めり込み量(mm),,デバイス先端,X座標,Y座標,Z座標,,仮想物体との接触位置,X座標,Y座標,Z座標,,接触点の法線と床の法線とのなす角,接触点の法線とデバイスの方向ベクトルのなす角,床の法線とデバイスの方向ベクトルのなす角
0.001, 0.99,-0.99,,,0.4966603,1.532347,1.301068,,,0.4952145,1.527612,1.300945,,45.0005634905908,28.0505616122889,17.0631063927154
0.011, 0.72,-0.72,,,0.4974947,1.529827,1.301101,,,0.4964539,1.526373,1.301011,,45.0005634905908,28.2665048670788,16.8481159492881
0.022, 0.65,-0.65,,,0.4986181,1.528246,1.301786,,,0.4976906,1.525136,1.30171,,45.0005634905908,28.4210447229391,16.6813176117561
0.032, 0.55,-0.55,,,0.5000826,1.526157,1.302966,,,0.4993025,1.523524,1.302906,,45.0005634905908,28.5236546519848,16.5699667483633
0.044, 0.39,-0.39,,,0.5004629,1.52477,1.303017,,,0.4999139,1.522913,1.302974,,45.0005634905908,28.5623288895365,16.5320472466939
0.054, 0.19,-0.19,,,0.4996219,1.524389,1.302364,,,0.4993501,1.523476,1.302342,,45.0005634905908,28.4422985634974,16.6641892053417
0.066, 0.28,0.28,,,0.499141,1.521919,1.301975,,,0.4995478,1.523279,1.302012,,45.0005634905908,28.3734570887686,16.7544262470502
0.077, 0.91,0.91,,,0.4983995,1.518779,1.300837,,,0.4997081,1.523118,1.300977,,45.0005634905908,28.273002084346,16.8966529797269
0.09, 1.24,1.24,,,0.4976238,1.517457,1.299505,,,0.4994199,1.523407,1.299709,,45.0005634905908,28.2589967818426,16.9291117453068
0.1, 0.98,0.98,,,0.497951,1.518773,1.2999,,,0.4993627,1.523464,1.300047,,45.0005634905908,28.3004731044233,16.8615560536534
0.111, 0.85,0.85,,,0.4981175,1.519434,1.299806,,,0.4993366,1.52349,1.299928,,45.0005634905908,28.3155165956517,16.8343958071747
0.121, 0.93,0.93,,,0.4982069,1.518811,1.299924,,,0.4995486,1.523278,1.300058,,45.0005634905908,28.3247390583218,16.8227537500583
0.132, 1.03,1.03,,,0.4975875,1.518821,1.299946,,,0.4990702,1.523756,1.300093,,45.0005634905908,28.3222340865135,16.8248301275082
0.144, 1.14,1.14,,,0.4975033,1.51825,1.29994,,,0.4991386,1.523688,1.300102,,45.0005634905908,28.3091884255618,16.8379338450663
0.155, 1.25,1.25,,,0.4967206,1.518337,1.299349,,,0.4985188,1.524308,1.299526,,45.0005634905908,28.2834386131074,16.862968195225
